,,,,2020,,,,,,2016,,,,,,2012,,,,,,2008,,,,
District,Incumbent,Party,,Biden,Trump,Total,Biden%,Trump%,,Clinton,Trump,Total,Clinton%,Trump%,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
NJ-02,"Van Drew, Jeff",(D),,"183,250","194,366","382,685",47.9%,50.8%,,"147,656","162,486","321,004",46.0%,50.6%,,"166,906","141,479","311,778",53.5%,45.4%,,"174,840","149,736","328,805",53.2%,45.5%
NJ-03,"Kim, Andy",(D),,"217,222","218,016","441,362",49.2%,49.4%,,"165,090","187,703","365,240",45.2%,51.4%,,"179,028","163,203","345,812",51.8%,47.2%,,"188,210","175,525","367,978",51.1%,47.7%
NJ-04,"Smith, Chris",(R),,"191,273","236,896","433,563",44.1%,54.6%,,"146,191","198,859","356,583",41.0%,55.8%,,"148,622","180,439","332,612",44.7%,54.2%,,"160,660","190,307","355,041",45.3%,53.6%
NJ-05,"Gottheimer, Josh",(D),,"224,937","202,419","433,296",51.9%,46.7%,,"173,963","178,058","364,545",47.7%,48.8%,,"162,305","172,486","338,580",47.9%,50.9%,,"176,486","183,854","363,746",48.5%,50.5%
NJ-06,"Pallone, Frank",(D),,"191,464","138,919","334,578",57.2%,41.5%,,"162,857","117,679","289,648",56.2%,40.6%,,"163,391","99,466","265,918",61.4%,37.4%,,"170,603","118,187","292,048",58.4%,40.5%
NJ-07,"Malinowski, Tom",(D),,"239,105","195,248","441,160",54.2%,44.3%,,"180,530","176,386","371,592",48.6%,47.5%,,"157,635","178,521","340,175",46.3%,52.5%,,"172,330","188,352","364,851",47.2%,51.6%
NJ-08,"Sires, Albio",(D),,"182,963","69,207","254,802",71.8%,27.2%,,"173,834","49,336","229,736",75.7%,21.5%,,"162,232","43,032","207,307",78.3%,20.8%,,"159,013","56,502","217,359",73.2%,26.0%
NJ-09,"Pascrell, Bill",(D),,"200,019","118,376","321,623",62.2%,36.8%,,"177,954","91,696","276,738",64.3%,33.1%,,"173,082","77,951","253,218",68.4%,30.8%,,"170,663","93,912","266,738",64.0%,35.2%
NJ-10,"Payne, Donald",(D),,"254,725","45,311","302,548",84.2%,15.0%,,"233,822","35,111","274,410",85.2%,12.8%,,"239,483","31,379","272,407",87.9%,11.5%,,"242,306","41,562","285,386",84.9%,14.6%
NJ-11,"Sherrill, Mikie",(D),,"237,986","208,017","451,995",52.7%,46.0%,,"182,334","185,696","380,595",47.9%,48.8%,,"163,493","183,775","350,909",46.6%,52.4%,,"176,436","195,675","375,701",47.0%,52.1%
NJ-12,"Watson Coleman, Bonnie",(D),,"243,177","113,677","361,527",67.3%,31.4%,,"204,661","100,043","314,766",65.0%,31.8%,,"198,197","96,642","298,083",66.5%,32.4%,,"204,001","103,354","310,510",65.7%,33.3%
NM-01,"Haaland, Deb",(D),,"197,294","122,685","327,717",60.2%,37.4%,,"147,250","100,132","285,170",51.6%,35.1%,,"155,915","111,749","282,195",55.3%,39.6%,,"178,068","116,302","298,305",59.7%,39.0%
NM-02,"Torres Smalls, Xochitl",(D),,"116,535","148,608","270,577",43.1%,54.9%,,"93,363","117,212","234,096",39.9%,50.1%,,"103,438","119,168","230,391",44.9%,51.7%,,"118,400","122,705","244,530",48.4%,50.2%
NM-03,"Lujan, Ben",(D),,"187,785","130,600","325,671",57.7%,40.1%,,"144,621","102,323","279,053",51.8%,36.7%,,"155,982","104,871","271,171",57.5%,38.7%,,"175,953","107,825","287,324",61.2%,37.5%
NV-01,"Titus, Dina",(D),,"143,424","84,976","233,349",61.5%,36.4%,,"121,321","64,233","196,840",61.6%,32.6%,,"123,205","60,813","187,686",65.6%,32.4%,,"122,041","62,527","189,190",64.5%,33.0%
NV-02,"Amodei, Mark",(R),,"171,024","210,255","392,617",43.6%,53.6%,,"129,318","169,631","326,011",39.7%,52.0%,,"131,542","155,187","293,476",44.8%,52.9%,,"141,357","137,916","285,982",49.4%,48.2%
NV-03,"Lee, Susie ",(D),,"214,181","213,302","435,797",49.1%,48.9%,,"151,552","154,815","325,602",46.5%,47.5%,,"140,501","138,238","283,656",49.5%,48.7%,,"140,378","116,908","262,257",53.5%,44.6%
NV-04,"Horsford, Stephen ",(D),,"174,857","161,358","343,613",50.9%,47.0%,,"137,070","123,380","276,932",49.5%,44.6%,,"136,124","109,330","250,100",54.4%,43.7%,,"129,961","95,477","230,420",56.4%,41.4%
NY-01,"Zeldin, Lee",(R),,"182,793","198,826","386,329",47.3%,51.5%,,"141,900","183,233","336,437",42.2%,54.5%,,"146,708","145,115","295,673",49.6%,49.1%,,"168,611","156,394","328,315",51.4%,47.6%
NY-02,"King, Peter",(R),,"168,779","183,204","356,124",47.4%,51.4%,,"137,680","165,908","313,286",43.9%,53.0%,,"140,817","128,791","272,663",51.6%,47.2%,,"156,151","145,890","304,670",51.3%,47.9%
NY-03,"Suozzi, Tom",(D),,"216,247","175,089","395,436",54.7%,44.3%,,"178,288","156,942","345,275",51.6%,45.5%,,"155,451","147,617","306,221",50.8%,48.2%,,"182,847","155,946","341,582",53.5%,45.7%
NY-04,"Rice, Kathleen",(D),,"211,700","165,073","380,697",55.6%,43.4%,,"179,845","147,469","336,811",53.4%,43.8%,,"173,508","131,750","308,119",56.3%,42.8%,,"185,400","147,199","334,969",55.3%,43.9%
NY-05,"Meeks, Gregory",(D),,"229,459","44,495","275,508",83.3%,16.2%,,"211,667","31,322","246,961",85.7%,12.7%,,"192,374","19,325","212,347",90.6%,9.1%,,"206,652","32,558","240,009",86.1%,13.6%
NY-06,"Meng, Grace",(D),,"152,725","92,371","247,255",61.8%,37.4%,,"134,970","66,487","207,285",65.1%,32.1%,,"125,496","57,455","185,058",67.8%,31.0%,,"126,794","71,419","199,891",63.4%,35.7%
NY-07,"Velazquez, Nydia",(D),,"190,811","40,366","233,221",81.8%,17.3%,,"177,664","21,198","204,473",86.9%,10.4%,,"159,552","18,671","180,591",88.3%,10.3%,,"158,908","28,083","188,388",84.4%,14.9%
NY-08,"Jeffries, Hakeem",(D),,"234,960","46,711","283,554",82.9%,16.5%,,"215,689","34,356","254,930",84.6%,13.5%,,"210,018","23,869","235,295",89.3%,10.1%,,"208,300","32,971","242,177",86.0%,13.6%
NY-09,"Clarke, Yvette",(D),,"232,347","50,873","285,350",81.4%,17.8%,,"211,812","36,600","253,789",83.5%,14.4%,,"204,281","33,156","239,547",85.3%,13.8%,,"208,748","38,289","248,224",84.1%,15.4%
NY-10,"Nadler, Jerrold",(D),,"218,141","65,611","286,527",76.1%,22.9%,,"205,114","49,179","261,945",78.3%,18.8%,,"173,650","58,992","235,821",73.6%,25.0%,,"195,974","60,682","259,039",75.7%,23.4%
NY-11,"Rose, Max",(D),,"132,366","163,857","298,863",44.3%,54.8%,,"108,807","133,232","248,457",43.8%,53.6%,,"110,407","101,262","213,991",51.6%,47.3%,,"112,035","118,106","231,976",48.3%,50.9%
NY-12,"Maloney, Carolyn",(D),,"280,012","49,337","332,820",84.1%,14.8%,,"255,601","41,384","306,910",83.3%,13.5%,,"205,919","57,575","267,692",76.9%,21.5%,,"243,155","57,238","303,389",80.1%,18.9%
NY-13,"Espaillat, Adriano",(D),,"233,234","29,526","264,872",88.1%,11.1%,,"232,925","13,727","252,393",92.3%,5.4%,,"219,361","10,558","231,787",94.6%,4.6%,,"225,863","14,845","242,035",93.3%,6.1%
NY-14,"Ocasio-Cortez, Alexandria",(D),,"161,973","57,174","220,982",73.3%,25.9%,,"151,407","38,560","194,923",77.7%,19.8%,,"136,783","30,978","169,552",80.7%,18.3%,,"135,243","41,288","177,831",76.1%,23.2%
NY-15,"Serrano, Jose",(D),,"171,328","25,855","198,198",86.4%,13.0%,,"179,454","9,371","191,383",93.8%,4.9%,,"171,366","5,315","177,129",96.7%,3.0%,,"170,498","9,382","180,295",94.6%,5.2%
NY-16,"Engel, Eliot",(D),,"232,782","73,665","309,170",75.3%,23.8%,,"212,644","63,590","283,114",75.1%,22.5%,,"197,365","68,373","267,814",73.7%,25.5%,,"205,897","74,591","282,279",72.9%,26.4%
NY-17,"Lowey, Nita",(D),,"212,254","140,322","356,203",59.6%,39.4%,,"186,437","122,339","318,220",58.6%,38.4%,,"168,020","123,190","294,401",57.1%,41.8%,,"181,604","128,934","313,081",58.0%,41.2%
NY-18,"Maloney, Sean",(D),,"184,181","166,448","355,716",51.8%,46.8%,,"146,187","152,143","310,474",47.1%,49.0%,,"149,610","137,144","290,894",51.4%,47.1%,,"162,618","146,308","312,234",52.1%,46.9%
NY-19,"Delgado, Antonio",(D),,"182,965","177,569","367,482",49.8%,48.3%,,"140,518","162,265","319,452",44.0%,50.8%,,"157,967","138,981","303,112",52.1%,45.9%,,"175,763","150,323","331,779",53.0%,45.3%
NY-20,"Tonko, Paul",(D),,"217,340","141,619","366,382",59.3%,38.7%,,"175,384","131,557","325,081",54.0%,40.5%,,"186,460","122,230","315,032",59.2%,38.8%,,"198,366","135,529","340,274",58.3%,39.8%
NY-21,"Stefanik, Elise",(R),,"141,679","175,345","323,276",43.8%,54.2%,,"111,760","150,481","279,438",40.0%,53.9%,,"138,889","122,471","265,850",52.2%,46.1%,,"150,137","135,821","290,642",51.7%,46.7%
NY-22,"Brindisi, Anthony",(D),,"139,998","177,147","323,896",43.2%,54.7%,,"114,016","158,913","289,954",39.3%,54.8%,,"135,172","136,500","277,217",48.8%,49.2%,,"148,425","148,580","302,473",49.1%,49.1%
NY-23,"Reed, Tom",(R),,"139,037","175,243","321,276",43.3%,54.5%,,"115,013","158,156","290,017",39.7%,54.5%,,"133,949","137,312","276,891",48.4%,49.6%,,"150,412","147,913","303,285",49.6%,48.8%
NY-24,"Katko, John",(R),,"186,983","155,222","349,961",53.4%,44.4%,,"151,021","139,763","308,574",48.9%,45.3%,,"171,502","123,534","300,621",57.0%,41.1%,,"181,776","135,928","323,571",56.2%,42.0%
NY-25,"Morelle, Joe",(D),,"218,504","137,342","363,605",60.1%,37.8%,,"182,896","128,955","329,443",55.5%,39.1%,,"187,753","125,897","319,454",58.8%,39.4%,,"201,012","136,481","342,056",58.8%,39.9%
NY-26,"Higgins, Brian",(D),,"209,957","119,410","335,256",62.6%,35.6%,,"175,336","115,558","304,440",57.6%,38.0%,,"193,362","103,743","302,388",63.9%,34.3%,,"208,504","115,099","328,709",63.4%,35.0%
NY-27,VACANT ,(R),,"162,337","224,305","394,811",41.1%,56.8%,,"122,107","206,869","346,771",35.2%,59.7%,,"140,176","180,703","326,828",42.9%,55.3%,,"153,862","186,554","345,902",44.5%,53.9%
OH-01,"Chabot, Steve",(R),,"185,947","198,433","390,226",47.7%,50.9%,,"160,988","185,025","361,297",44.6%,51.2%,,"168,195","190,504","363,593",46.3%,52.4%,,"171,529","188,091","363,285",47.2%,51.8%
OH-02,"Wenstrup, Brad",(R),,"165,593","214,600","385,916",42.9%,55.6%,,"140,773","197,877","354,868",39.7%,55.8%,,"155,027","194,409","355,117",43.7%,54.7%,,"160,301","196,040","361,562",44.3%,54.2%
OH-03,"Beatty, Joyce",(D),,"231,278","93,890","330,494",70.0%,28.4%,,"210,445","89,824","314,155",67.0%,28.6%,,"217,969","90,434","312,938",69.7%,28.9%,,"209,277","97,330","310,574",67.4%,31.3%
OH-04,"Jordan, Jim",(R),,"110,336","237,144","353,273",31.2%,67.1%,,"99,641","208,715","324,648",30.7%,64.3%,,"139,228","185,512","331,390",42.0%,56.0%,,"150,312","187,369","344,253",43.7%,54.4%
OH-05,"Latta, Bob",(R),,"141,528","237,762","385,874",36.7%,61.6%,,"124,410","214,653","359,624",34.6%,59.7%,,"159,592","195,075","362,052",44.1%,53.9%,,"171,746","194,685","373,037",46.0%,52.2%
OH-06,"Johnson, Bill",(R),,"91,296","248,554","344,239",26.5%,72.2%,,"85,512","221,852","320,064",26.7%,69.3%,,"136,522","176,593","319,939",42.7%,55.2%,,"149,059","177,089","333,655",44.7%,53.1%
OH-07,"Gibbs, Bob",(R),,"120,706","237,313","363,357",33.2%,65.3%,,"108,004","205,565","328,938",32.8%,62.5%,,"147,660","179,312","333,866",44.2%,53.7%,,"159,267","173,085","339,811",46.9%,50.9%
OH-08,"Davidson, Warren",(R),,"119,846","243,068","368,357",32.5%,66.0%,,"104,927","223,221","342,785",30.6%,65.1%,,"124,478","211,436","341,543",36.4%,61.9%,,"133,182","210,494","349,366",38.1%,60.3%
OH-09,"Kaptur, Marcy",(D),,"184,337","124,569","313,540",58.8%,39.7%,,"177,118","110,204","301,655",58.7%,36.5%,,"217,146","99,223","321,454",67.6%,30.9%,,"227,380","107,587","340,297",66.8%,31.6%
OH-10,"Turner, Michael",(R),,"172,471","188,673","367,302",47.0%,51.4%,,"153,323","178,703","348,181",44.0%,51.3%,,"172,942","179,813","358,592",48.2%,50.1%,,"183,239","183,226","371,572",49.3%,49.3%
OH-11,"Fudge, Marcia",(D),,"252,725","60,902","316,805",79.8%,19.2%,,"260,298","55,018","323,301",80.5%,17.0%,,"298,788","59,753","361,124",82.7%,16.5%,,"303,165","63,609","369,582",82.0%,17.2%
OH-12,"Balderson, Troy",(R),,"206,386","232,901","446,172",46.3%,52.2%,,"162,245","205,883","387,279",41.9%,53.2%,,"167,441","207,387","381,462",43.9%,54.4%,,"167,870","201,574","375,123",44.8%,53.7%
OH-13,"Ryan, Tim",(D),,"171,245","159,938","335,896",51.0%,47.6%,,"163,553","142,800","319,877",51.1%,44.6%,,"212,616","119,625","337,776",62.9%,35.4%,,"222,155","127,685","356,854",62.3%,35.8%
OH-14,"Joyce, David",(R),,"185,689","222,983","413,841",44.9%,53.9%,,"155,602","197,884","369,274",42.1%,53.6%,,"179,769","192,270","377,833",47.6%,50.9%,,"189,099","190,379","385,186",49.1%,49.4%
OH-15,"Stivers, Steve",(R),,"166,098","221,898","393,949",42.2%,56.3%,,"141,654","196,679","355,390",39.9%,55.3%,,"161,227","180,443","347,923",46.3%,51.9%,,"161,592","183,103","350,655",46.1%,52.2%
OH-16,"Gonzalez, Anthony",(R),,"173,685","232,207","411,139",42.2%,56.5%,,"145,672","207,101","368,837",39.5%,56.1%,,"169,108","199,650","374,209",45.2%,53.4%,,"180,871","196,473","383,030",47.2%,51.3%
OK-01,"Hern, Kevin",(R),,"125,905","202,879","337,495",37.3%,60.1%,,"101,757","191,343","311,506",32.7%,61.4%,,"98,321","188,961","287,282",34.2%,65.8%,,"113,915","204,018","317,933",35.8%,64.2%
OK-02,"Mullin, Markwayne",(R),,"64,353","221,123","290,575",22.1%,76.1%,,"62,022","198,155","271,844",22.8%,72.9%,,"81,179","170,983","252,162",32.2%,67.8%,,"93,714","179,570","273,285",34.3%,65.7%
OK-03,"Lucas, Frank",(R),,"72,141","232,416","311,625",23.1%,74.6%,,"61,179","216,078","293,417",20.9%,73.6%,,"70,346","199,390","269,736",26.1%,73.9%,,"80,196","216,033","296,229",27.1%,72.9%
OK-04,"Cole, Tom",(R),,"101,120","207,214","315,917",32.0%,65.6%,,"83,648","194,160","295,464",28.3%,65.7%,,"86,285","176,067","262,386",32.9%,67.1%,,"97,697","190,538","288,234",33.9%,66.1%
OK-05,"Horn, Kendra",(D),,"140,371","156,648","305,087",46.0%,51.3%,,"111,769","149,400","280,761",39.8%,53.2%,,"107,416","155,924","263,306",40.8%,59.2%,,"116,973","170,007","286,981",40.8%,59.2%
OR-01,"Bonamici, Suzanne",(D),,"298,753","160,808","472,277",63.3%,34.0%,,"219,412","132,160","382,673",57.3%,34.5%,,"201,028","140,410","350,979",57.3%,40.0%,,"210,580","133,368","353,487",59.6%,37.7%
OR-02,"Walden, Greg",(R),,"197,922","261,602","470,391",42.1%,55.6%,,"139,059","215,711","381,561",36.4%,56.5%,,"139,940","196,568","345,883",40.5%,56.8%,,"153,867","191,430","355,690",43.3%,53.8%
OR-03,"Blumenauer, Earl",(D),,"356,659","112,556","479,782",74.3%,23.5%,,"282,346","89,678","399,204",70.7%,22.5%,,"267,966","91,827","372,036",72.0%,24.7%,,"275,349","91,804","377,498",72.9%,24.3%
OR-04,"DeFazio, Peter",(D),,"238,619","219,851","470,962",50.7%,46.7%,,"180,872","180,318","392,006",46.1%,46.0%,,"188,563","163,931","364,440",51.7%,45.0%,,"210,312","165,632","388,034",54.2%,42.7%
OR-05,"Schrader, Kurt",(D),,"248,430","203,631","463,820",53.6%,43.9%,,"180,417","164,536","373,298",48.3%,44.1%,,"172,991","161,439","342,657",50.5%,47.1%,,"187,183","156,240","353,154",53.0%,44.2%
PA-01,"Fitzpatrick, Brian",(R),,"233,446","207,433","445,566",52.4%,46.6%,,"189,392","181,772","385,727",49.1%,47.1%,,"180,458","174,575","359,421",50.2%,48.6%,,,,,,
PA-02,"Boyle, Brendan",(D),,"207,491","86,128","295,805",70.1%,29.1%,,"207,087","70,641","283,972",72.9%,24.9%,,"210,110","59,284","271,538",77.4%,21.8%,,,,,,
PA-03,"Evans, Dwight",(D),,"357,956","31,769","392,103",91.3%,8.1%,,"339,631","26,238","373,594",90.9%,7.0%,,"340,118","28,111","370,854",91.7%,7.6%,,,,,,
PA-04,"Dean, Madeleine",(D),,"276,491","168,191","449,359",61.5%,37.4%,,"221,238","147,165","382,477",57.8%,38.5%,,"203,536","155,314","362,827",56.1%,42.8%,,,,,,
PA-05,"Gay Scanlon, Mary ",(D),,"263,644","137,678","404,738",65.1%,34.0%,,"230,067","126,362","367,453",62.6%,34.4%,,"223,552","125,727","352,632",63.4%,35.7%,,,,,,
PA-06,"Houlahan, Chrissy",(D),,"232,017","170,600","407,525",56.9%,41.9%,,"185,851","153,016","353,374",52.6%,43.3%,,"169,019","158,459","331,423",51.0%,47.8%,,,,,,
PA-07,"Wild, Susan",(D),,"199,283","180,774","384,606",51.8%,47.0%,,"160,356","156,777","329,510",48.7%,47.6%,,"158,652","137,646","300,110",52.9%,45.9%,,,,,,
PA-08,"Cartwright, Matt",(D),,"168,613","184,363","356,564",47.3%,51.7%,,"135,605","165,198","310,154",43.7%,53.3%,,"158,893","124,466","287,086",55.3%,43.4%,,,,,,
PA-09,"Meuser, Dan",(R),,"122,523","232,115","359,619",34.1%,64.5%,,"97,813","205,181","315,463",31.0%,65.0%,,"118,960","164,933","288,583",41.2%,57.2%,,,,,,
PA-10,"Perry, Scott",(R),,"189,803","201,367","396,974",47.8%,50.7%,,"150,112","181,044","346,108",43.4%,52.3%,,"148,361","169,759","322,536",46.0%,52.6%,,,,,,
PA-11,"Smucker, Lloyd",(R),,"148,521","233,074","387,414",38.3%,60.2%,,"115,372","201,557","332,899",34.7%,60.5%,,"116,033","184,712","305,314",38.0%,60.5%,,,,,,
PA-12,"Keller, Fred",(R),,"107,798","232,392","345,181",31.2%,67.3%,,"91,145","202,955","306,841",29.7%,66.1%,,"103,160","172,279","280,151",36.8%,61.5%,,,,,,
PA-13,"Joyce, John",(R),,"100,543","264,266","369,191",27.2%,71.6%,,"81,394","227,441","319,516",25.5%,71.2%,,"94,035","195,367","293,398",32.1%,66.6%,,,,,,
PA-14,"Reschenthaler, Guy",(R),,"135,824","240,206","380,075",35.7%,63.2%,,"112,884","209,542","333,028",33.9%,62.9%,,"125,404","180,087","309,063",40.6%,58.3%,,,,,,
PA-15,"Thompson, Glenn",(R),,"96,863","250,545","351,941",27.5%,71.2%,,"82,000","215,661","308,943",26.5%,69.8%,,"102,940","180,414","288,080",35.7%,62.6%,,,,,,
PA-16,"Kelly, Mike",(R),,"145,265","213,031","363,010",40.0%,58.7%,,"122,577","187,144","323,079",37.9%,57.9%,,"144,196","159,031","307,365",46.9%,51.7%,,,,,,
PA-17,"Lamb, Conor",(D),,"221,505","209,637","436,600",50.7%,48.0%,,"178,351","188,065","380,743",46.8%,49.4%,,"170,762","187,015","361,853",47.2%,51.7%,,,,,,
PA-18,"Doyle, Mike",(D),,"252,860","134,833","392,002",64.5%,34.4%,,"224,898","125,091","361,913",62.1%,34.6%,,"222,094","123,263","349,821",63.5%,35.2%,,,,,,
RI-01,"Cicilline, David",(D),,"154,430","83,607","241,561",63.9%,34.6%,,"130,682","75,510","216,116",60.5%,34.9%,,"141,332","68,685","213,460",66.2%,32.2%,,"150,363","71,764","225,615",66.6%,31.8%
RI-02,"Langevin, Jim",(D),,"153,056","116,315","273,437",56.0%,42.5%,,"121,843","105,033","238,589",51.1%,44.0%,,"138,345","88,519","231,208",59.8%,38.3%,,"146,208","93,627","244,152",59.9%,38.3%
SC-01,"Cunningham, Joe",(D),,"197,288","222,708","427,594",46.1%,52.1%,,"134,685","178,052","333,021",40.4%,53.5%,,"119,756","173,550","297,933",40.2%,58.3%,,"118,886","156,066","278,253",42.7%,56.1%
SC-02,"Wilson, Joe",(R),,"158,948","200,210","364,935",43.6%,54.9%,,"120,591","175,985","312,625",38.6%,56.3%,,"113,338","170,005","287,443",39.4%,59.1%,,"112,547","169,885","285,473",39.4%,59.5%
SC-03,"Duncan, Jeff",(R),,"102,331","228,058","335,118",30.5%,68.1%,,"82,527","190,540","284,348",29.0%,67.0%,,"89,494","170,173","263,638",33.9%,64.5%,,"93,525","169,190","266,523",35.1%,63.5%
SC-04,"Timmons, William",(R),,"140,939","215,237","362,743",38.9%,59.3%,,"103,975","181,634","301,747",34.5%,60.2%,,"99,387","170,679","274,554",36.2%,62.2%,,"102,178","164,088","270,855",37.7%,60.6%
SC-05,"Norman, Ralph",(R),,"150,853","211,989","367,759",41.0%,57.6%,,"118,791","175,391","306,200",38.8%,57.3%,,"124,832","157,710","286,200",43.6%,55.1%,,"120,264","150,734","274,280",43.8%,55.0%
SC-06,"Clyburn, Jim",(D),,"194,414","92,192","290,095",67.0%,31.8%,,"178,159","80,741","266,848",66.8%,30.3%,,"195,131","77,299","275,266",70.9%,28.1%,,"191,945","79,266","273,907",70.1%,28.9%
SC-07,"Rice, Tom",(R),,"146,768","214,709","365,085",40.2%,58.8%,,"116,645","173,046","298,237",39.1%,58.0%,,"124,002","152,230","279,085",44.4%,54.5%,,"123,103","145,666","271,678",45.3%,53.6%
SD-AL,"Johnson, Dusty",(R),,"150,471","261,043","422,609",35.6%,61.8%,,"117,466","227,731","370,111",31.7%,61.5%,,"145,039","210,610","363,809",39.9%,57.9%,,"170,924","203,054","381,975",44.7%,53.2%
TN-01,"Roe, Phil",(R),,"70,463","242,686","318,556",22.1%,76.2%,,"52,240","203,668","265,493",19.7%,76.7%,,"65,767","186,310","256,324",25.7%,72.7%,,"77,079","188,237","269,243",28.6%,69.9%
TN-02,"Burchett, Tim",(R),,"124,229","228,990","360,121",34.5%,63.6%,,"86,214","188,956","290,193",29.7%,65.1%,,"85,525","186,368","276,952",30.9%,67.3%,,"101,603","188,283","294,421",34.5%,64.0%
TN-03,"Fleischmann, Chuck",(R),,"110,460","219,247","335,599",32.9%,65.3%,,"83,524","180,932","276,457",30.2%,65.4%,,"95,226","171,838","271,565",35.1%,63.3%,,"106,560","175,163","285,533",37.3%,61.3%
TN-04,"DesJarlais, Scott",(R),,"108,734","239,401","354,562",30.7%,67.5%,,"75,831","189,613","276,582",27.4%,68.6%,,"86,133","169,977","260,182",33.1%,65.3%,,"97,643","170,600","272,380",35.8%,62.6%
TN-05,"Cooper, Jim",(D),,"210,086","127,953","348,420",60.3%,36.7%,,"156,608","105,776","276,959",56.5%,38.2%,,"152,939","116,229","273,794",55.9%,42.5%,,"170,190","122,232","296,073",57.5%,41.3%
TN-06,"Rose, John",(R),,"96,446","273,924","376,800",25.6%,72.7%,,"70,549","216,461","297,967",23.7%,72.6%,,"82,297","192,662","278,928",29.5%,69.1%,,"97,072","188,258","289,881",33.5%,64.9%
TN-07,"Green, Mark",(R),,"115,166","245,882","367,606",31.3%,66.9%,,"82,313","196,848","291,561",28.2%,67.5%,,"92,042","183,757","279,796",32.9%,65.7%,,"103,884","178,286","285,870",36.3%,62.4%
TN-08,"Kustoff, David",(R),,"114,528","225,471","344,842",33.2%,65.4%,,"91,025","196,702","296,672",30.7%,66.3%,,"100,213","201,645","305,053",32.9%,66.1%,,"110,590","203,070","316,873",34.9%,64.1%
TN-09,"Cohen, Steve",(D),,"193,598","48,921","246,484",78.5%,19.8%,,"172,391","43,970","222,353",77.5%,19.8%,,"200,568","53,544","255,982",78.4%,20.9%,,"222,816","65,047","289,475",77.0%,22.5%
TX-01,"Gohmert, Louie",(R),,"83,229","218,700","305,555",27.2%,71.6%,,"66,389","189,604","262,492",25.3%,72.2%,,"69,858","181,835","254,055",27.5%,71.6%,,"78,918","178,520","258,800",30.5%,69.0%
TX-02,"Crenshaw, Dan",(R),,"170,430","174,980","350,446",48.6%,49.9%,,"119,659","145,530","277,873",43.1%,52.4%,,"88,751","157,094","249,569",35.6%,62.9%,,"91,087","150,665","243,439",37.4%,61.9%
TX-03,"Taylor, Van",(R),,"209,859","214,359","430,583",48.7%,49.8%,,"129,384","174,561","318,536",40.6%,54.8%,,"93,290","175,383","272,664",34.2%,64.3%,,"100,440","165,158","267,545",37.5%,61.7%
TX-04,"Ratcliffe, John",(R),,"84,680","258,470","347,229",24.4%,74.4%,,"60,841","210,587","279,188",21.8%,75.4%,,"63,559","189,554","256,123",24.8%,74.0%,,"75,910","180,772","258,577",29.4%,69.9%
TX-05,"Gooden, Lance",(R),,"107,494","172,395","283,292",37.9%,60.9%,,"79,759","145,841","232,735",34.3%,62.7%,,"73,085","137,239","212,669",34.4%,64.5%,,"83,216","137,698","222,316",37.4%,61.9%
TX-06,"Wright, Ron",(R),,"164,746","175,101","344,549",47.8%,50.8%,,"115,272","148,945","274,848",41.9%,54.2%,,"103,444","146,985","253,795",40.8%,57.9%,,"109,854","148,503","259,993",42.3%,57.1%
TX-07,"Fletcher, Lizzie",(D),,"170,060","143,176","317,555",53.6%,45.1%,,"124,722","121,204","257,308",48.5%,47.1%,,"92,499","143,631","239,767",38.6%,59.9%,,"96,866","140,692","239,081",40.5%,58.8%
TX-08,"Brady, Kevin",(R),,"109,291","274,224","388,622",28.1%,70.6%,,"70,532","214,605","295,099",23.9%,72.7%,,"55,273","195,742","254,167",21.7%,77.0%,,"61,357","171,408","234,270",26.2%,73.2%
TX-09,"Green, Al",(D),,"178,908","54,944","236,216",75.7%,23.3%,,"151,559","34,447","191,042",79.3%,18.0%,,"145,332","39,392","186,267",78.0%,21.1%,,"144,707","44,520","189,937",76.2%,23.4%
TX-10,"McCaul, Michael",(R),,"203,975","210,770","421,154",48.4%,50.0%,,"135,984","164,912","315,133",43.2%,52.3%,,"104,839","159,714","270,136",38.8%,59.1%,,"112,866","148,867","264,035",42.7%,56.4%
TX-11,"Conaway, Michael",(R),,"58,592","235,697","297,883",19.7%,79.1%,,"47,468","193,620","248,860",19.1%,77.8%,,"45,070","182,355","230,331",19.6%,79.2%,,"56,145","184,238","242,210",23.2%,76.1%
TX-12,"Granger, Kay",(R),,"140,683","224,490","371,220",37.9%,60.5%,,"92,549","177,939","282,691",32.7%,62.9%,,"79,147","166,992","249,826",31.7%,66.8%,,"89,718","161,030","252,637",35.5%,63.7%
TX-13,"Thornberry, Mac",(R),,"54,002","219,888","277,737",19.4%,79.2%,,"40,253","190,838","238,846",16.9%,79.9%,,"42,521","184,104","229,545",18.5%,80.2%,,"54,855","189,600","246,252",22.3%,77.0%
TX-14,"Weber, Randy",(R),,"124,630","185,961","314,976",39.6%,59.0%,,"101,228","153,191","263,381",38.4%,58.2%,,"97,958","147,213","248,073",39.5%,59.3%,,"102,902","139,304","243,755",42.2%,57.1%
TX-15,"Gonzalez, Vicente",(D),,"119,784","115,315","237,674",50.4%,48.5%,,"104,454","73,689","184,358",56.7%,40.0%,,"86,941","62,885","151,351",57.4%,41.5%,,"83,924","61,282","146,097",57.4%,41.9%
