,,,,2020,,,,,,2016,,,,,,2012,,,,,,2008,,,,
District,Incumbent,Party,,Biden,Trump,Total,Biden%,Trump%,,Clinton,Trump,Total,Clinton%,Trump%,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
CA-22,"Nunes, Devin",(R),,"146,467","163,584","316,729",46.2%,51.6%,,"102,292","125,089","240,137",42.6%,52.1%,,"92,005","125,213","221,278",41.6%,56.6%,,,,,,
CA-23,"McCarthy, Kevin",(R),,"125,068","176,413","308,922",40.5%,57.1%,,"88,314","142,351","244,864",36.1%,58.1%,,"82,119","139,816","227,297",36.1%,61.5%,,,,,,
CA-24,"Carbajal, Salud",(D),,"221,831","134,810","365,325",60.7%,36.9%,,"176,979","113,887","312,160",56.7%,36.5%,,"158,119","126,049","292,406",54.1%,43.1%,,,,,,
CA-25,VACANT ,(D),,"188,421","153,161","349,249",54.0%,43.9%,,"137,491","119,249","273,218",50.3%,43.6%,,"120,701","125,258","252,249",47.8%,49.7%,,,,,,
CA-26,"Brownley, Julia",(D),,"216,840","128,914","353,297",61.4%,36.5%,,"169,083","105,259","292,232",57.9%,36.0%,,"147,753","119,677","273,647",54.0%,43.7%,,,,,,
CA-27,"Chu, Judy",(D),,"226,666","104,088","337,460",67.2%,30.8%,,"174,544","74,984","264,466",66.0%,28.4%,,"161,528","90,278","257,970",62.6%,35.0%,,,,,,
CA-28,"Schiff, Adam",(D),,"252,705","97,112","356,476",70.9%,27.2%,,"208,645","64,607","289,254",72.1%,22.3%,,"187,441","70,757","266,628",70.3%,26.5%,,,,,,
CA-29,"Cardenas, Tony",(D),,"186,796","59,671","252,103",74.1%,23.7%,,"152,517","32,963","196,196",77.7%,16.8%,,"129,323","34,454","167,889",77.0%,20.5%,,,,,,
CA-30,"Sherman, Brad",(D),,"258,910","110,935","376,861",68.7%,29.4%,,"209,149","77,701","302,805",69.1%,25.7%,,"186,301","91,680","285,226",65.3%,32.1%,,,,,,
CA-31,"Aguilar, Pete",(D),,"174,178","115,221","296,238",58.8%,38.9%,,"131,960","83,701","228,825",57.7%,36.6%,,"118,043","83,822","206,242",57.2%,40.6%,,,,,,
CA-32,"Napolitano, Grace",(D),,"184,978","93,155","283,909",65.2%,32.8%,,"146,459","60,921","220,046",66.6%,27.7%,,"133,061","66,269","204,169",65.2%,32.5%,,,,,,
CA-33,"Lieu, Ted",(D),,"285,906","120,287","414,262",69.0%,29.0%,,"239,982","93,706","353,897",67.8%,26.5%,,"210,010","127,421","346,504",60.6%,36.8%,,,,,,
CA-34,"Gomez, Jimmy",(D),,"193,874","40,552","239,944",80.8%,16.9%,,"154,259","19,784","184,601",83.6%,10.7%,,"127,510","21,739","153,699",83.0%,14.1%,,,,,,
CA-35,"Torres, Norma",(D),,"166,339","83,352","255,345",65.1%,32.6%,,"127,757","50,822","188,611",67.7%,26.9%,,"108,983","49,433","161,732",67.4%,30.6%,,,,,,
CA-36,"Ruiz, Raul",(D),,"173,573","131,304","310,310",55.9%,42.3%,,"123,795","103,051","237,370",52.2%,43.4%,,"107,914","101,156","212,939",50.7%,47.5%,,,,,,
CA-37,"Bass, Karen",(D),,"275,573","45,202","326,798",84.3%,13.8%,,"236,621","26,608","276,134",85.7%,9.6%,,"222,329","33,307","261,858",84.9%,12.7%,,,,,,
CA-38,"Sanchez, Linda",(D),,"207,000","101,867","315,673",65.6%,32.3%,,"166,224","68,033","248,224",67.0%,27.4%,,"149,141","75,780","229,875",64.9%,33.0%,,,,,,
CA-39,"Cisneros, Gil",(D),,"190,090","154,439","351,332",54.1%,44.0%,,"140,230","116,782","272,471",51.5%,42.9%,,"124,108","133,742","263,530",47.1%,50.8%,,,,,,
CA-40,"Roybal-Allard, Lucille",(D),,"156,662","41,875","203,218",77.1%,20.6%,,"135,472","21,077","164,714",82.2%,12.8%,,"115,637","23,446","141,918",81.5%,16.5%,,,,,,
CA-41,"Takano, Mark",(D),,"164,574","96,428","266,807",61.7%,36.1%,,"126,197","68,526","206,961",61.0%,33.1%,,"114,040","67,314","185,429",61.5%,36.3%,,,,,,
CA-42,"Calvert, Ken",(R),,"170,481","198,259","375,949",45.3%,52.7%,,"111,103","143,175","268,305",41.4%,53.4%,,"96,212","131,438","232,520",41.4%,56.5%,,,,,,
CA-43,"Waters, Maxine",(D),,"224,694","61,138","292,083",76.9%,20.9%,,"183,434","39,039","234,060",78.4%,16.7%,,"173,342","44,485","222,219",78.0%,20.0%,,,,,,
CA-44,"Barragan, Nanette",(D),,"188,767","46,174","240,722",78.4%,19.2%,,"164,251","24,261","197,802",83.0%,12.3%,,"155,459","24,995","183,586",84.7%,13.6%,,,,,,
CA-45,"Porter, Katie",(D),,"228,624","181,306","418,564",54.6%,43.3%,,"162,449","144,713","325,967",49.8%,44.4%,,"133,114","169,489","309,399",43.0%,54.8%,,,,,,
CA-46,"Correa, Lou",(D),,"150,186","78,247","233,507",64.3%,33.5%,,"119,762","50,403","180,750",66.3%,27.9%,,"95,479","56,252","155,493",61.4%,36.2%,,,,,,
CA-47,"Lowenthal, Alan",(D),,"203,636","115,161","326,086",62.4%,35.3%,,"161,743","80,162","258,320",62.6%,31.0%,,"147,456","92,010","245,624",60.0%,37.5%,,,,,,
CA-48,"Rouda, Harley",(D),,"199,791","193,832","401,759",49.7%,48.2%,,"152,035","146,595","317,328",47.9%,46.2%,,"133,103","169,249","309,496",43.0%,54.7%,,,,,,
CA-49,"Levin, Mike",(D),,"217,061","167,049","393,013",55.2%,42.5%,,"159,081","135,576","314,011",50.7%,43.2%,,"134,447","153,856","294,468",45.7%,52.2%,,,,,,
CA-50,"Hunter, Duncan",(R),,"166,841","195,430","370,789",45.0%,52.7%,,"115,864","159,822","292,878",39.6%,54.6%,,"102,649","165,104","273,289",37.6%,60.4%,,,,,,
CA-51,"Vargas, Juan",(D),,"166,351","76,843","248,810",66.9%,30.9%,,"147,603","46,825","205,437",71.8%,22.8%,,"115,610","48,108","166,684",69.4%,28.9%,,,,,,
CA-52,"Peters, Scott",(D),,"257,923","139,172","406,904",63.4%,34.2%,,"191,325","117,057","329,258",58.1%,35.6%,,"163,911","143,726","314,748",52.1%,45.7%,,,,,,
CA-53,"Davis, Susan",(D),,"258,866","119,398","386,642",67.0%,30.9%,,"200,237","91,822","310,373",64.5%,29.6%,,"174,616","103,513","284,333",61.4%,36.4%,,,,,,
CO-01,"DeGette, Diana",(D),,"357,849","104,539","473,503",75.6%,22.1%,,"277,790","93,486","402,453",69.0%,23.2%,,"254,400","106,334","368,798",69.0%,28.8%,,"238,267","92,818","336,293",70.9%,27.6%
CO-02,"Neguse, Joe",(D),,"338,261","178,561","530,867",63.7%,33.6%,,"264,966","164,769","471,464",56.2%,34.9%,,"255,209","174,095","440,652",57.9%,39.5%,,"255,063","154,884","416,822",61.2%,37.2%
CO-03,"Tipton, Scott",(R),,"200,886","224,996","436,221",46.1%,51.6%,,"151,057","195,966","377,176",40.0%,52.0%,,"163,886","185,459","358,045",45.8%,51.8%,,"166,259","171,205","343,167",48.4%,49.9%
CO-04,"Buck, Ken",(R),,"198,971","276,309","487,928",40.8%,56.6%,,"137,784","230,945","402,201",34.3%,57.4%,,"140,404","209,415","357,971",39.2%,58.5%,,"138,609","186,271","330,465",41.9%,56.4%
CO-05,"Lamborn, Doug",(R),,"184,301","241,369","441,370",41.8%,54.7%,,"123,537","212,558","371,829",33.2%,57.2%,,"129,903","200,491","339,143",38.3%,59.1%,,"127,252","188,389","320,557",39.7%,58.8%
CO-06,"Crow, Jason",(D),,"260,642","175,729","447,756",58.2%,39.2%,,"191,099","157,115","380,526",50.2%,41.3%,,"183,024","165,070","354,989",51.6%,46.5%,,"175,007","146,589","326,232",53.6%,44.9%
CO-07,"Perlmutter, Ed",(D),,"263,442","163,104","439,307",60.0%,37.1%,,"192,637","147,645","374,571",51.4%,39.4%,,"196,276","144,379","349,920",56.1%,41.3%,,"187,678","133,184","327,142",57.4%,40.7%
CT-01,"Larson, John",(D),,"229,220","127,803","362,392",63.3%,35.3%,,"195,305","119,395","328,774",59.4%,36.3%,,"200,960","112,982","317,496",63.3%,35.6%,,"220,181","110,296","334,807",65.8%,32.9%
CT-02,"Courtney, Joe",(D),,"205,779","164,461","377,818",54.5%,43.5%,,"165,799","155,975","340,758",48.7%,45.8%,,"177,544","135,235","317,687",55.9%,42.6%,,"199,414","136,155","340,366",58.6%,40.0%
CT-03,"DeLauro, Rosa",(D),,"212,317","137,580","354,399",59.9%,38.8%,,"179,832","129,968","321,837",55.9%,40.4%,,"191,296","110,912","305,600",62.6%,36.3%,,"203,090","117,258","324,233",62.6%,36.2%
