,,,,2012,,,,,,2008,,,,
CD,Incumbent,Party,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
CT-02,"Courtney, Joe",(D),,"177,544","135,235","317,687",55.9%,42.6%,,"199,414","136,155","340,366",58.6%,40.0%
CT-03,"DeLauro, Rosa",(D),,"191,296","110,912","305,600",62.6%,36.3%,,"203,090","117,258","324,233",62.6%,36.2%
CT-04,"Himes, Jim",(D),,"170,884","136,600","310,284",55.1%,44.0%,,"192,941","128,653","323,755",59.6%,39.7%
CT-05,"Esty, Elizabeth",(D),,"164,621","139,347","307,553",53.5%,45.3%,,"182,147","137,066","323,202",56.4%,42.4%
DE-AL,"Carney, John",(D),,"242,584","165,484","413,890",58.6%,40.0%,,"255,459","152,374","412,412",61.9%,36.9%
FL-01,"Miller, Jeff",(R),,"106,814.0","242,972.0","353,882",30.2%,68.7%,,"114,934.0","240,062.0","359,439",32.0%,66.8%
FL-02,"Graham, Gwen",(D),,"158,751.0","178,780.0","341,283",46.5%,52.4%,,"162,376.0","179,544.0","345,724",47.0%,51.9%
FL-03,"Yoho, Ted",(R),,"122,708.0","202,003.0","328,512",37.4%,61.5%,,"131,054.0","196,377.0","331,924",39.5%,59.2%
FL-04,"Crenshaw, Ander",(R),,"123,938.0","222,443.0","349,660",35.4%,63.6%,,"126,926.0","217,160.0","347,461",36.5%,62.5%
FL-05,"Brown, Corrine",(D),,"196,608.0","77,414.0","276,025",71.2%,28.0%,,"200,601.0","81,903.0","284,654",70.5%,28.8%
FL-06,"DeSantis, Ron",(R),,"149,955.0","209,150.0","362,481",41.4%,57.7%,,"164,545.0","193,615.0","362,480",45.4%,53.4%
FL-07,"Mica, John",(R),,"156,382.0","172,042.0","332,061",47.1%,51.8%,,"163,106.0","165,848.0","332,170",49.1%,49.9%
FL-08,"Posey, Bill",(R),,"153,138.0","206,074.0","363,051",42.2%,56.8%,,"160,787.0","201,287.0","366,753",43.8%,54.9%
FL-09,"Grayson, Alan",(D),,"170,093.0","102,173.0","274,613",61.9%,37.2%,,"157,249.0","102,036.0","261,405",60.2%,39.0%
FL-10,"Webster, Dan",(R),,"149,532.0","174,484.0","327,037",45.7%,53.4%,,"149,038.0","164,233.0","315,942",47.2%,52.0%
FL-11,"Nugent, Rich",(R),,"143,380.0","209,720.0","356,382",40.2%,58.8%,,"151,906.0","196,790.0","353,215",43.0%,55.7%
FL-12,"Bilirakis, Gus",(R),,"153,386.0","185,157.0","342,626",44.8%,54.0%,,"159,963.0","178,700.0","343,118",46.6%,52.1%
FL-13,"Jolly, David",(R),,"171,102.0","166,087.0","341,397",50.1%,48.6%,,"176,429.0","163,342.0","345,146",51.1%,47.3%
FL-14,"Castor, Kathy",(D),,"191,255.0","99,834.0","293,992",65.1%,34.0%,,"183,249.0","95,695.0","281,789",65.0%,34.0%
FL-15,"Ross, Dennis",(R),,"138,145.0","161,622.0","303,053",45.6%,53.3%,,"137,852.0","158,983.0","300,279",45.9%,52.9%
FL-16,"Buchanan, Vern",(R),,"161,079.0","194,525.0","358,795",44.9%,54.2%,,"171,359.0","180,935.0","356,383",48.1%,50.8%
FL-17,"Rooney, Tom",(R),,"122,440.0","172,038.0","297,209",41.2%,57.9%,,"127,254.0","164,927.0","296,000",43.0%,55.7%
FL-18,"Murphy, Patrick",(D),,"163,067.0","177,320.0","342,845",47.6%,51.7%,,"172,943.0","162,776.0","338,787",51.0%,48.0%
FL-19,"Clawson, Curt",(R),,"124,296.0","194,306.0","320,681",38.8%,60.6%,,"135,937.0","182,403.0","321,165",42.3%,56.8%
FL-20,"Hastings, Alcee",(D),,"216,641.0","44,526.0","262,252",82.6%,17.0%,,"204,791.0","48,508.0","254,703",80.4%,19.0%
FL-21,"Deutch, Ted",(D),,"196,227.0","125,822.0","323,843",60.6%,38.9%,,"203,177.0","114,765.0","319,953",63.5%,35.9%
FL-22,"Frankel, Lois",(D),,"178,229.0","147,262.0","327,763",54.4%,44.9%,,"183,173.0","137,458.0","323,214",56.7%,42.5%
FL-23,"Wasserman Schultz, Debbie",(D),,"176,266.0","108,696.0","286,662",61.5%,37.9%,,"173,355.0","105,237.0","280,666",61.8%,37.5%
FL-24,"Wilson, Frederica",(D),,"227,960.0","31,710.0","260,481",87.5%,12.2%,,"215,801.0","33,737.0","250,473",86.2%,13.5%
FL-25,"Diaz-Balart, Mario",(R),,"115,565.0","120,524.0","237,269",48.7%,50.8%,,"104,168.0","123,297.0","228,771",45.5%,53.9%
FL-26,"Curbelo, Carlos",(R),,"141,449.0","123,521.0","266,473",53.1%,46.4%,,"130,750.0","131,802.0","264,189",49.5%,49.9%
FL-27,"Ros-Lehtinen, Ileana",(R),,"129,350.0","113,241.0","243,809",53.1%,46.4%,,"116,754.0","122,474.0","240,628",48.5%,50.9%
GA-01,"Carter, Buddy",(R),,"111,949","145,460","260,148",43.0%,55.9%,,"116,029","143,603","261,140",44.4%,55.0%
GA-02,"Bishop, Sanford",(D),,"153,998","107,242","262,837",58.6%,40.8%,,"155,809","112,005","269,039",57.9%,41.6%
GA-03,"Westmoreland, Lynn",(R),,"97,746","195,071","296,218",33.0%,65.9%,,"100,498","193,264","296,017",34.0%,65.3%
GA-04,"Johnson, Hank",(D),,"218,499","75,951","296,933",73.6%,25.6%,,"225,977","81,136","308,702",73.2%,26.3%
GA-05,"Lewis, John",(D),,"241,217","45,887","290,359",83.1%,15.8%,,"262,388","46,724","311,008",84.4%,15.0%
GA-06,"Price, Tom",(R),,"115,017","186,807","307,096",37.5%,60.8%,,"120,560","177,477","300,950",40.1%,59.0%
GA-07,"Woodall, Rob",(R),,"101,065","158,854","263,742",38.3%,60.2%,,"99,165","152,310","253,576",39.1%,60.1%
GA-08,"Scott, Austin",(R),,"99,677","163,908","265,963",37.5%,61.6%,,"100,004","162,850","264,482",37.8%,61.6%
GA-09,"Collins, Doug",(R),,"54,388","207,498","265,551",20.5%,78.1%,,"64,381","198,004","265,060",24.3%,74.7%
GA-10,"Hice, Jodi",(R),,"107,039","184,160","294,851",36.3%,62.5%,,"113,346","176,532","292,252",38.8%,60.4%
GA-11,"Loudermilk, Barry",(R),,"94,447","201,014","300,276",31.5%,66.9%,,"102,718","190,544","296,160",34.7%,64.3%
GA-12,"Allen, Rick",(R),,"117,085","148,688","268,283",43.6%,55.4%,,"116,658","147,742","265,819",43.9%,55.6%
GA-13,"Scott, David",(D),,"202,794","87,785","292,880",69.2%,30.0%,,"199,839","96,244","297,602",67.1%,32.3%
GA-14,"Graves, Tom",(R),,"58,906","170,364","232,702",25.3%,73.2%,,"66,752","170,324","239,806",27.8%,71.0%
HI-01,"Takai, Mark",(D),,"151,023","62,875","216,671",69.7%,29.0%,,"156,408","63,007","222,577",70.3%,28.3%
HI-02,"Gabbard, Tulsi",(D),,"155,635","58,140","218,026",71.4%,26.7%,,"169,463","57,559","230,991",73.4%,24.9%
IA-01,"Blum, Rod",(R),,"225,585","170,753","401,501",56.2%,42.5%,,"227,310","156,980","388,667",58.5%,40.4%
IA-02,"Loebsack, David",(D),,"219,946","168,534","394,310",55.8%,42.7%,,"219,565","159,959","384,369",57.1%,41.6%
IA-03,"Young, David",(R),,"203,622","186,645","395,798",51.4%,47.2%,,"197,112","173,967","375,933",52.4%,46.3%
IA-04,"King, Steve",(R),,"173,391","204,685","383,129",45.3%,53.4%,,"184,953","191,473","381,114",48.5%,50.2%
ID-01,"Labrador, Raul",(R),,"105,645","213,080","328,258",32.2%,64.9%,,"115,925","206,273","329,856",35.1%,62.5%
ID-02,"Simpson, Mike",(R),,"107,142","207,831","324,016",33.1%,64.1%,,"120,515","196,739","325,176",37.1%,60.5%
IL-01,"Rush, Bobby",(D),,"262,668","67,367","332,726",78.9%,20.2%,,"288,077","66,262","356,028",80.9%,18.6%
IL-02,"Kelly, Robin",(D),,"251,147","57,674","311,173",80.7%,18.5%,,"269,943","60,734","332,652",81.1%,18.3%
IL-03,"Lipinski, Dan",(D),,"143,676","109,396","256,893",55.9%,42.6%,,"159,475","110,701","273,174",58.4%,40.5%
IL-04,"Gutierrez, Luis",(D),,"137,065","28,899","169,434",80.9%,17.1%,,"144,949","32,767","180,051",80.5%,18.2%
IL-05,"Quigley, Mike",(D),,"188,324","90,747","285,239",66.0%,31.8%,,"214,869","88,466","307,613",69.9%,28.8%
IL-06,"Roskam, Peter",(R),,"151,937","179,606","336,936",45.1%,53.3%,,"179,195","165,272","349,055",51.3%,47.3%
IL-07,"Davis, Danny",(D),,"264,185","35,713","302,887",87.2%,11.8%,,"284,117","31,528","317,655",89.4%,9.9%
IL-08,"Duckworth, Tammy",(D),,"133,206","95,031","232,123",57.4%,40.9%,,"150,851","91,057","245,234",61.5%,37.1%
IL-09,"Schakowsky, Jan",(D),,"200,656","102,689","308,492",65.0%,33.3%,,"222,256","98,111","324,117",68.6%,30.3%
IL-10,"Dold, Bob",(R),,"157,397","112,555","273,616",57.5%,41.1%,,"180,786","103,178","287,009",63.0%,35.9%
IL-11,"Foster, Bill",(D),,"152,265","107,028","263,345",57.8%,40.6%,,"168,654","102,909","273,024",61.8%,37.7%
IL-12,"Bost, Mike",(R),,"154,346","149,339","310,294",49.7%,48.1%,,"179,180","142,724","327,336",54.7%,43.6%
IL-13,"Davis, Rodney",(R),,"146,442","147,377","301,088",48.6%,48.9%,,"175,215","139,650","320,653",54.6%,43.6%
IL-14,"Hultgren, Randy",(R),,"139,858","171,582","316,591",44.2%,54.2%,,"163,089","155,194","326,086",50.0%,47.6%
IL-15,"Shimkus, John",(R),,"105,065","197,243","308,463",34.1%,63.9%,,"139,536","180,694","325,930",42.8%,55.4%
IL-16,"Kinzinger, Adam",(R),,"137,165","160,606","303,685",45.2%,52.9%,,"161,286","155,210","322,096",50.1%,48.2%
