,,,,2012,,,,,,2008,,,,
CD,Incumbent,Party,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
WI-02,"Pocan, Mark",(D),,"284,084","126,688","415,942",68.3%,30.5%,,"274,466","112,024","391,306",70.1%,28.6%
WI-03,"Kind, Ron",(D),,"199,188","159,205","363,335",54.8%,43.8%,,"216,047","142,458","363,906",59.4%,39.1%
WI-04,"Moore, Gwen",(D),,"268,440","84,751","356,355",75.3%,23.8%,,"254,531","84,194","342,054",74.4%,24.6%
WI-05,"Sensenbrenner, Jim",(R),,"158,226","257,017","419,191",37.7%,61.3%,,"168,644","230,861","403,822",41.8%,57.2%
WI-06,"Grothman, Glenn",(R),,"174,988","202,979","382,295",45.8%,53.1%,,"185,438","184,985","375,245",49.4%,49.3%
WI-07,"Duffy, Sean",(R),,"178,841","190,364","373,876",47.8%,50.9%,,"197,706","168,540","371,936",53.2%,45.3%
WI-08,"Ribble, Reid",(R),,"177,346","191,127","372,886",47.6%,51.3%,,"194,663","163,343","362,769",53.7%,45.0%
WV-01,"McKinley, David",(R),,"81,017","141,736","227,948",35.5%,62.2%,,"102,826","140,421","247,507",41.5%,56.7%
WV-02,"Mooney, Alex",(R),,"89,079","140,783","234,596",38.0%,60.0%,,"109,369","136,259","249,130",43.9%,54.7%
WV-03,"Jenkins, Evan",(R),,"68,173","135,136","207,894",32.8%,65.0%,,"91,662","120,786","216,725",42.3%,55.7%
WY-AL,"Lummis, Cynthia",(R),,"69,286","170,962","247,026",28.0%,69.2%,,"82,868","164,958","253,137",32.7%,65.2%
