,,,,2016,,,,,,2012,,,,,,2008,,,,
CD,Incumbent,Party,,Clinton,Trump,Total,Clinton%,Trump%,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
LA-02,"Richmond, Cedric",(D),,"247,490","73,779","331,702",74.6%,22.2%,,"248,982","74,893","328,306",75.8%,22.8%,,"235,554","81,703","321,114",73.4%,25.4%
LA-03,"Higgins, Clay",(R),,"100,241","231,017","343,025",29.2%,67.3%,,"107,611","220,490","333,573",32.3%,66.1%,,"111,831","210,951","328,353",34.1%,64.2%
LA-04,"Johnson, Mike",(R),,"116,599","192,977","318,462",36.6%,60.6%,,"128,612","191,416","324,250",39.7%,59.0%,,"126,899","187,020","317,749",39.9%,58.9%
LA-05,"Abraham, Ralph",(R),,"110,259","205,258","323,409",34.1%,63.5%,,"124,102","201,058","329,531",37.7%,61.0%,,"124,119","209,705","338,332",36.7%,62.0%
LA-06,"Graves, Garret",(R),,"110,395","230,700","355,951",31.0%,64.8%,,"110,416","228,528","345,482",32.0%,66.1%,,"103,071","225,094","333,531",30.9%,67.5%
MA-01,"Neal, Richard",(D),,"194,036","123,953","339,326",57.2%,36.5%,,"213,423","114,339","333,678",64.0%,34.3%,,"213,130","112,067","332,362",64.1%,33.7%
MA-02,"McGovern, Jim",(D),,"197,492","129,437","351,423",56.2%,36.8%,,"199,549","133,195","339,921",58.7%,39.2%,,"200,553","124,192","333,290",60.2%,37.3%
MA-03,"Tsongas, Niki",(D),,"202,952","123,347","348,563",58.2%,35.4%,,"189,461","137,869","332,925",56.9%,41.4%,,"188,491","126,175","320,411",58.8%,39.4%
MA-04,"Kennedy, Joe",(D),,"225,976","133,705","381,767",59.2%,35.0%,,"211,895","152,845","370,160",57.2%,41.3%,,"219,573","137,933","362,027",60.7%,38.1%
MA-05,"Clark, Katherine",(D),,"258,908","95,922","373,498",69.3%,25.7%,,"235,984","119,934","362,013",65.2%,33.1%,,"230,731","111,908","348,496",66.2%,32.1%
MA-06,"Moulton, Seth",(D),,"224,858","153,244","401,046",56.1%,38.2%,,"212,003","169,966","387,259",54.7%,43.9%,,"212,823","154,833","373,809",56.9%,41.4%
MA-07,"Capuano, Mike",(D),,"254,037","36,018","301,939",84.1%,11.9%,,"233,382","44,275","283,031",82.5%,15.6%,,"214,011","43,558","261,402",81.9%,16.7%
MA-08,"Lynch, Stephen",(D),,"231,356","131,624","382,917",60.4%,34.4%,,"213,364","150,825","369,239",57.8%,40.8%,,"205,644","144,128","355,472",57.9%,40.5%
MA-09,"Keating, Bill",(D),,"205,581","163,643","391,289",52.5%,41.8%,,"212,701","165,212","382,989",55.5%,43.1%,,"219,141","154,059","379,234",57.8%,40.6%
MD-01,"Harris, Andy",(R),,"122,338","226,963","366,231",33.4%,62.0%,,"134,072","214,704","355,614",37.7%,60.4%,,"134,591","208,958","350,766",38.4%,59.6%
MD-02,"Ruppersberger, Dutch",(D),,"189,471","112,551","315,467",60.1%,35.7%,,"195,114","108,261","309,437",63.1%,35.0%,,"185,327","114,710","306,022",60.6%,37.5%
MD-03,"Sarbanes, John",(D),,"215,542","110,772","343,410",62.8%,32.3%,,"203,772","124,541","335,690",60.7%,37.1%,,"196,967","124,481","327,633",60.1%,38.0%
MD-04,"Brown, Anthony",(D),,"250,929","64,074","325,081",77.2%,19.7%,,"255,707","68,196","327,230",78.1%,20.8%,,"247,508","69,754","320,353",77.3%,21.8%
MD-05,"Hoyer, Steny",(D),,"233,109","116,816","363,617",64.1%,32.1%,,"234,908","115,052","355,303",66.1%,32.4%,,"221,879","114,618","340,744",65.1%,33.6%
MD-06,"Delaney, John",(D),,"186,289","135,683","337,138",55.3%,40.2%,,"178,613","138,675","323,675",55.2%,42.8%,,"176,020","131,361","312,668",56.3%,42.0%
MD-07,"Cummings, Elijah",(D),,"243,433","64,926","321,292",75.8%,20.2%,,"256,965","75,289","337,313",76.2%,22.3%,,"251,740","74,017","330,338",76.2%,22.4%
MD-08,"Raskin, Jamie",(D),,"236,817","111,385","364,411",65.0%,30.6%,,"218,691","127,151","352,756",62.0%,36.0%,,"215,436","121,963","343,072",62.8%,35.6%
ME-01,"Pingree, Chellie",(D),,"212,773","154,425","393,343",54.1%,39.3%,,"223,103","142,993","374,522",59.6%,38.2%,,"226,309","139,825","372,846",60.7%,37.5%
ME-02,"Poliquin, Bruce",(R),,"144,962","181,168","352,341",41.1%,51.4%,,"178,203","149,283","336,531",53.0%,44.4%,,"195,614","155,448","358,317",54.6%,43.4%
MI-01,"Bergman, Jack",(R),,"133,237","210,822","364,131",36.6%,57.9%,,"160,199","189,406","353,694",45.3%,53.6%,,"183,104","178,360","368,276",49.7%,48.4%
MI-02,"Huizenga, Bill",(R),,"132,462","193,198","346,505",38.2%,55.8%,,"142,080","184,755","329,985",43.1%,56.0%,,"168,237","176,331","350,282",48.0%,50.3%
MI-03,"Amash, Justin",(R),,"147,330","180,344","349,490",42.2%,51.6%,,"153,069","177,742","334,438",45.8%,53.1%,,"174,381","170,654","351,117",49.7%,48.6%
MI-04,"Moolenaar, John",(R),,"113,817","195,302","328,240",34.7%,59.5%,,"146,088","171,864","321,415",45.5%,53.5%,,"170,685","167,074","343,947",49.6%,48.6%
MI-05,"Kildee, Dan",(D),,"162,962","148,972","327,573",49.7%,45.5%,,"205,800","129,903","338,966",60.7%,38.3%,,"230,768","129,429","366,156",63.0%,35.3%
MI-06,"Upton, Fred",(R),,"142,305","170,314","331,986",42.9%,51.3%,,"158,950","163,309","325,500",48.8%,50.2%,,"184,125","156,672","346,680",53.1%,45.2%
MI-07,"Walberg, Tim",(R),,"131,566","189,655","340,358",38.7%,55.7%,,"159,012","169,268","331,820",47.9%,51.0%,,"177,650","165,756","349,608",50.8%,47.4%
MI-08,"Bishop, Mike",(R),,"164,436","189,891","374,968",43.9%,50.6%,,"172,131","183,512","358,795",48.0%,51.1%,,"195,947","174,675","376,482",52.0%,46.4%
MI-09,"Levin, Sander",(D),,"183,085","155,597","355,751",51.5%,43.7%,,"199,625","146,185","349,021",57.2%,41.9%,,"214,229","147,770","368,821",58.1%,40.1%
MI-10,"Mitchell, Paul",(R),,"113,065","228,171","357,785",31.6%,63.8%,,"148,429","187,653","339,318",43.7%,55.3%,,"170,032","177,205","354,087",48.0%,50.0%
MI-11,"Trott, Dave",(R),,"177,143","194,245","390,926",45.3%,49.7%,,"178,768","199,308","380,884",46.9%,52.3%,,"193,613","186,390","386,552",50.1%,48.2%
MI-12,"Dingell, Debbie",(D),,"205,939","116,741","338,523",60.8%,34.5%,,"217,492","107,675","328,498",66.2%,32.8%,,"234,529","110,055","350,474",66.9%,31.4%
MI-13,,(D),,"209,105","48,111","265,343",78.8%,18.1%,,"249,656","41,881","293,164",85.2%,14.3%,,"281,005","46,980","331,253",84.8%,14.2%
MI-14,"Lawrence, Brenda",(D),,"252,387","58,179","318,751",79.2%,18.3%,,"273,270","62,794","337,491",81.0%,18.6%,,"294,273","61,286","357,861",82.2%,17.1%
MN-01,"Walz, Tim",(D),,"130,831","181,647","340,831",38.4%,53.3%,,"170,377","165,720","343,764",49.6%,48.2%,,"176,959","162,554","348,046",50.8%,46.7%
MN-02,"Lewis, Jason",(R),,"171,287","175,807","377,887",45.3%,46.5%,,"184,802","184,576","376,586",49.1%,49.0%,,"185,192","174,635","367,039",50.5%,47.6%
MN-03,"Paulsen, Erik",(R),,"201,833","164,259","397,008",50.8%,41.4%,,"199,093","195,802","401,332",49.6%,48.8%,,"199,740","185,406","391,314",51.0%,47.4%
MN-04,"McCollum, Betty",(D),,"223,803","111,163","363,650",61.5%,30.6%,,"231,511","131,521","370,514",62.5%,35.5%,,"229,802","130,366","367,119",62.6%,35.5%
MN-05,"Ellison, Keith",(D),,"273,402","68,535","370,869",73.7%,18.5%,,"274,635","89,643","373,638",73.5%,24.0%,,"269,829","90,035","367,392",73.4%,24.5%
MN-06,"Emmer, Tom",(R),,"123,329","218,546","370,947",33.2%,58.9%,,"151,238","205,652","364,072",41.5%,56.5%,,"153,766","194,584","356,012",43.2%,54.7%
MN-07,"Peterson, Collin",(D),,"104,566","208,215","337,005",31.0%,61.8%,,"147,750","180,334","334,777",44.1%,53.9%,,"162,296","173,440","344,442",47.1%,50.4%
MN-08,"Nolan, Rick",(D),,"138,665","194,779","359,353",38.6%,54.2%,,"186,761","166,977","361,237",51.7%,46.2%,,"195,770","164,390","369,006",53.1%,44.5%
MO-01,"Clay, Lacy",(D),,"246,107","60,136","319,606",77.0%,18.8%,,"280,194","66,286","350,829",79.9%,18.9%,,"309,062","71,725","384,801",80.3%,18.6%
MO-02,"Wagner, Ann",(R),,"177,647","220,842","420,072",42.3%,52.6%,,"170,727","235,428","411,992",41.4%,57.1%,,"199,128","225,911","429,449",46.4%,52.6%
MO-03,"Luetkemeyer, Blaine",(R),,"106,365","254,183","378,846",28.1%,67.1%,,"127,443","219,156","353,496",36.1%,62.0%,,"158,404","206,620","370,056",42.8%,55.8%
MO-04,"Hartzler, Vicki",(R),,"99,844","222,162","340,290",29.3%,65.3%,,"119,908","201,672","329,292",36.4%,61.2%,,"146,703","197,817","350,083",41.9%,56.5%
MO-05,"Cleaver, Emanuel",(D),,"177,772","133,458","328,803",54.1%,40.6%,,"199,298","133,185","338,346",58.9%,39.4%,,"229,496","136,071","370,231",62.0%,36.8%
MO-06,"Graves, Sam",(R),,"112,056","223,375","354,014",31.7%,63.1%,,"129,610","205,283","341,953",37.9%,60.0%,,"154,736","198,560","359,371",43.1%,55.3%
MO-07,"Long, Billy",(R),,"84,419","240,690","342,069",24.7%,70.4%,,"98,916","220,216","325,978",30.3%,67.6%,,"121,064","216,172","342,504",35.3%,63.1%
MO-08,"Smith, Jason",(R),,"66,858","239,666","317,749",21.0%,75.4%,,"97,700","201,214","305,437",32.0%,65.9%,,"123,319","192,937","321,648",38.3%,60.0%
MS-01,"Kelly, Trent",(R),,"100,770","203,144","310,622",32.4%,65.4%,,"118,438","197,984","319,986",37.0%,61.9%,,"118,704","202,760","324,760",36.6%,62.4%
MS-02,"Thompson, Bennie",(D),,"185,208","102,392","291,427",63.6%,35.1%,,"219,416","109,228","330,543",66.4%,33.0%,,"215,143","118,035","335,114",64.2%,35.2%
MS-03,"Harper, Gregg",(R),,"119,108","198,527","323,853",36.8%,61.3%,,"132,968","204,180","340,146",39.1%,60.0%,,"131,202","207,867","341,622",38.4%,60.8%
MS-04,"Palazzo, Steven",(R),,"80,045","196,652","283,455",28.2%,69.4%,,"92,127","199,354","294,909",31.2%,67.6%,,"89,613","195,935","288,369",31.1%,67.9%
MT-AL,"Gianforte, Greg",(R),,"177,709","279,240","494,526",35.9%,56.5%,,"201,839","267,928","483,932",41.7%,55.4%,,"232,159","243,882","491,767",47.2%,49.6%
NC-01,"Butterfield, G.K.",(D),,"239,585","108,100","354,704",67.5%,30.5%,,"244,167","111,993","358,529",68.1%,31.2%,,"231,077","110,445","342,771",67.4%,32.2%
NC-02,"Holding, George",(R),,"173,131","211,450","397,167",43.6%,53.2%,,"158,037","205,651","367,350",43.0%,56.0%,,"152,326","184,727","339,148",44.9%,54.5%
NC-03,"Jones, Walter",(R),,"121,094","198,864","328,451",36.9%,60.5%,,"129,535","186,723","319,093",40.6%,58.5%,,"131,905","176,453","309,920",42.6%,56.9%
NC-04,"Price, David",(D),,"281,517","116,383","412,533",68.2%,28.2%,,"253,331","134,265","392,923",64.5%,34.2%,,"239,012","120,780","362,150",66.0%,33.4%
NC-05,"Foxx, Virginia",(R),,"142,367","205,348","358,023",39.8%,57.4%,,"146,282","195,415","345,768",42.3%,56.5%,,"151,995","184,844","339,462",44.8%,54.5%
NC-06,"Walker, Mark",(R),,"148,725","201,387","358,853",41.4%,56.1%,,"149,442","193,609","346,117",43.2%,55.9%,,"149,396","177,614","329,330",45.4%,53.9%
NC-07,"Rouzer, David",(R),,"142,809","206,150","357,908",39.9%,57.6%,,"145,865","188,514","337,348",43.2%,55.9%,,"144,777","177,102","323,557",44.7%,54.7%
NC-08,"Hudson, Richard",(R),,"136,233","185,873","331,234",41.1%,56.1%,,"141,264","174,101","318,307",44.4%,54.7%,,"141,129","167,955","310,845",45.4%,54.0%
NC-09,"Pittenger, Robert",(R),,"147,072","186,974","343,888",42.8%,54.4%,,"146,474","185,251","334,522",43.8%,55.4%,,"142,113","169,781","313,481",45.3%,54.2%
NC-10,"McHenry, Patrick",(R),,"129,233","216,790","355,111",36.4%,61.0%,,"137,613","199,068","340,408",40.4%,58.5%,,"138,138","190,381","330,688",41.8%,57.6%
NC-11,"Meadows, Mark",(R),,"123,806","230,001","364,055",34.0%,63.2%,,"132,399","202,151","339,041",39.1%,59.6%,,"140,918","193,562","337,287",41.8%,57.4%
NC-12,"Adams, Alma",(D),,"243,736","101,161","356,321",68.4%,28.4%,,"231,080","106,731","340,787",67.8%,31.3%,,"206,698","94,989","303,082",68.2%,31.3%
NC-13,"Budd, Ted",(R),,"160,004","194,170","363,851",44.0%,53.4%,,"162,903","186,922","353,107",46.1%,52.9%,,"164,582","175,774","342,427",48.1%,51.3%
ND-AL,"Cramer, Kevin",(R),,"93,758","216,794","337,963",27.7%,64.1%,,"124,827","188,163","320,767",38.9%,58.7%,,"141,403","168,887","316,615",44.7%,53.3%
NE-01,"Fortenberry, Jeff",(R),,"100,030","158,629","276,046",36.2%,57.5%,,"107,994","152,122","264,718",40.8%,57.5%,,"117,514","144,470","267,008",44.0%,54.1%
NE-02,"Bacon, Don",(R),,"131,102","137,506","285,211",46.0%,48.2%,,"121,971","140,880","266,720",45.7%,52.8%,,"133,016","129,890","267,039",49.8%,48.6%
NE-03,"Smith, Adrian",(R),,"53,362","199,826","266,918",20.0%,74.9%,,"72,116","182,062","259,224",27.8%,70.2%,,"82,789","178,619","266,981",31.0%,66.9%
NH-01,"Shea-Porter, Carol",(D),,"173,344","179,259","371,973",46.6%,48.2%,,"179,148","173,419","356,812",50.2%,48.6%,,"186,598","163,977","353,603",52.8%,46.4%
NH-02,"Kuster, Annie",(D),,"175,182","166,531","360,294",48.6%,46.2%,,"190,413","156,499","351,587",54.2%,44.5%,,"198,228","152,557","354,008",56.0%,43.1%
NJ-01,"Norcross, Donald",(D),,"199,386","118,880","329,188",60.6%,36.1%,,"212,236","110,377","326,134",65.1%,33.8%,,"219,874","116,242","340,075",64.7%,34.2%
NJ-02,"LoBiondo, Frank",(R),,"147,656","162,486","321,004",46.0%,50.6%,,"166,906","141,479","311,778",53.5%,45.4%,,"174,840","149,736","328,805",53.2%,45.5%
NJ-03,"MacArthur, Tom",(R),,"165,090","187,703","365,240",45.2%,51.4%,,"179,028","163,203","345,812",51.8%,47.2%,,"188,210","175,525","367,978",51.1%,47.7%
NJ-04,"Smith, Chris",(R),,"146,191","198,859","356,583",41.0%,55.8%,,"148,622","180,439","332,612",44.7%,54.2%,,"160,660","190,307","355,041",45.3%,53.6%
NJ-05,"Gottheimer, Josh",(D),,"173,963","178,058","364,545",47.7%,48.8%,,"162,305","172,486","338,580",47.9%,50.9%,,"176,486","183,854","363,746",48.5%,50.5%
NJ-06,"Pallone, Frank",(D),,"162,857","117,679","289,648",56.2%,40.6%,,"163,391","99,466","265,918",61.4%,37.4%,,"170,603","118,187","292,048",58.4%,40.5%
NJ-07,"Lance, Leonard",(R),,"180,530","176,386","371,592",48.6%,47.5%,,"157,635","178,521","340,175",46.3%,52.5%,,"172,330","188,352","364,851",47.2%,51.6%
NJ-08,"Sires, Albio",(D),,"173,834","49,336","229,736",75.7%,21.5%,,"162,232","43,032","207,307",78.3%,20.8%,,"159,013","56,502","217,359",73.2%,26.0%
NJ-09,"Pascrell, Bill",(D),,"177,954","91,696","276,738",64.3%,33.1%,,"173,082","77,951","253,218",68.4%,30.8%,,"170,663","93,912","266,738",64.0%,35.2%
NJ-10,"Payne, Donald",(D),,"233,822","35,111","274,410",85.2%,12.8%,,"239,483","31,379","272,407",87.9%,11.5%,,"242,306","41,562","285,386",84.9%,14.6%
NJ-11,"Frelinghuysen, Rodney",(R),,"182,334","185,696","380,595",47.9%,48.8%,,"163,493","183,775","350,909",46.6%,52.4%,,"176,436","195,675","375,701",47.0%,52.1%
NJ-12,"Watson Coleman, Bonnie",(D),,"204,661","100,043","314,766",65.0%,31.8%,,"198,197","96,642","298,083",66.5%,32.4%,,"204,001","103,354","310,510",65.7%,33.3%
NM-01,"Lujan Grisham, Michelle",(D),,"147,250","100,132","285,170",51.6%,35.1%,,"155,915","111,749","282,195",55.3%,39.6%,,"178,068","116,302","298,305",59.7%,39.0%
NM-02,"Pearce, Steve",(R),,"93,363","117,212","234,096",39.9%,50.1%,,"103,438","119,168","230,391",44.9%,51.7%,,"118,400","122,705","244,530",48.4%,50.2%
NM-03,"Lujan, Ben",(D),,"144,621","102,323","279,053",51.8%,36.7%,,"155,982","104,871","271,171",57.5%,38.7%,,"175,953","107,825","287,324",61.2%,37.5%
NV-01,"Titus, Dina",(D),,"121,321","64,233","196,840",61.6%,32.6%,,"123,205","60,813","187,686",65.6%,32.4%,,"122,041","62,527","189,190",64.5%,33.0%
NV-02,"Amodei, Mark",(R),,"129,318","169,631","326,011",39.7%,52.0%,,"131,542","155,187","293,476",44.8%,52.9%,,"141,357","137,916","285,982",49.4%,48.2%
NV-03,"Rosen, Jacky",(D),,"151,552","154,815","325,602",46.5%,47.5%,,"140,501","138,238","283,656",49.5%,48.7%,,"140,378","116,908","262,257",53.5%,44.6%
NV-04,"Kihuen, Ruben",(D),,"137,070","123,380","276,932",49.5%,44.6%,,"136,124","109,330","250,100",54.4%,43.7%,,"129,961","95,477","230,420",56.4%,41.4%
NY-01,"Zeldin, Lee",(R),,"141,900","183,233","336,437",42.2%,54.5%,,"146,708","145,115","295,673",49.6%,49.1%,,"168,611","156,394","328,315",51.4%,47.6%
NY-02,"King, Peter",(R),,"137,680","165,908","313,286",43.9%,53.0%,,"140,817","128,791","272,663",51.6%,47.2%,,"156,151","145,890","304,670",51.3%,47.9%
NY-03,"Suozzi, Tom",(D),,"178,288","156,942","345,275",51.6%,45.5%,,"155,451","147,617","306,221",50.8%,48.2%,,"182,847","155,946","341,582",53.5%,45.7%
NY-04,"Rice, Kathleen",(D),,"179,845","147,469","336,811",53.4%,43.8%,,"173,508","131,750","308,119",56.3%,42.8%,,"185,400","147,199","334,969",55.3%,43.9%
NY-05,"Meeks, Gregory",(D),,"211,667","31,322","246,961",85.7%,12.7%,,"192,374","19,325","212,347",90.6%,9.1%,,"206,652","32,558","240,009",86.1%,13.6%
NY-06,"Meng, Grace",(D),,"134,970","66,487","207,285",65.1%,32.1%,,"125,496","57,455","185,058",67.8%,31.0%,,"126,794","71,419","199,891",63.4%,35.7%
NY-07,"Velazquez, Nydia",(D),,"177,664","21,198","204,473",86.9%,10.4%,,"159,552","18,671","180,591",88.3%,10.3%,,"158,908","28,083","188,388",84.4%,14.9%
NY-08,"Jeffries, Hakeem",(D),,"215,689","34,356","254,930",84.6%,13.5%,,"210,018","23,869","235,295",89.3%,10.1%,,"208,300","32,971","242,177",86.0%,13.6%
NY-09,"Clarke, Yvette",(D),,"211,812","36,600","253,789",83.5%,14.4%,,"204,281","33,156","239,547",85.3%,13.8%,,"208,748","38,289","248,224",84.1%,15.4%
NY-10,"Nadler, Jerrold",(D),,"205,114","49,179","261,945",78.3%,18.8%,,"173,650","58,992","235,821",73.6%,25.0%,,"195,974","60,682","259,039",75.7%,23.4%
NY-11,"Donovan, Dan",(R),,"108,807","133,232","248,457",43.8%,53.6%,,"110,407","101,262","213,991",51.6%,47.3%,,"112,035","118,106","231,976",48.3%,50.9%
NY-12,"Maloney, Carolyn",(D),,"255,601","41,384","306,910",83.3%,13.5%,,"205,919","57,575","267,692",76.9%,21.5%,,"243,155","57,238","303,389",80.1%,18.9%
NY-13,"Espaillat, Adriano",(D),,"232,925","13,727","252,393",92.3%,5.4%,,"219,361","10,558","231,787",94.6%,4.6%,,"225,863","14,845","242,035",93.3%,6.1%
NY-14,"Crowley, Joe",(D),,"151,407","38,560","194,923",77.7%,19.8%,,"136,783","30,978","169,552",80.7%,18.3%,,"135,243","41,288","177,831",76.1%,23.2%
NY-15,"Serrano, Jose",(D),,"179,454","9,371","191,383",93.8%,4.9%,,"171,366","5,315","177,129",96.7%,3.0%,,"170,498","9,382","180,295",94.6%,5.2%
NY-16,"Engel, Eliot",(D),,"212,644","63,590","283,114",75.1%,22.5%,,"197,365","68,373","267,814",73.7%,25.5%,,"205,897","74,591","282,279",72.9%,26.4%
NY-17,"Lowey, Nita",(D),,"186,437","122,339","318,220",58.6%,38.4%,,"168,020","123,190","294,401",57.1%,41.8%,,"181,604","128,934","313,081",58.0%,41.2%
NY-18,"Maloney, Sean",(D),,"146,187","152,143","310,474",47.1%,49.0%,,"149,610","137,144","290,894",51.4%,47.1%,,"162,618","146,308","312,234",52.1%,46.9%
NY-19,"Faso, John",(R),,"140,518","162,265","319,452",44.0%,50.8%,,"157,967","138,981","303,112",52.1%,45.9%,,"175,763","150,323","331,779",53.0%,45.3%
NY-20,"Tonko, Paul",(D),,"175,384","131,557","325,081",54.0%,40.5%,,"186,460","122,230","315,032",59.2%,38.8%,,"198,366","135,529","340,274",58.3%,39.8%
NY-21,"Stefanik, Elise",(R),,"111,760","150,481","279,438",40.0%,53.9%,,"138,889","122,471","265,850",52.2%,46.1%,,"150,137","135,821","290,642",51.7%,46.7%
NY-22,"Tenney, Claudia",(R),,"114,016","158,913","289,954",39.3%,54.8%,,"135,172","136,500","277,217",48.8%,49.2%,,"148,425","148,580","302,473",49.1%,49.1%
NY-23,"Reed, Tom",(R),,"115,013","158,156","290,017",39.7%,54.5%,,"133,949","137,312","276,891",48.4%,49.6%,,"150,412","147,913","303,285",49.6%,48.8%
NY-24,"Katko, John",(R),,"151,021","139,763","308,574",48.9%,45.3%,,"171,502","123,534","300,621",57.0%,41.1%,,"181,776","135,928","323,571",56.2%,42.0%
NY-25,"Slaughter, Louise",(D),,"182,896","128,955","329,443",55.5%,39.1%,,"187,753","125,897","319,454",58.8%,39.4%,,"201,012","136,481","342,056",58.8%,39.9%
NY-26,"Higgins, Brian",(D),,"175,336","115,558","304,440",57.6%,38.0%,,"193,362","103,743","302,388",63.9%,34.3%,,"208,504","115,099","328,709",63.4%,35.0%
NY-27,"Collins, Chris",(R),,"122,107","206,869","346,771",35.2%,59.7%,,"140,176","180,703","326,828",42.9%,55.3%,,"153,862","186,554","345,902",44.5%,53.9%
OH-01,"Chabot, Steve",(R),,"160,988","185,025","361,297",44.6%,51.2%,,"168,195","190,504","363,593",46.3%,52.4%,,"171,529","188,091","363,285",47.2%,51.8%
OH-02,"Wenstrup, Brad",(R),,"140,773","197,877","354,868",39.7%,55.8%,,"155,027","194,409","355,117",43.7%,54.7%,,"160,301","196,040","361,562",44.3%,54.2%
OH-03,"Beatty, Joyce",(D),,"210,445","89,824","314,155",67.0%,28.6%,,"217,969","90,434","312,938",69.7%,28.9%,,"209,277","97,330","310,574",67.4%,31.3%
OH-04,"Jordan, Jim",(R),,"99,641","208,715","324,648",30.7%,64.3%,,"139,228","185,512","331,390",42.0%,56.0%,,"150,312","187,369","344,253",43.7%,54.4%
OH-05,"Latta, Bob",(R),,"124,410","214,653","359,624",34.6%,59.7%,,"159,592","195,075","362,052",44.1%,53.9%,,"171,746","194,685","373,037",46.0%,52.2%
OH-06,"Johnson, Bill",(R),,"85,512","221,852","320,064",26.7%,69.3%,,"136,522","176,593","319,939",42.7%,55.2%,,"149,059","177,089","333,655",44.7%,53.1%
OH-07,"Gibbs, Bob",(R),,"108,004","205,565","328,938",32.8%,62.5%,,"147,660","179,312","333,866",44.2%,53.7%,,"159,267","173,085","339,811",46.9%,50.9%
OH-08,"Davidson, Warren",(R),,"104,927","223,221","342,785",30.6%,65.1%,,"124,478","211,436","341,543",36.4%,61.9%,,"133,182","210,494","349,366",38.1%,60.3%
OH-09,"Kaptur, Marcy",(D),,"177,118","110,204","301,655",58.7%,36.5%,,"217,146","99,223","321,454",67.6%,30.9%,,"227,380","107,587","340,297",66.8%,31.6%
OH-10,"Turner, Michael",(R),,"153,323","178,703","348,181",44.0%,51.3%,,"172,942","179,813","358,592",48.2%,50.1%,,"183,239","183,226","371,572",49.3%,49.3%
OH-11,"Fudge, Marcia",(D),,"260,298","55,018","323,301",80.5%,17.0%,,"298,788","59,753","361,124",82.7%,16.5%,,"303,165","63,609","369,582",82.0%,17.2%
OH-12,"Balderson, Troy",(R),,"162,245","205,883","387,279",41.9%,53.2%,,"167,441","207,387","381,462",43.9%,54.4%,,"167,870","201,574","375,123",44.8%,53.7%
OH-13,"Ryan, Tim",(D),,"163,553","142,800","319,877",51.1%,44.6%,,"212,616","119,625","337,776",62.9%,35.4%,,"222,155","127,685","356,854",62.3%,35.8%
OH-14,"Joyce, David",(R),,"155,602","197,884","369,274",42.1%,53.6%,,"179,769","192,270","377,833",47.6%,50.9%,,"189,099","190,379","385,186",49.1%,49.4%
OH-15,"Stivers, Steve",(R),,"141,654","196,679","355,390",39.9%,55.3%,,"161,227","180,443","347,923",46.3%,51.9%,,"161,592","183,103","350,655",46.1%,52.2%
OH-16,"Renacci, Jim",(R),,"145,672","207,101","368,837",39.5%,56.1%,,"169,108","199,650","374,209",45.2%,53.4%,,"180,871","196,473","383,030",47.2%,51.3%
OK-01,,(R),,"101,757","191,343","311,506",32.7%,61.4%,,"98,321","188,961","287,282",34.2%,65.8%,,"113,915","204,018","317,933",35.8%,64.2%
OK-02,"Mullin, Markwayne",(R),,"62,022","198,155","271,844",22.8%,72.9%,,"81,179","170,983","252,162",32.2%,67.8%,,"93,714","179,570","273,285",34.3%,65.7%
OK-03,"Lucas, Frank",(R),,"61,179","216,078","293,417",20.9%,73.6%,,"70,346","199,390","269,736",26.1%,73.9%,,"80,196","216,033","296,229",27.1%,72.9%
OK-04,"Cole, Tom",(R),,"83,648","194,160","295,464",28.3%,65.7%,,"86,285","176,067","262,386",32.9%,67.1%,,"97,697","190,538","288,234",33.9%,66.1%
OK-05,"Russell, Steve",(R),,"111,769","149,400","280,761",39.8%,53.2%,,"107,416","155,924","263,306",40.8%,59.2%,,"116,973","170,007","286,981",40.8%,59.2%
OR-01,"Bonamici, Suzanne",(D),,"219,412","132,160","382,673",57.3%,34.5%,,"201,028","140,410","350,979",57.3%,40.0%,,"210,580","133,368","353,487",59.6%,37.7%
OR-02,"Walden, Greg",(R),,"139,059","215,711","381,561",36.4%,56.5%,,"139,940","196,568","345,883",40.5%,56.8%,,"153,867","191,430","355,690",43.3%,53.8%
OR-03,"Blumenauer, Earl",(D),,"282,346","89,678","399,204",70.7%,22.5%,,"267,966","91,827","372,036",72.0%,24.7%,,"275,349","91,804","377,498",72.9%,24.3%
OR-04,"DeFazio, Peter",(D),,"180,872","180,318","392,006",46.1%,46.0%,,"188,563","163,931","364,440",51.7%,45.0%,,"210,312","165,632","388,034",54.2%,42.7%
OR-05,"Schrader, Kurt",(D),,"180,417","164,536","373,298",48.3%,44.1%,,"172,991","161,439","342,657",50.5%,47.1%,,"187,183","156,240","353,154",53.0%,44.2%
PA-01,"Brady, Bob",(D),,"250,924","57,521","315,605",79.5%,18.2%,,"244,605","50,211","297,369",82.3%,16.9%,,"245,500","64,135","311,981",78.7%,20.6%
PA-02,"Evans, Dwight",(D),,"334,322","28,067","369,756",90.4%,7.6%,,"338,543","33,525","374,459",90.4%,9.0%,,"347,855","33,390","382,621",90.9%,8.7%
PA-03,"Kelly, Mike",(R),,"113,563","197,960","324,203",35.0%,61.1%,,"132,484","171,121","307,771",43.0%,55.6%,,"149,873","169,166","323,368",46.3%,52.3%
