,district,incumbent,party,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,2p_tot_12,dem_2p_12,rep_2p_12,2p_tot_16,dem_2p_16,rep_2p_16,lean_16,lean_12
46,CA-25,VACANT ,(D),137491,119249,273218,50.3,43.6,120701,125258,252249,47.8,49.7,245959,49.073626092153575,50.92637390784643,256740,53.55262132897094,46.44737867102906,2.439332398258067,-2.8902361598561868
47,CA-26,"Brownley, Julia",(D),169083,105259,292232,57.9,36.0,147753,119677,273647,54.0,43.7,267430,55.24922409602513,44.75077590397487,274342,61.63219630971562,38.36780369028439,10.51890737900274,3.2853618440153696
48,CA-27,"Chu, Judy",(D),174544,74984,264466,66.0,28.4,161528,90278,257970,62.6,35.0,251806,64.14779631938873,35.85220368061127,249528,69.94966496745856,30.050335032541437,18.836376036745683,12.18393406737897
49,CA-28,"Schiff, Adam",(D),208645,64607,289254,72.1,22.3,187441,70757,266628,70.3,26.5,258198,72.59583730315494,27.40416269684506,273252,76.35625722776047,23.643742772239545,25.24296829704759,20.631975051145176
50,CA-29,"Cardenas, Tony",(D),152517,32963,196196,77.7,16.8,129323,34454,167889,77.0,20.5,163777,78.96285803256868,21.037141967431324,185480,82.22827259003667,17.77172740996334,31.11498365932379,26.998995780558914
51,CA-30,"Sherman, Brad",(D),209149,77701,302805,69.1,25.7,186301,91680,285226,65.3,32.1,277981,67.01932865915296,32.98067134084703,286850,72.91232351403173,27.087676485968277,21.79903458331885,15.0554664071432
52,CA-31,"Aguilar, Pete",(D),131960,83701,228825,57.7,36.6,118043,83822,206242,57.2,40.6,201865,58.47620934783148,41.52379065216853,215661,61.18862473975359,38.81137526024641,10.075335809040716,6.512347095821717
53,CA-32,"Napolitano, Grace",(D),146459,60921,220046,66.6,27.7,133061,66269,204169,65.2,32.5,199330,66.75412632318266,33.24587367681734,207380,70.62349310444594,29.376506895554055,19.510204173733065,14.7902640711729
54,CA-33,"Lieu, Ted",(D),239982,93706,353897,67.8,26.5,210010,127421,346504,60.6,36.8,337431,62.23790937999176,37.76209062000824,333688,71.91807916376975,28.08192083623025,20.80479023305687,10.274047127982001
55,CA-34,"Gomez, Jimmy",(D),154259,19784,184601,83.6,10.7,127510,21739,153699,83.0,14.1,149249,85.43440827074218,14.565591729257818,174043,88.63269421924467,11.36730578075533,37.51940528853179,33.47054601873242
56,CA-35,"Torres, Norma",(D),127757,50822,188611,67.7,26.9,108983,49433,161732,67.4,30.6,158416,68.79544995455005,31.204550045449952,178579,71.54088666640534,28.459113333594654,20.427597735692466,16.83158770254029
57,CA-36,"Ruiz, Raul",(D),123795,103051,237370,52.2,43.4,107914,101156,212939,50.7,47.5,209070,51.61620509877075,48.38379490122925,226846,54.57226488454723,45.42773511545277,3.4589759538343543,-0.3476571532390125
58,CA-37,"Bass, Karen",(D),236621,26608,276134,85.7,9.6,222329,33307,261858,84.9,12.7,255636,86.97092741241453,13.029072587585471,263229,89.89169126502019,10.108308734979808,38.77840233430731,35.007065160404764
59,CA-38,"Sanchez, Linda",(D),166224,68033,248224,67.0,27.4,149141,75780,229875,64.9,33.0,224921,66.30817042428231,33.6918295757177,234257,70.95796497009694,29.042035029903058,19.844676039384062,14.344308172272548
60,CA-39,"Cisneros, Gil",(D),140230,116782,272471,51.5,42.9,124108,133742,263530,47.1,50.8,257850,48.1318596082994,51.8681403917006,257012,54.561654708729556,45.43834529127045,3.4483657780166794,-3.8320026437103607
61,CA-40,"Roybal-Allard, Lucille",(D),135472,21077,164714,82.2,12.8,115637,23446,141918,81.5,16.5,139083,83.14244012568035,16.857559874319648,156549,86.53648378462974,13.463516215370266,35.42319485391686,31.17857787367059
62,CA-41,"Takano, Mark",(D),126197,68526,206961,61.0,33.1,114040,67314,185429,61.5,36.3,181354,62.882539122379434,37.117460877620566,194723,64.8084715210838,35.191528478916204,13.695182590370926,10.918676870369673
63,CA-42,"Calvert, Ken",(R),111103,143175,268305,41.4,53.4,96212,131438,232520,41.4,56.5,227650,42.263123215462336,57.73687678453767,254278,43.69351654488395,56.30648345511605,-7.419772385828928,-9.700739036547425
64,CA-43,"Waters, Maxine",(D),183434,39039,234060,78.4,16.7,173342,44485,222219,78.0,20.0,217827,79.57783011288775,20.422169887112247,222473,82.45225263290376,17.547747367096232,31.33896370219089,27.61396786087799
65,CA-44,"Barragan, Nanette",(D),164251,24261,197802,83.0,12.3,155459,24995,183586,84.7,13.6,180454,86.14882463120796,13.851175368792045,188512,87.13026226447123,12.869737735528771,36.01697333375835,34.1849623791982
66,CA-45,"Porter, Katie",(D),162449,144713,325967,49.8,44.4,133114,169489,309399,43.0,54.8,302603,43.989649805190304,56.010350194809696,307162,52.88707587527103,47.11292412472897,1.7737869445581538,-7.9742124468194575
67,CA-46,"Correa, Lou",(D),119762,50403,180750,66.3,27.9,95479,56252,155493,61.4,36.2,151731,62.9264949153436,37.0735050846564,170165,70.37992536655598,29.62007463344401,19.266636435843104,10.962632663333842
68,CA-47,"Lowenthal, Alan",(D),161743,80162,258320,62.6,31.0,147456,92010,245624,60.0,37.5,239466,61.57700884467941,38.42299115532059,241905,66.86219797027759,33.137802029722415,15.748909039564715,9.61314659266965
69,CA-48,"Rouda, Harley",(D),152035,146595,317328,47.9,46.2,133103,169249,309496,43.0,54.7,302352,44.02253003122188,55.97746996877812,298630,50.91082610588353,49.08917389411647,-0.20246282482934674,-7.941332220787878
70,CA-49,"Levin, Mike",(D),159081,135576,314011,50.7,43.2,134447,153856,294468,45.7,52.2,288303,46.63392333759968,53.36607666240032,294657,53.988535823007766,46.011464176992234,2.8752468922948893,-5.329938914410079
71,CA-50,"Hunter, Duncan",(R),115864,159822,292878,39.6,54.6,102649,165104,273289,37.6,60.4,267753,38.337198836240866,61.66280116375914,275686,42.02752406723591,57.97247593276409,-9.085764863476967,-13.626663415768896
72,CA-51,"Vargas, Juan",(D),147603,46825,205437,71.8,22.8,115610,48108,166684,69.4,28.9,163718,70.61532635385235,29.384673646147647,194428,75.9165346555023,24.083465344497707,24.803245724789427,18.651464101842592
73,CA-52,"Peters, Scott",(D),191325,117057,329258,58.1,35.6,163911,143726,314748,52.1,45.7,307637,53.28065219723245,46.719347802767544,308382,62.041558845847035,37.958441154152965,10.928269915134159,1.3167899452226877
74,CA-53,"Davis, Susan",(D),200237,91822,310373,64.5,29.6,174616,103513,284333,61.4,36.4,278129,62.78237796130573,37.21762203869427,292059,68.56046209841162,31.439537901588377,17.447173167698743,10.818515709295966
75,CO-01,"DeGette, Diana",(D),277790,93486,402453,69.0,23.2,254400,106334,368798,69.0,28.8,360734,70.52287835357909,29.477121646420905,371276,74.8203492819358,25.179650718064188,23.70706035122293,18.559016101569327
76,CO-02,"Neguse, Joe",(D),264966,164769,471464,56.2,34.9,255209,174095,440652,57.9,39.5,429304,59.44715166874756,40.55284833125244,429735,61.65799853398024,38.34200146601975,10.544709603267364,7.483289416737797
77,CO-03,"Tipton, Scott",(R),151057,195966,377176,40.0,52.0,163886,185459,358045,45.8,51.8,349345,46.912364567977214,53.087635432022786,347023,43.529391423623224,56.470608576376776,-7.583897507089652,-5.051497684032547
78,CO-04,"Buck, Ken",(R),137784,230945,402201,34.3,57.4,140404,209415,357971,39.2,58.5,349819,40.13618471266569,59.86381528733431,368729,37.36728057733457,62.63271942266543,-13.746008353378308,-11.827677539344073
79,CO-05,"Lamborn, Doug",(R),123537,212558,371829,33.2,57.2,129903,200491,339143,38.3,59.1,330394,39.317602619902296,60.6823973800977,336095,36.75657180261533,63.24342819738467,-14.356717128097543,-12.646259632107466
80,CO-06,"Crow, Jason",(D),191099,157115,380526,50.2,41.3,183024,165070,354989,51.6,46.5,348094,52.578901101426624,47.42109889857337,348214,54.87975785005772,45.12024214994227,3.7664689193448453,0.6150388494168624
81,CO-07,"Perlmutter, Ed",(D),192637,147645,374571,51.4,39.4,196276,144379,349920,56.1,41.3,340655,57.61723738092792,42.38276261907208,340282,56.61098735754463,43.38901264245538,5.497698426831754,5.653375128918157
