,district,incumbent,party,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,2p_tot_12,dem_2p_12,rep_2p_12,2p_tot_16,dem_2p_16,rep_2p_16,lean_16,lean_12
113,FL-26,"Mucarsel-Powell, Debbie",(D),164252,117205,289225,56.8,40.5,136601,108130,244731,,,244731,55.816794766498724,44.18320523350127,281457,58.35775979989839,41.64224020010162,7.244470869185513,3.8529325144889626
114,FL-27,"Shalala, Donna ",(D),174132,115814,297564,58.5,38.9,144535,126283,270818,,,270818,53.36979078200119,46.630209217998804,289946,60.05670021314313,39.94329978685686,8.943411282430255,1.405928529991428
115,GA-01,"Carter, Buddy",(R),110190,151996,269568,40.9,56.4,111949,145460,260148,43.0,55.9,257409,43.49070933805733,56.50929066194267,262186,42.02741565148406,57.972584348515944,-9.085873279228814,-8.473152913952433
116,GA-02,"Bishop, Sanford",(D),136455,107361,248103,55.0,43.3,153998,107242,262837,58.6,40.8,261240,58.94885928647986,41.051140713520134,243816,55.966384486662065,44.03361551333793,4.853095555949189,6.984997034470098
117,GA-03,"Ferguson, Drew",(R),102155,200624,311865,32.8,64.3,97746,195071,296218,33.0,65.9,292817,33.38125860178883,66.61874139821117,302779,33.73912986039323,66.26087013960678,-17.37415907031965,-18.582603650220932
118,GA-04,"Johnson, Hank",(D),224907,66433,298663,75.3,22.2,218499,75951,296933,73.6,25.6,294450,74.20580743759551,25.794192562404483,291340,77.19743255303082,22.802567446969178,26.084143622317946,22.24194518558575
119,GA-05,"Lewis, John",(D),259805,36385,305754,85.0,11.9,241217,45887,290359,83.1,15.8,287104,84.01728990191708,15.982710098082926,296190,87.71565549140755,12.284344508592456,36.60236656069467,32.05342764990732
120,GA-06,"McBath, Lucy",(D),155077,160022,331246,46.8,48.3,115017,186807,307096,37.5,60.8,301824,38.10730756997455,61.89269243002544,315099,49.21532597691519,50.78467402308481,-1.8979629537976876,-13.85655468203521
121,GA-07,"Woodall, Rob",(R),132012,150845,294972,44.8,51.1,101065,158854,263742,38.3,60.2,259919,38.88326747948399,61.116732520516,282857,46.6709326620872,53.3290673379128,-4.442356268625673,-13.080594772525771
122,GA-08,"Scott, Austin",(R),91360,168193,265514,34.4,63.3,99677,163908,265963,37.5,61.6,263585,37.81588481893886,62.18411518106114,259553,35.19897670225349,64.80102329774651,-15.914312228459387,-14.1479774330709
