,district,incumbent,party,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,dem_08,rep_08,tot_08,dem_pct_08,rep_pct_08,2p_tot_16,dem_2p_16,rep_2p_16,2p_tot_12,dem_2p_12,rep_2p_12,2p_tot_08,dem_2p_08,rep_2p_08,lean_08,lean_12
11,AR-03,"Womack, Steve",(R),89081,180921,"292,163",30.5%,61.9%,81413,168703,257668,31.6,65.5,85866,161902,253566,33.9,63.9,270002,32.99271857245502,67.00728142754498,250116,32.55009675510563,67.44990324489437,247768,34.65580704530044,65.34419295469955,-19.03304046684314,-19.413765496904134
12,AR-04,"Westerman, Bruce",(R),84842,173731,"270,781",31.3%,64.2%,95383,164352,265825,35.9,61.8,103886,166465,277684,37.4,59.9,258573,32.81162379676146,67.18837620323855,259735,36.72319864477256,63.27680135522744,270351,38.42634205162918,61.57365794837082,-15.262505460514404,-15.240663607237202
13,AZ-01,"O'Halleran, Tom",(D),132874,135928,"284,973",46.6%,47.7%,124550,131115,260056,47.9,50.4,123079,131208,257294,47.8,51.0,268802,49.43192386961407,50.56807613038593,255665,48.71609332524984,51.283906674750156,254287,48.401609205346716,51.598390794653284,-5.287238306796866,-3.2477689267599246
14,AZ-02,"McSally, Martha",(R),156676,141196,"315,839",49.6%,44.7%,144966,149651,299691,48.4,49.9,150877,153747,308531,48.9,49.8,297872,52.59843154106461,47.40156845893539,294617,49.20489992091427,50.79510007908573,304624,49.52892746467777,50.471072535322236,-4.1599200474658105,-2.758962331095489
15,AZ-03,"Grijalva, Raul",(D),130466,67952,"208,934",62.4%,32.5%,108902,65482,177248,61.4,36.9,102818,71980,176761,58.2,40.7,198418,65.7531070769789,34.2468929230211,174384,62.44953665473897,37.55046334526103,174798,58.82103914232428,41.17896085767572,5.132191630180699,10.48567440272921
16,AZ-04,"Gosar, Paul",(R),82192,202043,"298,483",27.5%,67.7%,80035,173394,258046,31.0,67.2,86346,161163,251086,34.4,64.2,284235,28.916917339525394,71.0830826604746,253429,31.58083723646465,68.41916276353534,247509,34.88600414530381,65.1139958546962,-18.802843366839774,-20.383025015545112
17,AZ-05,"Biggs, Andy",(R),121280,191432,"332,093",36.5%,57.6%,101511,187304,293748,34.6,63.8,104014,179566,286711,36.3,62.6,312712,38.78328941645988,61.21671058354012,288815,35.14741270363381,64.85258729636618,283580,36.678891318146555,63.321108681853445,-17.009956193997027,-16.81644954837595
18,AZ-06,"Schweikert, David",(R),143571,177332,"338,331",42.4%,52.4%,121661,186537,313417,38.8,59.5,130426,182747,316599,41.2,57.7,320903,44.73968769378909,55.26031230621091,308198,39.47494792308841,60.5250520769116,313173,41.646629818023904,58.353370181976096,-12.042217694119678,-12.488914328921354
19,AZ-07,"Gallego, Ruben",(D),117958,37232,"164,399",71.8%,22.6%,101028,37353,140907,71.7,26.5,85991,45289,132868,64.7,34.1,155190,76.0087634512533,23.9912365487467,138381,73.0071324820604,26.9928675179396,131280,65.5019804996953,34.49801950030469,11.813132987551725,21.043270230050638
20,AZ-08,"Lesko, Debbie",(R),120992,190163,"327,325",37.0%,58.1%,107335,179555,291126,36.9,61.7,110610,174516,288189,38.4,60.6,311155,38.88480017997461,61.11519982002539,286890,37.41329429398027,62.58670570601973,285126,38.79337556027861,61.20662443972139,-14.89547195186497,-14.55056795802949
