,district,incumbent,party,dem_20,rep_20,tot_20,dem_pct_20,rep_pct_20,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,2p_tot_20,dem_2p_20,rep_2p_20,2p_tot_16,dem_2p_16,rep_2p_16,2p_tot_12,dem_2p_12,rep_2p_12,lean_16,lean_20,lean_12
33,CA-12,Nancy Pelosi,(D),337517,46574,392046,86.1,11.9,309221,31158,358774,86.2,8.7,269461,40003,320387,84.1,12.5,384091,87.87422772207628,12.125772277923721,340379,90.84608627441764,9.153913725582367,309464,87.07345604012097,12.926543959879016,39.73279734370477,35.604392797869814,35.10959378811121
34,CA-13,Barbara Lee,(D),335474,33907,377198,88.9,9.0,291926,22743,334194,87.4,6.8,268093,27474,306314,87.5,9.0,369381,90.82058903950121,9.179410960498782,314669,92.77240528936755,7.2275947106324425,295567,90.70464564717983,9.295354352820173,41.65911635865468,38.550754115294744,38.74078339517007
35,CA-14,Jackie Speier,(D),279708,73798,360155,77.7,20.5,229008,54229,297743,76.9,18.2,200343,63589,269882,74.2,23.6,353506,79.12397526491772,20.87602473508229,283237,80.85384324788075,19.14615675211925,263932,75.90705181637695,24.092948183623054,29.74055431716787,26.854140340711247,23.943189564367188
36,CA-15,Eric Swalwell,(D),255430,94394,357230,71.5,26.4,198964,68808,284536,69.9,24.2,177243,77748,260611,68.0,29.8,349824,73.0167169776802,26.983283022319792,267772,74.30351194299628,25.69648805700372,254991,69.50951210042707,30.490487899572926,23.190223012283404,20.746882053473733,17.545649848417312
37,CA-16,Jim Costa,(D),129458,85647,220032,58.8,38.9,98504,61813,169964,58.0,36.4,88973,59808,151953,58.6,39.4,215105,60.18363124985472,39.81636875014527,160317,61.443265530168354,38.556734469831646,148781,59.80131871677163,40.198681283228375,10.329976599455478,7.913796325648249,7.837456464761871
38,CA-17,Ro Khanna,(D),224903,79260,310238,72.5,25.5,183801,50926,248695,73.9,20.5,163862,58193,227806,71.9,25.5,304163,73.941603679606,26.058396320394,234727,78.3041575958454,21.695842404154615,222055,73.7934295557407,26.206570444259302,27.19086866513252,21.671768755399533,21.82956730373094
39,CA-18,Anna Eshoo,(D),294545,82172,385683,76.4,21.3,246015,67808,335138,73.4,20.2,218082,92457,319615,68.2,28.9,376717,78.18733956789845,21.812660432101552,313823,78.39291575187288,21.60708424812713,310539,70.22692801870296,29.773071981297033,27.27962682116,25.917504643691977,18.263065766693202
40,CA-19,Zoe Lofgren,(D),228232,91063,325914,70.0,27.9,187828,55371,257624,72.9,21.5,165530,61643,232442,71.2,26.5,319295,71.47997932946022,28.52002067053978,243199,77.23222546145337,22.76777453854662,227173,72.86517323801685,27.13482676198316,26.11893653074049,19.21014440525375,20.90131098600709
41,CA-20,Jimmy Panetta,(D),226505,77969,311479,72.7,25.0,180486,59573,256538,70.4,23.2,168956,62427,238341,70.9,26.2,304474,74.3922305352838,25.607769464716203,240059,75.18401726242298,24.815982737577013,231383,73.02005765332802,26.97994234667197,24.070728331710107,22.12239561107733,21.056195401318263
42,CA-21,David Valadao,(R),93560,74859,172064,54.4,43.5,73773,52972,133544,55.2,39.7,65146,51917,119232,54.6,43.5,168419,55.551927039110794,44.44807296088921,126745,58.20584638447276,41.79415361552724,117063,55.65037629310713,44.34962370689287,7.092557453759881,3.282092114904323,3.686514041097368
43,CA-22,Connie Conway,(R),146467,163584,316729,46.2,51.6,102292,125089,240137,42.6,52.1,92005,125213,221278,41.6,56.6,310051,47.23964767086705,52.76035232913296,227381,44.98704817025169,55.01295182974831,217218,42.3560662560193,57.6439337439807,-6.126240760461187,-5.03018725333942,-9.607795995990465
44,CA-23,Kevin McCarthy,(R),125068,176413,308922,40.5,57.1,88314,142351,244864,36.1,58.1,82119,139816,227297,36.1,61.5,301481,41.48453799741941,58.5154620025806,230665,38.28669282292502,61.71330717707498,221935,37.00137427625206,62.99862572374795,-12.826596107787857,-10.785296926787062,-14.962487975757703
45,CA-24,Salud Carbajal,(D),221831,134810,365325,60.7,36.9,176979,113887,312160,56.7,36.5,158119,126049,292406,54.1,43.1,356641,62.20008355741488,37.79991644258512,290866,60.84554399620444,39.15445600379556,284168,55.6427887728386,44.3572112271614,9.732255065491564,9.930248633208407,3.6789265208288384
46,CA-25,Mike Garcia,(R),188421,153161,349249,54.0,43.9,137491,119249,273218,50.3,43.6,120701,125258,252249,47.8,49.7,341582,55.161278990110716,44.838721009889284,256740,53.55262132897094,46.44737867102906,245959,49.073626092153575,50.92637390784643,2.439332398258067,2.8914440659042455,-2.8902361598561868
47,CA-26,Julia Brownley,(D),216840,128914,353297,61.4,36.5,169083,105259,292232,57.9,36.0,147753,119677,273647,54.0,43.7,345754,62.71510958658468,37.28489041341532,274342,61.63219630971562,38.36780369028439,267430,55.24922409602513,44.75077590397487,10.51890737900274,10.44527466237821,3.2853618440153696
48,CA-27,Judy Chu,(D),226666,104088,337460,67.2,30.8,174544,74984,264466,66.0,28.4,161528,90278,257970,62.6,35.0,330754,68.53008580395097,31.469914196049025,249528,69.94966496745856,30.050335032541437,251806,64.14779631938873,35.85220368061127,18.836376036745683,16.260250879744497,12.18393406737897
49,CA-28,Adam Schiff,(D),252705,97112,356476,70.9,27.2,208645,64607,289254,72.1,22.3,187441,70757,266628,70.3,26.5,349817,72.23919935280446,27.760800647195534,273252,76.35625722776047,23.643742772239545,258198,72.59583730315494,27.40416269684506,25.24296829704759,19.96936442859799,20.631975051145176
50,CA-29,Tony Cárdenas,(D),186796,59671,252103,74.1,23.7,152517,32963,196196,77.7,16.8,129323,34454,167889,77.0,20.5,246467,75.78945660068082,24.210543399319178,185480,82.22827259003667,17.77172740996334,163777,78.96285803256868,21.037141967431324,31.11498365932379,23.51962167647435,26.998995780558914
51,CA-30,Brad Sherman,(D),258910,110935,376861,68.7,29.4,209149,77701,302805,69.1,25.7,186301,91680,285226,65.3,32.1,369845,70.00500209547242,29.99499790452757,286850,72.91232351403173,27.087676485968277,277981,67.01932865915296,32.98067134084703,21.79903458331885,17.73516717126595,15.0554664071432
52,CA-31,Pete Aguilar,(D),174178,115221,296238,58.8,38.9,131960,83701,228825,57.7,36.6,118043,83822,206242,57.2,40.6,289399,60.18610983451912,39.81389016548088,215661,61.18862473975359,38.81137526024641,201865,58.47620934783148,41.52379065216853,10.075335809040716,7.9162749103126515,6.512347095821717
53,CA-32,Grace Napolitano,(D),184978,93155,283909,65.2,32.8,146459,60921,220046,66.6,27.7,133061,66269,204169,65.2,32.5,278133,66.50703080900145,33.49296919099855,207380,70.62349310444594,29.376506895554055,199330,66.75412632318266,33.24587367681734,19.510204173733065,14.237195884794978,14.7902640711729
