ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
10,10,760066,374313,151209,42013,182863,18956,7408,756356,378059,146262,45704,182749,15920,7764,588180,310852,105421,29579,132198,14010,5218,522871,296349,83496,28821,104330,4462,1381,24615,94520,1005,1381,336412,220995,108548,413477,282092,122486,334653,219240,112458,36117,76656,95558,43554,166694,76365,22241,14311
11,11,760067,328242,107106,52253,262605,14516,5709,735768,311470,103824,51506,263175,11704,5689,664995,296850,87723,43691,227568,12865,4609,540314,250795,64593,34657,181225,3973,1933,29354,168263,1173,1933,350643,303687,40516,393710,339716,46188,317054,268623,44937,56532,60109,67512,28564,218034,106042,33440,20763
12,12,760065,249406,179534,140008,186168,22904,7953,750353,257673,164567,142924,184280,17987,7545,621080,218543,131521,111824,152734,19039,5745,521701,209438,86188,97376,118245,4230,2274,89304,107251,1294,2274,319532,286768,26646,367980,328667,31678,284764,252543,29117,61945,78163,80755,30617,157030,86143,23754,22080
13,13,760067,158370,492863,38827,66468,38299,6456,756141,162710,494867,34796,62672,21281,5374,535741,130366,323990,25596,47664,27213,4402,419445,123194,229466,20606,38203,4628,1860,18367,35213,1199,1860,171375,99354,68828,223212,128684,89225,167547,87797,78594,142051,134010,89231,30032,39146,10970,2670,1746
14,14,760065,185775,177264,46588,341689,18647,14320,751237,191340,169880,48601,337917,12601,14519,590385,159567,128317,35060,257177,14384,10868,459556,145577,92384,30110,179142,3155,5096,27122,170652,1012,5096,258241,183063,70114,327119,234592,85794,244281,167208,74728,55140,95107,86559,36272,155490,82603,10922,14485
15,15,760066,216763,201867,28846,300594,16686,14175,751264,219449,189705,29283,305022,13105,13814,609967,184078,150342,22421,241550,13137,10719,488579,169918,100279,17063,190986,2160,5247,14967,183187,701,5247,287232,222303,60282,351206,272983,71576,267678,201330,64190,67232,91134,90343,38810,155622,69895,18761,20096
16,16,760066,322755,151126,22413,254704,15561,5832,750479,324063,147212,25026,249630,11171,5482,600046,271719,108504,16513,194315,12343,4350,481609,238809,76710,13361,145187,3023,2055,10477,136833,852,2055,320471,238009,76177,378287,284912,85226,302708,221599,78639,44458,60634,67496,30995,151144,110972,25194,35083
17,17,760067,162408,130456,22677,439749,13304,6348,750635,165833,126421,23025,431954,9695,7106,605246,141380,95762,16976,345732,10198,4739,424277,124458,69549,13444,209631,2337,2056,11314,203314,1022,2056,241009,176885,59555,303008,221507,75429,228165,160661,65206,43905,63922,61834,34737,164201,134467,12519,26649
18,18,760066,143922,500484,22198,95404,36070,5377,766891,148752,501369,22805,96747,22821,5088,574921,126709,351386,16613,76233,27770,4019,418645,119563,219405,13968,58488,3652,1347,12049,54402,1216,1347,208317,146323,57991,267322,187853,73682,199168,131613,65999,133957,112550,91777,36054,74132,27210,5579,4301
19,19,760067,366442,187658,26816,165500,23670,6972,754311,376698,180077,28468,163766,16428,7997,609585,315206,133987,19782,127560,18784,5082,539127,306169,103540,16248,102971,5798,1882,12270,94867,947,1882,344981,232602,105102,412422,283131,119846,333625,222018,108788,45872,79585,107369,49724,143363,70184,16455,14611
