"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N",
"Geography","Geographic Area Name","!!Total:","!!Total:!!Urban","!!Total:!!Rural","!!Total:!!Not defined for this file",
"5001900US1306","Congressional District 6 (119th Congress), Georgia","765136","752281","12855","0",
"5001900US1307","Congressional District 7 (119th Congress), Georgia","765137","665051","100086","0",
"5001900US1308","Congressional District 8 (119th Congress), Georgia","765136","374019","391117","0",
"5001900US1309","Congressional District 9 (119th Congress), Georgia","765135","482387","282748","0",
"5001900US1310","Congressional District 10 (119th Congress), Georgia","765137","376479","388658","0",
"5001900US1311","Congressional District 11 (119th Congress), Georgia","765135","637091","128044","0",
"5001900US1312","Congressional District 12 (119th Congress), Georgia","765136","430359","334777","0",
"5001900US1313","Congressional District 13 (119th Congress), Georgia","765136","740949","24187","0",
"5001900US1314","Congressional District 14 (119th Congress), Georgia","765136","526315","238821","0",
"5001900US1501","Congressional District 1 (119th Congress), Hawaii","726395","722733","3662","0",
"5001900US1502","Congressional District 2 (119th Congress), Hawaii","728876","529717","199159","0",
"5001900US1601","Congressional District 1 (119th Congress), Idaho","919553","639476","280077","0",
"5001900US1602","Congressional District 2 (119th Congress), Idaho","919553","633961","285592","0",
"5001900US1701","Congressional District 1 (119th Congress), Illinois","753677","736733","16944","0",
"5001900US1702","Congressional District 2 (119th Congress), Illinois","753677","638246","115431","0",
"5001900US1703","Congressional District 3 (119th Congress), Illinois","753677","752304","1373","0",
"5001900US1704","Congressional District 4 (119th Congress), Illinois","753677","753677","0","0",
"5001900US1705","Congressional District 5 (119th Congress), Illinois","753677","750400","3277","0",
"5001900US1706","Congressional District 6 (119th Congress), Illinois","753677","753344","333","0",
"5001900US1707","Congressional District 7 (119th Congress), Illinois","753677","753677","0","0",
"5001900US1708","Congressional District 8 (119th Congress), Illinois","753677","751071","2606","0",
"5001900US1709","Congressional District 9 (119th Congress), Illinois","753677","750812","2865","0",
"5001900US1710","Congressional District 10 (119th Congress), Illinois","753677","729163","24514","0",
"5001900US1711","Congressional District 11 (119th Congress), Illinois","753677","710710","42967","0",
"5001900US1712","Congressional District 12 (119th Congress), Illinois","753677","298722","454955","0",
"5001900US1713","Congressional District 13 (119th Congress), Illinois","753677","679099","74578","0",
"5001900US1714","Congressional District 14 (119th Congress), Illinois","753677","683702","69975","0",
"5001900US1715","Congressional District 15 (119th Congress), Illinois","753677","338079","415598","0",
"5001900US1716","Congressional District 16 (119th Congress), Illinois","753677","444418","309259","0",
"5001900US1717","Congressional District 17 (119th Congress), Illinois","753676","613433","140243","0",
"5001900US17ZZ","Congressional Districts not defined (119th Congress), Illinois","0","0","0","0",
"5001900US1801","Congressional District 1 (119th Congress), Indiana","753947","673820","80127","0",
"5001900US1802","Congressional District 2 (119th Congress), Indiana","753947","498724","255223","0",
"5001900US1803","Congressional District 3 (119th Congress), Indiana","753947","457788","296159","0",
"5001900US1804","Congressional District 4 (119th Congress), Indiana","753947","469939","284008","0",
"5001900US1805","Congressional District 5 (119th Congress), Indiana","753947","620766","133181","0",
"5001900US1806","Congressional District 6 (119th Congress), Indiana","753949","574819","179130","0",
"5001900US1807","Congressional District 7 (119th Congress), Indiana","753949","751926","2023","0",
"5001900US1808","Congressional District 8 (119th Congress), Indiana","753947","399872","354075","0",
"5001900US1809","Congressional District 9 (119th Congress), Indiana","753948","382032","371916","0",
"5001900US1901","Congressional District 1 (119th Congress), Iowa","797584","495488","302096","0",
"5001900US1902","Congressional District 2 (119th Congress), Iowa","797589","481747","315842","0",
"5001900US1903","Congressional District 3 (119th Congress), Iowa","797551","619127","178424","0",
"5001900US1904","Congressional District 4 (119th Congress), Iowa","797645","418469","379176","0",
"5001900US2001","Congressional District 1 (119th Congress), Kansas","734470","424301","310169","0",
"5001900US2002","Congressional District 2 (119th Congress), Kansas","734470","459010","275460","0",
"5001900US2003","Congressional District 3 (119th Congress), Kansas","734470","658710","75760","0",
"5001900US2004","Congressional District 4 (119th Congress), Kansas","734470","582038","152432","0",
"5001900US2101","Congressional District 1 (119th Congress), Kentucky","750973","300585","450388","0",
"5001900US2102","Congressional District 2 (119th Congress), Kentucky","750972","387302","363670","0",
"5001900US2103","Congressional District 3 (119th Congress), Kentucky","750973","745131","5842","0",
"5001900US2104","Congressional District 4 (119th Congress), Kentucky","750973","476894","274079","0",
"5001900US2105","Congressional District 5 (119th Congress), Kentucky","750973","188710","562263","0",
"5001900US2106","Congressional District 6 (119th Congress), Kentucky","750972","546234","204738","0",
"5001900US2201","Congressional District 1 (119th Congress), Louisiana","776327","654503","121824","0",
"5001900US2202","Congressional District 2 (119th Congress), Louisiana","776316","713043","63273","0",
"5001900US2203","Congressional District 3 (119th Congress), Louisiana","776287","553573","222714","0",
"5001900US2204","Congressional District 4 (119th Congress), Louisiana","776302","360646","415656","0",
"5001900US2205","Congressional District 5 (119th Congress), Louisiana","776285","443382","332903","0",
"5001900US2206","Congressional District 6 (119th Congress), Louisiana","776240","607090","169150","0",
"5001900US2301","Congressional District 1 (119th Congress), Maine","681179","343548","337631","0",
"5001900US2302","Congressional District 2 (119th Congress), Maine","681180","182761","498419","0",
"5001900US2401","Congressional District 1 (119th Congress), Maryland","772748","470636","302112","0",
"5001900US2402","Congressional District 2 (119th Congress), Maryland","770906","673745","97161","0",
"5001900US2403","Congressional District 3 (119th Congress), Maryland","771733","713329","58404","0",
"5001900US2404","Congressional District 4 (119th Congress), Maryland","770577","762989","7588","0",
"5001900US2405","Congressional District 5 (119th Congress), Maryland","774641","551855","222786","0",
"5001900US2406","Congressional District 6 (119th Congress), Maryland","777845","593228","184617","0",
"5001900US2407","Congressional District 7 (119th Congress), Maryland","767247","766813","434","0",
"5001900US2408","Congressional District 8 (119th Congress), Maryland","771527","756165","15362","0",
"5001900US2501","Congressional District 1 (119th Congress), Massachusetts","781103","610635","170468","0",
"5001900US2502","Congressional District 2 (119th Congress), Massachusetts","781101","637473","143628","0",
"5001900US2503","Congressional District 3 (119th Congress), Massachusetts","781102","694694","86408","0",
"5001900US2504","Congressional District 4 (119th Congress), Massachusetts","781103","714918","66185","0",
"5001900US2505","Congressional District 5 (119th Congress), Massachusetts","781101","776023","5078","0",
"5001900US2506","Congressional District 6 (119th Congress), Massachusetts","781101","740542","40559","0",
"5001900US2507","Congressional District 7 (119th Congress), Massachusetts","781102","780588","514","0",
"5001900US2508","Congressional District 8 (119th Congress), Massachusetts","781102","776426","4676","0",
"5001900US2509","Congressional District 9 (119th Congress), Massachusetts","781102","685596","95506","0",
"5001900US2601","Congressional District 1 (119th Congress), Michigan","775375","266660","508715","0",
"5001900US2602","Congressional District 2 (119th Congress), Michigan","774997","198485","576512","0",
"5001900US2603","Congressional District 3 (119th Congress), Michigan","775414","699775","75639","0",
"5001900US2604","Congressional District 4 (119th Congress), Michigan","774600","539113","235487","0",
"5001900US2605","Congressional District 5 (119th Congress), Michigan","774544","363067","411477","0",
"5001900US2606","Congressional District 6 (119th Congress), Michigan","775273","695105","80168","0",
"5001900US2607","Congressional District 7 (119th Congress), Michigan","775238","533025","242213","0",
"5001900US2608","Congressional District 8 (119th Congress), Michigan","775229","580816","194413","0",
"5001900US2609","Congressional District 9 (119th Congress), Michigan","774962","429347","345615","0",
"5001900US2610","Congressional District 10 (119th Congress), Michigan","775218","775212","6","0",
"5001900US2611","Congressional District 11 (119th Congress), Michigan","775568","772872","2696","0",
"5001900US2612","Congressional District 12 (119th Congress), Michigan","775247","775247","0","0",
"5001900US2613","Congressional District 13 (119th Congress), Michigan","775666","775534","132","0",
"5001900US2701","Congressional District 1 (119th Congress), Minnesota","713311","412155","301156","0",
"5001900US2702","Congressional District 2 (119th Congress), Minnesota","713312","620863","92449","0",
"5001900US2703","Congressional District 3 (119th Congress), Minnesota","713311","683531","29780","0",
"5001900US2704","Congressional District 4 (119th Congress), Minnesota","713312","695852","17460","0",
"5001900US2705","Congressional District 5 (119th Congress), Minnesota","713312","713312","0","0",
"5001900US2706","Congressional District 6 (119th Congress), Minnesota","713312","489703","223609","0",
"5001900US2707","Congressional District 7 (119th Congress), Minnesota","713312","227274","486038","0",
"5001900US2708","Congressional District 8 (119th Congress), Minnesota","713312","259064","454248","0",
"5001900US2801","Congressional District 1 (119th Congress), Mississippi","740319","297526","442793","0",
"5001900US2802","Congressional District 2 (119th Congress), Mississippi","740319","351481","388838","0",
"5001900US2803","Congressional District 3 (119th Congress), Mississippi","740320","307243","433077","0",
"5001900US2804","Congressional District 4 (119th Congress), Mississippi","740321","414540","325781","0",
"5001900US2901","Congressional District 1 (119th Congress), Missouri","769364","766606","2758","0",
"5001900US2902","Congressional District 2 (119th Congress), Missouri","769364","671984","97380","0",
"5001900US2903","Congressional District 3 (119th Congress), Missouri","769364","498498","270866","0",
"5001900US2904","Congressional District 4 (119th Congress), Missouri","769364","359555","409809","0",
"5001900US2905","Congressional District 5 (119th Congress), Missouri","769364","759727","9637","0",
"5001900US2906","Congressional District 6 (119th Congress), Missouri","769364","392050","377314","0",
"5001900US2907","Congressional District 7 (119th Congress), Missouri","769365","480882","288483","0",
"5001900US2908","Congressional District 8 (119th Congress), Missouri","769364","346361","423003","0",
"5001900US3001","Congressional District 1 (119th Congress), Montana","542112","274500","267612","0",
"5001900US3002","Congressional District 2 (119th Congress), Montana","542113","304677","237436","0",
"5001900US3101","Congressional District 1 (119th Congress), Nebraska","653822","534018","119804","0",
"5001900US3102","Congressional District 2 (119th Congress), Nebraska","653847","614229","39618","0",
"5001900US3103","Congressional District 3 (119th Congress), Nebraska","653835","283756","370079","0",
"5001900US3201","Congressional District 1 (119th Congress), Nevada","773758","772169","1589","0",
"5001900US3202","Congressional District 2 (119th Congress), Nevada","777417","646991","130426","0",
"5001900US3203","Congressional District 3 (119th Congress), Nevada","775299","766002","9297","0",
"5001900US3204","Congressional District 4 (119th Congress), Nevada","778140","736041","42099","0",
"5001900US3301","Congressional District 1 (119th Congress), New Hampshire","688764","470594","218170","0",
"5001900US3302","Congressional District 2 (119th Congress), New Hampshire","688765","332826","355939","0",
"5001900US33ZZ","Congressional Districts not defined (119th Congress), New Hampshire","0","0","0","0",
"5001900US3401","Congressional District 1 (119th Congress), New Jersey","771744","757762","13982","0",
"5001900US3402","Congressional District 2 (119th Congress), New Jersey","779056","614952","164104","0",
"5001900US3403","Congressional District 3 (119th Congress), New Jersey","778024","706770","71254","0",
"5001900US3404","Congressional District 4 (119th Congress), New Jersey","772969","742840","30129","0",
"5001900US3405","Congressional District 5 (119th Congress), New Jersey","773218","711047","62171","0",
"5001900US3406","Congressional District 6 (119th Congress), New Jersey","773768","773076","692","0",
"5001900US3407","Congressional District 7 (119th Congress), New Jersey","774294","587193","187101","0",
