"GEO_ID","NAME","P002001","P002002","P002003","P002004","P002005","P002006",
"Geography","Label for GEO_ID","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file",
"5001600US1220","Congressional District 20 (116th Congress), Florida","696344","690012","657963","32049","6332","0",
"5001600US1221","Congressional District 21 (116th Congress), Florida","696345","692468","692468","0","3877","0",
"5001600US1222","Congressional District 22 (116th Congress), Florida","696345","696345","696345","0","0","0",
"5001600US1223","Congressional District 23 (116th Congress), Florida","696345","696069","696069","0","276","0",
"5001600US1224","Congressional District 24 (116th Congress), Florida","696345","696345","696345","0","0","0",
"5001600US1225","Congressional District 25 (116th Congress), Florida","696345","657334","598288","59046","39011","0",
"5001600US1226","Congressional District 26 (116th Congress), Florida","696345","680351","613630","66721","15994","0",
"5001600US1227","Congressional District 27 (116th Congress), Florida","696345","696226","696226","0","119","0",
"5001600US1301","Congressional District 1 (116th Congress), Georgia","691974","491194","365860","125334","200780","0",
"5001600US1302","Congressional District 2 (116th Congress), Georgia","691976","454994","347337","107657","236982","0",
"5001600US1303","Congressional District 3 (116th Congress), Georgia","691974","418846","309904","108942","273128","0",
"5001600US1304","Congressional District 4 (116th Congress), Georgia","691976","665005","665005","0","26971","0",
"5001600US1305","Congressional District 5 (116th Congress), Georgia","691976","691748","691748","0","228","0",
"5001600US1306","Congressional District 6 (116th Congress), Georgia","691975","690381","690381","0","1594","0",
"5001600US1307","Congressional District 7 (116th Congress), Georgia","691975","688847","688847","0","3128","0",
"5001600US1308","Congressional District 8 (116th Congress), Georgia","691976","392337","243430","148907","299639","0",
"5001600US1309","Congressional District 9 (116th Congress), Georgia","691975","295304","207781","87523","396671","0",
"5001600US1310","Congressional District 10 (116th Congress), Georgia","691976","387704","250500","137204","304272","0",
"5001600US1311","Congressional District 11 (116th Congress), Georgia","691975","618339","611495","6844","73636","0",
"5001600US1312","Congressional District 12 (116th Congress), Georgia","691975","414901","277738","137163","277074","0",
"5001600US1313","Congressional District 13 (116th Congress), Georgia","691976","649296","649296","0","42680","0",
"5001600US1314","Congressional District 14 (116th Congress), Georgia","691974","413255","334949","78306","278719","0",
"5001600US1501","Congressional District 1 (116th Congress), Hawaii","680496","678646","678646","0","1850","0",
"5001600US1502","Congressional District 2 (116th Congress), Hawaii","679805","571843","293429","278414","107962","0",
"5001600US1601","Congressional District 1 (116th Congress), Idaho","784132","547542","436490","111052","236590","0",
"5001600US1602","Congressional District 2 (116th Congress), Idaho","783450","558828","355353","203475","224622","0",
"5001600US1701","Congressional District 1 (116th Congress), Illinois","712813","705405","705405","0","7408","0",
"5001600US1702","Congressional District 2 (116th Congress), Illinois","712813","675150","663053","12097","37663","0",
"5001600US1703","Congressional District 3 (116th Congress), Illinois","712813","710177","710177","0","2636","0",
"5001600US1704","Congressional District 4 (116th Congress), Illinois","712813","712813","712813","0","0","0",
"5001600US1705","Congressional District 5 (116th Congress), Illinois","712813","712813","712813","0","0","0",
"5001600US1706","Congressional District 6 (116th Congress), Illinois","712813","708501","708501","0","4312","0",
"5001600US1707","Congressional District 7 (116th Congress), Illinois","712812","712812","712812","0","0","0",
"5001600US1708","Congressional District 8 (116th Congress), Illinois","712812","712753","712753","0","59","0",
"5001600US1709","Congressional District 9 (116th Congress), Illinois","712813","712813","712813","0","0","0",
"5001600US1710","Congressional District 10 (116th Congress), Illinois","712813","710953","710953","0","1860","0",
"5001600US1711","Congressional District 11 (116th Congress), Illinois","712813","710960","710960","0","1853","0",
"5001600US1712","Congressional District 12 (116th Congress), Illinois","712813","537373","422559","114814","175440","0",
"5001600US1713","Congressional District 13 (116th Congress), Illinois","712813","562227","473146","89081","150586","0",
"5001600US1714","Congressional District 14 (116th Congress), Illinois","712813","640537","586765","53772","72276","0",
"5001600US1715","Congressional District 15 (116th Congress), Illinois","712813","346148","74010","272138","366665","0",
"5001600US1716","Congressional District 16 (116th Congress), Illinois","712813","505709","286309","219400","207104","0",
"5001600US1717","Congressional District 17 (116th Congress), Illinois","712813","522663","363885","158778","190150","0",
"5001600US1718","Congressional District 18 (116th Congress), Illinois","712813","453746","280944","172802","259067","0",
"5001600US17ZZ","Congressional Districts not defined (116th Congress), Illinois","0","0","0","0","0","0",
"5001600US1801","Congressional District 1 (116th Congress), Indiana","720422","650577","628188","22389","69845","0",
"5001600US1802","Congressional District 2 (116th Congress), Indiana","720423","502998","411590","91408","217425","0",
"5001600US1803","Congressional District 3 (116th Congress), Indiana","720423","467064","313492","153572","253359","0",
"5001600US1804","Congressional District 4 (116th Congress), Indiana","720422","456941","341747","115194","263481","0",
"5001600US1805","Congressional District 5 (116th Congress), Indiana","720423","629408","551391","78017","91015","0",
"5001600US1806","Congressional District 6 (116th Congress), Indiana","720422","394430","202550","191880","325992","0",
"5001600US1807","Congressional District 7 (116th Congress), Indiana","720423","715494","715494","0","4929","0",
"5001600US1808","Congressional District 8 (116th Congress), Indiana","720422","415850","293510","122340","304572","0",
"5001600US1809","Congressional District 9 (116th Congress), Indiana","720422","464338","378622","85716","256084","0",
"5001600US1901","Congressional District 1 (116th Congress), Iowa","761548","479306","356029","123277","282242","0",
"5001600US1902","Congressional District 2 (116th Congress), Iowa","761624","481847","249522","232325","279777","0",
"5001600US1903","Congressional District 3 (116th Congress), Iowa","761612","592219","518616","73603","169393","0",
"5001600US1904","Congressional District 4 (116th Congress), Iowa","761571","396884","144797","252087","364687","0",
"5001600US2001","Congressional District 1 (116th Congress), Kansas","713278","421914","54622","367292","291364","0",
"5001600US2002","Congressional District 2 (116th Congress), Kansas","713272","447949","240424","207525","265323","0",
"5001600US2003","Congressional District 3 (116th Congress), Kansas","713287","677591","663508","14083","35696","0",
"5001600US2004","Congressional District 4 (116th Congress), Kansas","713281","569507","472870","96637","143774","0",
"5001600US2101","Congressional District 1 (116th Congress), Kentucky","723178","266732","48929","217803","456446","0",
"5001600US2102","Congressional District 2 (116th Congress), Kentucky","723137","359894","275160","84734","363243","0",
"5001600US2103","Congressional District 3 (116th Congress), Kentucky","723171","718327","718327","0","4844","0",
"5001600US2104","Congressional District 4 (116th Congress), Kentucky","723450","493370","445755","47615","230080","0",
"5001600US2105","Congressional District 5 (116th Congress), Kentucky","723228","170014","1222","168792","553214","0",
"5001600US2106","Congressional District 6 (116th Congress), Kentucky","723203","525006","289135","235871","198197","0",
"5001600US2201","Congressional District 1 (116th Congress), Louisiana","755445","649869","621975","27894","105576","0",
