district,total,urban,rural,urban_pct,rural_pct
TX-18,766987,765163,1824,99.76218632128054,0.23781367871945677
TX-19,766987,538074,228913,70.15425294040186,29.845747059598143
TX-20,766987,766653,334,99.95645297769062,0.04354702230937421
TX-21,766987,547956,219031,71.44267112741154,28.557328872588457
TX-22,766987,664616,102371,86.65283766217681,13.347162337823196
TX-23,766987,595400,171587,77.62843438024373,22.371565619756268
TX-24,766987,766880,107,99.98604930722425,0.013950692775757608
TX-25,766987,581902,185085,75.86856100559723,24.131438994402775
TX-26,766987,636855,130132,83.03334997855244,16.96665002144756
TX-27,766987,459338,307649,59.88862914234531,40.11137085765469
TX-28,766987,630924,136063,82.26006438179526,17.73993561820474
TX-29,766987,766945,42,99.99452402713474,0.00547597286525065
TX-30,766987,759473,7514,99.0203223783454,0.9796776216546044
TX-31,766987,607939,159048,79.26327304113369,20.736726958866317
TX-32,766987,625349,141638,81.53319417408639,18.466805825913607
TX-33,766987,765090,1897,99.75266855891951,0.24733144108048766
TX-34,766987,657441,109546,85.71735896436316,14.28264103563685
TX-35,766987,593835,173152,77.42438920085999,22.575610799140012
TX-36,766987,599221,167766,78.12661753067522,21.873382469324774
TX-37,766987,757056,9931,98.70519317798086,1.2948068220191475
TX-38,766986,748858,18128,97.63646272552563,2.363537274474371
UT-01,817904,813830,4074,99.50189753320683,0.4981024667931689
UT-02,817904,760497,57407,92.98120561826326,7.018794381736732
UT-03,817904,633831,184073,77.49454703730511,22.50545296269489
UT-04,817904,729145,88759,89.14799291848432,10.852007081515678
