,year,state,state_po,special,district,dem,rep,dem_2p_pct,dem_2p_12
132,2012,ILLINOIS,IL,False,IL-01,236854.0,83989.0,73.8223991173253,79.58792249306892
133,2012,ILLINOIS,IL,False,IL-02,188303.0,69115.0,73.15067322409466,81.32445656221566
134,2012,ILLINOIS,IL,False,IL-03,168738.0,77653.0,68.48383260752219,56.77277612695202
135,2012,ILLINOIS,IL,False,IL-04,133226.0,27279.0,83.00426777981994,82.5871875828493
136,2012,ILLINOIS,IL,False,IL-05,177729.0,77289.0,69.69272757217138,67.48246861909693
137,2012,ILLINOIS,IL,False,IL-06,132991.0,193138.0,40.77864893953007,45.82723809581261
138,2012,ILLINOIS,IL,False,IL-07,242439.0,31466.0,88.51207535459375,88.09161781672435
139,2012,ILLINOIS,IL,False,IL-08,123206.0,101860.0,54.7421645206295,58.36301738981848
140,2012,ILLINOIS,IL,False,IL-09,194869.0,98924.0,66.32867358990853,66.14778552473256
141,2012,ILLINOIS,IL,False,IL-10,133890.0,130564.0,50.62884282332655,58.305550616405874
142,2012,ILLINOIS,IL,False,IL-11,148928.0,105348.0,58.56942849502116,58.72314331663407
143,2012,ILLINOIS,IL,False,IL-12,157000.0,129902.0,54.72251849063443,50.824373940102404
144,2012,ILLINOIS,IL,False,IL-13,136032.0,137034.0,49.8165278723825,49.84088843812007
145,2012,ILLINOIS,IL,False,IL-14,124351.0,177603.0,41.182100584857295,44.90688415104033
146,2012,ILLINOIS,IL,False,IL-15,94162.0,205775.0,31.393926057805476,34.75429032642206
147,2012,ILLINOIS,IL,False,IL-16,112301.0,181789.0,38.18592947737087,46.063921604185765
148,2012,ILLINOIS,IL,False,IL-17,153519.0,134623.0,53.278938856536016,58.62811145083001
149,2012,ILLINOIS,IL,False,IL-18,85164.0,244467.0,25.83616225415692,38.14154675874944
150,2012,INDIANA,IN,False,IN-01,187743.0,91291.0,67.28319846326971,62.07278729223361
151,2012,INDIANA,IN,False,IN-02,130113.0,134033.0,49.25798611374013,42.89786661257906
152,2012,INDIANA,IN,False,IN-03,92363.0,187872.0,32.95912359269899,36.33869904522934
153,2012,INDIANA,IN,False,IN-04,93015.0,168688.0,35.5421985991754,37.718585831979745
154,2012,INDIANA,IN,False,IN-05,125347.0,194570.0,39.18110009783788,41.452904976729236
155,2012,INDIANA,IN,False,IN-06,96678.0,162613.0,37.28552090122681,38.14946185269002
156,2012,INDIANA,IN,False,IN-07,162122.0,95828.0,62.85016476061253,64.0207162157965
157,2012,INDIANA,IN,False,IN-08,122325.0,151533.0,44.66730933549504,40.423375550565225
158,2012,INDIANA,IN,False,IN-09,132848.0,165332.0,44.55295459118653,41.57928244444519
159,2012,IOWA,IA,False,IA-01,222422.0,162465.0,57.788909472130776,56.917328139113586
160,2012,IOWA,IA,False,IA-02,211863.0,161977.0,56.67210571367431,56.617071663920925
161,2012,IOWA,IA,False,IA-03,168632.0,202000.0,45.49849985969911,52.175049389264274
162,2012,IOWA,IA,False,IA-04,169470.0,200063.0,45.86058619933808,45.86141410721653
163,2012,KANSAS,KS,False,KS-01,0.0,211337.0,0.0,28.28897959818979
164,2012,KANSAS,KS,False,KS-02,113735.0,167463.0,40.44658923605431,43.26635403476058
165,2012,KANSAS,KS,False,KS-03,0.0,201087.0,0.0,45.14634958617542
166,2012,KANSAS,KS,False,KS-04,81770.0,161094.0,33.669049344489096,36.94949154360771
167,2012,KENTUCKY,KY,False,KY-01,87199.0,199956.0,30.366526788668143,32.58901237228362
168,2012,KENTUCKY,KY,False,KY-02,89541.0,181508.0,33.034986293991125,35.71066051187858
169,2012,KENTUCKY,KY,False,KY-03,206385.0,111452.0,64.93422729260597,56.563973865258966
170,2012,KENTUCKY,KY,False,KY-04,104734.0,186036.0,36.01953433985624,35.46400662609385
171,2012,KENTUCKY,KY,False,KY-05,55447.0,195408.0,22.103207031950728,23.656169245617857
172,2012,KENTUCKY,KY,False,KY-06,141438.0,153222.0,48.00040724903278,43.04467655460412
173,2012,LOUISIANA,LA,False,LA-01,61703.0,218340.0,22.033402013262247,27.48827986904195
174,2012,LOUISIANA,LA,False,LA-02,230417.0,50146.0,82.12665248090447,76.87595522964106
175,2012,LOUISIANA,LA,False,LA-03,67070.0,240558.0,21.80230668209656,32.79813228243742
