,year,state,state_po,special,district,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct,dem_poll_avg,dem_effn,rep_poll_avg,rep_effn,seat_number,prev_lean,prev2_lean,dem_2p_prev,dem_2p_prev2,generic_ballot_avg,ics,cvap_white_pct,cvap_aapi_pct,cvap_hisp_pct,cvap_black_pct,cvap_natam_pct,college,urban,rural,urban_pct,rural_pct,dem_2p_12,demo_cluster,district_id
237,2014,Nevada,NV,False,NV-02,52016.0,122402.0,186210,Kristen Spees,Mark E Amodei,False,True,9206.0,363498.56,174418.0,29.822610051714847,70.17738994828515,9206.0,363498.56,372704.56,2.470052955617178,97.52994704438282,0.0,0.0,0.0,0.0,2,-6.0870935958919645,-3.072783660643431,45.8767686561178,50.61606385150015,2.6459423408960583,88.8,78.59454355629687,3.7753782033417496,11.869990391534566,1.9855415472541,2.3114390652751724,7.2,578726.0,96412.0,85.71966027686192,14.280339723138082,,1,NV02
238,2014,Nevada,NV,False,NV-03,52644.0,88528.0,145719,Erin Bilbray,Joseph J Heck,False,True,782865.85,1344275.73,141172.0,37.29068087156093,62.70931912843907,782865.85,1344275.73,2127141.58,36.803655072174365,63.19634492782564,0.0,0.0,0.0,0.0,3,-1.557926950527012,0.8722246021572317,50.40593530148275,54.56107211430081,2.6459423408960583,88.8,66.37558737529419,11.882810209434455,12.315665190139228,6.754914934586401,0.5176430501517469,6.9,663863.0,11275.0,98.32997105776893,1.6700289422310697,,1,NV03
239,2014,Nevada,NV,False,NV-04,59844.0,63466.0,130781,Steven A Horsford,Cresent Hardy,True,False,728004.41,316385.28,123310.0,48.53134376773984,51.46865623226016,728004.41,316385.28,1044389.69,69.70620420429466,30.293795795705336,0.0,0.0,0.0,0.0,4,3.49418691402542,3.9593750590289782,55.45804916603518,57.64822257117256,2.6459423408960583,88.8,58.10090611999112,5.583088104400495,17.191225822331912,15.6890841441089,1.1570996248491814,3.9,626070.0,49067.0,92.73228989079254,7.2677101092074645,,6,NV04
240,2014,New Hampshire,NH,False,NH-01,116769.0,125508.0,242736,Carol Shea-Porter,Frank C Guinta,False,False,1131736.2,700774.85,242277.0,48.19648584058743,51.80351415941258,1131736.2,700774.85,1832511.05,61.758765383706695,38.24123461629331,44.64235593590266,3.38136743745001,49.33194545305456,3.38136743745001,1,-1.1513925653970034,-0.4625763861363055,50.81246968661276,53.22627112600728,2.6459423408960583,88.8,94.77563781940007,1.1668755626952882,2.053065475665084,0.9018816334296412,0.15770179062145095,11.8,457815.0,200418.0,69.55211908245256,30.447880917547433,,2,NH01
241,2014,New Hampshire,NH,False,NH-02,130700.0,106871.0,238184,Ann M Kuster,Marilinda Garcia,True,False,2513874.37,827459.48,237571.0,55.01513231833852,44.98486768166149,2513874.37,827459.48,3341333.85,75.2356538691876,24.7643461308124,51.84461671108188,3.38136743745001,41.60298953538122,3.38136743745001,2,2.9241208676286448,2.8209804451521947,54.887983119638406,56.50982795729578,2.6459423408960583,88.8,94.66818835905325,1.1956532526174763,2.023718553069022,0.8117898079690369,0.2377809755371409,11.1,336057.0,322180.0,51.054103613136306,48.945896386863694,,2,NH02
242,2014,New Jersey,NJ,False,NJ-01,93315.0,64073.0,162492,Donald W Norcross,Garry W Cobb,True,False,1169643.71,82077.14,157388.0,59.28978066942842,40.710219330571576,1169643.71,82077.14,1251720.85,93.44285588915452,6.557144110845482,0.0,0.0,0.0,0.0,1,13.822699355860976,11.72725883209472,65.78656160787074,65.4161063442383,2.6459423408960583,88.8,70.68686414479231,3.5017705581473777,8.452213666085848,16.562681505630188,0.19560451913889043,11.1,719490.0,13168.0,98.202708494277,1.7972915057229977,,1,NJ01
243,2014,New Jersey,NJ,False,NJ-02,66026.0,108875.0,177148,William J Hughes Jr,Frank A Lobiondo,False,True,652570.04,773266.85,174901.0,37.7504988536372,62.2495011463628,652570.04,773266.85,1425836.89,45.76750991482624,54.23249008517376,38.0,0.8250700056548633,56.0,0.8250700056548633,2,2.158744230147285,0.1783515413908745,54.122606482157046,53.867199053534456,2.6459423408960583,88.8,73.96787977568856,2.903904395052816,9.40333384091033,12.934565805477696,0.3173296186216841,9.0,590135.0,142523.0,80.54713113075951,19.45286886924049,,1,NJ02
244,2014,New Jersey,NJ,False,NJ-03,82537.0,100471.0,186103,Aimee Belgard,Tom Macarthur,False,False,1092678.31,343335.0,183008.0,45.100214198286416,54.899785801713584,1092678.31,343335.0,1436013.31,76.09109904420036,23.90890095579964,41.0,0.8530358471531801,46.0,0.8530358471531801,3,0.3481726016417212,-1.9451329947064335,52.31203485365148,51.74371451743715,2.6459423408960583,88.8,80.99083491171534,2.595308839238427,5.10911033114604,9.978366441952945,0.0895862694230752,12.5,701409.0,31249.0,95.73484490717361,4.265155092826394,,1,NJ03
245,2014,New Jersey,NJ,False,NJ-04,54415.0,118826.0,174849,Ruben M Scolavino,Christopher H Smith,False,True,5249.25,307135.22,173241.0,31.41000109673807,68.58999890326193,5249.25,307135.22,312384.47,1.680381230219287,98.31961876978072,0.0,0.0,0.0,0.0,4,-6.7983762175055205,-7.912463977509269,45.16548603450424,45.77638353463431,2.6459423408960583,88.8,83.79549191771896,3.2800331978529984,5.655075858645404,6.417152741149825,0.08609723558065217,15.7,696575.0,36082.0,95.07518525039684,4.924814749603157,,1,NJ04
246,2014,New Jersey,NJ,False,NJ-05,81808.0,104678.0,188921,Roy Cho,Scott Garrett,False,True,1085481.39,1023387.87,186486.0,43.868172409725126,56.13182759027488,1085481.39,1023387.87,2108869.26,51.47219937190417,48.52780062809584,42.18936409716328,1.5172352328771643,52.05317951418359,1.5172352328771643,5,-3.4843631017936545,-4.711215275922235,48.47949915021611,48.97763223622135,2.6459423408960583,88.8,78.10372294937996,7.0173550590256495,9.4377621947587,4.7003364932826255,0.1504707254687557,17.0,637290.0,95368.0,86.98328551657117,13.016714483428832,,1,NJ05
247,2014,New Jersey,NJ,False,NJ-06,72190.0,46891.0,120457,Frank Pallone Jr,Anthony E Wilkinson,True,False,592581.15,86230.53,119081.0,60.62260142256112,39.37739857743889,592581.15,86230.53,678811.68,87.29684056114061,12.703159438859393,0.0,0.0,0.0,0.0,6,10.195791095627923,5.386258966612608,62.159653347637686,59.07510647875619,2.6459423408960583,88.8,61.589071892256676,13.085773861881789,13.715502309770402,10.70956230320986,0.15377575900664203,13.3,732657.0,0.0,100.0,0.0,,6,NJ06
248,2014,New Jersey,NJ,False,NJ-07,68232.0,104287.0,175997,Janice Kovach,Leonard Lance,False,True,55272.0,506401.61,172519.0,39.55042632985352,60.44957367014647,55272.0,506401.61,561673.61,9.840590516616937,90.15940948338306,0.0,0.0,0.0,0.0,7,-5.070455619374911,-5.909917596040202,46.89340663263485,47.77892991610338,2.6459423408960583,88.8,80.6600347324874,6.6330436348899,7.416776143832439,4.4795902584574785,0.06519683374415822,18.0,628663.0,103995.0,85.80579206123457,14.194207938765427,,1,NJ07
