year,state,state_po,special,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct
33,2014,Virginia,VA,False,1073667.0,1055940.0,2184473.0,Mark R. Warner,Ed. W. Gillespie,True,False,9562240.78,6062299.0,2129607.0,50.41620355304993,49.583796446950075,9562240.78,6062299.0,15624539.78,61.20014358592519,38.79985641407481
34,2014,West Virginia,WV,False,156360.0,281820.0,453689.0,Natalie Tennant,Shelley Moore Capito,False,False,2840900.0,4960366.0,438180.0,35.683965493632755,64.31603450636725,2840900.0,4960366.0,7801266.0,36.41588429365182,63.58411570634818
35,2014,Wyoming,WY,False,29377.0,121554.0,171153.0,Charlie Hardy,Michael B. Enzi,False,True,62468.0,1374210.0,150931.0,19.46386096958213,80.53613903041787,62468.0,1374210.0,1436678.0,4.348086349202814,95.65191365079718
36,2016,Alabama,AL,False,748709.0,1335104.0,2087444.0,Ron Crumpton,Richard C. Shelby,False,True,29668.0,1663941.0,2083813.0,35.92975953216531,64.07024046783468,29668.0,1663941.0,1693609.0,1.7517620655062651,98.24823793449373
37,2016,Alaska,AK,False,36200.0,138149.0,311441.0,Ray Metcalfe,Lisa Murkowski,False,True,12871.0,2405338.0,174349.0,20.76295246889859,79.23704753110141,12871.0,2405338.0,2418209.0,0.5322534156476962,99.4677465843523
38,2016,Arizona,AZ,False,1031245.0,1359761.0,2530730.0,Ann Kirkpatrick,"['John Mccain', 'Sydney Dudikoff']",False,"[True, False]",8021389.0,"[8126193.81, 0]",2391006.0,43.1301719861849,56.8698280138151,8021389.0,8126193.81,16147582.809999999,49.67547833247495,50.32452166752505
39,2016,Arkansas,AR,False,400602.0,661984.0,1107522.0,Conner Eldridge,John Boozman,False,True,1545422.0,2152542.0,1062586.0,37.700666110790095,62.299333889209905,1545422.0,2152542.0,3697964.0,41.79115859429675,58.20884140570325
40,2016,California,CA,False,12244170.0,,12244170.0,"['Kamala D. Harris', 'Loretta Sanchez']",[],"[False, False]",[],"[13300427.0, 2862805.0]",[],,,,16163232.0,0.0,16163232.0,100.0,0.0
41,2016,Colorado,CO,False,1370710.0,1215318.0,2743023.0,Michael F. Bennet,Darryl Glenn,True,False,10726326.0,3906482.0,2586028.0,53.004453161373355,46.99554683862665,10726326.0,3906482.0,14632808.0,73.30326482791273,26.696735172087273
42,2016,Connecticut,CT,False,920766.0,552621.0,1596276.0,Richard Blumenthal,Dan Carter,True,False,5512687.0,341136.0,1473387.0,62.49315352992798,37.50684647007202,5512687.0,341136.0,5853823.0,94.1724237306116,5.827576269388398
43,2016,Florida,FL,False,4122088.0,4835191.0,9301820.0,Patrick Murphy,Marco Rubio,False,True,13559246.17,13605413.0,8957279.0,46.01942174626915,53.98057825373085,13559246.17,13605413.0,27164659.17,49.91502409488909,50.08497590511091
44,2016,Georgia,GA,False,1599726.0,2135806.0,3898605.0,Jim Barksdale,Johnny Isakson,False,True,507806.0,5398553.39,3735532.0,42.82458295096923,57.17541704903076,507806.0,5398553.39,5906359.39,8.597614308058557,91.40238569194145
45,2016,Hawaii,HI,False,306604.0,92653.0,437664.0,Brian Schatz,John Carroll,True,False,2217734.03,16407.0,399257.0,76.79364419409053,23.206355805909475,2217734.03,16407.0,2234141.03,99.26562379994427,0.7343762000557325
46,2016,Idaho,ID,False,188249.0,449017.0,678943.0,Jerry Sturgill,Mike Crapo,False,True,420560.0,2886863.0,637266.0,29.540097855526575,70.45990214447342,420560.0,2886863.0,3307423.0,12.715639940824019,87.28436005917598
47,2016,Illinois,IL,False,3012940.0,2184692.0,5491878.0,Tammy Duckworth,Mark Kirk,False,True,12903810.0,5460172.0,5197632.0,57.96755137724256,42.03244862275744,12903810.0,5460172.0,18363982.0,70.26694972800561,29.733050271994387
48,2016,Indiana,IN,False,1158947.0,1423991.0,2732546.0,Evan Bayh,Todd C. Young,False,False,2982061.0,7285947.0,2582938.0,44.8693309711654,55.13066902883461,2982061.0,7285947.0,10268008.0,29.04225434962653,70.95774565037347
49,2016,Iowa,IA,False,549460.0,926007.0,1541036.0,Patty Judge,Chuck Grassley,False,True,1796031.0,5633053.0,1475467.0,37.239734944936075,62.760265055063925,1796031.0,5633053.0,7429084.0,24.175672263229224,75.82432773677078
50,2016,Kansas,KS,False,379740.0,732376.0,1177922.0,Patrick Wiesner,Jerry Moran,False,True,6861.0,2098774.0,1112116.0,34.14571861208723,65.85428138791278,6861.0,2098774.0,2105635.0,0.3258399485190928,99.67416005148091
51,2016,Kentucky,KY,False,813246.0,1090177.0,1903465.0,Jim Gray,Rand Paul,False,True,3423981.0,2929424.77,1903423.0,42.72544778538454,57.27455221461546,3423981.0,2929424.77,6353405.77,53.89205607121171,46.107943928788295
