,year,state,state_po,special,district,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct
80,2018,Colorado,CO,False,7,204260.0,119734.0,338006,Ed Perlmutter,Mark Barrington,True,False,638880.58,54251.96,323994.0,63.04437736501293,36.955622634987066,638880.58,54251.96,693132.5399999999,92.17293131267506,7.827068687324938
81,2018,Connecticut,CT,False,1,166155.0,96024.0,274140,John B Larson,Jennifer T Nye,True,True,473228.86,473228.86,262179.0,63.374640989552944,36.62535901044706,473228.86,473228.86,946457.72,50.0,50.0
82,2018,Connecticut,CT,False,2,167659.0,102483.0,289114,Joe Courtney,Danny Postemski Jr,True,False,491669.68,0.0,270142.0,62.063285235172614,37.93671476482739,491669.68,0.0,491669.68,100.0,0.0
83,2018,Connecticut,CT,False,3,163211.0,95667.0,270239,Rosa L Delauro,Angel Cadena,True,False,702376.52,14550.26,258878.0,63.045527236767896,36.9544727632321,702376.52,14550.26,716926.78,97.97046777915033,2.0295322208496662
84,2018,Connecticut,CT,False,4,168726.0,103175.0,275651,Jim Himes,Harry Arora,True,False,919034.6,253854.37,271901.0,62.05420355202813,37.94579644797187,919034.6,253854.37,1172888.97,78.35648757102729,21.643512428972713
85,2018,Connecticut,CT,False,5,142901.0,115146.0,270664,Jahana Hayes,Manny Santos,False,False,1430009.06,67329.7,258047.0,55.37789627470965,44.62210372529035,1430009.06,67329.7,1497338.76,95.50337560219172,4.496624397808282
86,2018,Delaware,DE,False,0,227353.0,125384.0,352737,Lisa Blunt Rochester,Scott Walker,True,False,402612.18,199552.0,352737.0,64.45396995495227,35.54603004504773,402612.18,199552.0,602164.1799999999,66.86086508832193,33.13913491167808
87,2018,Florida,FL,False,1,106199.0,216189.0,322388,Jennifer M Zimmerman,Matt Gaetz,False,True,54562.87,1007246.17,322388.0,32.94136258173381,67.05863741826619,54562.87,1007246.17,1061809.04,5.1386706973223735,94.86132930267762
88,2018,Florida,FL,False,2,96233.0,199335.0,295568,Bob Rackleff,Neal Dunn,False,True,202449.04,837162.25,295568.0,32.558666702755374,67.44133329724463,202449.04,837162.25,1039611.29,19.473532266083797,80.52646773391619
89,2018,Florida,FL,False,3,129880.0,176616.0,306496,Yvonne Hayes Hinson,Ted Yoho,False,True,40949.9,646520.53,306496.0,42.375756942994364,57.62424305700564,40949.9,646520.53,687470.43,5.956605289917706,94.0433947100823
90,2018,Florida,FL,False,4,123351.0,248420.0,381249,"George \""Ges\"" Selmont",John H Rutherford,False,True,68570.93,464645.0,371771.0,33.17929585685812,66.82070414314188,68570.93,464645.0,533215.9299999999,12.859880236511314,87.1401197634887
91,2018,Florida,FL,False,5,180527.0,89799.0,270326,Al Lawson,Virginia Fuller,True,False,228432.5,7667.0,270326.0,66.78121971249529,33.21878028750472,228432.5,7667.0,236099.5,96.75264030631153,3.247359693688466
92,2018,Florida,FL,False,6,145758.0,187891.0,333649,Nancy Soderberg,Michael Waltz,False,False,2896622.67,1246086.85,333649.0,43.68602933022428,56.31397066977573,2896622.67,1246086.85,4142709.52,69.92096974252735,30.07903025747265
93,2018,Florida,FL,False,7,183113.0,134285.0,317398,Stephanie Murphy,Mike Miller,True,False,1680775.02,830594.4,317398.0,57.691919923881066,42.30808007611894,1680775.02,830594.4,2511369.42,66.92663399556726,33.07336600443275
94,2018,Florida,FL,False,8,142415.0,218112.0,360527,Sanjay Patel,Bill Posey,False,True,317787.6,572197.18,360527.0,39.501895835818125,60.498104164181875,317787.6,572197.18,889984.78,35.70708254134413,64.29291745865588
95,2018,Florida,FL,False,9,172172.0,124565.0,296737,Darren Soto,Wayne Liebnitzky,True,False,630932.7,59252.91,296737.0,58.02174989974287,41.97825010025713,630932.7,59252.91,690185.61,91.41493112265844,8.58506887734156
96,2018,Florida,FL,False,10,1.0,,1,Val Demings,[],True,[],246090.06,[],,,,246090.06,0.0,246090.06,100.0,0.0
97,2018,Florida,FL,False,11,128053.0,239395.0,367506,Dana Cottrell,Daniel Webster,False,True,71923.91,445853.04,367448.0,34.84928479676036,65.15071520323964,71923.91,445853.04,517776.94999999995,13.890906113143894,86.10909388685612
98,2018,Florida,FL,False,12,132844.0,194564.0,334918,Chris Hunter,Gus Michael Bilirakis,False,True,718763.38,1055384.47,327408.0,40.57445144895666,59.42554855104335,718763.38,1055384.47,1774147.85,40.51316129036258,59.48683870963741
99,2018,Florida,FL,False,13,182717.0,134254.0,316971,Charlie Crist,George Buck,True,False,2319943.75,34102.76,316971.0,57.644705667079954,42.355294332920046,2319943.75,34102.76,2354046.51,98.55131324486874,1.448686755131274
