"GEO_ID","NAME","B05003I_001E","B05003I_001M","B05003I_002E","B05003I_002M","B05003I_003E","B05003I_003M","B05003I_004E","B05003I_004M","B05003I_005E","B05003I_005M","B05003I_006E","B05003I_006M","B05003I_007E","B05003I_007M","B05003I_008E","B05003I_008M","B05003I_009E","B05003I_009M","B05003I_010E","B05003I_010M","B05003I_011E","B05003I_011M","B05003I_012E","B05003I_012M","B05003I_013E","B05003I_013M","B05003I_014E","B05003I_014M","B05003I_015E","B05003I_015M","B05003I_016E","B05003I_016M","B05003I_017E","B05003I_017M","B05003I_018E","B05003I_018M","B05003I_019E","B05003I_019M","B05003I_020E","B05003I_020M","B05003I_021E","B05003I_021M","B05003I_022E","B05003I_022M","B05003I_023E","B05003I_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"0400000US26","Michigan","457109","21","232793","335","89417","255","84565","539","4852","477","1427","321","3425","410","143376","180","91418","1490","51958","1458","12844","782","39114","1464","224316","331","85496","296","80407","664","5089","623","1261","257","3828","578","138820","133","95479","1147","43341","1145","13017","746","30324","980",
"0400000US27","Minnesota","264265","64","138457","405","54521","366","49834","534","4687","408","1389","250","3298","404","83936","161","35082","1239","48854","1226","10286","735","38568","1147","125808","396","51376","359","46122","570","5254","517","1782","279","3472","481","74432","154","33072","1008","41360","1030","10400","674","30960","1021",
"0400000US28","Mississippi","84073","809","47816","954","14426","508","13028","533","1398","294","222","107","1176","264","33390","867","14029","902","19361","1055","3069","480","16292","1060","36257","594","13827","451","12615","528","1212","281","108","56","1104","285","22430","431","12140","719","10290","640","2477","434","7813","579",
"0400000US29","Missouri","226388","216","117401","603","43548","494","40299","625","3249","469","826","207","2423","407","73853","414","41028","1083","32825","1072","8182","630","24643","1085","108987","603","41285","469","38014","608","3271","458","832","250","2439","412","67702","398","40774","1117","26928","970","7886","511","19042","897",
"0400000US30","Montana","31902","187","15889","363","5860","294","5749","296","111","67","20","22","91","66","10029","262","8513","325","1516","273","852","189","664","195","16013","364","6074","278","5975","273","99","46","41","31","58","35","9939","228","8422","343","1517","287","711","183","806","227",
"0400000US31","Nebraska","180448","62","94328","370","37802","307","35207","468","2595","421","276","110","2319","409","56526","231","23095","1022","33431","1009","9259","746","24172","992","86120","372","35727","296","33075","483","2652","373","376","115","2276","360","50393","227","22994","884","27399","825","7787","639","19612","948",
"0400000US32","Nevada","752049","*****","383529","189","134778","182","125151","971","9627","927","1037","250","8590","877","248751","66","105143","2040","143608","2030","43168","1269","100440","1975","368520","190","129618","182","121329","850","8289","779","711","208","7578","765","238902","66","103593","1884","135309","1885","45221","1587","90088","1984",
"0400000US33","New Hampshire","40301","*****","20331","267","7168","214","6740","266","428","191","132","87","296","173","13163","137","8452","347","4711","367","1934","258","2777","417","19970","267","7105","221","6757","282","348","168","66","51","282","159","12865","154","7667","417","5198","402","2610","349","2588","421",
"0400000US34","New Jersey","1649784","*****","830336","69","247354","67","225252","1164","22102","1166","4024","544","18078","1153","582982","*****","243089","3059","339893","3055","120051","2620","219842","3673","819448","70","236849","70","215633","1123","21216","1126","4147","573","17069","1069","582599","*****","255667","3115","326932","3109","143040","2408","183892","3512",
"0400000US35","New Mexico","978189","*****","485798","297","153337","296","146644","756","6693","682","712","246","5981","639","332461","*****","257980","2209","74481","2212","20434","1110","54047","1949","492391","298","147619","300","141510","847","6109","749","543","150","5566","718","344772","*****","272602","1754","72170","1755","23038","1036","49132","1739",
"0400000US36","New York","3559644","*****","1756254","368","507326","303","467697","1679","39629","1653","7479","703","32150","1432","1248928","211","602488","5288","646440","5271","224693","3361","421747","5600","1803390","369","486600","305","451016","1525","35584","1498","7442","634","28142","1336","1316790","210","649265","4908","667525","4890","301215","3072","366310","4813",
"0400000US37","North Carolina","848597","123","449259","889","168063","824","150736","1263","17327","963","1608","313","15719","996","281196","450","79469","2119","201727","2129","30340","1524","171387","2653","399338","905","161321","826","146327","1582","14994","1221","1320","268","13674","1197","238017","382","80758","2109","157259","2047","29259","1078","128000","2253",
"0400000US38","North Dakota","18250","32","9596","303","3479","249","3406","255","73","58","59","56","14","12","6117","227","4959","293","1158","222","431","138","727","204","8654","302","3512","237","3419","238","93","74","48","54","45","57","5142","195","4067","280","1075","193","609","160","466","137",
