"GEO_ID","NAME","B05003H_001E","B05003H_001M","B05003H_002E","B05003H_002M","B05003H_003E","B05003H_003M","B05003H_004E","B05003H_004M","B05003H_005E","B05003H_005M","B05003H_006E","B05003H_006M","B05003H_007E","B05003H_007M","B05003H_008E","B05003H_008M","B05003H_009E","B05003H_009M","B05003H_010E","B05003H_010M","B05003H_011E","B05003H_011M","B05003H_012E","B05003H_012M","B05003H_013E","B05003H_013M","B05003H_014E","B05003H_014M","B05003H_015E","B05003H_015M","B05003H_016E","B05003H_016M","B05003H_017E","B05003H_017M","B05003H_018E","B05003H_018M","B05003H_019E","B05003H_019M","B05003H_020E","B05003H_020M","B05003H_021E","B05003H_021M","B05003H_022E","B05003H_022M","B05003H_023E","B05003H_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"0400000US25","Massachusetts","4992644","1806","2414540","1144","472472","477","464884","876","7588","695","2253","327","5335","671","1942068","1005","1778210","2690","163858","2605","95539","2060","68319","2221","2578104","965","449330","459","441513","852","7817","724","2672","398","5145","631","2128774","790","1953583","2297","175191","2176","108059","2040","67132","1909",
"0400000US26","Michigan","7526388","933","3710355","567","794529","348","784549","852","9980","741","3596","362","6384","646","2915826","423","2792627","2137","123199","2045","76702","1513","46497","1579","3816033","523","753344","294","743826","801","9518","676","3726","341","5792","597","3062689","382","2929639","2393","133050","2324","83931","1836","49119","1640",
"0400000US27","Minnesota","4421799","814","2187439","501","472466","302","469404","566","3062","489","1516","254","1546","422","1714973","314","1685089","1118","29884","1054","17156","905","12728","784","2234360","393","450249","233","447329","408","2920","314","1439","192","1481","241","1784111","296","1750413","1175","33698","1139","20795","966","12903","666",
"0400000US28","Mississippi","1718713","395","844157","439","188010","383","187472","436","538","186","273","134","265","128","656147","164","652034","516","4113","500","2107","346","2006","359","874556","414","178995","366","178535","432","460","163","242","111","218","130","695561","205","689675","556","5886","480","3476","379","2410","316",
"0400000US29","Missouri","4851262","942","2382640","556","533359","304","530633","555","2726","440","1227","253","1499","322","1849281","435","1820266","1614","29015","1453","15816","1020","13199","815","2468622","510","506219","394","503355","589","2864","408","1395","281","1469","297","1962403","300","1929104","1406","33299","1384","19249","992","14050","948",
"0400000US30","Montana","877713","169","441057","196","91225","165","90978","188","247","82","69","37","178","75","349832","91","345611","439","4221","445","2277","324","1944","309","436656","173","86516","168","86272","208","244","99","128","83","116","60","350140","91","343476","476","6664","476","3857","355","2807","306",
"0400000US31","Nebraska","1506879","403","744041","265","169396","116","168452","312","944","298","286","129","658","273","574645","203","567941","552","6704","529","3523","350","3181","431","762838","226","160844","151","160076","282","768","235","245","86","523","211","601994","134","594015","647","7979","633","4880","469","3099","387",
"0400000US32","Nevada","1455192","653","741020","425","129899","216","128900","292","999","214","234","91","765","198","611121","339","579300","1596","31821","1483","19805","1135","12016","903","714172","360","123172","224","122120","377","1052","268","250","100","802","252","591000","244","554158","1510","36842","1494","23520","1241","13322","888",
"0400000US33","New Hampshire","1210946","522","596620","325","122661","194","121848","286","813","201","343","128","470","145","473959","165","460001","713","13958","723","8722","628","5236","527","614326","236","116720","136","115836","217","884","196","514","165","370","126","497606","159","480551","826","17055","856","10876","646","6179","498",
"0400000US34","New Jersey","5131568","2063","2497023","1211","520506","532","510695","917","9811","713","3036","386","6775","673","1976517","1004","1779678","3116","196839","2814","129876","2147","66963","1797","2634545","1155","493217","511","483929","901","9288","754","3415","392","5873","607","2141328","817","1927188","3291","214140","3065","145791","2657","68349","1984",
"0400000US35","New Mexico","824291","640","407507","483","67276","349","66270","466","1006","290","301","129","705","272","340231","336","330574","666","9657","609","5333","519","4324","424","416784","543","63857","364","63095","406","762","228","199","100","563","191","352927","326","340404","823","12523","852","7729","682","4794","507",
"0400000US36","New York","11220383","2140","5477616","1145","1093917","608","1075245","1270","18672","1167","7100","658","11572","983","4383699","946","3928252","4702","455447","4441","296951","3134","158496","2828","5742767","1374","1036086","745","1018213","1322","17873","1171","5999","593","11874","1022","4706681","1011","4194695","5127","511986","5051","344912","3899","167074","3028",
"0400000US37","North Carolina","6294528","1397","3073829","791","635169","600","631001","783","4168","568","1708","341","2460","432","2438660","441","2385570","1711","53090","1669","28850","1250","24240","1181","3220699","922","602787","558","598927","781","3860","584","1570","282","2290","468","2617912","563","2556266","2053","61646","1961","34625","1328","27021","1417",
"0400000US38","North Dakota","618458","147","314068","101","65023","54","64801","145","222","129","40","33","182","126","249045","80","246356","377","2689","364","1274","264","1415","263","304390","114","61924","90","61709","132","215","97","42","23","173","91","242466","65","238672","489","3794","475","1994","349","1800","278",
"0400000US39","Ohio","9311563","1211","4559954","774","1009513","442","1004034","685","5479","500","2374","328","3105","443","3550441","570","3477092","2036","73349","1997","47381","1474","25968","1178","4751609","726","957857","458","952625","769","5232","649","2177","295","3055","549","3793752","517","3711014","1970","82738","2024","55054","1521","27684","1343",
"0400000US40","Oklahoma","2587971","522","1272530","299","266719","172","265749","308","970","262","286","108","684","244","1005811","228","994532","774","11279","725","5908","457","5371","557","1315441","316","252272","182","251563","246","709","167","276","105","433","126","1063169","220","1047918","829","15251","799","8677","508","6574","543",
"0400000US41","Oregon","3027597","1236","1487638","684","288083","271","285523","497","2560","427","590","168","1970","406","1199555","493","1161456","1432","38099","1344","19997","934","18102","1068","1539959","643","273188","257","270399","499","2789","445","815","242","1974","371","1266771","499","1219924","1622","46847","1433","28395","1065","18452","1067",
"0400000US42","Pennsylvania","10020439","1510","4889947","1036","980469","398","973794","778","6675","649","2898","385","3777","477","3909478","923","3807876","2536","101602","2240","62955","1718","38647","1398","5130492","731","930470","387","923825","791","6645","691","2918","404","3727","484","4200022","499","4083824","2758","116198","2678","76781","1799","39417","1694",
"0400000US44","Rhode Island","790922","841","380285","454","69138","317","68428","377","710","194","370","152","340","139","311147","311","293639","835","17508","820","11792","720","5716","491","410637","551","65787","246","65278","299","509","176","205","114","304","131","344850","383","324152","1028","20698","1061","14656","795","6042","523",
"0400000US45","South Carolina","3021819","624","1479062","420","304878","276","303139","402","1739","323","658","169","1081","260","1174184","295","1149811","1137","24373","1167","12487","859","11886","814","1542757","413","290030","290","288550","388","1480","271","528","184","952","209","1252727","211","1224418","1326","28309","1313","15094","919","13215","981",
"0400000US46","South Dakota","697982","316","348899","291","78686","148","78329","214","357","148","114","69","243","130","270213","227","267960","480","2253","378","1358","272","895","220","349083","202","73764","158","73581","175","183","69","34","23","149","68","275319","118","272587","343","2732","305","1739","259","993","196",
"0400000US47","Tennessee","4838950","1225","2360362","708","511597","375","508632","598","2965","473","1205","229","1760","417","1848765","532","1820678","1396","28087","1335","14710","874","13377","911","2478588","718","486556","399","483623","620","2933","436","1094","269","1839","371","1992032","451","1959909","1401","32123","1346","17206","879","14917","980",
"0400000US48","Texas","11562453","2136","5721040","1430","1189328","918","1175934","1402","13394","1100","3414","434","9980","979","4531712","1151","4380019","3192","151693","3000","77261","2039","74432","1949","5841413","1373","1126515","962","1112392","1684","14123","1193","3898","510","10225","1000","4714898","850","4547065","3046","167833","2963","90304","2290","77529","2254",
"0400000US49","Utah","2279901","848","1140893","552","342706","301","341011","428","1695","336","576","150","1119","297","798187","354","779957","1038","18230","953","9964","652","8266","666","1139008","382","324388","201","322494","377","1894","316","674","212","1220","264","814620","306","792032","1129","22588","1092","13301","760","9287","766",
"0400000US50","Vermont","587883","170","289557","104","58200","59","57890","138","310","131","170","89","140","106","231357","81","225358","418","5999","432","3898","362","2101","271","298326","93","54594","72","54291","131","303","106","232","94","71","53","243732","69","235671","466","8061","454","5295","353","2766","276",
"0400000US51","Virginia","5227415","1146","2580502","840","533409","517","527116","1031","6293","737","2032","323","4261","669","2047093","562","1974060","2111","73033","1955","43739","1415","29294","1354","2646913","804","505552","640","499368","866","6184","633","2172","340","4012","479","2141361","390","2046671","2164","94690","2200","56589","1769","38101","1340",
"0400000US53","Washington","4921929","985","2448945","493","483757","271","475237","854","8520","829","2764","352","5756","742","1965188","446","1867218","2156","97970","2122","54164","1578","43806","1806","2472984","667","458837","294","450194","791","8643","787","2845","449","5798","656","2014147","479","1896274","2741","117873","2793","70098","1843","47775","2011",
"0400000US54","West Virginia","1718871","445","844204","359","176404","272","176139","300","265","127","71","40","194","122","667800","237","663734","582","4066","528","2017","373","2049","336","874667","319","167744","259","167492","288","252","125","118","70","134","87","706923","186","702891","447","4032","421","2342","300","1690","242",
"0400000US55","Wisconsin","4733711","712","2345119","429","490241","183","487884","394","2357","322","1319","227","1038","226","1854878","317","1826052","902","28826","913","17786","750","11040","585","2388592","386","465119","189","462971","346","2148","267","1203","188","945","180","1923473","274","1891697","1111","31776","1089","20391","814","11385","692",
"0400000US56","Wyoming","487918","181","248096","201","55336","164","55140","208","196","116","9","9","187","116","192760","91","190912","391","1848","366","647","176","1201","312","239822","176","51810","161","51682","183","128","69","21","23","107","66","188012","71","185234","386","2778","380","1625","268","1153","244",
"0400000US72","Puerto Rico","25583","1356","13165","893","2667","403","2542","380","125","118","18","29","107","114","10498","762","8790","743","1708","301","988","287","720","145","12418","771","2093","365","1971","334","122","94","52","62","70","70","10325","637","8692","550","1633","325","722","222","911","237",
