"GEO_ID","NAME","B05003G_001E","B05003G_001M","B05003G_002E","B05003G_002M","B05003G_003E","B05003G_003M","B05003G_004E","B05003G_004M","B05003G_005E","B05003G_005M","B05003G_006E","B05003G_006M","B05003G_007E","B05003G_007M","B05003G_008E","B05003G_008M","B05003G_009E","B05003G_009M","B05003G_010E","B05003G_010M","B05003G_011E","B05003G_011M","B05003G_012E","B05003G_012M","B05003G_013E","B05003G_013M","B05003G_014E","B05003G_014M","B05003G_015E","B05003G_015M","B05003G_016E","B05003G_016M","B05003G_017E","B05003G_017M","B05003G_018E","B05003G_018M","B05003G_019E","B05003G_019M","B05003G_020E","B05003G_020M","B05003G_021E","B05003G_021M","B05003G_022E","B05003G_022M","B05003G_023E","B05003G_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"0400000US35","New Mexico","65097","2494","33171","1425","14678","909","14585","908","93","57","44","58","49","44","18493","892","16755","898","1738","328","709","185","1029","262","31926","1568","13962","1029","13716","1016","246","242","46","64","200","233","17964","940","16171","880","1793","416","822","259","971","305",
"0400000US36","New York","548262","9544","269588","5138","114754","3050","110565","2941","4189","568","1235","242","2954","491","154834","3542","95870","2451","58964","2366","29377","1299","29587","1874","278674","5582","111363","2972","106503","2899","4860","776","1689","356","3171","650","167311","3744","103463","2770","63848","2126","35440","1394","28408","1567",
"0400000US37","North Carolina","226539","4745","110726","2991","58715","2033","57809","2026","906","272","188","107","718","234","52011","1719","43603","1633","8408","885","2758","375","5650","844","115813","2822","59484","2095","58657","2058","827","228","210","95","617","195","56329","1793","49338","1586","6991","688","2822","425","4169","518",
"0400000US38","North Dakota","14836","956","7403","609","4062","449","3998","449","64","49","0","20","64","49","3341","329","3143","331","198","96","86","55","112","72","7433","602","3673","362","3625","350","48","56","29","48","19","29","3760","432","3577","405","183","96","50","35","133","89",
"0400000US39","Ohio","274026","4644","136714","2455","76577","1941","75828","1937","749","180","293","103","456","140","60137","1656","55102","1544","5035","462","2263","322","2772","370","137312","3041","72607","2160","72129","2132","478","147","137","57","341","139","64705","1779","59984","1720","4721","500","2449","320","2272","379",
"0400000US40","Oklahoma","296110","4070","146357","2388","64050","1605","63740","1581","310","124","23","18","287","121","82307","1544","78001","1338","4306","706","1107","223","3199","659","149753","2418","62225","1364","61817","1304","408","203","41","34","367","191","87528","1686","84532","1669","2996","448","1041","202","1955","420",
"0400000US41","Oregon","153814","3040","76477","1954","33887","1271","33317","1241","570","250","101","66","469","247","42590","1442","37900","1272","4690","541","1898","274","2792","447","77337","1997","31100","1294","30795","1298","305","134","92","55","213","121","46237","1427","42041","1356","4196","493","1986","311","2210","357",
"0400000US42","Pennsylvania","259758","4649","128219","2710","67240","1907","66029","1873","1211","266","409","182","802","184","60979","1733","50163","1536","10816","944","4603","423","6213","772","131539","2613","66355","1731","65300","1698","1055","225","405","105","650","187","65184","1714","55483","1739","9701","641","4748","433","4953","465",
"0400000US44","Rhode Island","29345","1850","15144","1120","6881","653","6645","641","236","160","25","24","211","156","8263","740","6264","625","1999","360","923","194","1076","261","14201","1069","5947","489","5868","488","79","50","14","21","65","45","8254","808","6266","658","1988","356","1096","248","892","229",
"0400000US45","South Carolina","90899","3167","44573","1940","24911","1330","24497","1318","414","190","100","74","314","184","19662","1155","17360","1091","2302","431","1028","307","1274","300","46326","2148","23943","1468","23596","1466","347","134","55","45","292","133","22383","1282","20246","1176","2137","384","919","240","1218","289",
"0400000US46","South Dakota","20693","1143","10262","685","5428","566","5409","565","19","29","2","10","17","27","4834","403","4580","373","254","138","114","90","140","86","10431","696","5186","386","5163","387","23","22","0","22","23","22","5245","508","5043","508","202","97","67","54","135","77",
"0400000US47","Tennessee","122662","3351","60717","2032","30093","1311","29557","1282","536","194","182","96","354","153","30624","1261","26910","1096","3714","555","1497","275","2217","484","61945","2143","30507","1426","30000","1390","507","174","222","118","285","124","31438","1240","28405","1093","3033","496","1415","283","1618","347",
"0400000US48","Texas","620302","9850","307032","5206","145765","3511","142536","3458","3229","558","645","230","2584","528","161267","3233","126521","2806","34746","1676","15090","1000","19656","1331","313270","5952","143941","3316","141055","3282","2886","418","550","152","2336","386","169329","3927","137049","3168","32280","1615","15016","905","17264","1169",
"0400000US49","Utah","70463","2336","35671","1386","20072","1034","19723","1002","349","147","169","97","180","99","15599","800","13812","739","1787","309","703","167","1084","219","34792","1397","19129","978","18843","963","286","124","111","75","175","106","15663","821","13198","746","2465","384","1065","199","1400","271",
"0400000US50","Vermont","12192","453","5846","325","2808","242","2753","239","55","41","29","26","26","34","3038","231","2892","226","146","61","56","44","90","51","6346","336","2757","216","2698","212","59","44","12","12","47","43","3589","236","3188","204","401","114","253","102","148","69",
"0400000US51","Virginia","255121","5604","126682","3550","64260","2240","63001","2221","1259","284","405","133","854","253","62422","2146","47766","1767","14656","1128","8011","707","6645","812","128439","2854","62689","1969","61262","1906","1427","267","563","151","864","229","65750","2011","51067","1798","14683","907","8295","693","6388","613",
"0400000US53","Washington","338963","5562","170410","2923","82275","2138","81546","2116","729","188","160","71","569","180","88135","1757","78799","1691","9336","762","4441","426","4895","586","168553","3430","77843","2106","77028","2096","815","198","267","112","548","176","90710","2116","80996","1848","9714","912","5049","519","4665","668",
"0400000US54","West Virginia","36921","1583","18773","1041","9036","625","8943","640","93","92","0","27","93","92","9737","671","9210","672","527","163","212","92","315","124","18148","946","8197","558","8176","558","21","26","0","27","21","26","9951","670","9448","632","503","175","355","157","148","63",
"0400000US55","Wisconsin","120776","2904","60868","1762","33564","1361","33156","1339","408","139","118","58","290","122","27304","1081","24783","967","2521","348","898","176","1623","314","59908","1799","31984","1236","31666","1217","318","160","83","41","235","153","27924","1084","25792","1045","2132","323","887","205","1245","268",
"0400000US56","Wyoming","15518","1031","8359","704","3935","438","3867","432","68","72","9","18","59","71","4424","517","4028","478","396","159","121","78","275","143","7159","581","3192","426","3189","426","3","7","0","27","3","7","3967","394","3635","363","332","178","120","71","212","159",
"0400000US72","Puerto Rico","396212","6633","191919","3804","54694","1865","54416","1860","278","110","79","55","199","100","137225","2772","132486","2910","4739","406","1330","220","3409","391","204293","3705","50999","1799","50693","1788","306","132","31","37","275","113","153294","2788","147192","2711","6102","541","1718","296","4384","451",
