"GEO_ID","NAME","B05003I_001E","B05003I_001M","B05003I_002E","B05003I_002M","B05003I_003E","B05003I_003M","B05003I_004E","B05003I_004M","B05003I_005E","B05003I_005M","B05003I_006E","B05003I_006M","B05003I_007E","B05003I_007M","B05003I_008E","B05003I_008M","B05003I_009E","B05003I_009M","B05003I_010E","B05003I_010M","B05003I_011E","B05003I_011M","B05003I_012E","B05003I_012M","B05003I_013E","B05003I_013M","B05003I_014E","B05003I_014M","B05003I_015E","B05003I_015M","B05003I_016E","B05003I_016M","B05003I_017E","B05003I_017M","B05003I_018E","B05003I_018M","B05003I_019E","B05003I_019M","B05003I_020E","B05003I_020M","B05003I_021E","B05003I_021M","B05003I_022E","B05003I_022M","B05003I_023E","B05003I_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US3611","Congressional District 11 (114th Congress), New York","115552","2018","56944","1184","18077","580","17282","556","795","237","249","116","546","206","38867","920","23472","915","15395","1123","4997","483","10398","933","58608","1085","17760","566","17036","598","724","234","153","87","571","221","40848","819","26520","882","14328","889","6639","638","7689","622",
"5001400US3612","Congressional District 12 (114th Congress), New York","96863","3661","47037","2152","8297","881","7649","760","648","412","158","92","490","388","38740","1697","21645","1115","17095","1330","7705","797","9390","1075","49826","2121","8669","1031","7905","955","764","331","157","96","607","310","41157","1724","21484","1234","19673","1279","11099","1104","8574","754",
"5001400US3613","Congressional District 13 (114th Congress), New York","404840","4772","191860","2951","50038","1471","44471","1422","5567","655","1121","301","4446","623","141822","2441","61483","2153","80339","2308","30550","1541","49789","2195","212980","2730","47143","1533","42355","1479","4788","575","1218","261","3570","500","165837","1844","69456","1878","96381","1992","49726","1509","46655","1960",
"5001400US3614","Congressional District 14 (114th Congress), New York","344470","6055","177428","3489","43419","1754","39698","1604","3721","469","520","192","3201","445","134009","2648","45912","1634","88097","2251","26174","1127","61923","2082","167042","3524","41059","1831","37565","1714","3494","495","525","201","2969","429","125983","2316","46917","1620","79066","2018","31561","1248","47505","1889",
"5001400US3615","Congressional District 15 (114th Congress), New York","482996","4448","225575","2765","72912","1428","66154","1487","6758","707","902","229","5856","681","152663","2144","73393","2297","79270","2366","25245","1145","54025","2360","257421","2609","70683","1374","64357","1440","6326","680","918","204","5408","645","186738","1932","93037","2026","93701","2241","38757","1256","54944","2047",
"5001400US3616","Congressional District 16 (114th Congress), New York","174095","3653","83868","2372","25860","1257","24292","1231","1568","271","295","125","1273","263","58008","1817","30539","1643","27469","1290","11153","1081","16316","1043","90227","2094","24377","960","23187","1000","1190","253","272","117","918","237","65850","1496","36122","1480","29728","1313","14234","882","15494","1084",
"5001400US3617","Congressional District 17 (114th Congress), New York","153916","2554","79939","1611","23062","865","20962","869","2100","404","415","143","1685","361","56877","1189","18945","960","37932","1293","10086","738","27846","1248","73977","1495","21986","727","19961","795","2025","330","398","148","1627","329","51991","1073","19297","950","32694","1095","11475","755","21219","1120",
"5001400US3618","Congressional District 18 (114th Congress), New York","112030","1044","56777","676","19008","325","18028","368","980","229","193","89","787","203","37769","545","21574","855","16195","972","5175","565","11020","931","55253","575","18195","299","17359","367","836","228","108","67","728","215","37058","430","22713","813","14345","890","6113","557","8232","712",
"5001400US3619","Congressional District 19 (114th Congress), New York","47434","805","25388","569","7467","296","7091","305","376","157","126","68","250","127","17921","434","12208","544","5713","489","1967","281","3746","418","22046","449","7415","271","6975","312","440","151","79","45","361","149","14631","311","9927","385","4704","440","1872","278","2832","349",
"5001400US3620","Congressional District 20 (114th Congress), New York","41514","475","20767","296","7410","156","6969","237","441","229","180","136","261","209","13357","196","10474","360","2883","391","1209","197","1674","333","20747","268","6976","183","6782","208","194","109","110","78","84","68","13771","178","11133","376","2638","333","1572","254","1066","217",
"5001400US3621","Congressional District 21 (114th Congress), New York","21832","454","13403","331","3339","189","3245","195","94","53","38","30","56","42","10064","215","7462","315","2602","272","776","144","1826","263","8429","297","3031","207","2860","197","171","105","35","29","136","105","5398","200","4041","221","1357","182","590","133","767","179",
"5001400US3622","Congressional District 22 (114th Congress), New York","24128","230","12624","235","4477","130","4379","143","98","56","39","35","59","42","8147","163","6425","241","1722","212","575","139","1147","161","11504","185","4120","129","3993","151","127","74","53","51","74","57","7384","137","5865","280","1519","228","779","168","740","170",
"5001400US3623","Congressional District 23 (114th Congress), New York","24674","341","13152","276","4245","192","4125","193","120","80","22","21","98","79","8907","163","7316","285","1591","243","362","126","1229","218","11522","295","3825","219","3703","223","122","70","26","21","96","68","7697","156","6287","244","1410","253","648","144","762","192",
"5001400US3624","Congressional District 24 (114th Congress), New York","28257","194","14372","163","5165","115","4991","147","174","93","84","63","90","69","9207","80","6867","398","2340","402","1109","218","1231","323","13885","125","5200","88","5019","113","181","82","95","61","86","54","8685","90","6507","291","2178","296","1052","184","1126","214",
"5001400US3625","Congressional District 25 (114th Congress), New York","57013","314","27675","305","10604","69","10088","146","516","147","189","83","327","147","17071","323","13980","399","3091","304","1421","236","1670","246","29338","154","10107","102","9739","134","368","93","237","83","131","65","19231","78","15829","307","3402","301","1626","230","1776","282",
"5001400US3626","Congressional District 26 (114th Congress), New York","40138","816","19767","484","7673","231","7457","242","216","101","145","80","71","66","12094","359","10789","469","1305","338","685","284","620","173","20371","502","7369","329","7175","332","194","80","124","70","70","54","13002","330","11306","394","1696","250","959","210","737","172",
"5001400US3627","Congressional District 27 (114th Congress), New York","18736","886","10160","562","2891","281","2781","282","110","66","59","43","51","48","7269","475","5182","341","2087","418","696","188","1391","428","8576","577","3445","359","3135","379","310","155","143","89","167","122","5131","372","4047","380","1084","187","545","163","539","157",
"5001400US3701","Congressional District 1 (114th Congress), North Carolina","57039","1850","31019","1183","10943","623","9768","575","1175","288","30","34","1145","281","20076","910","4181","506","15895","865","1440","342","14455","919","26020","1020","10671","648","9750","660","921","275","43","50","878","264","15349","581","4598","550","10751","474","1311","259","9440","491",
