"GEO_ID","NAME","B05003E_001E","B05003E_001M","B05003E_002E","B05003E_002M","B05003E_003E","B05003E_003M","B05003E_004E","B05003E_004M","B05003E_005E","B05003E_005M","B05003E_006E","B05003E_006M","B05003E_007E","B05003E_007M","B05003E_008E","B05003E_008M","B05003E_009E","B05003E_009M","B05003E_010E","B05003E_010M","B05003E_011E","B05003E_011M","B05003E_012E","B05003E_012M","B05003E_013E","B05003E_013M","B05003E_014E","B05003E_014M","B05003E_015E","B05003E_015M","B05003E_016E","B05003E_016M","B05003E_017E","B05003E_017M","B05003E_018E","B05003E_018M","B05003E_019E","B05003E_019M","B05003E_020E","B05003E_020M","B05003E_021E","B05003E_021M","B05003E_022E","B05003E_022M","B05003E_023E","B05003E_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US3910","Congressional District 10 (114th Congress), Ohio","286","64","49","53","0","27","0","27","0","27","0","27","0","27","49","53","49","53","0","27","0","27","0","27","237","80","0","27","0","27","0","27","0","27","0","27","237","80","169","94","68","78","49","74","19","27",
"5001400US3911","Congressional District 11 (114th Congress), Ohio","109","67","67","54","19","33","0","27","19","33","19","33","0","27","48","44","48","44","0","27","0","27","0","27","42","34","9","15","9","15","0","27","0","27","0","27","33","28","33","28","0","27","0","27","0","27",
"5001400US3912","Congressional District 12 (114th Congress), Ohio","202","162","99","107","61","70","61","70","0","27","0","27","0","27","38","43","38","43","0","27","0","27","0","27","103","74","11","20","11","20","0","27","0","27","0","27","92","65","92","65","0","27","0","27","0","27",
"5001400US3913","Congressional District 13 (114th Congress), Ohio","73","63","63","62","0","27","0","27","0","27","0","27","0","27","63","62","63","62","0","27","0","27","0","27","10","12","0","27","0","27","0","27","0","27","0","27","10","12","10","12","0","27","0","27","0","27",
"5001400US3914","Congressional District 14 (114th Congress), Ohio","72","56","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","72","56","26","31","10","16","16","21","0","27","16","21","46","37","40","36","6","10","0","27","6","10",
"5001400US3915","Congressional District 15 (114th Congress), Ohio","196","131","89","119","0","27","0","27","0","27","0","27","0","27","89","119","89","119","0","27","0","27","0","27","107","98","0","27","0","27","0","27","0","27","0","27","107","98","85","86","22","36","0","27","22","36",
"5001400US3916","Congressional District 16 (114th Congress), Ohio","74","77","20","24","1","2","1","2","0","27","0","27","0","27","19","24","19","24","0","27","0","27","0","27","54","74","24","31","15","27","9","16","9","16","0","27","30","45","26","44","4","9","0","27","4","9",
"5001400US4001","Congressional District 1 (114th Congress), Oklahoma","484","69","213","51","76","35","76","35","0","22","0","22","0","22","137","29","75","38","62","32","4","9","58","33","271","52","100","35","87","39","13","21","7","11","6","11","171","34","73","35","98","43","6","13","92","43",
"5001400US4002","Congressional District 2 (114th Congress), Oklahoma","595","125","334","82","100","40","81","43","19","14","15","12","4","7","234","61","156","65","78","20","0","22","78","20","261","74","66","23","47","23","19","10","16","10","3","4","195","68","151","65","44","17","3","3","41","17",
"5001400US4003","Congressional District 3 (114th Congress), Oklahoma","1492","100","843","67","323","63","217","90","106","53","39","29","67","56","520","72","136","60","384","55","36","49","348","64","649","86","249","62","158","105","91","59","0","22","91","59","400","76","205","87","195","49","14","20","181","45",
"5001400US4004","Congressional District 4 (114th Congress), Oklahoma","1235","258","606","151","223","113","223","113","0","22","0","22","0","22","383","87","323","76","60","63","7","12","53","63","629","154","132","84","132","84","0","22","0","22","0","22","497","112","398","101","99","77","53","49","46","59",
"5001400US4005","Congressional District 5 (114th Congress), Oklahoma","584","93","314","42","102","25","85","26","17","24","0","22","17","24","212","30","169","41","43","33","0","22","43","33","270","81","83","37","83","37","0","22","0","22","0","22","187","62","158","58","29","28","7","9","22","27",
"5001400US4101","Congressional District 1 (114th Congress), Oregon","3007","450","1490","300","288","147","256","117","32","54","0","28","32","54","1202","203","1039","196","163","150","28","34","135","145","1517","243","445","155","419","157","26","35","8","16","18","22","1072","146","881","126","191","111","80","63","111","83",
"5001400US4102","Congressional District 2 (114th Congress), Oregon","1760","285","1047","225","283","120","229","129","54","52","30","43","24","23","764","144","605","153","159","53","64","53","95","51","713","154","131","83","120","81","11","11","0","28","11","11","582","142","449","130","133","50","41","41","92","42",
