"GEO_ID","NAME","B05003F_001E","B05003F_001M","B05003F_002E","B05003F_002M","B05003F_003E","B05003F_003M","B05003F_004E","B05003F_004M","B05003F_005E","B05003F_005M","B05003F_006E","B05003F_006M","B05003F_007E","B05003F_007M","B05003F_008E","B05003F_008M","B05003F_009E","B05003F_009M","B05003F_010E","B05003F_010M","B05003F_011E","B05003F_011M","B05003F_012E","B05003F_012M","B05003F_013E","B05003F_013M","B05003F_014E","B05003F_014M","B05003F_015E","B05003F_015M","B05003F_016E","B05003F_016M","B05003F_017E","B05003F_017M","B05003F_018E","B05003F_018M","B05003F_019E","B05003F_019M","B05003F_020E","B05003F_020M","B05003F_021E","B05003F_021M","B05003F_022E","B05003F_022M","B05003F_023E","B05003F_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US1502","Congressional District 2 (114th Congress), Hawaii","9620","1134","4882","652","987","289","967","287","20","25","0","26","20","25","3895","499","2606","372","1289","346","506","220","783","247","4738","663","1155","290","1140","290","15","22","14","18","1","10","3583","519","2416","472","1167","335","525","187","642","304",
"5001400US1601","Congressional District 1 (114th Congress), Idaho","12041","1398","6063","826","1876","421","1727","388","149","77","2","3","147","77","4187","546","2240","354","1947","396","648","268","1299","348","5978","800","1757","367","1691","365","66","45","0","27","66","45","4221","617","2271","479","1950","415","814","256","1136","299",
"5001400US1602","Congressional District 2 (114th Congress), Idaho","25512","1904","13423","1137","4812","639","4317","605","495","170","29","30","466","173","8611","692","2888","428","5723","587","1840","323","3883","471","12089","953","4824","526","4253","533","571","210","103","79","468","195","7265","612","3001","449","4264","479","1192","245","3072","387",
"5001400US1701","Congressional District 1 (114th Congress), Illinois","27330","2439","14218","1258","4939","631","4656","599","283","129","20","32","263","132","9279","863","3504","461","5775","692","2012","346","3763","615","13112","1389","4822","744","4534","734","288","134","46","48","242","123","8290","854","3443","454","4847","675","1396","321","3451","634",
"5001400US1702","Congressional District 2 (114th Congress), Illinois","25169","2297","12997","1141","4651","585","4442","572","209","108","28","35","181","99","8346","809","4541","591","3805","491","1376","256","2429","363","12172","1290","3913","529","3636","524","277","148","69","79","208","115","8259","909","4251","605","4008","523","1788","353","2220","399",
"5001400US1703","Congressional District 3 (114th Congress), Illinois","87286","4017","43363","2082","14512","1097","13772","1070","740","208","123","66","617","195","28851","1480","11553","856","17298","1157","6184","616","11114","883","43923","2245","15529","1113","14754","1097","775","222","111","83","664","201","28394","1459","12166","935","16228","1013","5795","591","10433","843",
"5001400US1704","Congressional District 4 (114th Congress), Illinois","214052","6802","110049","3834","35472","1560","33047","1481","2425","454","220","129","2205","414","74577","2797","26681","1463","47896","2223","12982","909","34914","1843","104003","3458","35166","1665","33006","1589","2160","395","134","86","2026","410","68837","2346","26139","1359","42698","1661","13230","862","29468","1430",
"5001400US1705","Congressional District 5 (114th Congress), Illinois","47367","2900","24533","1586","7229","774","6788","749","441","170","118","64","323","151","17304","1166","7950","795","9354","862","3721","450","5633","733","22834","1601","6400","745","5770","679","630","265","69","48","561","264","16434","1197","7718","836","8716","769","3757","483","4959","606",
"5001400US1706","Congressional District 6 (114th Congress), Illinois","14721","1732","7765","1045","2794","586","2456","492","338","234","15","18","323","234","4971","697","1821","315","3150","585","833","226","2317","530","6956","904","1957","368","1804","369","153","122","12","16","141","121","4999","638","1885","372","3114","524","1016","258","2098","398",
"5001400US1707","Congressional District 7 (114th Congress), Illinois","45637","2644","23014","1607","8221","821","7803","827","418","164","74","79","344","153","14793","1075","6459","618","8334","734","2075","367","6259","653","22623","1411","7667","762","7368","744","299","117","13","15","286","117","14956","917","7620","766","7336","596","2258","307","5078","529",
"5001400US1708","Congressional District 8 (114th Congress), Illinois","77629","3278","41646","2093","14374","1222","13030","1183","1344","334","78","53","1266","325","27272","1462","5857","657","21415","1306","4210","506","17205","1324","35983","1698","13507","1018","12125","948","1382","310","184","90","1198","277","22476","1064","6233","631","16243","971","3471","469","12772","986",
"5001400US1709","Congressional District 9 (114th Congress), Illinois","18435","2027","10068","1190","2676","565","2423","535","253","116","32","34","221","112","7392","942","2735","437","4657","788","1276","294","3381","723","8367","1032","2525","483","2338","440","187","121","21","24","166","125","5842","727","2405","440","3437","547","1196","243","2241","473",
