"GEO_ID","NAME","B05003H_001E","B05003H_001M","B05003H_002E","B05003H_002M","B05003H_003E","B05003H_003M","B05003H_004E","B05003H_004M","B05003H_005E","B05003H_005M","B05003H_006E","B05003H_006M","B05003H_007E","B05003H_007M","B05003H_008E","B05003H_008M","B05003H_009E","B05003H_009M","B05003H_010E","B05003H_010M","B05003H_011E","B05003H_011M","B05003H_012E","B05003H_012M","B05003H_013E","B05003H_013M","B05003H_014E","B05003H_014M","B05003H_015E","B05003H_015M","B05003H_016E","B05003H_016M","B05003H_017E","B05003H_017M","B05003H_018E","B05003H_018M","B05003H_019E","B05003H_019M","B05003H_020E","B05003H_020M","B05003H_021E","B05003H_021M","B05003H_022E","B05003H_022M","B05003H_023E","B05003H_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US4824","Congressional District 24 (114th Congress), Texas","378248","3559","185083","2356","35848","1401","35410","1412","438","151","171","91","267","117","149235","2003","142389","2011","6846","627","3852","403","2994","446","193165","2324","34140","1167","33469","1148","671","303","200","91","471","290","159025","1981","151840","2002","7185","688","4130","533","3055","472",
"5001400US4825","Congressional District 25 (114th Congress), Texas","501723","3114","248070","2251","55938","1068","55597","1082","341","129","103","55","238","110","192132","1915","187225","1923","4907","525","2579","364","2328","372","253653","1972","53184","996","52789","997","395","138","105","57","290","121","200469","1643","193989","1678","6480","641","3774","486","2706","397",
"5001400US4826","Congressional District 26 (114th Congress), Texas","501204","3224","246507","2028","63255","1269","62512","1274","743","199","343","163","400","118","183252","1384","177241","1488","6011","602","3254","465","2757","374","254697","1899","61251","1265","60444","1279","807","213","286","136","521","160","193446","1431","186390","1619","7056","745","3879","534","3177","468",
"5001400US4827","Congressional District 27 (114th Congress), Texas","296658","1229","146313","639","27253","415","27162","409","91","63","10","11","81","66","119060","546","117357","587","1703","311","916","210","787","220","150345","857","26320","469","26195","469","125","81","68","59","57","50","124025","657","121593","718","2432","370","1231","273","1201","234",
"5001400US4828","Congressional District 28 (114th Congress), Texas","124206","2219","62379","1262","11999","751","11910","741","89","99","0","30","89","99","50380","937","48902","958","1478","307","702","166","776","252","61827","1467","11787","803","11777","798","10","16","0","30","10","16","50040","1062","47643","1013","2397","475","1281","259","1116","353",
"5001400US4829","Congressional District 29 (114th Congress), Texas","79085","2530","38602","1447","5913","619","5841","606","72","66","0","30","72","66","32689","1178","31517","1167","1172","306","590","166","582","235","40483","1529","5797","642","5708","656","89","135","4","7","85","135","34686","1263","33491","1268","1195","271","657","164","538","218",
"5001400US4830","Congressional District 30 (114th Congress), Texas","119273","2584","59068","1714","7010","673","6988","675","22","26","13","21","9","15","52058","1481","50289","1463","1769","284","901","213","868","234","60205","1555","6335","525","6264","529","71","39","23","24","48","41","53870","1411","51660","1454","2210","297","1157","212","1053","247",
"5001400US4831","Congressional District 31 (114th Congress), Texas","432910","1383","213407","956","50771","468","50343","606","428","378","113","75","315","370","162636","752","158679","914","3957","492","2172","345","1785","391","219503","726","48258","450","47832","484","426","169","199","111","227","125","171245","463","164270","880","6975","726","3981","516","2994","431",
"5001400US4832","Congressional District 32 (114th Congress), Texas","366908","3667","180033","2700","31886","1288","31561","1276","325","103","115","65","210","89","148147","2138","141565","2208","6582","512","3545","363","3037","398","186875","1976","30522","1120","30010","1067","512","217","242","155","270","153","156353","1777","149752","1882","6601","538","3803","405","2798","401",
"5001400US4833","Congressional District 33 (114th Congress), Texas","113024","2503","55933","1668","11047","753","10869","722","178","105","0","30","178","105","44886","1368","42661","1337","2225","439","1007","227","1218","379","57091","1591","10372","712","10222","688","150","94","0","30","150","94","46719","1294","44668","1281","2051","391","751","213","1300","325",
"5001400US4834","Congressional District 34 (114th Congress), Texas","104733","1047","53727","646","8716","432","8705","431","11","17","11","17","0","30","45011","465","43088","521","1923","305","690","156","1233","253","51006","732","8186","441","8095","442","91","75","14","19","77","73","42820","516","40424","624","2396","347","1024","260","1372","244",
"5001400US4835","Congressional District 35 (114th Congress), Texas","185030","2729","93453","1957","15131","1028","14932","998","199","128","128","117","71","53","78322","1768","76345","1660","1977","342","975","235","1002","260","91577","1830","13554","825","13395","808","159","116","64","85","95","73","78023","1680","75354","1650","2669","360","1513","264","1156","214",
"5001400US4836","Congressional District 36 (114th Congress), Texas","456246","3091","225690","1830","50073","1096","49900","1098","173","109","51","49","122","97","175617","1279","172902","1245","2715","374","1149","263","1566","310","230556","2111","47357","1179","47090","1212","267","132","71","47","196","118","183199","1539","180323","1557","2876","375","1221","229","1655","297",
"5001400US4901","Congressional District 1 (114th Congress), Utah","584315","1067","294043","929","92463","548","92283","555","180","80","69","39","111","70","201580","690","198863","799","2717","319","1536","226","1181","228","290272","817","85781","509","85500","508","281","104","100","67","181","86","204491","636","200372","717","4119","350","2296","246","1823","271",
"5001400US4902","Congressional District 2 (114th Congress), Utah","549753","2565","273982","1587","73806","1004","73384","1007","422","237","78","51","344","221","200176","1234","195437","1333","4739","433","2468","309","2271","309","275771","1692","71713","878","71231","945","482","228","129","84","353","217","204058","1386","197636","1369","6422","616","3835","398","2587","436",
"5001400US4903","Congressional District 3 (114th Congress), Utah","592961","2520","297060","1682","92486","1060","92045","1073","441","136","153","70","288","124","204574","1156","199164","1227","5410","507","2911","340","2499","397","295901","1747","86047","923","85497","931","550","154","145","80","405","138","209854","1351","203825","1477","6029","522","3412","378","2617","353",
"5001400US4904","Congressional District 4 (114th Congress), Utah","552872","2867","275808","2003","83951","1327","83299","1351","652","196","276","111","376","175","191857","1363","186493","1480","5364","537","3049","341","2315","401","277064","1925","80847","1171","80266","1175","581","166","300","153","281","119","196217","1606","190199","1861","6018","658","3758","510","2260","424",
"5001400US5000","Congressional District (at Large) (114th Congress), Vermont","587883","170","289557","104","58200","59","57890","138","310","131","170","89","140","106","231357","81","225358","418","5999","432","3898","362","2101","271","298326","93","54594","72","54291","131","303","106","232","94","71","53","243732","69","235671","466","8061","454","5295","353","2766","276",
"5001400US5101","Congressional District 1 (114th Congress), Virginia","505440","2324","251294","1315","56056","808","55677","788","379","131","135","70","244","108","195238","956","190079","1069","5159","511","3631","429","1528","287","254146","1565","53426","940","53050","953","376","134","209","98","167","89","200720","996","192914","1060","7806","632","4820","519","2986","408",
"5001400US5102","Congressional District 2 (114th Congress), Virginia","456779","2287","230410","1540","44153","508","43817","521","336","128","133","68","203","96","186257","1523","181945","1520","4312","388","2474","309","1838","273","226369","1252","41178","635","40758","640","420","125","104","61","316","109","185191","891","177296","1158","7895","611","4509","430","3386","380",
"5001400US5103","Congressional District 3 (114th Congress), Virginia","240433","2820","122494","1777","17957","696","17667","747","290","159","4","11","286","159","104537","1643","101681","1560","2856","377","1458","285","1398","240","117939","1638","17092","750","16873","744","219","96","33","29","186","91","100847","1334","97279","1308","3568","384","1780","294","1788","283",
"5001400US5104","Congressional District 4 (114th Congress), Virginia","434067","1688","215948","1067","47306","558","47088","576","218","106","45","38","173","97","168642","776","166049","877","2593","353","1566","239","1027","208","218119","1003","44624","526","44373","562","251","130","112","89","139","98","173495","811","169339","940","4156","470","2506","375","1650","282",
"5001400US5105","Congressional District 5 (114th Congress), Virginia","530622","1388","258228","804","51196","427","50896","449","300","138","157","76","143","106","207032","601","202996","743","4036","478","2021","285","2015","361","272394","900","49367","477","49118","493","249","90","161","66","88","66","223027","614","217976","795","5051","494","2942","376","2109","291",
"5001400US5106","Congressional District 6 (114th Congress), Virginia","597707","1228","289051","1003","57748","461","57542","476","206","93","107","68","99","65","231303","888","227405","976","3898","451","1928","269","1970","345","308656","1042","54398","479","54047","494","351","154","87","51","264","153","254258","805","250018","899","4240","403","2252","326","1988","278",
"5001400US5107","Congressional District 7 (114th Congress), Virginia","546275","2336","264712","1464","61900","723","61232","761","668","184","267","103","401","161","202812","1145","196080","1387","6732","607","3971","427","2761","419","281563","1348","58580","675","57964","720","616","204","223","97","393","172","222983","996","214228","1372","8755","747","5257","552","3498","519",
"5001400US5108","Congressional District 8 (114th Congress), Virginia","401068","2165","198887","1595","34689","864","33488","823","1201","429","338","137","863","413","164198","1253","150011","1399","14187","875","8257","633","5930","569","202181","1291","32629","689","31476","700","1153","266","270","94","883","242","169552","980","151189","1258","18363","921","10770","755","7593","605",
"5001400US5109","Congressional District 9 (114th Congress), Virginia","650492","1034","320172","858","61752","398","61570","410","182","105","25","26","157","102","258420","775","255960","881","2460","499","1156","246","1304","442","330320","837","58503","383","58266","403","237","96","89","60","148","83","271817","707","268703","893","3114","524","1640","310","1474","387",
"5001400US5110","Congressional District 10 (114th Congress), Virginia","496688","2337","246563","1330","63332","716","62338","748","994","241","360","132","634","210","183231","1057","170651","1136","12580","917","8424","690","4156","550","250125","1501","60453","819","59235","803","1218","297","600","203","618","197","189672","1096","175126","1272","14546","927","9220","645","5326","578",
"5001400US5111","Congressional District 11 (114th Congress), Virginia","367844","3241","182743","1956","37320","987","35801","1004","1519","285","461","174","1058","227","145423","1590","131203","1499","14220","989","8853","687","5367","704","185101","1975","35302","996","34208","962","1094","224","284","88","810","202","149799","1487","132603","1516","17196","932","10893","661","6303","577",
"5001400US5301","Congressional District 1 (114th Congress), Washington","534718","3864","267846","2528","59135","1100","57625","1152","1510","306","367","118","1143","272","208711","2135","191893","2173","16818","901","9251","692","7567","621","266872","2545","56391","1263","55181","1227","1210","227","237","96","973","205","210481","1987","192307","2174","18174","1050","10437","774","7737","629",
"5001400US5302","Congressional District 2 (114th Congress), Washington","501861","2545","248591","1692","44724","912","43903","961","821","215","408","136","413","150","203867","1401","193253","1650","10614","773","6611","558","4003","528","253270","1903","43359","980","42561","1017","798","219","333","160","465","159","209911","1485","196277","1528","13634","915","8446","661","5188","599",
"5001400US5303","Congressional District 3 (114th Congress), Washington","562597","978","278092","559","62670","322","61548","416","1122","261","422","171","700","189","215422","447","206534","789","8888","630","5414","536","3474","399","284505","580","59617","311","58486","429","1131","309","332","157","799","230","224888","421","213582","879","11306","811","6806","689","4500","472",
"5001400US5304","Congressional District 4 (114th Congress), Washington","387827","756","192610","430","41349","236","41081","286","268","155","95","62","173","143","151261","368","148012","574","3249","405","1915","320","1334","279","195217","463","39414","233","39007","290","407","187","107","58","300","179","155803","354","151262","693","4541","566","2577","362","1964","382",
"5001400US5305","Congressional District 5 (114th Congress), Washington","578610","439","287139","233","59891","152","59259","272","632","193","170","88","462","178","227248","177","219508","740","7740","691","3759","468","3981","505","291471","327","56247","160","55586","264","661","219","216","105","445","186","235224","279","225741","783","9483","695","5219","519","4264","551",
"5001400US5306","Congressional District 6 (114th Congress), Washington","529846","2460","265096","1640","48056","782","47417","731","639","227","334","112","305","184","217040","1225","212105","1216","4935","454","3009","342","1926","257","264750","1450","44723","764","44264","768","459","185","186","129","273","125","220027","1088","211816","1155","8211","529","5240","463","2971","355",
"5001400US5307","Congressional District 7 (114th Congress), Washington","502706","3637","250235","2479","34919","1106","34560","1065","359","159","101","58","258","139","215316","2106","200465","2149","14851","942","7588","548","7263","678","252471","2505","33270","1220","32715","1180","555","149","213","89","342","118","219201","2093","204399","2098","14802","805","8619","704","6183","586",
"5001400US5308","Congressional District 8 (114th Congress), Washington","514101","3842","256662","2131","57030","1338","55701","1305","1329","345","360","165","969","296","199632","1786","189556","1679","10076","709","5062","563","5014","563","257439","2590","55137","1207","53877","1110","1260","307","473","173","787","226","202302","1982","190230","1915","12072","755","6937","564","5135","600",
