"GEO_ID","NAME","B05003G_001E","B05003G_001M","B05003G_002E","B05003G_002M","B05003G_003E","B05003G_003M","B05003G_004E","B05003G_004M","B05003G_005E","B05003G_005M","B05003G_006E","B05003G_006M","B05003G_007E","B05003G_007M","B05003G_008E","B05003G_008M","B05003G_009E","B05003G_009M","B05003G_010E","B05003G_010M","B05003G_011E","B05003G_011M","B05003G_012E","B05003G_012M","B05003G_013E","B05003G_013M","B05003G_014E","B05003G_014M","B05003G_015E","B05003G_015M","B05003G_016E","B05003G_016M","B05003G_017E","B05003G_017M","B05003G_018E","B05003G_018M","B05003G_019E","B05003G_019M","B05003G_020E","B05003G_020M","B05003G_021E","B05003G_021M","B05003G_022E","B05003G_022M","B05003G_023E","B05003G_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US2406","Congressional District 6 (114th Congress), Maryland","27853","1921","13968","1038","6898","647","6713","637","185","101","97","74","88","69","7070","733","4634","611","2436","394","1348","296","1088","244","13885","1135","7382","739","7203","742","179","91","58","40","121","83","6503","652","4397","529","2106","309","1265","245","841","218",
"5001400US2407","Congressional District 7 (114th Congress), Maryland","16987","1327","8444","798","3923","555","3858","551","65","38","25","26","40","31","4521","539","3836","527","685","196","261","116","424","167","8543","839","3701","504","3639","498","62","45","14","22","48","39","4842","536","4188","493","654","145","362","97","292","102",
"5001400US2408","Congressional District 8 (114th Congress), Maryland","23091","1170","10621","725","5291","483","5178","481","113","76","0","28","113","76","5330","495","3642","413","1688","312","978","229","710","228","12470","724","5668","504","5553","515","115","53","24","26","91","46","6802","513","4496","446","2306","358","1515","297","791","195",
"5001400US2501","Congressional District 1 (114th Congress), Massachusetts","16555","1223","8162","756","4197","512","4001","522","196","128","32","35","164","119","3965","486","3242","432","723","224","346","163","377","149","8393","695","3679","463","3605","463","74","46","22","28","52","37","4714","449","3809","395","905","222","463","159","442","156",
"5001400US2502","Congressional District 2 (114th Congress), Massachusetts","19013","1497","9560","964","4509","503","4287","493","222","140","139","113","83","87","5051","724","3458","515","1593","398","518","199","1075","294","9453","882","3959","517","3679","499","280","176","46","43","234","171","5494","578","3784","486","1710","351","965","293","745","247",
"5001400US2503","Congressional District 3 (114th Congress), Massachusetts","22554","1621","11792","886","4993","571","4834","574","159","91","16","27","143","81","6799","740","3217","495","3582","671","882","314","2700","576","10762","1114","4889","672","4661","651","228","160","28","32","200","157","5873","665","3297","411","2576","507","704","169","1872","468",
"5001400US2504","Congressional District 4 (114th Congress), Massachusetts","14787","1058","7081","614","3853","443","3778","440","75","50","23","29","52","41","3228","414","2506","364","722","156","374","129","348","95","7706","725","3477","524","3372","529","105","64","23","25","82","59","4229","392","3464","350","765","200","449","159","316","110",
"5001400US2505","Congressional District 5 (114th Congress), Massachusetts","21491","1486","10689","1032","4791","566","4607","554","184","90","17","24","167","92","5898","730","2951","428","2947","623","800","200","2147","565","10802","806","4720","531","4613","542","107","66","27","30","80","55","6082","559","3580","446","2502","389","1037","212","1465","325",
"5001400US2506","Congressional District 6 (114th Congress), Massachusetts","14952","1305","7797","908","3792","500","3640","483","152","114","63","64","89","81","4005","607","2213","317","1792","490","700","227","1092","372","7155","683","3368","430","3273","412","95","84","18","31","77","76","3787","468","2556","333","1231","299","687","240","544","172",
"5001400US2507","Congressional District 7 (114th Congress), Massachusetts","47051","2158","24333","1269","7135","619","6472","593","663","216","69","70","594","207","17198","1048","6332","555","10866","1038","1863","280","9003","957","22718","1330","6719","795","6067","769","652","201","68","59","584","191","15999","906","7206","624","8793","788","2478","344","6315","699",
"5001400US2508","Congressional District 8 (114th Congress), Massachusetts","16931","1236","8332","761","4079","504","4018","505","61","38","44","31","17","24","4253","506","3150","387","1103","258","602","187","501","162","8599","754","3548","415","3510","411","38","34","24","27","14","19","5051","576","3715","440","1336","292","956","239","380","125",
"5001400US2509","Congressional District 9 (114th Congress), Massachusetts","16933","1328","8392","660","3872","479","3770","485","102","82","102","82","0","29","4520","406","3830","360","690","157","296","95","394","151","8541","906","3967","566","3748","520","219","165","87","88","132","128","4574","473","3709","463","865","181","488","137","377","137",
"5001400US2601","Congressional District 1 (114th Congress), Michigan","16841","656","8845","426","4081","322","4045","314","36","27","29","24","7","11","4764","284","4591","280","173","65","45","27","128","61","7996","423","3433","302","3427","302","6","9","4","8","2","3","4563","276","4422","282","141","51","70","30","71","39",
"5001400US2602","Congressional District 2 (114th Congress), Michigan","20959","1268","9984","758","5849","590","5805","592","44","49","39","49","5","9","4135","405","3844","395","291","111","107","67","184","90","10975","899","5852","602","5838","601","14","16","0","23","14","16","5123","526","4769","484","354","151","158","95","196","100",
"5001400US2603","Congressional District 3 (114th Congress), Michigan","20503","1253","10719","744","6324","619","6261","613","63","52","20","22","43","50","4395","462","4007","448","388","129","238","96","150","86","9784","781","5669","560","5627","551","42","58","36","58","6","9","4115","446","3715","431","400","118","216","82","184","91",
"5001400US2604","Congressional District 4 (114th Congress), Michigan","13726","709","7036","552","3328","330","3314","330","14","16","0","23","14","16","3708","356","3351","329","357","162","108","56","249","143","6690","458","3060","298","3014","289","46","54","8","11","38","53","3630","296","3338","272","292","141","96","57","196","117",
"5001400US2605","Congressional District 5 (114th Congress), Michigan","19714","1347","9313","795","5266","617","5257","617","9","16","0","23","9","16","4047","425","3783","402","264","103","164","62","100","83","10401","767","5287","528","5287","528","0","23","0","23","0","23","5114","423","4849","417","265","90","171","66","94","60",
"5001400US2606","Congressional District 6 (114th Congress), Michigan","19459","1093","9470","599","5330","448","5301","443","29","23","29","23","0","23","4140","357","3917","351","223","74","70","38","153","73","9989","702","5148","471","5112","463","36","46","28","42","8","16","4841","438","4526","423","315","98","113","61","202","84",
"5001400US2607","Congressional District 7 (114th Congress), Michigan","15134","884","8111","640","4258","447","4159","454","99","56","72","50","27","27","3853","347","3559","333","294","110","202","79","92","67","7023","504","4077","394","4019","394","58","39","48","36","10","16","2946","263","2683","257","263","88","99","42","164","79",
"5001400US2608","Congressional District 8 (114th Congress), Michigan","21876","1291","10332","713","5527","471","5284","447","243","159","31","31","212","159","4805","443","4170","392","635","185","282","89","353","147","11544","863","6107","539","5990","526","117","69","12","20","105","66","5437","514","4744","466","693","197","356","110","337","127",
"5001400US2609","Congressional District 9 (114th Congress), Michigan","17187","1182","8731","678","4519","474","4442","467","77","54","39","46","38","32","4212","448","3300","394","912","212","521","142","391","129","8456","688","4233","471","4134","471","99","66","41","46","58","48","4223","448","3552","404","671","155","403","130","268","94",
"5001400US2610","Congressional District 10 (114th Congress), Michigan","12867","924","6696","588","3345","471","3333","474","12","13","12","13","0","23","3351","324","3158","308","193","93","149","88","44","37","6171","501","3085","355","3057","350","28","36","6","11","22","33","3086","289","2849","283","237","109","98","60","139","85",
"5001400US2611","Congressional District 11 (114th Congress), Michigan","15591","1103","8024","714","4600","509","4512","510","88","99","60","95","28","27","3424","381","2740","327","684","182","388","138","296","118","7567","621","3622","425","3504","427","118","68","21","23","97","70","3945","377","3193","333","752","188","491","135","261","120",
"5001400US2612","Congressional District 12 (114th Congress), Michigan","22925","1279","11016","814","5205","492","5006","495","199","80","117","62","82","61","5811","576","4661","512","1150","224","701","145","449","156","11909","780","5021","451","4865","451","156","74","85","46","71","64","6888","569","5648","538","1240","216","780","180","460","123",
"5001400US2613","Congressional District 13 (114th Congress), Michigan","16630","1184","8141","714","3833","452","3694","434","139","133","30","23","109","129","4308","435","3540","378","768","212","428","143","340","144","8489","774","3502","492","3453","500","49","37","4","8","45","38","4987","506","4476","478","511","143","307","110","204","88",
"5001400US2614","Congressional District 14 (114th Congress), Michigan","20123","1584","9045","822","3912","522","3803","527","109","61","46","41","63","43","5133","537","4286","504","847","215","507","158","340","131","11078","995","4445","568","4354","575","91","54","56","46","35","32","6633","622","5708","603","925","206","556","157","369","114",
"5001400US2701","Congressional District 1 (114th Congress), Minnesota","10753","831","5427","449","3204","352","3135","353","69","61","57","58","12","20","2223","316","1809","258","414","177","162","80","252","175","5326","550","3338","424","3324","425","14","19","3","4","11","19","1988","233","1671","207","317","123","143","77","174","96",
"5001400US2702","Congressional District 2 (114th Congress), Minnesota","18100","1406","9182","814","5695","593","5643","584","52","44","21","22","31","36","3487","405","2971","365","516","150","347","112","169","96","8918","792","5273","573","5257","574","16","22","16","22","0","20","3645","360","3166","339","479","168","291","92","188","153",
"5001400US2703","Congressional District 3 (114th Congress), Minnesota","18169","1357","9151","862","5744","621","5690","618","54","43","28","28","26","29","3407","535","2683","370","724","363","335","120","389","321","9018","722","5392","604","5318","596","74","56","40","36","34","41","3626","410","3102","350","524","140","316","112","208","94",
"5001400US2704","Congressional District 4 (114th Congress), Minnesota","24160","1584","11811","877","7146","702","7015","697","131","66","31","29","100","54","4665","443","4101","435","564","168","276","95","288","124","12349","914","6879","626","6811","622","68","47","0","20","68","47","5470","520","4766","471","704","224","276","99","428","198",
