State,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Massachusetts,74.2,6.8,10.9,6.2,0.1,1.8,76.8,6.4,9.3,6.2,0.1,1.2,77.8,6.2,9.5,4.5,0.1,1.8,81.2,5.7,7.6,4.2,0.1,1.2,"6,742,145","5,005,710","456,885","731,740","417,750","8,685","121,375","5,351,590","4,108,185","342,680","497,980","329,765","7,140","65,845","6,234,915","4,853,455","383,560","594,075","282,085","8,255","113,495","4,887,325","3,966,890","276,910","373,100","204,710","6,750",58970
Michigan,75.8,13.8,4.8,2.8,0.5,2.3,78.1,13.2,3.9,2.8,0.5,1.5,77.2,14.1,4.1,1.8,0.5,2.3,79.8,13.5,3.1,1.7,0.5,1.5,"9,909,595","7,514,655","1,366,515","474,385","281,050","45,950","227,055","7,681,830","6,003,220","1,014,060","296,740","215,450","35,310","117,040","9,601,980","7,408,590","1,351,815","397,880","176,040","45,325","222,300","7,408,630","5,909,580","1,001,265","226,695","123,010","34,765",113320
Minnesota,81.4,5.6,5.1,4.6,1.0,2.4,84.6,4.8,4.0,4.2,0.9,1.4,84.2,5.1,3.8,3.5,1.0,2.4,88.0,4.3,2.4,3.0,0.9,1.4,"5,450,870","4,438,885","306,660","276,035","248,735","52,400","128,155","4,168,770","3,528,180","201,995","166,615","176,755","36,270","58,950","5,234,815","4,408,650","265,695","198,685","183,775","52,125","125,900","3,980,465","3,501,475","169,295","95,730","120,865","36,025",57090
Mississippi,57.3,37.4,2.9,1.0,0.4,1.0,59.8,35.7,2.5,1.0,0.4,0.6,57.9,37.9,2.1,0.7,0.4,1.0,60.6,36.2,1.5,0.6,0.4,0.6,"2,989,190","1,712,390","1,118,485","86,705","29,075","12,180","30,360","2,256,955","1,350,085","804,915","56,775","22,865","8,540","13,775","2,946,760","1,706,875","1,116,685","61,770","19,350","12,115","29,960","2,217,770","1,345,065","803,250","33,700","13,870","8,480",13400
Missouri,80.2,11.5,3.9,1.9,0.4,2.1,82.2,10.9,3.2,1.9,0.4,1.4,81.5,11.6,3.2,1.2,0.4,2.1,83.7,11.0,2.3,1.1,0.4,1.4,"6,059,650","4,858,045","699,020","237,285","114,135","22,510","128,655","4,664,530","3,832,035","510,645","149,015","88,535","18,090","66,225","5,930,025","4,831,510","687,970","189,780","72,335","22,490","125,935","4,547,880","3,808,115","501,395","105,335","51,045","18,085",63935
Montana,86.9,0.4,3.4,0.8,6.3,2.2,89.1,0.4,2.7,0.8,5.3,1.6,87.2,0.4,3.2,0.6,6.4,2.3,89.5,0.4,2.6,0.6,5.4,1.7,"1,023,390","888,930","3,985","34,840","8,145","64,540","22,950","798,370","711,250","3,240","21,870","6,550","42,305","13,155","1,013,805","884,100","3,570","32,870","5,930","64,480","22,860","789,500","706,685","2,870","20,140","4,480","42,260",13065
Nebraska,80.4,4.6,10.2,2.2,0.7,1.9,83.8,4.2,8.1,2.2,0.6,1.2,83.7,4.5,7.9,1.3,0.7,1.9,87.8,4.1,5.1,1.2,0.6,1.2,"1,881,260","1,513,395","86,355","191,805","40,930","13,080","35,695","1,413,655","1,184,050","59,855","114,135","30,720","8,600","16,290","1,799,310","1,506,395","80,390","141,605","23,135","13,065","34,710","1,341,015","1,177,615","55,040","68,465","15,820","8,585",15485
Nevada,51.4,8.3,27.8,8.4,0.9,3.2,55.8,8.0,24.0,9.0,0.9,2.3,56.2,8.9,23.0,7.3,1.0,3.5,62.4,8.8,17.4,7.8,1.0,2.6,"2,839,175","1,460,075","234,840","790,500","237,735","24,520","91,505","2,174,540","1,212,935","174,755","521,050","195,795","18,915","51,075","2,547,140","1,432,525","227,665","586,335","187,040","24,405","89,170","1,902,285","1,186,705","168,330","330,090","149,160","18,805",49165
New Hampshire,91.4,1.2,3.3,2.5,0.1,1.6,92.6,1.1,2.7,2.4,0.1,1.1,92.9,1.0,2.8,1.5,0.1,1.6,94.4,0.9,2.2,1.3,0.1,1.1,"1,327,505","1,212,840","15,800","43,500","32,680","1,860","20,825","1,060,525","981,570","11,700","28,820","25,175","1,490","11,780","1,291,410","1,200,150","13,015","36,635","19,455","1,835","20,325","1,027,630","969,760","9,230","22,495","13,260","1,470",11415
New Jersey,57.0,12.9,19.3,9.3,0.1,1.5,59.4,12.7,17.6,9.3,0.1,1.0,61.5,13.4,16.2,7.2,0.1,1.6,65.2,13.3,13.6,6.8,0.1,1.1,"8,915,445","5,077,995","1,149,120","1,719,835","827,955","9,750","130,815","6,905,635","4,099,070","873,970","1,216,365","640,765","7,450","68,035","8,019,215","4,933,510","1,074,910","1,296,435","578,575","9,330","126,450","6,087,275","3,966,340","806,625","827,035","415,920","7,030",64325
New Mexico,38.9,1.8,47.8,1.4,8.6,1.5,43.2,1.8,44.1,1.5,8.1,1.2,40.8,1.9,45.5,1.1,9.2,1.5,46.0,1.9,40.9,1.1,8.8,1.2,"2,082,670","809,395","37,940","995,830","28,880","179,875","30,745","1,580,915","683,665","29,200","697,185","23,970","128,525","18,375","1,954,250","798,240","36,525","888,435","21,040","179,865","30,130","1,464,240","673,770","27,965","599,430","16,700","128,510",17870
New York,56.6,14.6,18.6,8.3,0.2,1.6,58.7,14.3,17.1,8.5,0.2,1.1,61.2,14.6,16.0,6.3,0.3,1.7,64.3,14.2,13.8,6.2,0.3,1.2,"19,697,445","11,155,120","2,878,070","3,661,920","1,637,015","47,930","317,380","15,471,050","9,075,760","2,214,400","2,650,420","1,318,160","36,305","175,985","17,677,055","10,809,690","2,572,210","2,830,820","1,122,165","45,790","296,390","13,605,860","8,752,605","1,935,100","1,879,055","846,070","34,515",158535
