District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Arizona's 2nd,AZ-02,61.0,3.7,28.4,3.3,1.0,2.6,65.2,3.6,24.7,3.5,1.0,1.9,63.5,3.6,26.7,2.5,1.0,2.7,68.3,3.5,22.5,2.6,1.0,2.0,"719,925","439,440","26,560","204,645","23,715","6,940","18,625","573,995","374,430","20,815","142,040","20,220","5,600","10,880","682,305","433,040","24,635","182,510","16,895","6,915","18,310","539,385","368,605","19,085","121,340","14,150","5,595","10,605"
Arizona's 3rd,AZ-03,26.8,4.4,62.4,1.9,3.2,1.4,31.2,4.6,57.9,2.2,3.0,1.1,29.9,4.9,58.6,1.5,3.6,1.5,36.1,5.2,52.1,1.8,3.5,1.2,"771,435","206,670","34,075","481,000","14,745","24,525","10,425","561,230","175,100","25,665","325,220","12,415","16,775","6,055","680,090","203,110","33,215","398,485","10,515","24,485","10,280","475,510","171,710","24,850","247,915","8,385","16,735","5,910"
Arizona's 4th,AZ-04,74.1,1.7,19.2,1.4,1.5,2.0,77.4,1.8,16.5,1.4,1.4,1.5,76.0,1.7,17.4,1.2,1.6,2.1,79.8,1.7,14.2,1.2,1.5,1.6,"768,075","569,265","13,350","147,645","10,885","11,590","15,340","619,960","479,660","10,880","102,290","8,960","8,685","9,485","734,495","558,365","12,705","127,880","8,840","11,510","15,190","587,615","468,880","10,235","83,390","7,155","8,610","9,355"
Arizona's 5th,AZ-05,70.5,3.1,18.3,4.9,0.9,2.3,73.7,3.0,16.0,4.9,0.9,1.5,72.7,3.1,16.9,3.9,1.0,2.4,76.6,3.0,14.1,3.7,1.0,1.6,"803,185","566,035","25,165","146,590","39,200","7,505","18,690","593,005","436,750","17,860","94,820","29,220","5,450","8,905","764,940","555,925","24,015","129,555","29,570","7,460","18,415","557,495","427,305","16,955","78,775","20,365","5,415","8,685"
Arizona's 6th,AZ-06,71.6,2.6,17.1,5.1,1.4,2.2,75.4,2.4,14.5,4.9,1.4,1.4,75.5,2.7,14.6,3.4,1.5,2.3,80.2,2.6,11.2,3.1,1.4,1.5,"776,730","556,130","20,015","132,845","39,555","11,195","16,985","618,835","466,380","15,155","89,575","30,555","8,410","8,760","718,355","542,105","19,225","105,235","24,180","10,890","16,725","565,540","453,450","14,555","63,445","17,385","8,160","8,555"
Arizona's 7th,AZ-07,20.0,9.4,64.1,2.6,2.2,1.7,24.7,9.5,59.2,3.0,2.2,1.4,23.9,10.7,58.5,2.2,2.7,2.1,31.9,11.8,49.0,2.6,2.8,1.8,"801,175","160,325","74,920","513,275","21,095","17,665","13,895","555,560","137,035","53,055","329,100","16,795","11,980","7,595","650,985","155,530","69,360","380,700","14,340","17,515","13,540","416,820","133,105","49,320","204,190","11,015","11,875","7,305"
Arizona's 8th,AZ-08,68.7,4.5,19.8,4.0,0.6,2.4,72.7,4.3,16.7,4.0,0.6,1.6,70.3,4.5,18.9,3.3,0.6,2.4,74.8,4.4,15.3,3.2,0.6,1.6,"777,805","534,485","34,645","154,005","31,500","4,810","18,355","604,385","439,580","26,210","100,700","24,425","3,700","9,765","747,810","525,515","33,555","141,100","24,775","4,810","18,050","576,755","431,355","25,435","88,335","18,435","3,700","9,490"
Arizona's 9th,AZ-09,56.1,5.6,27.5,5.6,2.5,2.7,60.7,5.4,23.6,6.0,2.3,1.9,60.6,5.9,24.3,3.6,2.8,2.9,66.7,5.8,19.1,3.7,2.6,2.1,"774,775","434,795","43,210","212,845","43,500","19,390","21,035","613,240","372,415","33,125","144,480","37,015","14,355","11,850","700,795","424,630","41,015","170,200","25,190","19,295","20,465","544,290","363,000","31,465","104,225","20,000","14,290","11,305"
Arkansas' 1st,AR-01,76.0,17.5,3.3,0.6,0.3,2.3,78.3,16.4,2.7,0.6,0.3,1.7,76.8,17.7,2.6,0.3,0.3,2.2,79.3,16.5,1.8,0.3,0.4,1.7,"722,915","549,250","126,705","24,150","4,160","2,340","16,300","554,770","434,125","90,880","15,040","3,325","1,930","9,470","713,610","548,220","126,145","18,455","2,405","2,340","16,050","546,405","433,170","90,350","9,865","1,805","1,930","9,290"
Arkansas' 2nd,AR-02,68.3,22.5,5.2,1.7,0.3,2.1,71.2,21.2,4.1,1.7,0.3,1.5,69.7,23.0,3.8,1.1,0.3,2.2,73.1,21.7,2.4,1.0,0.3,1.5,"760,605","519,140","171,175","39,485","12,600","2,095","16,110","582,625","415,110","123,300","24,025","9,920","1,685","8,590","740,140","515,585","170,230","28,095","8,120","2,095","16,010","563,785","411,875","122,380","13,590","5,750","1,685","8,505"
Arkansas' 3rd,AR-03,75.3,3.0,14.2,3.9,1.0,2.6,78.8,2.8,11.7,3.7,1.0,2.0,80.1,3.1,10.5,2.4,1.1,2.7,85.0,3.0,6.8,2.0,1.1,2.1,"795,815","599,020","23,950","113,345","30,840","8,150","20,525","597,340","470,445","16,800","70,095","21,995","6,255","11,755","744,235","596,105","23,390","78,450","18,125","8,150","20,025","550,215","467,785","16,310","37,235","11,275","6,255","11,360"
Arkansas' 4th,AR-04,71.6,19.4,5.9,0.7,0.7,1.7,74.3,18.6,4.5,0.7,0.7,1.2,73.0,19.8,4.3,0.5,0.7,1.7,76.1,19.1,2.5,0.5,0.7,1.2,"711,335","509,425","138,110","42,075","5,185","4,780","11,765","549,990","408,690","102,380","24,670","4,105","3,575","6,570","695,870","508,195","137,715","30,000","3,510","4,780","11,665","535,460","407,495","102,030","13,310","2,580","3,575","6,470"
California's 1st,CA-01,77.0,1.5,13.5,2.9,1.5,3.5,79.8,1.6,11.6,2.8,1.5,2.7,78.8,1.5,12.1,2.5,1.6,3.6,81.9,1.6,9.8,2.3,1.5,2.8,"706,820","544,460","10,600","95,615","20,495","10,645","25,010","566,440","451,745","9,165","65,705","16,025","8,295","15,510","684,595","539,430","10,340","82,745","16,795","10,645","24,645","545,540","447,070","8,925","53,440","12,600","8,295","15,200"
California's 2nd,CA-02,71.6,1.4,17.4,4.0,1.7,3.8,75.0,1.5,14.8,4.2,1.6,2.8,75.6,1.5,13.6,3.5,1.8,4.1,79.9,1.6,10.2,3.5,1.8,3.0,"717,730","513,830","10,205","125,130","28,895","12,385","27,290","574,790","431,025","8,660","85,260","24,120","9,455","16,265","665,070","502,755","9,760","90,320","22,995","12,250","26,990","526,770","420,940","8,220","53,585","18,615","9,390","16,025"
California's 3rd,CA-03,47.7,5.8,29.8,11.8,0.7,4.2,51.2,6.2,26.0,12.7,0.7,3.3,51.9,6.3,26.2,10.3,0.7,4.6,57.0,6.9,20.9,10.9,0.7,3.6,"736,040","350,840","43,020","219,185","87,115","4,785","31,090","563,050","288,365","34,850","146,120","71,455","3,765","18,490","666,230","345,515","42,200","174,840","68,535","4,710","30,430","497,300","283,470","34,130","104,090","53,960","3,715","17,935"
California's 4th,CA-04,75.8,1.3,13.5,5.4,0.7,3.4,78.5,1.3,11.7,5.3,0.7,2.5,77.6,1.3,12.4,4.6,0.7,3.5,80.8,1.3,10.2,4.4,0.7,2.6,"734,900","556,730","9,345","99,550","39,480","5,115","24,680","581,165","456,020","7,595","68,065","30,945","3,820","14,725","707,515","549,095","9,050","87,445","32,395","5,085","24,445","555,490","448,800","7,330","56,545","24,490","3,790","14,535"
California's 5th,CA-05,49.9,6.3,28.2,11.4,0.4,3.8,54.4,6.2,23.9,12.1,0.4,2.9,54.5,6.8,23.5,10.6,0.5,4.2,60.5,6.8,17.7,11.3,0.5,3.3,"728,000","363,515","45,655","204,945","83,170","3,045","27,670","576,260","313,720","35,805","137,685","69,645","2,485","16,925","655,385","357,130","44,350","153,825","69,765","3,045","27,270","508,535","307,655","34,585","90,035","57,235","2,485","16,535"
California's 6th,CA-06,37.0,12.4,28.2,17.2,0.4,4.9,40.8,12.4,25.0,17.9,0.4,3.6,39.5,13.7,25.7,15.8,0.4,5.0,44.5,14.0,21.1,16.2,0.5,3.7,"751,475","278,385","92,855","211,870","129,075","2,655","36,640","564,845","230,315","70,220","141,065","100,845","2,310","20,085","667,230","263,440","91,320","171,320","105,355","2,635","33,155","490,565","218,270","68,805","103,620","79,460","2,290","18,125"
California's 7th,CA-07,53.1,7.1,17.6,16.6,0.4,5.2,56.8,7.2,15.2,16.7,0.4,3.7,55.4,7.4,16.8,14.7,0.4,5.3,59.9,7.5,13.9,14.5,0.4,3.7,"747,095","396,665","53,125","131,520","123,920","2,910","38,950","572,885","325,560","41,130","86,935","95,615","2,345","21,300","694,860","384,925","51,695","116,475","102,325","2,910","36,535","526,910","315,865","39,765","73,030","76,300","2,345","19,600"
California's 8th,CA-08,44.7,7.8,40.5,3.5,0.9,2.7,50.0,7.4,35.9,3.9,0.9,1.9,47.2,8.2,37.9,2.9,0.9,2.8,54.0,8.0,31.8,3.2,1.0,2.1,"721,710","322,505","56,300","292,230","25,220","6,240","19,215","521,570","260,830","38,615","186,995","20,535","4,675","9,920","674,075","318,495","55,605","255,250","19,465","6,195","19,055","476,415","257,030","38,060","151,655","15,250","4,650","9,770"
California's 9th,CA-09,34.0,8.8,38.4,15.0,0.3,3.6,38.2,8.8,34.5,15.5,0.3,2.8,37.6,9.7,34.6,13.8,0.3,4.0,43.8,10.0,28.7,14.0,0.3,3.1,"758,325","257,570","66,410","291,120","113,705","1,950","27,565","552,415","211,075","48,475","190,495","85,595","1,475","15,300","672,555","253,115","65,155","233,040","92,530","1,895","26,820","472,835","207,205","47,470","135,810","66,200","1,420","14,730"
California's 10th,CA-10,42.4,3.1,43.5,7.6,0.4,3.0,47.1,3.2,38.7,8.1,0.5,2.4,46.5,3.4,39.6,6.9,0.5,3.2,53.2,3.6,32.6,7.3,0.5,2.6,"744,390","315,780","22,865","323,975","56,550","3,170","22,050","542,265","255,210","17,335","210,055","44,055","2,525","13,090","663,585","308,475","22,410","262,970","45,630","3,165","20,935","467,770","249,065","16,905","152,635","34,280","2,520","12,370"
California's 11th,CA-11,46.1,7.8,26.9,14.5,0.2,4.5,49.3,8.0,23.7,15.4,0.2,3.4,51.0,8.6,22.3,13.0,0.2,5.0,55.8,9.0,17.3,13.8,0.2,3.8,"754,655","348,175","58,950","203,345","109,180","1,315","33,685","587,505","289,440","47,185","139,155","90,595","1,110","20,025","656,970","334,895","56,445","146,560","85,150","1,310","32,615","497,585","277,855","45,015","85,940","68,565","1,100","19,110"
California's 12th,CA-12,43.3,5.1,14.7,32.5,0.2,4.2,45.1,4.9,13.5,33.3,0.2,3.0,46.2,5.7,12.9,30.4,0.2,4.6,48.5,5.6,11.2,31.2,0.2,3.3,"756,775","327,865","38,580","111,485","245,675","1,220","31,950","657,170","296,095","32,515","88,660","218,755","1,130","20,015","660,715","305,305","37,420","85,295","200,930","1,220","30,540","565,460","274,265","31,420","63,575","176,365","1,130","18,705"
California's 13th,CA-13,34.8,16.5,21.9,21.5,0.4,4.9,37.3,16.6,19.1,23.0,0.4,3.6,38.4,18.3,18.0,19.5,0.4,5.4,42.0,18.7,14.1,20.8,0.4,4.0,"754,860","262,580","124,885","165,300","162,545","2,710","36,835","613,050","228,510","101,790","117,220","140,855","2,380","22,295","652,935","250,940","119,675","117,465","127,050","2,575","35,230","518,345","217,505","97,015","72,995","107,655","2,280","20,890"
California's 14th,CA-14,34.4,2.8,23.7,35.2,0.1,3.8,36.2,3.0,21.5,36.6,0.1,2.5,38.1,3.1,21.2,33.2,0.2,4.3,41.2,3.4,17.8,34.5,0.2,2.9,"753,550","258,975","21,245","178,940","264,965",995,"28,425","604,570","219,070","18,215","129,780","221,525",800,"15,190","641,065","244,195","19,915","135,775","212,870",975,"27,345","499,150","205,850","17,175","88,840","172,210",775,"14,295"
California's 15th,CA-15,32.8,5.8,22.6,34.7,0.3,3.9,35.5,5.9,20.5,35.0,0.3,2.8,37.2,6.5,21.1,30.5,0.3,4.3,41.7,6.9,18.0,30.0,0.3,3.1,"773,840","253,605","44,530","175,030","268,610","2,060","30,000","591,110","209,910","34,795","121,200","207,160","1,690","16,355","656,705","244,000","42,800","138,825","200,490","2,025","28,555","483,610","201,510","33,415","86,840","145,070","1,665","15,110"
California's 16th,CA-16,22.5,5.4,60.8,9.1,0.5,1.7,26.7,5.9,56.0,9.4,0.5,1.5,26.1,6.4,56.0,8.9,0.5,2.0,33.0,7.4,47.9,9.3,0.7,1.8,"728,535","163,965","39,460","442,630","66,475","3,295","12,710","507,795","135,775","29,840","284,395","47,640","2,700","7,450","616,160","161,045","39,225","345,075","55,110","3,280","12,425","402,445","132,985","29,655","192,650","37,295","2,685","7,180"
California's 17th,CA-17,23.4,2.4,16.3,54.7,0.2,3.0,25.7,2.4,14.7,54.9,0.2,2.1,28.1,2.9,17.3,47.8,0.2,3.7,32.5,3.0,15.1,46.5,0.3,2.7,"771,460","180,530","18,675","125,700","422,115","1,440","22,990","606,100","155,830","14,575","89,265","332,605","1,115","12,705","587,035","164,860","17,280","101,290","280,420","1,420","21,765","438,345","142,425","13,235","66,160","203,635","1,115","11,780"
California's 18th,CA-18,53.9,2.0,16.2,23.8,0.2,3.9,56.9,2.0,14.5,23.8,0.2,2.6,59.0,2.1,14.2,20.1,0.2,4.4,63.7,2.1,11.7,19.5,0.2,2.9,"740,930","399,720","14,600","120,050","176,045","1,400","29,110","576,040","327,990","11,305","83,690","137,325","1,040","14,695","635,700","374,810","13,185","90,275","128,045","1,375","28,005","481,625","306,630","10,070","56,230","93,915","1,010","13,765"
California's 19th,CA-19,25.5,2.7,40.1,28.6,0.2,2.9,28.3,2.9,36.1,30.3,0.2,2.2,28.9,2.9,36.9,27.7,0.2,3.3,33.3,3.3,31.0,29.6,0.2,2.6,"759,865","193,465","20,360","304,845","217,635","1,395","22,160","582,170","164,895","16,890","209,900","176,410","1,180","12,895","644,080","186,025","18,975","237,930","178,355","1,390","21,405","473,610","157,800","15,585","146,740","140,080","1,170","12,235"
California's 20th,CA-20,37.0,1.8,53.0,5.3,0.2,2.6,42.4,2.0,46.9,6.1,0.3,2.3,44.0,2.2,45.3,5.1,0.3,3.2,53.3,2.6,34.9,6.0,0.3,2.9,"735,665","271,890","13,320","390,045","39,290","1,630","19,490","555,380","235,290","11,280","260,405","34,030","1,445","12,935","602,340","265,290","13,055","272,640","30,660","1,575","19,130","429,820","229,025","11,015","149,825","25,950","1,390","12,615"
California's 21st,CA-21,16.8,3.6,74.8,3.2,0.4,1.2,19.9,4.1,70.7,3.6,0.4,1.2,20.9,4.5,69.3,3.1,0.5,1.5,27.5,5.7,60.7,3.8,0.6,1.7,"712,855","119,795","25,865","532,875","22,575","2,990","8,755","493,235","98,075","20,390","348,635","17,940","2,125","6,065","560,215","117,325","25,480","388,310","17,485","2,960","8,655","350,035","96,120","20,040","212,415","13,400","2,100","5,960"
California's 22nd,CA-22,38.7,2.9,47.8,8.0,0.4,2.1,43.7,2.8,42.9,8.5,0.4,1.7,42.4,3.1,44.6,7.3,0.5,2.2,49.3,3.1,37.6,7.7,0.5,1.8,"755,465","292,635","21,610","361,410","60,625","3,215","15,970","540,635","236,100","15,245","231,760","46,025","2,370","9,140","679,575","287,870","21,085","302,800","49,445","3,210","15,160","470,490","231,875","14,805","176,930","36,030","2,365","8,480"
California's 23rd,CA-23,45.8,6.3,39.2,5.5,0.6,2.5,50.4,6.2,34.8,5.8,0.6,2.1,49.0,6.7,36.4,4.5,0.7,2.7,55.1,6.8,30.5,4.7,0.7,2.3,"740,770","339,425","46,890","290,375","40,710","4,745","18,630","537,225","270,625","33,500","187,050","31,045","3,455","11,545","685,430","335,905","46,175","249,430","30,740","4,735","18,445","485,640","267,465","32,865","147,890","22,595","3,445","11,380"
California's 24th,CA-24,54.6,1.8,36.2,4.7,0.4,2.5,59.3,1.9,31.0,5.2,0.4,2.1,60.2,1.9,30.7,4.1,0.4,2.7,66.9,2.1,23.6,4.6,0.5,2.4,"734,025","400,425","12,945","265,505","34,190","2,905","18,055","583,035","346,020","11,010","181,015","30,100","2,545","12,350","651,420","392,030","12,480","199,785","26,490","2,905","17,725","505,765","338,180","10,585","119,400","23,045","2,545","12,010"
California's 25th,CA-25,41.2,7.6,39.4,8.6,0.3,2.8,45.5,7.5,35.2,9.3,0.3,2.2,43.9,8.1,36.7,7.8,0.4,3.0,49.5,8.2,31.3,8.3,0.4,2.4,"718,950","296,400","54,620","283,245","61,800","2,490","20,390","529,470","240,975","39,750","186,520","49,000","1,810","11,425","661,700","290,540","53,795","243,120","51,580","2,490","20,180","476,030","235,550","38,995","148,850","39,575","1,810","11,255"
California's 26th,CA-26,43.6,1.7,45.1,6.9,0.3,2.4,47.9,1.9,40.6,7.5,0.3,1.8,48.7,1.9,40.1,6.2,0.3,2.7,55.3,2.1,33.4,6.8,0.3,2.1,"725,955","316,285","12,495","327,460","50,115","1,885","17,710","552,400","264,635","10,235","224,405","41,430","1,560","10,130","637,280","310,275","12,135","255,765","39,810","1,875","17,415","468,925","259,135","9,880","156,480","32,050","1,555","9,830"
California's 27th,CA-27,26.2,4.3,28.2,38.8,0.2,2.3,28.0,4.5,25.7,40.0,0.2,1.6,29.5,4.9,28.1,34.6,0.3,2.6,32.2,5.3,24.9,35.5,0.3,1.8,"717,945","187,770","30,945","202,390","278,645","1,580","16,620","578,100","161,755","25,915","148,645","231,200","1,365","9,230","614,325","181,035","30,330","172,330","212,840","1,560","16,230","482,730","155,660","25,350","120,095","171,430","1,345","8,855"
California's 28th,CA-28,55.6,2.7,25.1,13.5,0.2,2.8,57.7,2.9,23.5,13.5,0.2,2.2,58.5,3.1,22.8,12.3,0.3,3.1,61.6,3.3,20.3,12.2,0.3,2.4,"715,010","397,445","19,620","179,640","96,610","1,660","20,045","604,210","348,665","17,230","141,760","81,845","1,345","13,365","604,740","353,695","18,635","137,760","74,310","1,540","18,805","501,365","308,625","16,295","101,780","61,135","1,260","12,270"
California's 29th,CA-29,19.1,3.6,68.5,7.7,0.1,1.0,21.9,3.9,64.6,8.6,0.1,0.9,22.8,4.4,63.5,7.8,0.2,1.3,27.9,5.1,56.4,9.2,0.2,1.2,"721,305","137,750","25,680","494,005","55,490",970,"7,415","549,675","120,305","21,485","354,880","47,325",790,"4,890","560,660","127,915","24,550","356,295","43,805",950,"7,145","398,510","111,340","20,495","224,800","36,480",770,"4,630"
California's 30th,CA-30,50.5,4.8,28.4,13.1,0.2,3.0,53.3,4.9,26.0,13.5,0.2,2.0,54.0,5.3,25.4,11.8,0.2,3.2,58.1,5.5,21.9,12.1,0.2,2.2,"764,570","386,010","37,040","217,025","100,345","1,410","22,740","614,210","327,415","30,210","159,755","83,120","1,165","12,545","669,195","361,520","35,480","170,225","78,895","1,400","21,675","524,890","304,955","28,770","114,985","63,430","1,155","11,595"
California's 31st,CA-31,26.3,10.0,53.2,7.9,0.3,2.3,29.8,10.4,49.0,8.5,0.2,2.0,28.7,11.0,50.8,6.7,0.3,2.5,33.5,11.8,44.9,7.2,0.3,2.2,"744,630","196,165","74,205","396,315","58,880","1,905","17,155","547,455","162,915","57,035","268,335","46,790","1,330","11,035","663,165","190,430","72,775","336,705","44,700","1,905","16,650","471,085","157,915","55,715","211,620","33,920","1,330","10,585"
California's 32nd,CA-32,15.2,2.6,62.1,18.7,0.2,1.2,17.4,2.8,58.1,20.4,0.2,1.0,17.6,3.0,60.5,17.3,0.2,1.4,21.0,3.4,55.1,19.0,0.3,1.2,"719,645","109,740","18,430","446,630","134,740","1,345","8,750","556,935","96,780","15,540","323,770","113,765","1,240","5,840","607,805","107,085","18,040","367,630","105,205","1,345","8,500","450,000","94,360","15,180","247,890","85,715","1,240","5,615"
California's 33rd,CA-33,64.6,3.0,13.1,14.7,0.2,4.4,66.6,3.0,12.4,14.8,0.2,3.0,67.2,3.2,12.5,12.3,0.2,4.7,69.7,3.2,11.6,12.2,0.2,3.1,"713,725","461,300","21,635","93,190","104,925","1,215","31,465","580,290","386,745","17,380","71,985","85,795","1,005","17,380","651,975","437,830","20,645","81,725","80,265","1,145","30,360","524,125","365,295","16,530","60,965","63,940",935,"16,455"
California's 34th,CA-34,11.1,4.5,63.1,19.7,0.2,1.4,12.8,5.1,58.6,22.0,0.2,1.3,14.4,6.0,58.5,19.1,0.3,1.8,17.9,7.4,50.3,22.3,0.3,1.7,"729,285","80,845","32,820","460,140","143,935","1,485","10,055","578,550","73,965","29,795","339,000","127,180","1,290","7,320","526,265","75,580","31,505","307,730","100,650","1,415","9,395","385,030","68,865","28,625","193,710","85,940","1,215","6,670"
California's 35th,CA-35,14.1,6.1,70.6,7.3,0.2,1.7,16.4,6.5,67.1,8.2,0.2,1.6,16.3,7.1,67.6,6.7,0.3,2.0,20.2,8.0,61.9,7.6,0.3,2.0,"741,990","104,260","45,065","524,040","54,420","1,675","12,530","545,920","89,580","35,350","366,110","44,775","1,330","8,770","619,855","101,220","43,880","419,330","41,595","1,625","12,205","429,875","86,960","34,340","266,120","32,725","1,280","8,450"
California's 36th,CA-36,41.0,4.2,48.8,3.7,0.7,1.7,46.8,4.1,43.3,3.8,0.6,1.3,45.1,4.7,44.4,3.2,0.8,1.8,53.0,4.7,36.8,3.3,0.8,1.5,"743,335","304,845","30,960","362,835","27,180","5,205","12,310","574,625","269,205","23,380","248,845","21,835","3,725","7,635","652,240","294,085","30,380","289,845","20,865","5,175","11,885","488,390","258,870","22,835","179,515","16,245","3,705","7,220"
