District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Florida's 25th,FL-25,18.7,3.7,75.8,1.2,0.2,0.3,19.3,3.5,75.6,1.2,0.2,0.2,24.6,4.2,69.5,1.0,0.2,0.4,26.5,3.9,68.0,1.0,0.2,0.3,"744,165","139,515","27,820","564,310","8,810","1,260","2,455","591,185","114,315","20,825","446,775","6,990",905,"1,380","546,765","134,345","22,875","380,270","5,645","1,260","2,375","414,085","109,775","16,145","281,755","4,200",905,"1,300"
Florida's 26th,FL-26,17.8,11.1,68.6,1.7,0.1,0.7,18.0,10.1,69.3,1.8,0.1,0.6,21.2,12.6,63.7,1.5,0.1,0.8,22.4,11.7,63.5,1.6,0.1,0.6,"761,160","135,390","84,515","522,420","13,005",795,"5,035","593,310","107,055","60,135","411,340","10,855",650,"3,280","613,525","130,365","77,470","390,930","9,360",715,"4,685","457,955","102,640","53,765","290,615","7,430",570,"2,940"
Florida's 27th,FL-27,22.8,4.1,70.4,2.0,0.1,0.7,22.7,4.0,70.6,2.2,0.1,0.5,27.2,5.0,65.2,1.8,0.1,0.8,27.8,5.0,64.6,1.9,0.1,0.6,"737,825","168,090","30,015","519,395","15,125",375,"4,825","603,700","136,805","24,065","426,290","13,030",340,"3,165","556,235","151,085","27,650","362,515","10,245",375,"4,365","438,255","121,750","21,995","282,940","8,500",340,"2,725"
Georgia's 1st,GA-01,59.7,29.3,6.6,1.9,0.3,2.2,62.4,28.3,5.8,2.0,0.3,1.2,60.9,30.0,5.1,1.4,0.3,2.2,64.0,29.1,3.8,1.4,0.3,1.3,"723,375","431,825","212,110","47,705","13,560","2,275","15,900","548,200","342,025","155,005","31,615","11,025","1,720","6,805","701,405","427,420","210,445","35,905","9,650","2,240","15,740","527,655","337,960","153,425","20,285","7,625","1,710","6,650"
Georgia's 2nd,GA-02,40.7,51.4,4.9,1.2,0.2,1.6,43.6,49.5,4.3,1.3,0.2,1.1,41.4,52.3,3.6,0.9,0.2,1.6,44.6,50.7,2.6,0.9,0.2,1.1,"685,990","279,215","352,525","33,690","8,500","1,260","10,810","518,915","226,445","257,010","22,065","6,710","1,070","5,615","670,425","277,515","350,885","24,200","6,030","1,185","10,610","504,255","224,875","255,430","13,100","4,430",995,"5,425"
Georgia's 3rd,GA-03,66.7,23.6,5.6,1.8,0.2,2.1,69.1,22.9,4.7,1.9,0.2,1.2,68.1,24.0,4.4,1.3,0.2,2.1,70.8,23.3,3.3,1.2,0.2,1.2,"714,265","476,150","168,575","39,870","13,165","1,540","14,965","536,615","370,765","123,000","25,415","9,980","1,175","6,275","694,610","472,810","166,435","30,580","8,695","1,540","14,550","518,970","367,650","121,050","16,960","6,075","1,175","6,055"
Georgia's 4th,GA-04,25.3,58.8,9.2,5.0,0.1,1.6,28.5,57.5,7.7,5.0,0.1,1.2,27.0,61.6,6.3,3.3,0.1,1.7,30.9,60.7,3.8,3.2,0.1,1.3,"730,840","184,780","429,660","67,175","36,870",860,"11,495","539,755","153,580","310,210","41,500","27,220",715,"6,530","667,990","180,350","411,535","41,855","22,175",835,"11,235","485,240","149,760","294,465","18,425","15,555",690,"6,345"
Georgia's 5th,GA-05,28.5,58.2,7.0,4.3,0.2,1.8,31.5,56.1,5.9,4.7,0.3,1.5,29.4,60.9,4.9,2.7,0.2,1.8,32.8,59.2,3.3,2.9,0.3,1.5,"736,160","209,490","428,530","51,535","31,530","1,765","13,310","583,095","183,535","327,340","34,345","27,450","1,520","8,905","693,925","204,305","422,890","33,845","18,815","1,630","12,435","543,810","178,480","322,110","17,960","15,625","1,380","8,255"
Georgia's 6th,GA-06,61.2,13.4,12.3,10.8,0.3,2.0,64.2,13.2,10.3,10.7,0.3,1.3,67.5,14.3,8.3,7.6,0.3,2.1,72.4,14.3,4.9,6.8,0.3,1.4,"731,335","447,930","97,975","89,790","78,950","1,960","14,725","550,290","353,375","72,590","56,775","58,720","1,575","7,255","641,380","432,745","91,755","53,010","48,665","1,675","13,530","469,400","340,035","66,980","22,845","31,735","1,310","6,490"
Georgia's 7th,GA-07,46.8,19.0,19.1,13.0,0.2,1.9,49.9,18.4,16.8,13.5,0.2,1.3,52.8,20.5,13.8,10.5,0.2,2.1,58.5,20.4,9.1,10.4,0.2,1.4,"761,510","356,540","145,055","145,075","98,695","1,300","14,845","548,715","273,535","101,210","92,160","73,805",965,"7,030","657,130","347,000","134,940","90,935","68,985","1,250","14,020","452,545","264,940","92,145","41,295","46,935",915,"6,315"
Georgia's 8th,GA-08,60.4,30.1,6.3,1.5,0.2,1.5,62.9,29.1,5.3,1.6,0.2,1.0,62.0,30.9,4.4,1.0,0.2,1.5,65.0,30.0,2.9,0.9,0.2,1.0,"703,465","424,755","211,650","44,500","10,860","1,160","10,540","534,420","336,020","155,440","28,360","8,490",915,"5,195","682,145","422,980","210,630","30,250","6,600","1,160","10,515","514,725","334,420","154,530","14,935","4,750",915,"5,175"
Georgia's 9th,GA-09,78.2,6.9,12.4,1.3,0.2,1.1,81.4,6.7,9.7,1.3,0.2,0.7,82.5,7.2,8.0,1.0,0.2,1.2,86.8,7.0,4.2,1.0,0.2,0.8,"716,775","560,200","49,260","88,795","9,135","1,305","8,080","548,380","446,425","36,575","53,160","6,915","1,265","4,045","675,575","557,070","48,425","53,890","6,875","1,305","8,015","510,760","443,485","35,880","21,290","4,870","1,265","3,975"
Georgia's 10th,GA-10,65.5,25.2,5.6,2.2,0.1,1.4,67.8,24.3,4.7,2.2,0.1,0.9,67.0,25.6,4.2,1.6,0.1,1.5,69.8,24.7,2.9,1.5,0.1,1.0,"720,980","472,020","181,845","40,145","15,535","1,040","10,400","549,835","373,010","133,445","25,700","11,825",640,"5,210","698,745","468,045","178,845","29,270","11,350","1,040","10,195","529,455","369,310","130,760","15,615","8,065",640,"5,065"
Georgia's 11th,GA-11,67.6,15.9,11.2,3.4,0.1,1.7,70.0,15.7,9.4,3.5,0.2,1.2,71.6,16.1,7.9,2.4,0.2,1.8,75.3,16.0,5.0,2.3,0.2,1.2,"735,545","497,095","116,910","82,455","25,345","1,070","12,670","555,200","388,600","87,370","52,235","19,595",880,"6,515","680,000","487,015","109,605","53,465","16,525","1,070","12,315","504,200","379,535","80,705","25,285","11,545",880,"6,245"
Georgia's 12th,GA-12,56.0,34.8,5.8,1.7,0.2,1.6,58.6,33.6,4.9,1.8,0.2,1.0,56.9,35.4,4.6,1.3,0.2,1.6,59.8,34.3,3.3,1.2,0.2,1.0,"709,370","396,995","246,580","40,990","12,085","1,535","11,185","538,455","315,340","180,705","26,130","9,675","1,215","5,385","692,875","394,345","245,275","31,920","8,730","1,510","11,090","522,900","312,950","179,465","17,485","6,515","1,190","5,295"
Georgia's 13th,GA-13,27.7,57.1,10.7,2.7,0.1,1.8,31.5,55.6,8.7,2.8,0.1,1.3,28.9,59.2,7.8,2.1,0.1,1.9,33.4,58.1,4.8,2.2,0.1,1.4,"729,460","201,890","416,630","77,825","19,440",540,"13,135","529,080","166,455","294,065","46,120","14,950",435,"7,060","684,200","197,845","405,065","53,295","14,580",540,"12,875","487,680","162,885","283,355","23,595","10,605",435,"6,800"
Georgia's 14th,GA-14,77.7,8.6,11.1,1.0,0.2,1.4,80.5,8.4,9.0,1.1,0.2,0.9,81.2,8.9,7.6,0.8,0.2,1.4,85.1,8.7,4.4,0.7,0.2,0.9,"700,245","544,205","60,510","77,440","7,330","1,090","9,670","523,185","421,350","43,825","47,045","5,500",875,"4,595","667,195","541,550","59,195","50,525","5,330","1,075","9,520","492,210","418,845","42,680","21,765","3,605",860,"4,455"
Hawaii's 1st,HI-01,16.3,1.9,8.4,56.8,0.1,16.5,17.7,2.0,6.8,59.7,0.1,13.7,17.4,2.1,8.9,53.4,0.1,18.1,19.1,2.2,7.2,56.2,0.1,15.1,"707,395","115,140","13,770","59,095","401,650",685,"117,055","563,420","99,895","11,305","38,185","336,515",610,"76,910","639,210","111,070","13,425","57,075","341,035",685,"115,920","501,890","96,110","11,005","36,255","281,935",610,"75,980"
Hawaii's 2nd,HI-02,28.6,1.5,11.7,36.2,0.2,21.8,32.2,1.5,9.2,38.6,0.2,18.3,29.6,1.5,11.9,33.7,0.2,23.1,33.7,1.6,9.2,35.9,0.2,19.5,"706,275","202,105","10,245","82,730","255,650","1,255","154,290","542,035","174,765","7,995","49,895","209,080","1,105","99,185","664,745","196,980","10,075","78,815","224,345","1,250","153,275","504,835","169,900","7,850","46,195","181,430","1,095","98,360"
Idaho's 1st,ID-01,84.8,0.4,10.4,1.2,1.1,2.0,87.2,0.4,8.5,1.3,1.1,1.5,86.7,0.3,8.9,0.9,1.2,2.0,89.6,0.3,6.5,0.9,1.2,1.5,"833,725","707,300","3,410","86,510","10,000","9,525","16,980","620,020","540,580","2,370","52,705","7,790","7,015","9,555","811,550","703,340","2,745","71,875","7,470","9,510","16,615","599,525","536,885","1,960","38,960","5,520","7,000","9,200"
Idaho's 2nd,ID-02,81.1,0.8,13.6,1.6,1.0,1.9,83.9,0.7,11.3,1.7,1.1,1.4,84.3,0.7,10.8,1.0,1.1,2.0,88.1,0.6,7.6,1.1,1.1,1.4,"801,755","649,895","6,445","109,080","12,725","8,145","15,470","584,145","489,930","4,115","65,980","10,050","6,170","7,905","762,650","643,290","5,420","82,725","7,890","8,130","15,195","549,370","484,130","3,395","41,955","6,055","6,155","7,685"
Illinois' 1st,IL-01,35.6,51.2,9.8,1.8,0.1,1.4,37.2,51.2,8.3,2.1,0.2,1.0,36.2,52.7,8.3,1.2,0.1,1.5,38.0,53.0,6.4,1.3,0.2,1.1,"710,090","252,695","363,885","69,410","13,020",980,"10,100","545,530","202,725","279,325","45,405","11,540",845,"5,690","684,775","247,835","361,130","56,655","8,240",980,"9,935","521,970","198,255","276,850","33,560","6,935",845,"5,525"
Illinois' 2nd,IL-02,28.7,56.0,13.2,0.7,0.1,1.3,32.0,54.7,11.5,0.8,0.1,1.0,29.4,57.5,11.1,0.5,0.1,1.3,33.0,56.6,8.8,0.6,0.1,1.0,"704,140","202,370","394,105","92,885","5,105",625,"9,055","531,615","170,035","290,720","60,905","4,210",560,"5,185","679,700","199,960","390,680","75,735","3,685",625,"9,025","508,975","167,750","287,930","44,660","2,905",560,"5,165"
Illinois' 3rd,IL-03,58.8,4.7,31.5,4.0,0.1,0.9,62.7,4.8,27.5,4.3,0.0,0.6,62.5,5.2,28.0,3.2,0.1,1.0,68.2,5.4,22.3,3.3,0.0,0.7,"722,175","424,390","34,085","227,350","29,125",370,"6,850","544,470","341,650","26,205","149,625","23,275",230,"3,485","647,710","404,900","33,615","181,675","20,420",370,"6,725","474,230","323,525","25,810","105,875","15,430",230,"3,355"
Illinois' 4th,IL-04,21.4,3.9,70.4,3.3,0.1,0.9,25.4,3.9,65.8,3.9,0.1,0.8,25.7,5.0,64.9,3.1,0.1,1.1,33.2,5.4,56.2,3.9,0.2,1.1,"702,320","150,050","27,575","494,510","22,980",710,"6,505","514,955","131,025","20,160","339,005","19,870",620,"4,275","544,910","140,045","27,055","353,855","17,135",685,"6,140","364,960","121,345","19,705","205,055","14,350",600,"3,910"
Illinois' 5th,IL-05,68.4,2.6,20.0,6.9,0.1,2.0,71.0,2.8,17.5,7.1,0.1,1.4,71.1,2.7,18.2,5.9,0.1,2.1,74.5,2.9,15.0,6.0,0.1,1.5,"732,035","500,870","19,205","146,300","50,395",790,"14,475","595,335","422,815","16,465","104,320","42,385",740,"8,605","662,430","470,810","18,040","120,270","38,930",700,"13,685","530,135","394,810","15,410","79,620","31,640",650,"8,005"
Illinois' 6th,IL-06,77.4,2.5,9.8,8.8,0.0,1.5,79.9,2.3,8.3,8.7,0.0,0.8,80.7,2.5,8.1,7.2,0.0,1.5,84.1,2.4,6.0,6.7,0.0,0.8,"724,600","560,620","18,010","71,190","63,930",275,"10,575","550,165","439,360","12,820","45,415","47,915",225,"4,430","682,045","550,310","17,115","55,170","48,925",275,"10,255","511,440","430,035","12,105","30,440","34,500",225,"4,135"
Illinois' 7th,IL-07,27.5,49.1,14.6,7.1,0.1,1.5,31.0,47.0,12.9,7.9,0.1,1.1,28.5,53.0,12.1,4.8,0.1,1.6,32.5,51.5,9.5,5.2,0.1,1.2,"728,895","200,585","358,235","106,510","51,710",735,"11,120","573,265","177,715","269,250","73,820","45,375",615,"6,490","671,275","191,080","355,630","81,035","32,150",720,"10,660","518,535","168,680","266,930","49,315","26,935",600,"6,070"
Illinois' 8th,IL-08,52.8,4.5,28.0,13.1,0.1,1.5,58.0,4.2,23.6,13.3,0.1,0.9,59.5,5.2,22.6,11.0,0.1,1.6,67.6,4.9,15.6,10.9,0.1,1.0,"716,965","378,425","32,620","201,005","93,810",645,"10,460","543,750","315,285","22,600","128,260","72,475",465,"4,665","607,320","361,585","31,580","137,185","66,520",595,"9,850","442,875","299,270","21,650","68,885","48,410",455,"4,215"
Illinois' 9th,IL-09,64.7,8.9,11.1,13.0,0.1,2.1,66.8,8.7,9.8,13.1,0.1,1.5,69.1,8.8,9.3,10.5,0.1,2.2,72.1,8.6,7.4,10.3,0.1,1.5,"718,765","465,275","63,970","79,965","93,545",850,"15,155","571,225","381,650","49,675","56,050","74,750",740,"8,365","640,635","442,585","56,210","59,730","67,315",850,"13,945","500,830","361,025","43,040","37,090","51,590",740,"7,350"
Illinois' 10th,IL-10,58.9,6.6,22.5,10.1,0.1,1.8,62.9,6.4,19.0,10.4,0.1,1.2,64.9,7.3,17.7,7.9,0.1,2.1,71.2,7.2,12.2,7.8,0.2,1.4,"713,715","420,055","46,950","160,690","72,070",900,"13,050","535,455","336,710","34,165","101,985","55,455",755,"6,380","627,430","406,955","45,690","111,345","49,660",900,"12,875","456,465","325,110","32,970","55,720","35,665",755,"6,245"
Illinois' 11th,IL-11,52.6,10.9,26.7,7.6,0.1,2.1,57.1,10.7,23.0,7.7,0.1,1.4,57.6,11.8,21.9,6.2,0.1,2.3,64.4,11.9,16.1,6.0,0.1,1.5,"722,750","380,050","78,715","192,840","55,040",620,"15,485","530,630","303,135","56,675","122,180","40,830",450,"7,355","647,495","373,260","76,605","142,070","39,930",615,"15,010","460,610","296,770","54,875","74,105","27,470",450,"6,940"
Illinois' 12th,IL-12,76.7,16.7,3.2,1.2,0.2,2.0,78.9,15.7,2.8,1.3,0.2,1.1,77.4,16.8,2.8,0.8,0.2,2.0,79.8,15.8,2.2,0.8,0.2,1.1,"703,345","539,295","117,515","22,720","8,555","1,205","14,055","546,125","431,125","85,775","15,020","6,875","1,090","6,235","694,380","537,335","116,745","19,495","5,835","1,155","13,820","537,815","429,345","85,060","11,990","4,350","1,040","6,025"
Illinois' 13th,IL-13,79.1,11.2,3.3,3.8,0.2,2.4,81.3,10.1,2.9,4.1,0.2,1.5,81.2,11.3,2.9,2.0,0.2,2.4,83.9,10.1,2.4,1.9,0.2,1.5,"709,735","561,725","79,375","23,625","26,725","1,255","17,040","564,310","458,625","56,725","16,365","22,875","1,065","8,650","687,140","558,215","77,330","20,045","13,535","1,255","16,765","543,100","455,500","54,875","12,960","10,320","1,065","8,375"
Illinois' 14th,IL-14,79.3,3.1,11.7,4.4,0.1,1.4,82.0,3.1,9.9,4.2,0.1,0.8,81.9,3.2,9.7,3.7,0.1,1.5,85.4,3.1,7.1,3.4,0.1,0.8,"725,480","575,540","22,770","84,670","31,610",555,"10,330","532,975","437,055","16,335","52,525","22,305",510,"4,240","695,550","569,680","21,955","67,265","25,840",545,"10,265","505,470","431,825","15,775","36,120","17,070",505,"4,175"
Illinois' 15th,IL-15,90.9,4.2,2.7,0.7,0.2,1.3,92.0,4.2,2.3,0.7,0.2,0.8,91.5,4.3,2.2,0.5,0.2,1.3,92.8,4.2,1.7,0.4,0.2,0.8,"703,110","638,985","29,810","19,305","4,735","1,220","9,045","545,160","501,560","22,640","12,275","3,585",985,"4,120","696,530","637,670","29,725","15,670","3,280","1,190","8,995","539,210","500,350","22,555","9,000","2,290",950,"4,065"
Illinois' 16th,IL-16,84.3,3.7,8.9,1.5,0.1,1.5,86.9,3.5,7.0,1.5,0.1,1.0,86.1,3.7,7.5,1.0,0.1,1.5,89.1,3.5,5.2,1.0,0.1,0.9,"700,935","590,755","26,145","62,320","10,270",840,"10,600","542,040","470,780","19,180","38,125","8,170",585,"5,195","682,605","587,735","25,520","51,025","7,110",840,"10,375","524,970","467,940","18,615","27,460","5,390",585,"4,975"
Illinois' 17th,IL-17,76.2,11.3,8.9,1.4,0.2,2.0,80.1,10.1,7.2,1.3,0.2,1.1,78.3,11.3,7.3,0.9,0.2,2.0,82.6,10.1,5.2,0.8,0.2,1.1,"698,800","532,795","78,720","62,510","9,730","1,115","13,920","539,255","431,905","54,555","39,015","7,165",930,"5,690","677,305","530,455","76,230","49,775","6,020","1,115","13,705","520,405","429,875","52,705","27,200","4,180",930,"5,515"
Illinois' 18th,IL-18,89.2,3.7,2.6,2.7,0.1,1.7,90.4,3.7,2.2,2.5,0.1,1.0,90.7,3.6,2.3,1.5,0.1,1.7,92.2,3.6,1.8,1.2,0.1,1.0,"713,835","636,545","26,190","18,670","19,365","1,015","12,060","554,800","501,685","20,405","12,375","14,105",720,"5,510","698,930","634,030","25,240","16,070","10,600","1,015","11,980","541,480","499,385","19,625","9,955","6,365",720,"5,430"
Indiana's 1st,IN-01,63.1,18.9,15.0,1.3,0.2,1.5,66.5,17.9,13.1,1.4,0.2,0.9,64.3,19.4,13.7,0.9,0.2,1.5,68.2,18.4,11.5,0.8,0.2,0.9,"717,040","452,460","135,865","107,225","9,550","1,445","10,500","546,390","363,540","97,630","71,705","7,670","1,105","4,750","698,475","449,370","135,370","95,845","6,120","1,420","10,360","528,740","360,550","97,175","60,890","4,435","1,080","4,620"
Indiana's 2nd,IN-02,80.7,6.8,9.1,1.3,0.3,1.9,84.0,6.2,7.1,1.3,0.3,1.1,83.3,6.8,6.8,0.9,0.3,1.9,87.3,6.2,4.2,0.8,0.3,1.1,"721,460","582,265","48,745","65,580","9,055","2,090","13,725","540,725","454,350","33,395","38,315","7,020","1,790","5,855","695,045","578,875","47,185","47,445","5,965","2,080","13,490","516,955","451,255","32,080","21,875","4,250","1,780","5,705"
Indiana's 3rd,IN-03,84.1,5.9,5.9,2.0,0.1,2.0,86.5,5.5,4.7,1.9,0.2,1.2,86.0,6.0,4.6,1.3,0.2,2.0,88.9,5.6,3.0,1.1,0.2,1.2,"733,725","616,740","43,475","42,990","15,020","1,090","14,410","543,045","469,980","30,025","25,335","10,295",865,"6,545","715,145","614,720","42,930","33,095","9,110","1,090","14,200","526,585","468,070","29,520","16,050","5,740",865,"6,345"
Indiana's 4th,IN-04,86.2,3.7,5.8,2.8,0.2,1.3,87.9,3.5,4.7,3.0,0.2,0.8,89.1,3.7,4.4,1.3,0.2,1.4,91.6,3.4,2.8,1.2,0.2,0.8,"741,150","638,615","27,305","43,300","20,835","1,240","9,855","569,215","500,100","19,760","26,475","17,215","1,165","4,500","713,020","635,550","26,065","31,425","9,035","1,240","9,705","543,065","497,255","18,635","15,380","6,290","1,165","4,350"
Indiana's 5th,IN-05,82.2,8.0,4.2,3.3,0.1,2.2,84.2,8.0,3.3,3.3,0.1,1.2,84.0,8.1,3.4,2.3,0.1,2.2,86.4,8.1,2.3,2.0,0.1,1.1,"749,285","615,970","60,165","31,120","25,035",845,"16,150","564,950","475,525","45,030","18,650","18,500",715,"6,525","727,335","610,690","59,070","24,415","16,450",845,"15,865","545,740","471,435","44,000","12,535","10,775",715,"6,270"
Indiana's 6th,IN-06,92.0,2.5,2.6,1.3,0.2,1.5,93.0,2.4,2.0,1.3,0.2,1.1,93.3,2.4,2.0,0.6,0.2,1.5,94.6,2.3,1.4,0.5,0.2,1.1,"719,080","661,250","17,905","18,435","9,590","1,320","10,575","556,270","517,500","13,230","11,280","7,355","1,060","5,850","706,690","659,455","17,310","13,950","4,115","1,320","10,540","545,480","515,825","12,780","7,415","2,560","1,060","5,840"
Indiana's 7th,IN-07,54.4,29.5,10.8,2.7,0.3,2.4,59.1,27.9,8.6,2.6,0.3,1.6,57.9,30.8,7.1,1.4,0.3,2.6,63.7,29.4,3.8,1.2,0.3,1.7,"747,290","406,170","220,315","80,685","20,100","1,935","18,090","553,120","326,720","154,240","47,405","14,620","1,435","8,700","696,285","402,990","214,500","49,525","9,500","1,935","17,835","508,400","323,890","149,455","19,215","5,890","1,435","8,510"
Indiana's 8th,IN-08,90.7,4.0,2.3,1.0,0.2,1.8,92.0,4.0,1.8,1.0,0.2,1.1,91.5,4.0,1.8,0.7,0.2,1.8,92.9,3.9,1.3,0.6,0.2,1.0,"721,950","654,870","28,920","16,670","7,245","1,225","13,020","558,980","514,020","22,170","10,240","5,630","1,055","5,870","713,350","653,000","28,350","13,125","4,750","1,225","12,900","551,310","512,440","21,630","7,075","3,365","1,055","5,745"
Indiana's 9th,IN-09,89.9,2.7,3.2,2.3,0.2,1.7,91.1,2.6,2.6,2.4,0.2,1.1,91.8,2.7,2.5,1.1,0.2,1.7,93.4,2.6,1.7,1.0,0.2,1.1,"738,600","664,060","20,115","23,515","16,740","1,635","12,530","574,890","523,870","15,025","14,735","13,670","1,190","6,400","720,475","661,215","19,360","17,760","8,255","1,635","12,245","558,280","521,295","14,315","9,470","5,740","1,190","6,265"
Iowa's 1st,IA-01,89.2,3.5,3.8,1.6,0.3,1.6,91.4,3.0,2.8,1.6,0.3,0.9,90.8,3.3,2.9,1.0,0.3,1.6,93.3,2.8,1.9,0.9,0.3,0.9,"769,895","686,685","27,000","28,905","12,470","2,330","12,510","592,655","541,705","17,985","16,755","9,325","1,740","5,135","753,345","684,100","25,170","22,090","7,305","2,320","12,360","578,335","539,380","16,450","10,750","5,030","1,730","4,995"
Iowa's 2nd,IA-02,86.4,4.0,5.4,2.3,0.2,1.7,88.6,3.4,4.3,2.3,0.2,1.1,88.6,3.7,4.6,1.2,0.2,1.8,91.2,3.1,3.3,1.1,0.2,1.1,"775,700","670,390","30,980","41,755","17,790","1,390","13,385","598,685","530,540","20,640","25,930","13,925","1,215","6,435","752,465","666,325","27,895","34,660","9,030","1,385","13,175","577,685","526,765","18,110","19,310","6,070","1,210","6,220"
Iowa's 3rd,IA-03,84.4,4.0,6.6,3.0,0.2,1.9,87.1,3.6,5.2,2.9,0.2,1.0,87.2,3.7,5.1,1.9,0.2,2.0,90.5,3.3,3.3,1.7,0.2,1.0,"801,130","675,845","32,060","52,645","23,770","1,590","15,220","600,415","523,160","21,730","31,090","17,310","1,225","5,905","770,860","671,900","28,745","39,010","14,505","1,590","15,115","574,135","519,765","19,065","18,660","9,625","1,225","5,800"
Iowa's 4th,IA-04,88.3,1.5,6.5,1.9,0.4,1.3,90.6,1.3,4.9,2.0,0.4,0.8,90.9,1.4,4.9,1.0,0.4,1.3,93.7,1.2,3.0,0.9,0.4,0.8,"759,860","671,245","11,175","49,400","14,805","3,010","10,225","587,315","531,825","7,675","29,020","11,595","2,330","4,870","735,425","668,815","10,205","36,235","7,435","3,010","9,725","564,890","529,550","6,915","16,880","4,815","2,330","4,395"
Kansas' 1st,KS-01,77.5,2.9,15.4,1.7,0.4,2.1,81.0,2.9,12.4,1.8,0.4,1.4,81.4,2.9,12.1,1.0,0.4,2.2,86.0,3.0,8.1,1.0,0.5,1.4,"716,380","555,270","20,785","109,995","12,240","2,960","15,140","541,805","438,930","15,930","67,075","9,920","2,410","7,545","678,245","551,970","19,695","81,910","6,950","2,960","14,765","506,790","435,965","14,960","41,160","5,125","2,410","7,165"
Kansas' 2nd,KS-02,83.1,4.3,6.3,1.5,1.2,3.4,85.2,4.3,5.1,1.7,1.2,2.4,84.5,4.4,5.5,0.8,1.3,3.5,86.9,4.4,4.2,0.8,1.2,2.5,"714,490","594,050","30,920","45,175","10,985","8,895","24,470","548,830","467,585","23,790","28,260","9,220","6,665","13,315","699,670","591,510","30,455","38,585","5,920","8,895","24,315","535,285","465,370","23,360","22,290","4,435","6,665","13,170"
Kansas' 3rd,KS-03,72.7,8.5,11.6,4.4,0.3,2.5,75.9,8.3,9.6,4.3,0.3,1.5,77.0,8.6,8.6,2.9,0.3,2.6,81.4,8.5,5.5,2.6,0.3,1.6,"746,160","542,745","63,260","86,915","32,585","2,210","18,440","552,045","419,155","45,845","53,005","23,930","1,635","8,475","699,810","538,845","60,270","60,025","20,360","2,195","18,115","510,660","415,755","43,460","28,270","13,290","1,620","8,265"
Kansas' 4th,KS-04,74.4,6.8,11.9,3.3,0.8,2.8,78.1,6.4,9.4,3.4,0.9,1.8,77.0,6.8,9.9,2.5,0.9,2.9,81.5,6.5,6.8,2.4,0.9,1.9,"721,260","536,840","48,785","85,655","23,525","5,965","20,495","534,265","417,350","34,225","50,265","18,020","4,555","9,850","693,660","534,395","47,280","68,495","17,230","5,965","20,290","509,040","415,115","32,915","34,430","12,355","4,555","9,665"
Kentucky's 1st,KY-01,87.7,6.9,2.8,0.7,0.2,1.7,89.2,6.9,2.2,0.6,0.2,0.9,88.4,6.9,2.3,0.5,0.2,1.7,90.1,6.9,1.5,0.4,0.2,0.9,"723,570","634,310","50,145","20,550","4,775","1,470","12,325","557,610","497,565","38,260","12,250","3,475","1,155","4,905","715,795","632,460","49,700","16,590","3,395","1,470","12,180","550,435","495,945","37,835","8,525","2,175","1,155","4,795"
Kentucky's 2nd,KY-02,87.8,5.4,3.2,1.4,0.2,2.0,89.4,5.4,2.5,1.3,0.2,1.2,89.1,5.3,2.5,0.8,0.2,2.0,90.8,5.4,1.6,0.8,0.2,1.2,"743,450","652,550","40,085","24,015","10,205","1,660","14,935","568,920","508,410","30,555","14,405","7,320","1,245","6,980","728,320","648,795","38,925","18,225","5,920","1,650","14,805","556,310","505,000","29,865","9,110","4,210","1,235","6,885"
Kentucky's 3rd,KY-03,68.7,21.3,4.9,2.6,0.1,2.5,72.1,19.7,4.1,2.5,0.1,1.5,70.9,21.5,3.4,1.6,0.1,2.5,74.6,20.0,2.3,1.4,0.1,1.5,"739,210","507,505","157,325","36,030","19,100",965,"18,290","572,240","412,535","112,930","23,235","14,170",820,"8,545","708,115","502,100","151,965","23,740","11,490",910,"17,905","546,500","407,915","109,565","12,360","7,670",765,"8,220"
Kentucky's 4th,KY-04,90.5,3.3,3.2,1.1,0.1,1.8,91.9,3.4,2.5,1.1,0.1,1.0,91.7,3.3,2.4,0.7,0.1,1.8,93.4,3.3,1.5,0.6,0.1,1.0,"743,505","672,700","24,545","23,650","8,435",815,"13,355","562,015","516,670","18,845","14,100","6,080",730,"5,590","731,055","670,640","23,985","17,240","5,250",805,"13,140","550,835","514,675","18,315","8,305","3,415",720,"5,400"
