District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
California's 11th,CA-11,47.1,8.2,26.3,14.0,0.2,4.1,50.6,8.4,22.9,14.9,0.2,3.0,52.3,9.1,21.2,12.5,0.2,4.6,57.6,9.5,16.0,13.3,0.3,3.4,"739,385","348,550","60,940","194,230","103,450","1,610","30,615","571,565","289,285","47,825","130,760","85,370","1,275","17,060","644,735","337,075","58,760","136,700","80,865","1,600","29,735","484,800","279,005","46,050","77,625","64,515","1,270","16,340"
California's 12th,CA-12,43.7,5.3,14.8,32.2,0.2,3.7,45.6,5.1,13.6,32.8,0.2,2.7,47.0,5.9,12.7,30.1,0.2,4.1,49.5,5.7,11.0,30.7,0.2,3.0,"740,335","323,875","39,175","109,700","238,585","1,245","27,755","643,520","293,435","32,615","87,470","211,175","1,165","17,660","642,175","301,990","37,705","81,315","193,320","1,235","26,615","550,100","272,155","31,235","60,250","168,700","1,160","16,600"
California's 13th,CA-13,34.7,17.4,21.8,21.1,0.3,4.7,37.4,17.4,19.0,22.3,0.4,3.5,38.3,19.4,17.7,19.1,0.4,5.2,42.0,19.8,13.6,20.2,0.4,3.9,"740,685","256,995","128,810","161,385","156,395","2,570","34,535","598,250","223,750","104,230","113,590","133,500","2,205","20,975","640,105","244,895","124,195","113,150","122,155","2,490","33,225","504,590","212,040","99,960","68,875","101,765","2,150","19,805"
California's 14th,CA-14,35.2,3.0,24.1,34.1,0.1,3.5,37.4,3.2,21.8,35.2,0.1,2.4,39.3,3.3,20.9,32.3,0.1,4.0,42.9,3.6,17.3,33.2,0.2,2.7,"741,330","261,140","21,915","178,355","252,800",945,"26,175","590,550","220,715","18,630","128,490","207,920",745,"14,050","628,140","247,105","20,835","131,155","202,945",930,"25,175","485,145","208,270","17,660","84,100","161,190",730,"13,200"
California's 15th,CA-15,34.5,5.9,22.9,32.5,0.3,3.9,37.5,5.9,20.7,32.9,0.3,2.7,39.1,6.7,20.6,29.0,0.3,4.4,43.9,7.0,17.1,28.7,0.3,3.0,"751,440","259,360","44,260","172,060","244,490","1,940","29,330","569,975","213,490","33,805","117,930","187,730","1,590","15,435","640,280","250,285","42,795","131,690","185,665","1,930","27,915","467,980","205,540","32,575","79,925","134,200","1,580","14,160"
California's 16th,CA-16,23.0,5.6,59.8,9.4,0.5,1.7,27.5,6.0,55.0,9.5,0.5,1.4,27.0,6.7,54.6,9.2,0.5,1.9,34.6,7.6,46.1,9.3,0.6,1.8,"721,110","166,080","40,650","431,480","67,570","3,260","12,075","499,605","137,610","29,825","274,910","47,510","2,525","7,225","602,655","162,915","40,420","329,110","55,220","3,245","11,740","389,255","134,555","29,645","179,450","36,190","2,515","6,900"
California's 17th,CA-17,24.8,2.5,16.5,53.2,0.2,2.9,27.5,2.5,14.8,53.1,0.2,1.9,29.6,3.0,16.7,46.9,0.3,3.6,34.5,3.1,14.2,45.4,0.3,2.5,"748,800","185,465","18,475","123,255","398,640","1,580","21,390","582,970","160,080","14,670","86,095","309,700","1,110","11,320","579,265","171,590","17,235","96,545","271,675","1,565","20,655","429,325","148,230","13,505","61,025","194,775","1,110","10,685"
California's 18th,CA-18,55.6,1.8,16.7,21.9,0.1,3.8,58.6,1.8,14.9,22.2,0.2,2.4,60.6,2.0,14.4,18.7,0.2,4.2,65.2,2.0,11.7,18.3,0.2,2.6,"730,780","406,285","13,410","122,090","160,320","1,085","27,595","565,535","331,240","10,380","84,060","125,365",935,"13,545","629,140","381,130","12,405","90,505","117,870","1,040","26,185","474,180","309,310","9,515","55,395","86,730",890,"12,335"
California's 19th,CA-19,25.8,2.8,40.8,27.7,0.2,2.7,28.9,3.0,36.6,29.2,0.2,2.1,29.4,3.2,37.1,27.0,0.2,3.1,34.2,3.4,30.9,28.7,0.3,2.5,"748,955","193,080","21,245","305,535","207,150","1,570","20,380","569,335","164,530","16,805","208,510","166,330","1,275","11,885","630,895","185,385","20,120","234,050","170,070","1,555","19,720","459,045","157,205","15,730","141,730","131,780","1,260","11,335"
California's 20th,CA-20,37.7,1.8,52.4,5.4,0.2,2.4,43.3,2.1,46.1,6.1,0.3,2.2,45.0,2.2,44.4,5.2,0.3,2.9,54.5,2.6,33.8,6.0,0.3,2.7,"729,525","274,985","13,330","382,010","39,560","1,805","17,830","548,465","237,365","11,290","253,010","33,490","1,460","11,860","596,880","268,545","13,180","265,140","31,085","1,760","17,170","424,375","231,360","11,140","143,605","25,585","1,415","11,270"
