State,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Hawaii,22.1,1.7,10.5,46.4,0.2,19.2,24.2,1.8,8.3,49.4,0.2,16.0,23.3,1.8,10.8,43.3,0.2,20.6,25.7,2.0,8.6,46.1,0.2,17.4,"1,422,095","313,955","24,570","149,120","659,590","2,250","272,610","1,117,465","270,225","20,550","93,270","552,295","1,890","179,235","1,313,270","305,355","24,030","142,330","568,840","2,130","270,585","1,018,395","262,100","20,100","87,200","469,750","1,775","177,470"
Idaho,82.1,0.7,12.5,1.5,1.1,2.1,84.5,0.6,10.6,1.6,1.1,1.6,84.4,0.6,10.6,1.1,1.1,2.2,87.6,0.5,8.0,1.1,1.2,1.7,"1,717,755","1,409,760","11,325","215,475","25,665","19,050","36,480","1,276,600","1,078,645","7,255","134,895","20,380","14,625","20,800","1,656,810","1,398,415","9,565","175,860","18,020","19,025","35,925","1,220,305","1,068,455","6,290","97,370","13,335","14,595","20,260"
Illinois,61.4,14.0,17.1,5.5,0.1,1.8,64.3,13.7,14.9,5.7,0.1,1.2,64.6,14.8,14.4,4.2,0.1,1.9,68.6,14.7,11.2,4.2,0.1,1.2,"12,770,640","7,844,200","1,791,820","2,186,385","704,260","15,575","228,400","9,879,110","6,355,255","1,354,760","1,474,365","564,645","12,940","117,145","11,884,935","7,682,770","1,757,800","1,707,175","501,150","15,185","220,855","9,049,990","6,206,310","1,325,900","1,015,250","379,280","12,570","110,680"
Indiana,79.2,9.3,6.9,2.3,0.2,2.0,81.7,8.8,5.7,2.4,0.2,1.3,81.4,9.3,5.6,1.4,0.2,2.1,84.4,8.8,4.0,1.3,0.2,1.3,"6,665,715","5,280,955","618,910","461,850","155,035","12,395","136,570","5,093,225","4,160,440","446,955","288,125","120,040","10,355","67,310","6,455,220","5,254,825","601,955","362,705","89,160","12,300","134,275","4,903,155","4,136,970","432,775","195,950","61,515","10,285","65,660"
Iowa,85.8,3.6,6.0,2.5,0.3,1.8,88.2,3.2,4.8,2.5,0.3,1.0,88.2,3.3,4.9,1.5,0.3,1.8,91.1,2.9,3.4,1.3,0.3,1.1,"3,139,505","2,692,925","114,010","188,310","79,225","9,285","55,750","2,410,785","2,125,225","77,575","114,730","60,660","7,330","25,265","3,039,680","2,680,185","100,415","148,665","46,195","9,265","54,955","2,321,095","2,113,365","66,355","78,215","31,325","7,320","24,515"
Kansas,76.0,5.7,11.9,3.0,0.7,2.8,78.9,5.6,9.8,3.1,0.7,1.9,79.0,5.7,9.7,2.0,0.7,2.9,82.8,5.6,6.9,2.0,0.7,2.0,"2,910,640","2,210,875","164,985","345,675","87,465","19,255","82,385","2,199,570","1,736,330","122,580","214,580","68,700","14,845","42,535","2,784,625","2,198,745","158,640","269,380","57,080","19,245","81,535","2,084,745","1,725,595","117,380","143,785","41,365","14,840","41,780"
Kentucky,84.7,8.0,3.7,1.5,0.2,2.0,86.4,7.8,2.9,1.5,0.2,1.2,86.3,7.9,2.7,1.0,0.2,2.0,88.3,7.7,1.7,0.9,0.2,1.2,"4,449,050","3,766,860","356,175","162,990","68,020","8,225","86,780","3,439,760","2,973,435","266,635","100,405","50,790","6,695","41,800","4,345,650","3,748,395","344,270","116,730","42,650","8,215","85,390","3,349,145","2,956,825","257,475","58,080","29,515","6,685","40,565"
Louisiana,58.8,32.1,5.1,1.8,0.5,1.7,61.1,30.8,4.6,1.8,0.5,1.1,59.9,32.8,3.8,1.3,0.5,1.7,62.5,31.5,3.0,1.2,0.5,1.1,"4,664,360","2,742,835","1,496,235","239,160","81,955","23,895","80,280","3,561,015","2,177,215","1,096,215","164,520","64,430","18,500","40,135","4,549,890","2,726,935","1,490,275","171,410","58,010","23,785","79,475","3,459,480","2,162,770","1,090,900","104,880","43,105","18,385","39,440"
Maine,93.3,1.3,1.7,1.2,0.6,2.0,94.4,1.0,1.4,1.1,0.6,1.4,94.1,0.9,1.6,0.8,0.6,2.0,95.2,0.7,1.3,0.8,0.6,1.4,"1,335,495","1,245,940","17,445","22,100","15,480","8,020","26,510","1,082,995","1,022,605","11,360","15,080","12,375","5,965","15,610","1,314,660","1,236,705","12,375","20,545","10,865","7,935","26,235","1,064,675","1,013,930","7,615","13,685","8,165","5,900","15,380"
Maryland,51.1,29.5,10.1,6.4,0.2,2.7,53.5,29.3,8.6,6.5,0.2,1.8,54.2,30.2,7.3,5.1,0.2,2.9,57.5,30.1,5.2,5.1,0.2,1.9,"6,018,855","3,073,160","1,777,890","606,480","383,850","12,335","165,140","4,677,190","2,504,430","1,369,625","401,220","306,355","10,030","85,530","5,577,245","3,023,615","1,686,155","409,110","285,630","12,075","160,660","4,280,965","2,460,950","1,288,630","222,570","217,040","9,870","81,905"
Massachusetts,72.3,7.1,11.8,6.7,0.2,1.9,74.8,6.8,10.2,6.7,0.2,1.3,75.9,6.6,10.5,4.9,0.2,2.0,79.2,6.1,8.6,4.6,0.2,1.3,"6,850,545","4,949,635","488,640","809,180","460,230","10,385","132,475","5,479,295","4,099,690","370,170","559,295","369,465","8,240","72,435","6,314,690","4,791,215","415,570","661,895","310,700","10,030","125,280","4,992,535","3,954,435","304,615","427,800","231,555","7,925","66,205"
Michigan,75.1,13.7,5.1,3.2,0.5,2.4,77.4,13.1,4.2,3.2,0.5,1.6,76.6,13.9,4.4,2.1,0.5,2.5,79.1,13.4,3.3,2.0,0.5,1.7,"9,965,250","7,488,780","1,362,775","507,345","316,860","45,805","243,685","7,787,385","6,025,920","1,021,850","325,980","249,595","35,645","128,395","9,639,090","7,383,835","1,344,215","426,180","200,885","45,270","238,705","7,495,920","5,932,710","1,006,165","251,050","146,285","35,135","124,575"
Minnesota,80.0,6.3,5.4,4.9,0.9,2.5,83.2,5.4,4.3,4.6,0.9,1.6,82.8,5.6,4.2,3.8,1.0,2.6,86.6,4.7,2.8,3.4,0.9,1.6,"5,563,375","4,448,895","351,470","299,560","271,145","52,590","139,715","4,267,555","3,552,485","229,260","184,700","197,160","36,575","67,375","5,335,320","4,418,310","300,600","223,890","202,815","52,320","137,385","4,069,690","3,525,360","189,615","115,000","137,830","36,320","65,565"
Mississippi,56.7,37.6,3.1,1.0,0.4,1.2,59.0,36.2,2.6,1.1,0.4,0.7,57.3,38.1,2.3,0.7,0.5,1.2,59.7,36.7,1.7,0.7,0.4,0.7,"2,984,415","1,692,170","1,123,065","91,200","30,290","13,345","34,345","2,270,920","1,339,540","821,960","59,070","24,015","9,515","16,820","2,941,840","1,685,420","1,120,880","67,295","20,965","13,280","34,000","2,232,325","1,333,250","819,965","37,680","15,500","9,460","16,470"
Missouri,79.6,11.5,4.2,2.1,0.4,2.3,81.5,10.9,3.4,2.1,0.4,1.5,80.9,11.5,3.5,1.4,0.4,2.3,83.2,11.0,2.6,1.3,0.4,1.5,"6,104,895","4,857,815","699,285","254,790","128,635","23,690","140,680","4,723,285","3,851,745","516,650","161,600","101,200","19,250","72,840","5,971,690","4,831,765","686,315","207,930","83,495","23,655","138,530","4,603,765","3,828,620","505,770","118,505","60,570","19,220","71,080"
Montana,86.2,0.5,3.8,0.9,6.1,2.6,88.5,0.4,3.1,0.9,5.0,2.0,86.5,0.4,3.6,0.6,6.1,2.6,88.9,0.4,2.9,0.7,5.1,2.0,"1,050,645","905,365","4,765","40,315","9,030","63,755","27,415","822,265","727,350","3,675","25,820","7,655","41,375","16,390","1,040,285","900,315","4,360","37,875","6,760","63,740","27,235","812,545","722,455","3,280","23,705","5,520","41,365","16,220"
Nebraska,79.1,4.7,10.9,2.4,0.8,2.1,82.4,4.4,8.7,2.5,0.6,1.3,82.3,4.5,8.7,1.5,0.8,2.2,86.4,4.2,6.0,1.4,0.7,1.3,"1,914,575","1,514,180","90,170","208,275","46,600","14,470","40,880","1,440,475","1,187,365","63,710","125,300","35,455","9,225","19,420","1,830,380","1,506,800","82,470","159,920","27,125","14,460","39,605","1,366,085","1,180,895","57,355","81,310","18,870","9,215","18,440"
Nevada,49.5,8.8,28.7,8.7,0.9,3.4,53.6,8.6,25.1,9.4,0.9,2.5,53.8,9.4,24.4,7.7,1.0,3.7,59.5,9.3,19.1,8.3,1.0,2.7,"2,972,385","1,470,095","261,895","853,035","258,330","27,325","101,705","2,291,350","1,227,655","196,030","574,010","215,555","20,900","57,200","2,681,305","1,442,745","252,720","653,040","205,960","27,180","99,660","2,018,920","1,201,740","188,105","385,295","167,575","20,760","55,445"
New Hampshire,90.2,1.4,3.7,2.7,0.1,1.8,91.5,1.3,3.2,2.7,0.1,1.3,91.8,1.2,3.3,1.8,0.1,1.8,93.2,1.1,2.7,1.6,0.1,1.3,"1,348,130","1,216,245","18,725","50,490","36,790","1,830","24,050","1,088,155","995,195","13,720","34,340","29,300","1,500","14,100","1,311,785","1,204,010","15,510","43,920","23,005","1,765","23,575","1,055,460","983,870","11,220","28,285","16,965","1,460","13,660"
New Jersey,55.6,12.9,20.2,9.6,0.1,1.6,58.1,12.7,18.4,9.6,0.1,1.1,60.0,13.3,17.4,7.5,0.1,1.7,63.5,13.3,14.8,7.2,0.1,1.1,"8,878,515","4,939,415","1,142,750","1,794,735","849,975","9,965","141,675","6,916,995","4,016,430","881,895","1,271,975","665,545","7,625","73,525","8,011,820","4,807,100","1,066,175","1,393,050","598,220","9,665","137,610","6,132,185","3,894,860","813,475","906,350","440,005","7,340","70,155"
New Mexico,37.6,1.8,48.8,1.5,8.8,1.5,41.6,1.9,45.3,1.6,8.3,1.2,39.3,1.8,46.8,1.1,9.3,1.5,44.1,1.9,42.7,1.2,8.9,1.2,"2,092,440","786,105","38,680","1,020,815","31,945","183,660","31,235","1,603,990","667,590","30,535","727,370","26,150","133,625","18,720","1,976,235","777,600","36,360","925,565","22,440","183,645","30,625","1,496,285","659,655","28,740","638,655","17,480","133,605","18,150"
New York,55.8,14.5,19.0,8.6,0.2,1.8,57.8,14.3,17.5,8.8,0.2,1.3,59.9,14.6,16.7,6.7,0.3,1.8,62.9,14.4,14.6,6.6,0.3,1.3,"19,572,285","10,927,680","2,839,340","3,720,980","1,683,360","48,305","352,620","15,463,830","8,936,695","2,214,725","2,710,790","1,365,975","37,860","197,785","17,686,680","10,601,625","2,576,495","2,949,435","1,185,565","46,495","327,065","13,723,495","8,632,760","1,973,840","1,998,525","905,655","36,150","176,565"
North Carolina,63.2,21.2,9.4,2.9,1.1,2.2,66.3,20.9,7.4,2.9,1.1,1.4,65.8,21.9,6.8,2.0,1.2,2.3,69.6,21.8,4.2,1.9,1.1,1.5,"10,264,940","6,490,630","2,174,955","962,680","300,055","113,005","223,615","7,968,255","5,286,115","1,662,590","590,085","229,870","86,230","113,365","9,766,905","6,428,435","2,142,325","664,400","199,110","112,780","219,855","7,514,965","5,229,245","1,634,850","313,570","140,945","86,035","110,320"
North Dakota,84.6,2.9,3.7,1.6,5.1,2.2,87.0,2.6,3.1,1.6,4.2,1.5,86.1,2.2,3.5,0.8,5.2,2.2,88.8,1.9,2.8,0.8,4.3,1.5,"756,715","640,000","21,595","28,315","11,825","38,485","16,495","580,975","505,180","15,230","17,895","9,475","24,450","8,745","738,300","635,705","16,520","25,885","5,710","38,420","16,060","564,485","501,110","10,740","15,570","4,270","24,390","8,405"
Ohio,79.1,12.3,3.8,2.3,0.1,2.5,81.2,11.7,3.1,2.3,0.2,1.6,80.3,12.2,3.4,1.4,0.2,2.5,82.7,11.7,2.6,1.3,0.2,1.6,"11,655,400","9,213,645","1,430,795","443,415","263,650","17,315","286,580","9,050,365","7,346,520","1,058,400","282,855","207,340","14,335","140,915","11,397,190","9,157,415","1,395,980","382,260","161,805","17,195","282,535","8,820,905","7,296,455","1,028,840","227,665","116,070","14,225","137,650"
Oklahoma,65.7,7.2,10.6,2.3,7.3,6.9,69.7,7.1,8.5,2.4,6.9,5.5,68.0,7.3,8.4,1.6,7.6,7.1,72.6,7.2,5.7,1.6,7.2,5.7,"3,932,865","2,585,680","282,110","417,905","90,870","285,850","270,450","2,975,905","2,073,170","209,910","253,990","71,200","204,635","163,000","3,782,295","2,570,895","276,545","318,255","61,800","285,730","269,070","2,837,300","2,059,465","204,810","161,575","45,130","204,515","161,805"
Oregon,75.9,1.8,13.0,4.7,0.9,3.6,79.0,1.8,10.6,4.9,0.9,2.8,79.3,1.8,10.6,3.6,1.0,3.8,83.3,1.7,7.5,3.6,1.0,2.9,"4,129,805","3,132,650","75,670","537,220","196,165","38,140","149,960","3,261,865","2,577,465","57,345","345,785","160,445","29,435","91,390","3,905,205","3,095,200","69,740","413,735","140,850","38,030","147,650","3,054,030","2,543,220","52,685","229,615","109,765","29,325","89,420"
Pennsylvania,76.6,10.7,7.3,3.5,0.1,1.8,79.0,10.2,6.1,3.4,0.1,1.2,78.4,10.7,6.6,2.4,0.1,1.9,81.2,10.1,5.2,2.3,0.1,1.2,"12,791,505","9,793,185","1,370,005","935,215","442,345","14,720","236,035","10,129,145","8,006,700","1,029,035","615,285","348,725","11,670","117,730","12,379,315","9,705,455","1,319,100","811,000","299,365","13,930","230,465","9,759,710","7,927,885","984,640","503,590","219,625","10,920","113,050"
Rhode Island,72.6,6.0,15.4,3.5,0.4,2.1,76.0,5.6,13.0,3.5,0.3,1.5,75.9,5.6,13.4,2.6,0.4,2.2,79.9,5.2,10.6,2.4,0.4,1.5,"1,057,225","767,380","63,245","163,225","37,220","3,865","22,290","849,880","646,135","47,705","110,875","29,930","2,895","12,340","994,500","754,430","55,615","133,390","25,530","3,855","21,680","792,915","633,855","40,905","83,965","19,375","2,885","11,930"
South Carolina,63.8,26.6,5.7,1.7,0.3,1.9,66.3,25.9,4.7,1.7,0.3,1.2,65.2,27.3,4.1,1.2,0.3,2.0,68.0,26.6,2.8,1.1,0.3,1.2,"5,020,815","3,202,665","1,337,225","285,460","83,755","14,835","96,875","3,918,295","2,597,630","1,013,190","182,705","65,465","12,135","47,170","4,873,335","3,175,195","1,329,850","199,480","58,220","14,780","95,810","3,785,350","2,572,840","1,006,975","104,395","42,840","12,085","46,215"
South Dakota,82.0,2.0,3.8,1.5,8.4,2.3,85.4,1.7,3.0,1.5,6.9,1.5,83.6,1.4,3.2,0.8,8.6,2.3,87.2,1.2,2.3,0.7,7.0,1.5,"870,635","714,100","17,230","33,025","13,005","73,400","19,875","656,525","560,510","11,410","19,775","9,715","45,070","10,045","850,800","711,215","11,975","27,515","7,070","73,365","19,660","639,670","557,940","7,360","14,905","4,585","45,045","9,835"
Tennessee,73.9,16.7,5.4,1.8,0.2,1.9,76.4,16.0,4.2,1.8,0.3,1.3,75.8,17.0,3.8,1.2,0.2,1.9,78.6,16.4,2.3,1.1,0.3,1.3,"6,709,325","4,960,875","1,118,935","364,170","121,445","15,715","128,185","5,204,440","3,976,780","834,875","220,130","94,130","13,315","65,210","6,499,470","4,925,035","1,104,975","248,655","78,780","15,525","126,500","5,019,105","3,945,610","822,680","117,685","56,270","13,145","63,715"
Texas,42.1,11.8,39.3,4.9,0.3,1.6,45.7,11.9,35.8,5.1,0.3,1.2,46.3,12.7,35.2,3.8,0.3,1.8,51.6,13.1,29.9,3.8,0.3,1.3,"28,260,815","11,889,320","3,343,435","11,116,910","1,378,105","71,650","461,395","20,922,440","9,553,205","2,495,065","7,495,370","1,066,915","56,320","255,565","25,253,930","11,689,745","3,209,640","8,884,595","953,135","71,045","445,770","18,181,370","9,380,340","2,383,950","5,429,165","689,035","55,755","243,125"
Utah,78.5,1.1,14.0,3.2,0.9,2.2,80.4,1.0,12.5,3.5,0.9,1.6,82.0,1.0,11.3,2.4,1.0,2.3,85.2,0.9,8.7,2.6,1.0,1.6,"3,096,855","2,431,410","34,710","434,835","99,025","28,725","68,150","2,173,270","1,746,835","22,815","271,865","76,840","20,555","34,360","2,938,725","2,410,835","29,460","332,260","70,770","28,555","66,845","2,029,039","1,728,555","18,720","176,255","51,770","20,390","33,349"
Vermont,92.9,1.3,1.9,1.7,0.3,1.8,93.7,1.1,1.7,1.8,0.3,1.4,93.9,1.1,1.8,1.1,0.3,1.8,94.8,0.9,1.6,1.1,0.3,1.3,"624,310","579,985","8,125","12,040","10,830","1,805","11,525","507,655","475,565","5,640","8,865","8,965","1,580","7,040","610,985","573,960","6,460","10,890","6,890","1,785","11,000","495,820","469,925","4,490","7,755","5,510","1,555","6,585"
Virginia,62.0,18.9,9.4,6.5,0.2,3.0,64.3,18.7,8.1,6.6,0.2,2.1,65.0,19.5,7.1,5.1,0.2,3.1,67.9,19.4,5.4,4.9,0.2,2.1,"8,454,465","5,243,285","1,596,300","791,995","546,720","18,345","257,820","6,588,730","4,236,535","1,231,215","535,960","433,625","15,095","136,300","7,953,335","5,167,250","1,551,325","566,320","402,895","18,170","247,375","6,140,235","4,169,885","1,192,315","331,090","303,750","14,955","128,240"
Washington,68.7,3.7,12.7,9.2,1.1,4.7,72.1,3.6,10.2,9.6,1.0,3.4,72.8,3.6,10.5,7.0,1.2,5.0,77.3,3.5,7.3,7.1,1.1,3.7,"7,404,090","5,085,950","271,965","937,580","678,870","79,910","349,815","5,760,560","4,153,175","206,690","588,700","553,540","60,360","198,095","6,850,930","4,985,095","244,725","717,070","481,710","79,465","342,865","5,257,895","4,063,300","183,345","384,965","373,640","59,975","192,670"
West Virginia,92.1,3.7,1.6,0.8,0.2,1.6,93.0,3.6,1.3,0.9,0.2,1.0,92.6,3.6,1.4,0.6,0.2,1.6,93.6,3.6,1.1,0.6,0.2,1.0,"1,817,305","1,674,525","66,490","28,365","14,975","3,650","29,300","1,447,870","1,346,215","52,680","19,235","12,450","3,130","14,160","1,802,670","1,669,800","64,835","25,270","10,325","3,545","28,895","1,434,260","1,341,895","51,295","16,280","8,005","3,025","13,760"
Wisconsin,81.4,6.3,6.8,2.8,0.8,1.9,84.4,5.7,5.4,2.7,0.8,1.1,83.2,6.4,5.7,2.1,0.8,1.9,86.6,5.7,4.0,1.8,0.8,1.1,"5,790,735","4,711,480","365,300","394,390","164,650","47,050","107,865","4,509,810","3,805,435","254,945","242,930","120,400","35,025","51,075","5,633,105","4,685,250","358,160","318,990","117,420","46,945","106,340","4,366,420","3,781,485","249,005","172,715","78,505","34,935","49,775"
Wyoming,84.1,0.9,9.9,0.9,2.2,2.0,86.2,0.9,8.5,1.0,1.9,1.5,85.5,0.8,8.8,0.6,2.2,2.0,87.9,0.8,7.1,0.7,2.0,1.5,"581,025","488,790","5,215","57,340","5,400","12,555","11,725","444,650","383,215","3,940","37,700","4,450","8,610","6,735","568,955","486,565","4,610","49,970","3,665","12,555","11,590","433,355","381,100","3,515","30,710","2,820","8,610","6,600"
