District,Clinton,Trump,Obama,Romney,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
HI-01,63.1,30.5,69.7,29.0,35.4,127,50.0,64,"$81,842",59,"$86,689",76
HI-02,61.4,29.6,71.4,26.7,29.4,217,43.4,107,"$74,621",83,"$73,954",149
IA-01,45.2,48.7,56.2,42.5,26.7,260,27.1,314,"$58,994",208,"$60,835",267
IA-02,45.0,49.1,55.8,42.7,28.2,240,28.4,293,"$54,964",258,"$57,258",313
IA-03,45.0,48.5,51.4,47.2,32.9,159,34.5,206,"$64,818",158,"$67,556",198
IA-04,33.5,60.9,45.3,53.4,24.5,305,25.0,356,"$54,944",260,"$56,605",326
ID-01,25.4,63.7,32.2,64.9,25.2,294,26.5,326,"$53,779",275,"$54,859",352
ID-02,29.8,54.5,33.1,64.1,28.9,229,31.4,251,"$52,323",307,"$54,271",357
IL-01,75.4,21.4,78.9,20.2,28.5,235,36.8,178,"$52,946",294,"$78,963",114
IL-02,78.0,19.1,80.7,18.5,22.6,341,25.4,350,"$49,393",349,"$61,397",260
IL-03,55.2,39.9,55.9,42.6,27.7,249,32.8,230,"$66,819",141,"$73,357",160
IL-04,82.1,13.2,80.9,17.1,24.1,315,49.9,65,"$52,265",309,"$70,324",178
IL-05,70.5,23.9,66.0,31.8,54.5,17,60.5,26,"$82,907",53,"$88,155",67
IL-06,50.2,43.2,45.1,53.3,52.3,24,53.6,44,"$100,088",18,"$103,305",29
IL-07,87.4,9.2,87.2,11.8,41.8,66,75.0,4,"$56,880",236,"$103,586",27
IL-08,58.1,36.4,57.4,40.9,33.6,149,35.6,191,"$70,952",107,"$75,677",136
IL-09,70.1,24.9,65.0,33.3,53.7,21,59.5,27,"$72,003",103,"$83,213",90
IL-10,62.0,32.6,57.5,41.1,45.1,48,52.5,51,"$81,290",60,"$93,224",55
IL-11,58.9,35.4,57.8,40.6,35.2,132,41.5,123,"$75,202",80,"$83,247",89
IL-12,40.2,55.0,49.7,48.1,22.8,337,24.0,374,"$49,322",350,"$53,969",363
IL-13,44.2,49.7,48.6,48.9,30.4,201,30.2,273,"$51,647",318,"$55,902",336
IL-14,44.8,48.7,44.2,54.2,40.8,77,42.0,120,"$93,276",31,"$94,677",47
IL-15,24.5,70.7,34.1,63.9,19.6,398,20.0,419,"$52,661",300,"$53,607",368
IL-16,38.3,55.5,45.2,52.9,22.4,345,22.9,394,"$60,203",194,"$61,700",257
IL-17,46.7,47.4,57.6,40.6,19.1,401,20.6,412,"$48,304",361,"$51,852",388
IL-18,33.3,60.6,37.4,60.7,32.6,161,32.0,242,"$64,372",161,"$64,714",226
IN-01,54.1,41.5,61.2,37.4,23.1,333,26.1,336,"$56,590",243,"$64,776",225
IN-02,36.1,59.3,42.1,56.1,21.8,351,23.1,389,"$52,651",301,"$55,600",340
IN-03,30.1,65.1,35.7,62.5,23.0,336,23.9,376,"$54,265",268,"$56,877",323
IN-04,30.2,64.3,36.9,60.9,26.3,272,26.2,332,"$57,622",225,"$59,262",289
IN-05,41.3,53.1,40.7,57.5,45.4,44,46.3,87,"$69,954",118,"$73,378",159
IN-06,27.4,67.7,37.3,60.4,21.2,364,20.5,414,"$52,883",296,"$53,238",373
IN-07,59.0,36.2,62.9,35.3,23.5,326,28.2,295,"$42,628",408,"$51,430",393
IN-08,30.9,64.6,39.6,58.4,20.9,369,21.1,407,"$50,952",327,"$52,210",385
IN-09,34.2,61.1,40.7,57.2,26.5,264,26.0,340,"$55,768",250,"$57,082",316
KS-01,24.3,69.3,27.6,70.1,24.7,299,27.3,310,"$50,947",328,"$52,641",380
