State,Total Population by Race (2020 Census),,,,,,Voting Age Population by Race (2020 Census),,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
New York,54.6,15.3,19.5,9.7,0.5,0.0,56.5,14.9,18.1,9.7,0.5,0.0,58.4,15.5,17.4,7.9,0.6,0.0,61.2,15.1,15.4,7.5,0.6,0.0,"19,994,380","10,923,210","3,060,590","3,895,715","1,947,845","109,080","8,930","15,865,935","8,971,460","2,369,990","2,867,635","1,533,385","84,995","7,075","18,173,090","10,605,775","2,810,610","3,155,860","1,442,890","106,475","7,305","14,187,230","8,676,190","2,142,330","2,186,830","1,066,765","82,635","5,525"
North Carolina,62.2,22.2,10.0,3.6,1.6,0.1,65.3,21.4,8.0,3.4,1.6,0.1,64.7,22.9,7.6,2.8,1.7,0.1,68.4,22.3,5.0,2.4,1.7,0.1,"10,470,215","6,515,480","2,324,085","1,051,010","380,780","169,770","6,205","8,186,325","5,348,785","1,754,220","658,815","279,020","129,215","4,870","9,969,260","6,454,880","2,287,775","755,080","275,235","169,425","5,545","7,734,315","5,293,570","1,723,360","388,365","185,675","128,875","4,210"
North Dakota,83.6,3.8,4.3,2.1,5.8,0.2,86.3,3.2,3.4,1.9,4.9,0.2,85.4,3.0,4.1,1.2,6.0,0.1,88.3,2.3,3.2,1.0,5.1,0.1,"776,875","649,540","29,750","33,190","16,300","45,405","1,470","594,140","512,515","19,040","20,405","11,530","29,100","1,070","756,015","645,370","22,790","30,880","9,370","45,350","1,085","575,815","508,645","13,220","18,165","5,475","29,080",800
Ohio,78.0,14.0,4.2,2.9,0.7,0.0,80.2,12.7,3.5,2.8,0.7,0.0,79.3,14.0,3.7,2.1,0.7,0.0,81.8,12.6,2.9,1.8,0.7,0.0,"11,774,685","9,179,135","1,650,765","494,625","345,790","78,415","3,655","9,181,360","7,363,890","1,166,075","320,240","254,285","63,250","2,875","11,511,065","9,126,770","1,606,880","429,490","244,685","78,250","3,230","8,948,190","7,316,315","1,129,570","262,435","164,110","63,090","2,445"
Oklahoma,64.3,8.7,11.6,2.8,12.3,0.2,68.3,8.0,9.4,2.7,11.4,0.1,66.4,8.9,9.5,2.3,12.8,0.1,71.1,8.2,6.7,2.1,11.9,0.1,"3,970,495","2,552,860","346,055","458,685","111,605","489,360","6,250","3,020,055","2,063,625","242,255","282,500","82,865","343,725","4,240","3,823,590","2,538,150","338,845","362,210","86,050","488,940","3,910","2,884,230","2,049,840","235,870","192,860","59,600","343,385","2,020"
Oregon,74.5,2.7,13.8,5.8,2.2,0.4,77.6,2.3,11.5,5.6,2.2,0.4,77.5,2.6,11.7,4.9,2.3,0.3,81.3,2.3,8.7,4.5,2.3,0.3,"4,229,375","3,152,115","113,150","583,065","245,510","93,315","16,420","3,373,395","2,616,690","78,895","386,870","188,310","73,735","12,375","4,018,560","3,115,370","106,175","468,280","197,330","92,905","13,115","3,177,375","2,583,335","73,010","277,695","144,530","73,325","9,315"
Pennsylvania,75.3,11.8,8.1,4.2,0.4,0.0,77.9,10.8,6.8,4.0,0.4,0.0,77.1,11.7,7.3,3.2,0.5,0.0,80.0,10.7,5.8,2.8,0.4,0.0,"12,989,210","9,775,695","1,526,575","1,055,110","545,340","57,295","2,980","10,324,645","8,039,240","1,113,275","699,260","410,490","45,055","2,470","12,570,025","9,690,980","1,473,815","921,975","399,255","56,965","2,750","9,949,675","7,962,650","1,067,105","581,080","278,760","44,720","2,255"
Rhode Island,70.9,7.2,16.7,4.1,0.8,0.1,74.4,6.6,14.2,3.9,0.8,0.1,74.4,7.0,14.3,3.2,0.8,0.0,78.4,6.2,11.4,2.9,0.9,0.1,"1,094,250","775,890","79,320","183,195","44,750","8,695",580,"885,925","659,275","58,160","125,760","34,165","7,025",520,"1,024,720","762,880","71,550","146,455","32,850","8,690",490,"824,515","646,815","51,365","94,285","23,580","7,015",430
South Carolina,63.6,27.1,6.2,2.1,0.8,0.0,66.1,25.8,5.1,2.0,0.8,0.0,64.9,27.7,4.7,1.7,0.8,0.0,67.7,26.5,3.3,1.5,0.9,0.0,"5,142,750","3,268,245","1,393,665","318,875","109,695","41,630","2,470","4,038,825","2,669,475","1,041,430","206,330","82,140","33,630","1,545","4,994,295","3,240,130","1,384,345","234,570","83,825","41,560","2,040","3,905,590","2,644,365","1,033,695","130,055","58,825","33,560","1,170"
South Dakota,81.3,2.8,4.4,1.8,9.4,0.1,84.6,2.2,3.4,1.7,7.8,0.1,82.7,2.3,3.8,1.3,9.6,0.0,86.4,1.7,2.7,1.1,8.0,0.0,"890,340","723,620","25,250","39,195","16,450","83,945",510,"673,730","570,295","15,135","23,040","11,790","52,315",410,"870,975","720,555","20,335","33,160","11,435","83,930",280,"656,515","567,515","10,980","17,605","7,225","52,295",245
Tennessee,73.3,17.5,6.0,2.3,0.8,0.0,75.8,16.4,4.7,2.2,0.9,0.0,75.1,17.8,4.3,1.7,0.8,0.0,78.0,16.7,2.8,1.6,0.9,0.0,"6,923,770","5,072,010","1,211,755","412,620","157,680","56,890","3,210","5,397,290","4,089,215","884,095","253,290","116,690","46,345","2,430","6,704,315","5,036,690","1,193,815","287,780","117,155","56,765","2,605","5,206,670","4,058,680","868,840","144,865","81,095","46,240","1,830"
Texas,40.6,12.8,39.9,5.7,0.7,0.1,44.0,12.5,36.8,5.7,0.8,0.1,44.4,13.6,36.2,4.6,0.8,0.1,49.2,13.6,31.6,4.4,0.9,0.1,"29,243,340","11,886,680","3,730,475","11,665,280","1,657,350","214,125","23,755","21,847,215","9,606,550","2,735,975","8,030,630","1,248,860","172,535","18,710","26,293,080","11,684,620","3,583,355","9,528,190","1,201,320","213,285","20,400","19,161,405","9,432,820","2,613,620","6,049,105","847,755","171,765","15,595"
Utah,77.5,1.6,14.6,3.3,1.3,0.9,79.3,1.4,13.1,3.4,1.3,0.9,80.7,1.5,12.1,2.7,1.4,0.8,83.7,1.3,9.7,2.6,1.4,0.8,"3,283,810","2,544,630","52,940","480,845","109,075","43,425","30,210","2,347,810","1,862,875","33,260","308,640","79,745","31,130","20,625","3,127,110","2,524,220","47,925","378,635","84,730","43,235","26,170","2,204,520","1,844,615","28,940","213,740","58,095","30,955","17,045"
Vermont,92.3,1.8,2.1,2.4,1.1,0.0,93.1,1.5,2.0,2.2,1.1,0.0,93.2,1.6,2.1,1.8,1.1,0.0,94.0,1.3,1.9,1.6,1.1,0.0,"643,815","594,540","11,845","13,795","15,460","7,170",135,"527,000","490,890","7,810","10,375","11,505","5,825",110,"632,335","589,270","10,360","13,100","11,515","7,145",135,"516,775","485,990","6,640","9,725","8,055","5,805",110
Virginia,60.7,20.3,10.0,7.9,0.7,0.1,63.0,19.5,8.8,7.7,0.7,0.1,63.4,20.9,7.9,6.6,0.7,0.1,66.2,20.2,6.3,6.2,0.8,0.1,"8,624,510","5,233,505","1,747,875","865,015","682,450","59,730","5,515","6,747,685","4,250,835","1,318,800","590,850","518,305","47,930","4,430","8,145,350","5,163,095","1,702,310","647,245","538,975","59,540","5,115","6,322,255","4,188,365","1,280,230","397,000","389,580","47,770","4,040"
Washington,66.6,5.1,13.5,11.1,2.2,0.7,70.0,4.6,11.0,11.0,2.1,0.6,70.6,5.0,11.5,8.9,2.3,0.6,75.1,4.5,8.4,8.4,2.3,0.5,"7,688,550","5,119,455","390,445","1,037,155","854,045","166,535","52,040","6,025,550","4,218,855","276,130","664,460","660,195","127,975","38,565","7,097,800","5,012,815","358,115","818,160","634,110","165,350","41,745","5,488,695","4,124,175","246,860","461,980","460,720","126,890","29,970"
West Virginia,91.5,4.6,1.8,1.1,0.8,0.0,92.4,4.1,1.6,1.0,0.8,0.0,91.9,4.6,1.7,0.8,0.8,0.0,92.9,4.1,1.4,0.7,0.8,0.0,"1,792,965","1,640,475","83,010","32,910","18,980","13,850",630,"1,433,185","1,324,135","59,035","22,330","14,310","11,255",480,"1,780,025","1,636,315","81,625","29,625","14,900","13,845",630,"1,421,320","1,320,355","57,805","19,245","10,570","11,255",480
Wisconsin,80.6,7.2,7.3,3.5,1.3,0.0,83.7,6.0,5.8,3.1,1.2,0.0,82.3,7.2,6.2,2.8,1.4,0.0,85.8,6.1,4.4,2.3,1.3,0.0,"5,882,130","4,738,435","420,625","430,975","204,600","77,725","1,900","4,612,985","3,860,845","278,230","269,670","141,925","56,710","1,320","5,727,990","4,714,285","412,040","353,855","160,725","77,615","1,765","4,473,075","3,838,840","271,315","197,580","103,395","56,600","1,200"
Wyoming,83.5,1.3,10.5,1.3,3.0,0.1,85.6,1.1,8.9,1.3,2.8,0.1,84.8,1.3,9.4,1.0,3.1,0.1,87.3,1.0,7.6,0.9,2.8,0.1,"577,930","482,620","7,480","60,520","7,510","17,400",535,"445,575","381,530","4,710","39,840","5,570","12,310",495,"566,080","480,185","7,180","53,100","5,865","17,400",505,"434,425","379,200","4,420","32,855","4,075","12,310",465
