District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
California's 37th,CA-37,25.6,22.3,39.0,10.2,0.2,2.8,27.2,23.2,35.6,11.4,0.2,2.4,28.7,26.2,32.9,8.8,0.2,3.2,31.5,28.2,27.3,9.9,0.2,2.8,"724,590","185,335","161,695","282,285","74,200","1,100","19,975","588,485","160,225","136,445","209,600","67,205",985,"14,025","598,245","171,815","156,725","196,825","52,825","1,075","18,980","467,740","147,435","132,010","127,765","46,365",955,"13,210"
California's 38th,CA-38,16.3,3.9,62.0,16.1,0.3,1.4,18.3,3.9,59.1,17.3,0.3,1.1,18.1,4.3,60.6,15.1,0.3,1.6,20.9,4.4,56.6,16.5,0.3,1.2,"713,170","116,450","27,675","442,440","114,730","1,830","10,045","551,230","101,065","21,240","325,710","95,555","1,605","6,055","628,675","113,840","27,150","381,205","94,860","1,830","9,790","471,155","98,570","20,780","266,740","77,610","1,605","5,850"
California's 39th,CA-39,29.4,2.2,34.1,31.8,0.2,2.3,32.0,2.4,30.9,32.8,0.2,1.7,32.8,2.4,33.1,28.9,0.2,2.5,36.6,2.7,28.9,29.7,0.3,1.9,"728,835","214,465","16,250","248,230","231,875","1,590","16,425","571,485","182,790","13,730","176,520","187,550","1,335","9,560","638,725","209,695","15,445","211,170","184,725","1,590","16,100","487,905","178,485","12,955","140,885","144,990","1,335","9,255"
California's 40th,CA-40,4.5,4.6,88.0,2.3,0.1,0.5,5.2,5.0,86.4,2.8,0.2,0.4,5.7,6.1,84.9,2.6,0.2,0.6,7.6,7.4,80.7,3.4,0.3,0.6,"715,560","31,945","32,950","629,840","16,640",945,"3,240","511,385","26,695","25,445","441,980","14,280",875,"2,110","530,795","30,285","32,270","450,595","13,635",925,"3,085","334,665","25,365","24,805","270,240","11,440",850,"1,965"
California's 41st,CA-41,22.2,8.9,60.8,6.1,0.2,1.8,25.3,9.3,56.6,7.0,0.3,1.5,24.9,10.1,57.2,5.5,0.3,2.0,29.7,11.0,50.8,6.4,0.3,1.7,"762,670","168,965","68,255","463,445","46,585","1,745","13,675","559,220","141,645","51,840","316,590","39,305","1,455","8,385","662,200","165,005","67,150","378,545","36,480","1,730","13,290","464,670","138,040","50,940","236,220","29,960","1,440","8,070"
California's 42nd,CA-42,41.4,5.5,39.9,9.7,0.3,3.2,45.0,5.9,36.0,10.4,0.4,2.3,44.1,5.8,37.6,8.8,0.3,3.4,48.9,6.4,32.5,9.4,0.4,2.5,"809,045","334,725","44,375","323,050","78,335","2,585","25,975","589,465","265,040","34,795","212,400","61,500","2,115","13,615","745,995","328,805","43,175","280,615","65,370","2,545","25,485","530,680","259,655","33,740","172,215","49,810","2,075","13,185"
California's 43rd,CA-43,14.6,21.7,47.7,13.5,0.2,2.3,16.5,22.4,44.1,14.9,0.2,1.9,16.6,25.2,42.7,12.5,0.2,2.7,19.8,27.1,36.3,14.1,0.3,2.4,"730,305","106,425","158,675","348,340","98,530","1,475","16,860","557,000","91,675","124,680","245,450","83,145","1,220","10,830","605,410","100,775","152,620","258,230","75,915","1,455","16,415","439,300","86,800","119,250","159,495","62,055","1,200","10,500"
California's 44th,CA-44,6.3,15.0,70.8,6.4,0.2,1.2,7.8,16.2,67.4,7.3,0.2,1.2,7.6,18.3,65.7,6.6,0.3,1.5,10.0,21.2,59.1,7.9,0.3,1.5,"718,915","45,440","107,740","508,895","46,135","1,790","8,915","522,840","40,535","84,565","352,415","38,070","1,240","6,015","582,745","44,270","106,520","382,820","38,560","1,790","8,785","392,890","39,410","83,445","232,025","30,880","1,240","5,890"
California's 45th,CA-45,50.5,1.7,18.6,25.4,0.2,3.6,53.1,1.7,17.0,25.6,0.2,2.5,54.9,1.8,17.7,21.5,0.2,3.9,58.8,1.8,15.4,21.1,0.2,2.6,"779,330","393,580","13,190","144,850","198,330","1,305","28,075","611,795","324,850","10,445","103,845","156,500","1,050","15,105","681,770","374,600","12,050","120,440","146,780","1,305","26,595","524,545","308,555","9,450","80,715","110,880","1,050","13,895"
California's 46th,CA-46,17.2,1.8,66.3,13.5,0.2,1.1,20.4,1.9,61.2,15.3,0.2,1.0,21.5,2.1,60.4,14.4,0.2,1.4,27.8,2.4,51.0,17.3,0.2,1.3,"730,435","125,370","12,870","483,985","98,620","1,320","8,270","547,195","111,710","10,500","335,120","83,535",910,"5,420","562,535","121,000","11,760","339,770","80,770","1,310","7,925","387,910","107,700","9,495","197,730","66,990",900,"5,095"
California's 47th,CA-47,31.5,7.2,35.0,23.3,0.3,2.7,34.9,7.2,31.2,24.4,0.3,2.1,34.9,8.0,31.5,22.3,0.3,3.0,39.7,8.2,26.1,23.3,0.4,2.4,"711,820","224,005","51,135","248,930","166,205","2,185","19,360","558,115","194,765","40,135","173,920","135,940","1,715","11,640","626,430","218,690","50,085","197,150","139,480","2,150","18,875","477,205","189,570","39,165","124,395","111,140","1,680","11,255"
California's 48th,CA-48,55.1,1.2,21.3,19.0,0.2,3.1,57.9,1.3,18.8,19.5,0.2,2.2,58.4,1.3,18.7,18.0,0.2,3.3,62.2,1.4,15.3,18.5,0.3,2.4,"723,585","399,040","8,985","154,100","137,345","1,535","22,580","581,920","336,985","7,760","109,240","113,690","1,340","12,905","661,620","386,595","8,770","123,450","119,175","1,535","22,095","524,160","325,900","7,560","79,990","96,915","1,340","12,455"
California's 49th,CA-49,60.1,2.4,26.6,7.3,0.3,3.3,63.4,2.6,23.9,7.5,0.3,2.3,63.4,2.5,23.8,6.5,0.3,3.5,67.8,2.7,20.1,6.6,0.3,2.4,"740,195","444,825","17,840","196,615","54,385","2,340","24,190","569,740","361,260","14,800","136,150","42,730","1,760","13,040","686,540","435,070","17,000","163,350","44,955","2,340","23,825","519,630","352,455","13,990","104,505","34,190","1,760","12,730"
California's 50th,CA-50,55.1,2.4,32.1,5.9,0.9,3.5,59.1,2.6,28.3,6.5,0.9,2.6,58.7,2.6,28.5,5.5,1.0,3.7,64.2,2.8,23.2,6.0,1.0,2.9,"750,185","413,685","18,350","241,000","44,440","6,765","25,945","570,130","336,825","14,570","161,445","37,145","5,065","15,080","682,800","400,860","17,915","194,755","37,265","6,765","25,240","507,915","326,035","14,290","117,670","30,290","5,065","14,565"
California's 51st,CA-51,13.0,6.2,70.8,8.1,0.3,1.5,15.3,6.7,67.0,9.3,0.3,1.3,15.4,7.1,67.4,7.8,0.4,1.8,19.2,8.2,61.1,9.4,0.4,1.6,"731,750","95,450","45,555","518,430","59,150","2,320","10,845","544,930","83,635","36,620","365,185","50,590","1,870","7,030","602,700","92,985","43,040","406,445","47,310","2,320","10,600","424,170","81,515","34,955","259,275","39,725","1,870","6,830"
California's 52nd,CA-52,57.6,2.9,14.8,20.3,0.2,4.2,59.9,3.0,13.2,20.7,0.3,2.9,61.1,3.1,14.3,16.8,0.3,4.5,64.3,3.2,12.4,16.6,0.3,3.2,"768,295","442,300","22,290","113,610","156,170","1,750","32,175","619,315","371,220","18,305","81,640","128,320","1,640","18,190","694,530","424,180","21,530","99,090","116,560","1,740","31,430","551,675","354,945","17,540","68,195","91,735","1,635","17,625"
California's 53rd,CA-53,39.8,8.0,34.1,14.0,0.2,3.9,43.7,7.8,30.7,14.7,0.2,3.0,42.1,8.5,32.2,12.8,0.2,4.2,47.1,8.4,27.8,13.3,0.2,3.2,"774,605","308,630","61,845","263,945","108,335","1,385","30,465","617,640","270,205","47,905","189,330","90,640","1,240","18,320","701,190","295,350","59,730","225,725","89,640","1,385","29,360","549,830","258,880","46,220","152,785","73,285","1,240","17,420"
Colorado's 1st,CO-01,58.4,7.9,27.3,3.6,0.4,2.5,62.9,7.5,23.5,3.6,0.4,2.0,62.5,8.0,23.8,2.7,0.5,2.6,68.2,7.7,18.8,2.7,0.5,2.1,"832,180","485,695","65,360","227,355","29,590","3,600","20,580","666,170","418,875","50,105","156,725","24,300","2,920","13,245","763,555","477,070","60,900","181,380","20,755","3,600","19,850","602,815","411,180","46,610","113,130","16,395","2,920","12,580"
Colorado's 2nd,CO-02,82.4,0.9,10.7,3.3,0.4,2.2,84.5,1.0,9.1,3.4,0.4,1.6,84.5,0.9,9.6,2.4,0.4,2.2,87.0,1.0,7.7,2.3,0.4,1.6,"807,260","665,330","7,655","86,420","26,840","3,000","18,015","652,145","551,385","6,495","59,040","21,995","2,525","10,705","774,410","654,700","7,050","73,995","18,430","2,975","17,260","622,265","541,675","5,935","47,860","14,210","2,500","10,085"
Colorado's 3rd,CO-03,70.6,0.8,24.8,0.9,1.4,1.6,73.8,0.8,21.8,0.9,1.4,1.3,72.8,0.8,22.6,0.7,1.5,1.6,76.6,0.8,19.1,0.7,1.4,1.4,"744,730","525,800","5,810","184,345","6,385","10,750","11,640","583,905","431,070","4,490","127,470","5,190","8,040","7,645","717,255","522,095","5,615","162,175","5,065","10,710","11,595","558,270","427,635","4,335","106,675","4,020","8,000","7,605"
Colorado's 4th,CO-04,71.8,1.3,22.2,2.3,0.4,1.9,74.8,1.3,19.6,2.4,0.4,1.4,75.0,1.2,19.8,1.6,0.4,2.0,78.9,1.2,16.4,1.6,0.5,1.4,"819,630","588,885","10,925","181,980","19,180","3,155","15,505","612,695","458,555","8,185","120,320","14,575","2,655","8,405","778,645","584,015","9,325","154,025","12,785","3,145","15,350","575,350","454,200","6,990","94,205","9,020","2,645","8,290"
Colorado's 5th,CO-05,71.2,5.6,16.3,2.8,0.4,3.7,74.1,5.7,14.1,3.0,0.4,2.7,72.6,5.6,15.2,2.3,0.4,3.8,76.0,5.7,12.7,2.4,0.4,2.7,"798,380","568,060","45,080","129,815","22,680","3,150","29,595","612,515","453,935","34,920","86,410","18,255","2,655","16,340","774,820","562,740","43,715","117,665","18,135","3,140","29,425","590,730","448,930","33,695","75,160","14,115","2,645","16,185"
Colorado's 6th,CO-06,60.6,9.3,20.3,6.5,0.4,2.9,64.2,9.1,17.6,6.7,0.4,2.1,65.1,9.1,17.3,4.9,0.4,3.1,70.1,8.9,13.5,4.9,0.5,2.2,"817,685","495,275","75,970","165,950","53,405","3,250","23,835","611,880","392,745","55,605","107,525","40,705","2,655","12,645","749,235","487,615","68,360","129,735","37,010","3,250","23,265","550,795","385,870","48,960","74,255","26,860","2,655","12,195"
Colorado's 7th,CO-07,63.1,1.7,29.4,3.4,0.5,2.0,67.3,1.6,25.6,3.5,0.5,1.5,66.6,1.7,26.3,2.8,0.5,2.1,71.9,1.6,21.5,2.8,0.6,1.6,"790,485","498,640","13,465","232,310","26,615","3,630","15,825","610,045","410,270","9,835","156,335","21,455","3,110","9,040","740,930","493,580","12,335","194,980","20,900","3,630","15,505","563,660","405,480","8,885","121,375","16,030","3,110","8,780"
Connecticut's 1st,CT-01,61.1,14.6,16.8,5.4,0.2,1.9,64.3,14.1,14.8,5.3,0.1,1.4,63.8,14.2,16.4,3.5,0.2,2.0,67.6,13.5,14.1,3.2,0.1,1.4,"711,560","434,420","104,160","119,760","38,130","1,280","13,810","563,065","361,815","79,345","83,565","29,745",700,"7,895","664,255","423,760","94,000","108,720","23,290","1,225","13,260","520,450","351,945","70,110","73,635","16,710",645,"7,405"
Connecticut's 2nd,CT-02,81.4,3.7,8.6,3.4,0.3,2.6,83.6,3.8,7.2,3.5,0.3,1.7,83.3,3.5,7.9,2.4,0.3,2.6,85.7,3.6,6.4,2.3,0.3,1.7,"702,765","572,070","25,960","60,580","24,175","1,890","18,090","568,810","475,270","21,620","41,210","19,715","1,585","9,410","680,570","566,595","24,060","53,715","16,585","1,850","17,765","548,510","470,165","20,020","35,095","12,585","1,545","9,100"
Connecticut's 3rd,CT-03,63.9,13.5,16.0,4.5,0.1,2.0,67.6,12.6,13.6,4.6,0.1,1.4,66.4,13.6,14.8,3.2,0.1,2.0,70.8,12.7,11.9,3.1,0.1,1.5,"713,930","456,225","96,260","114,390","32,365",590,"14,100","574,745","388,305","72,630","78,275","26,715",580,"8,240","668,930","444,075","90,825","98,730","21,250",570,"13,480","533,410","377,415","67,830","63,465","16,400",560,"7,740"
Connecticut's 4th,CT-04,61.1,11.5,19.9,5.6,0.1,1.8,63.3,11.5,18.3,5.7,0.1,1.0,66.0,11.4,16.4,4.2,0.1,2.0,69.6,11.5,13.7,4.1,0.1,1.1,"735,695","449,565","84,450","146,515","41,095",820,"13,250","564,360","357,375","65,025","103,280","32,185",695,"5,800","650,110","428,775","74,030","106,415","27,420",780,"12,690","486,405","338,375","55,790","66,415","19,750",655,"5,420"
Connecticut's 5th,CT-05,68.8,6.6,18.7,4.0,0.2,1.7,72.5,6.5,16.0,3.8,0.1,1.1,71.7,6.4,17.0,3.0,0.2,1.8,76.0,6.3,13.8,2.7,0.1,1.1,"711,135","489,445","47,165","133,000","28,295","1,100","12,130","560,265","405,950","36,695","89,565","21,250",745,"6,060","662,880","475,175","42,710","112,470","19,640","1,060","11,825","516,645","392,410","32,730","71,220","13,785",705,"5,795"
Delaware's At-Large,DE-AL,62.5,21.8,9.2,4.0,0.3,2.3,66.0,20.8,7.5,4.0,0.3,1.4,65.2,22.1,7.4,2.6,0.3,2.3,69.4,21.2,5.3,2.4,0.4,1.4,"957,250","598,050","208,330","88,365","37,820","2,850","21,835","753,550","497,375","156,915","56,345","29,820","2,575","10,520","909,580","593,155","201,320","67,540","23,510","2,825","21,230","710,275","492,780","150,730","37,405","16,805","2,565","9,990"
Florida's 1st,FL-01,73.2,13.2,6.6,2.6,0.4,4.0,75.5,12.6,5.9,2.9,0.4,2.8,74.3,13.3,5.9,2.1,0.4,4.0,76.8,12.8,5.0,2.2,0.4,2.8,"771,280","564,770","101,695","50,815","20,310","2,800","30,890","605,695","457,175","76,420","35,490","17,315","2,380","16,915","752,880","559,190","100,505","44,190","15,785","2,800","30,410","588,715","452,090","75,310","29,440","13,025","2,380","16,470"
Florida's 2nd,FL-02,76.4,12.6,6.7,1.9,0.3,2.1,77.8,12.6,6.0,1.8,0.3,1.5,77.8,12.6,5.7,1.4,0.3,2.2,79.5,12.6,4.8,1.3,0.3,1.5,"722,465","551,735","91,355","48,335","13,400","2,185","15,455","578,700","450,470","72,825","34,540","10,440","1,955","8,470","703,560","547,350","88,865","40,180","9,740","2,170","15,255","561,390","446,325","70,755","26,850","7,190","1,940","8,330"
Florida's 3rd,FL-03,67.6,16.1,10.1,3.5,0.2,2.5,69.8,15.3,9.3,3.6,0.3,1.6,69.3,16.3,9.2,2.4,0.2,2.6,71.9,15.5,8.3,2.4,0.3,1.6,"738,670","499,260","118,755","74,370","25,760","1,770","18,755","587,245","410,185","89,785","54,860","21,405","1,610","9,400","712,805","493,695","116,355","65,405","17,120","1,755","18,475","563,465","405,095","87,510","46,550","13,575","1,595","9,140"
Florida's 4th,FL-04,74.7,9.2,8.5,4.6,0.2,2.7,76.5,9.0,7.9,4.6,0.3,1.7,76.7,9.4,7.4,3.6,0.3,2.7,78.8,9.1,6.6,3.5,0.3,1.7,"800,940","598,585","74,060","68,160","36,735","1,995","21,405","633,250","484,730","56,945","49,795","29,340","1,725","10,715","766,655","587,795","71,995","56,775","27,340","1,995","20,755","603,075","475,355","54,930","39,870","20,905","1,725","10,290"
Florida's 5th,FL-05,39.4,46.9,8.5,2.6,0.3,2.4,42.8,44.6,7.7,2.8,0.3,1.7,40.3,47.9,7.2,1.9,0.3,2.5,44.1,45.8,6.1,2.0,0.3,1.7,"731,615","287,915","342,770","62,140","19,370","1,830","17,590","564,300","241,705","251,825","43,565","15,990","1,550","9,665","704,110","283,715","337,085","50,685","13,555","1,785","17,285","539,540","237,895","246,875","33,165","10,720","1,505","9,380"
Florida's 6th,FL-06,73.0,10.3,12.9,1.8,0.3,1.7,75.9,9.5,11.4,1.9,0.3,1.0,74.1,10.3,12.2,1.4,0.3,1.7,77.1,9.5,10.6,1.4,0.3,1.1,"767,325","560,220","79,230","98,990","13,930","2,270","12,685","629,835","477,785","60,040","71,790","11,695","1,950","6,575","744,880","551,785","76,900","91,230","10,270","2,230","12,465","609,245","469,950","57,985","64,585","8,410","1,905","6,410"
Florida's 7th,FL-07,57.3,10.0,25.7,4.8,0.2,2.0,59.9,9.5,24.1,4.8,0.2,1.5,59.6,10.1,24.3,3.8,0.2,2.1,62.6,9.6,22.4,3.7,0.2,1.6,"768,325","440,480","77,210","197,195","36,685","1,185","15,570","617,435","369,810","58,955","148,520","29,765","1,090","9,295","722,985","430,795","73,220","175,540","27,170","1,085","15,175","576,495","360,990","55,535","128,880","21,140","1,000","8,950"
Florida's 8th,FL-08,74.6,9.3,11.0,2.3,0.2,2.6,77.5,8.7,9.7,2.3,0.2,1.6,76.3,9.1,10.0,1.8,0.2,2.7,79.4,8.5,8.5,1.7,0.2,1.6,"754,590","563,225","70,170","82,765","17,060","1,795","19,575","618,390","479,365","53,965","59,750","14,025","1,470","9,815","728,435","555,445","66,185","72,925","12,765","1,790","19,325","594,250","471,910","50,450","50,700","10,105","1,460","9,625"
Florida's 9th,FL-09,41.1,12.2,41.6,3.1,0.2,1.7,44.3,11.7,39.3,3.3,0.2,1.2,43.3,12.3,39.8,2.6,0.2,1.8,47.3,11.7,36.9,2.7,0.2,1.2,"869,760","357,755","106,530","361,915","26,620","1,840","15,100","664,880","294,450","77,995","261,130","21,765","1,555","7,985","797,755","345,760","97,725","317,540","20,430","1,785","14,515","600,775","283,975","70,255","221,500","16,110","1,495","7,440"
Florida's 10th,FL-10,36.5,27.4,28.4,5.3,0.1,2.2,39.1,26.1,27.2,5.8,0.1,1.7,39.2,27.6,26.2,4.6,0.1,2.3,42.8,26.0,24.3,4.9,0.1,1.8,"823,865","300,810","226,060","233,745","44,075",985,"18,190","627,110","245,115","163,585","170,575","36,525",855,"10,455","722,035","282,925","199,095","188,990","33,220",930,"16,875","537,240","229,775","139,945","130,770","26,525",800,"9,425"
Florida's 11th,FL-11,78.9,7.1,10.7,1.4,0.3,1.6,81.8,6.3,9.3,1.3,0.3,1.1,79.9,7.1,9.8,1.1,0.3,1.6,83.0,6.3,8.3,1.0,0.3,1.1,"772,905","609,840","55,185","82,385","10,595","2,495","12,405","652,320","533,290","41,045","60,630","8,440","2,000","6,915","755,055","603,620","53,940","74,340","8,505","2,480","12,170","635,195","527,190","39,995","52,825","6,525","1,985","6,675"
Florida's 12th,FL-12,77.2,4.8,13.1,2.8,0.3,1.9,79.8,4.5,11.5,2.8,0.3,1.1,78.8,4.7,12.1,2.2,0.3,1.9,81.8,4.4,10.3,2.1,0.3,1.1,"772,330","596,145","36,725","100,955","21,740","2,200","14,565","623,485","497,635","28,095","71,825","17,330","1,805","6,795","740,250","583,065","34,685","89,440","16,635","2,200","14,225","593,450","485,315","26,220","60,990","12,600","1,805","6,520"
Florida's 13th,FL-13,71.4,12.2,10.2,3.6,0.2,2.4,74.8,11.0,9.0,3.5,0.2,1.3,73.1,12.4,9.0,2.9,0.2,2.5,76.8,11.2,7.6,2.8,0.3,1.4,"729,990","521,045","88,930","74,755","26,415","1,595","17,250","609,895","456,450","67,275","55,000","21,555","1,465","8,150","692,935","506,190","85,580","62,340","20,255","1,585","16,985","575,595","442,220","64,440","43,645","15,940","1,455","7,895"
Florida's 14th,FL-14,45.1,16.9,30.9,4.7,0.2,2.2,47.8,15.9,29.6,4.9,0.2,1.7,48.8,18.1,27.2,3.5,0.2,2.2,52.5,17.0,25.1,3.5,0.2,1.7,"788,250","355,300","133,565","243,495","37,400","1,310","17,180","619,825","296,230","98,545","183,515","30,140",970,"10,425","706,515","344,725","127,605","192,025","25,005","1,265","15,890","546,740","286,910","93,205","137,165","19,075",950,"9,435"
Florida's 15th,FL-15,57.4,14.2,23.2,3.1,0.3,1.8,61.1,13.4,20.8,3.1,0.3,1.3,60.1,14.5,20.9,2.3,0.3,1.9,64.4,13.7,17.9,2.3,0.3,1.3,"789,855","453,610","112,160","182,955","24,670","2,225","14,235","612,755","374,135","82,340","127,520","19,300","1,735","7,725","741,570","445,635","107,380","155,200","17,340","2,170","13,845","569,205","366,775","78,195","101,965","13,225","1,680","7,365"
Florida's 16th,FL-16,69.9,8.5,17.7,2.2,0.2,1.5,74.5,7.5,14.6,2.1,0.2,1.0,73.0,8.7,14.7,1.7,0.2,1.6,78.4,7.8,10.9,1.7,0.2,1.1,"831,420","581,540","70,410","147,205","18,065","1,540","12,660","672,305","500,900","50,570","98,145","14,420","1,375","6,895","775,325","566,260","67,780","113,960","13,535","1,505","12,285","620,240","486,330","48,125","67,325","10,600","1,335","6,525"
Florida's 17th,FL-17,73.8,7.1,15.9,1.4,0.3,1.5,77.3,6.5,13.5,1.4,0.2,0.9,76.5,7.0,13.5,1.1,0.3,1.6,80.6,6.5,10.7,1.1,0.2,0.9,"773,685","571,300","54,670","122,980","10,980","1,995","11,760","642,355","496,860","41,990","87,035","9,260","1,470","5,740","732,055","560,050","51,395","99,190","7,815","1,935","11,670","602,660","485,825","39,035","64,285","6,445","1,415","5,655"
Florida's 18th,FL-18,66.4,12.7,16.7,2.5,0.2,1.6,70.3,11.5,14.6,2.4,0.2,0.9,69.5,12.1,14.6,1.9,0.2,1.6,74.3,10.9,11.9,1.8,0.2,0.9,"771,250","512,035","97,695","128,655","18,900","1,600","12,365","628,245","441,965","72,230","91,545","15,340","1,205","5,960","722,280","502,100","87,715","105,565","13,650","1,520","11,730","582,265","432,345","63,395","69,490","10,500","1,125","5,410"
Florida's 19th,FL-19,69.0,7.6,20.4,1.8,0.2,1.0,73.7,6.5,17.2,1.8,0.2,0.7,73.6,7.3,16.3,1.5,0.2,1.1,79.2,6.0,12.4,1.5,0.2,0.7,"813,475","561,450","62,180","165,865","14,370","1,320","8,290","677,780","499,665","44,000","116,395","11,950","1,025","4,745","739,560","543,965","54,240","120,710","11,360","1,310","7,975","610,165","483,220","36,690","75,600","9,110","1,015","4,530"
Florida's 20th,FL-20,17.6,52.9,24.7,2.9,0.1,1.7,20.1,50.8,24.4,3.1,0.1,1.4,19.6,54.1,21.6,2.6,0.1,1.9,23.1,52.0,20.6,2.7,0.1,1.6,"788,170","138,990","417,255","194,710","22,825",905,"13,485","599,005","120,640","304,475","146,275","18,350",670,"8,595","667,165","131,045","361,225","144,245","17,300",870,"12,480","490,020","113,005","254,895","100,720","13,075",640,"7,685"
Florida's 21st,FL-21,56.0,15.5,24.2,2.6,0.1,1.5,60.2,14.0,22.0,2.6,0.1,1.0,61.6,14.5,19.8,2.4,0.1,1.7,67.3,12.6,16.6,2.3,0.1,1.1,"772,205","432,300","119,980","187,100","20,365",865,"11,595","629,385","379,200","88,035","138,675","16,635",720,"6,120","673,800","414,915","97,430","133,445","16,020",835,"11,155","539,300","362,930","67,715","89,565","12,650",685,"5,755"
Florida's 22nd,FL-22,57.7,14.8,22.4,3.2,0.1,1.7,61.4,13.6,20.5,3.2,0.1,1.2,61.4,14.4,19.6,2.8,0.1,1.8,66.1,12.9,17.1,2.6,0.1,1.2,"755,095","435,515","111,985","169,480","24,510",930,"12,675","614,835","377,265","83,420","126,320","19,830",755,"7,245","663,095","406,845","95,380","129,900","18,435",910,"11,625","531,575","351,390","68,310","90,750","14,035",730,"6,360"
Florida's 23rd,FL-23,41.0,13.5,39.0,4.4,0.3,2.0,42.6,12.9,38.5,4.5,0.3,1.4,44.2,13.9,35.7,3.7,0.3,2.2,46.5,13.2,34.8,3.7,0.3,1.5,"760,115","311,325","102,355","296,305","33,245","2,050","14,835","601,025","255,800","77,340","231,120","26,820","1,615","8,330","655,235","289,695","91,375","233,995","24,095","1,965","14,110","508,870","236,560","67,145","177,340","18,670","1,530","7,625"
Florida's 24th,FL-24,11.3,46.2,40.4,1.3,0.2,0.7,11.8,44.7,41.4,1.4,0.1,0.5,12.6,49.8,35.4,1.1,0.2,0.8,13.6,48.9,35.5,1.2,0.2,0.6,"746,405","84,370","344,735","301,430","9,670","1,130","5,070","579,395","68,515","259,030","239,720","8,225",770,"3,135","604,675","76,475","301,270","214,285","6,930","1,130","4,585","450,190","61,055","220,195","159,880","5,610",770,"2,680"
Florida's 25th,FL-25,19.1,3.6,75.6,1.1,0.2,0.4,19.7,3.4,75.4,1.1,0.1,0.3,24.5,4.1,69.8,0.9,0.2,0.5,26.1,3.9,68.5,0.9,0.2,0.3,"771,560","147,650","28,055","583,335","8,105","1,240","3,175","618,085","121,585","21,280","465,955","6,710",905,"1,650","577,735","141,355","23,780","403,135","5,220","1,240","3,005","444,235","115,875","17,350","304,385","4,210",905,"1,510"
Florida's 26th,FL-26,16.2,10.4,70.9,1.8,0.1,0.7,16.4,9.6,71.5,1.9,0.1,0.5,19.0,11.8,66.7,1.6,0.1,0.8,19.9,11.2,66.5,1.7,0.1,0.6,"768,910","124,490","79,645","545,390","13,685",660,"5,040","598,030","98,055","57,405","427,655","11,270",520,"3,125","623,665","118,585","73,740","415,700","10,240",660,"4,740","465,685","92,735","52,000","309,540","8,070",520,"2,820"
Florida's 27th,FL-27,21.0,3.9,72.4,2.0,0.0,0.7,20.6,3.9,72.7,2.1,0.0,0.6,24.6,4.8,68.2,1.7,0.0,0.7,24.8,4.9,67.9,1.8,0.1,0.6,"747,185","156,890","28,940","541,255","14,895",265,"4,940","613,620","126,705","23,980","446,265","12,910",265,"3,495","566,595","139,295","26,990","386,235","9,675",240,"4,160","448,850","111,130","22,100","304,545","7,990",240,"2,845"
Georgia's 1st,GA-01,59.0,29.5,6.8,2.0,0.3,2.4,61.4,28.7,6.0,2.1,0.3,1.5,60.1,30.2,5.6,1.3,0.3,2.4,62.9,29.5,4.5,1.4,0.3,1.5,"737,095","434,845","217,535","50,360","14,535","2,465","17,355","563,630","346,025","161,490","34,055","11,970","1,875","8,215","716,260","430,750","216,375","40,180","9,445","2,305","17,205","544,235","342,185","160,390","24,310","7,470","1,800","8,080"
Georgia's 2nd,GA-02,40.0,51.7,5.3,1.2,0.2,1.6,42.5,50.4,4.5,1.3,0.2,1.0,40.7,52.6,4.0,0.9,0.2,1.6,43.5,51.4,3.0,0.9,0.2,1.0,"670,505","268,115","346,655","35,265","8,295","1,445","10,730","511,370","217,530","257,615","23,130","6,620","1,265","5,210","656,560","267,275","345,285","26,175","5,820","1,345","10,660","498,275","216,720","256,255","14,700","4,270","1,170","5,160"
Georgia's 3rd,GA-03,65.1,24.8,5.7,2.2,0.2,2.0,67.4,24.0,5.0,2.2,0.2,1.2,66.5,25.1,4.7,1.5,0.2,2.0,69.0,24.5,3.6,1.4,0.2,1.3,"735,070","478,795","182,040","42,205","15,985","1,655","14,390","558,480","376,265","134,220","27,710","12,090","1,310","6,885","714,875","475,205","179,710","33,340","10,770","1,580","14,270","540,200","372,840","132,220","19,505","7,620","1,230","6,785"
