State,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Maine,93.5,1.3,1.6,1.1,0.6,1.9,94.6,1.0,1.3,1.1,0.5,1.4,94.2,0.9,1.5,0.8,0.6,1.9,95.4,0.7,1.2,0.8,0.5,1.4,"1,332,815","1,245,600","17,015","21,420","15,190","7,725","25,850","1,078,155","1,019,755","10,985","14,510","12,055","5,795","15,050","1,311,390","1,235,800","11,840","19,720","10,925","7,650","25,440","1,059,545","1,010,685","7,270","12,980","8,165","5,745",14705
Maryland,51.6,29.5,9.8,6.3,0.2,2.6,54.1,29.1,8.4,6.5,0.2,1.7,54.7,30.2,7.1,5.0,0.2,2.8,58.1,29.9,5.0,5.0,0.2,1.8,"6,003,435","3,095,580","1,769,170","588,910","379,555","11,190","159,020","4,659,255","2,519,490","1,356,990","390,890","301,540","9,200","81,155","5,562,895","3,045,420","1,677,710","393,325","280,410","10,990","155,040","4,262,385","2,474,890","1,275,575","213,440","211,495","9,050",77935
Massachusetts,72.8,7.0,11.6,6.6,0.1,1.9,75.4,6.6,10.0,6.6,0.1,1.3,76.5,6.4,10.2,4.8,0.1,1.9,79.8,6.0,8.3,4.5,0.1,1.3,"6,830,190","4,973,135","479,315","789,125","450,045","9,455","129,115","5,450,295","4,108,160","362,440","542,980","359,290","7,420","70,010","6,296,920","4,815,925","404,330","642,965","302,870","9,095","121,740","4,964,685","3,962,900","295,615","411,760","223,755","7,080",63575
Michigan,75.3,13.7,5.0,3.1,0.5,2.4,77.6,13.1,4.1,3.1,0.5,1.6,76.8,14.0,4.3,2.0,0.5,2.4,79.4,13.4,3.2,1.9,0.5,1.6,"9,957,490","7,501,130","1,365,080","497,895","309,130","46,120","238,120","7,761,385","6,023,185","1,019,600","316,815","241,780","35,495","124,520","9,634,615","7,395,765","1,347,575","417,600","194,740","45,595","233,325","7,472,670","5,929,740","1,004,310","242,525","140,215","35,010",120865
Minnesota,80.4,6.1,5.3,4.8,1.0,2.4,83.7,5.2,4.2,4.5,0.9,1.5,83.3,5.4,4.1,3.7,1.0,2.5,87.1,4.5,2.7,3.3,0.9,1.5,"5,527,360","4,444,355","337,530","292,765","265,280","53,410","134,035","4,235,750","3,544,175","220,620","179,100","191,395","37,105","63,365","5,299,240","4,413,860","287,770","215,495","197,235","53,090","131,790","4,037,290","3,517,130","182,150","107,415","132,205","36,805",61585
Mississippi,56.8,37.6,3.0,1.0,0.4,1.1,59.2,36.0,2.6,1.0,0.4,0.7,57.5,38.1,2.2,0.7,0.4,1.1,60.0,36.6,1.6,0.7,0.4,0.7,"2,988,760","1,698,910","1,123,295","90,495","29,010","13,005","34,035","2,268,455","1,343,470","817,770","58,705","23,160","9,315","16,035","2,945,445","1,692,420","1,121,405","65,415","19,590","12,945","33,665","2,228,660","1,337,360","816,005","35,810","14,580","9,255",15655
Missouri,79.7,11.5,4.1,2.0,0.4,2.2,81.7,11.0,3.3,2.0,0.4,1.5,81.1,11.6,3.4,1.3,0.4,2.2,83.3,11.1,2.5,1.2,0.4,1.5,"6,090,060","4,856,605","701,985","249,100","123,050","23,670","135,660","4,705,000","3,845,020","517,035","157,290","96,330","19,580","69,725","5,958,470","4,830,125","690,900","201,450","79,140","23,645","133,210","4,585,990","3,820,995","507,635","113,610","56,550","19,555",67645
Montana,86.4,0.4,3.7,0.8,6.2,2.4,88.6,0.4,3.1,0.9,5.2,1.8,86.8,0.4,3.5,0.6,6.3,2.4,89.1,0.4,2.8,0.6,5.2,1.8,"1,041,730","899,650","4,445","39,020","8,625","64,660","25,335","814,140","721,320","3,535","25,055","7,205","42,190","14,830","1,031,015","894,810","3,940","36,330","6,090","64,625","25,220","804,265","716,680","3,080","22,735","4,860","42,165",14745
Nebraska,79.5,4.7,10.7,2.4,0.7,2.1,82.8,4.4,8.5,2.4,0.6,1.3,82.7,4.5,8.5,1.4,0.8,2.1,86.9,4.2,5.7,1.3,0.7,1.3,"1,904,760","1,514,360","88,790","203,275","45,195","13,990","39,135","1,432,240","1,186,605","62,460","121,760","33,940","9,050","18,415","1,821,670","1,507,255","82,335","154,220","25,825","13,985","38,045","1,358,780","1,180,215","57,045","77,165","17,810","9,040",17515
Nevada,50.1,8.6,28.5,8.5,0.9,3.4,54.3,8.4,24.7,9.3,0.9,2.5,54.7,9.3,23.9,7.5,1.0,3.7,60.6,9.1,18.4,8.2,1.0,2.7,"2,922,850","1,464,225","252,060","831,600","249,865","26,570","98,530","2,248,375","1,221,040","187,895","555,665","208,140","20,390","55,245","2,629,595","1,437,290","243,435","627,780","198,430","26,405","96,230","1,973,655","1,195,415","180,365","363,500","160,875","20,235",53250
New Hampshire,90.5,1.3,3.6,2.7,0.1,1.7,91.7,1.2,3.0,2.7,0.1,1.2,92.1,1.1,3.2,1.7,0.1,1.7,93.5,1.0,2.5,1.5,0.1,1.3,"1,343,620","1,215,825","17,900","48,355","36,680","1,850","23,010","1,081,055","991,670","13,105","32,525","28,810","1,535","13,420","1,307,245","1,203,820","14,825","41,845","22,295","1,795","22,670","1,048,200","980,390","10,570","26,645","15,980","1,490",13115
New Jersey,56.1,12.9,19.9,9.5,0.1,1.5,58.5,12.7,18.1,9.5,0.1,1.0,60.5,13.4,17.0,7.4,0.1,1.6,64.1,13.3,14.4,7.0,0.1,1.1,"8,881,845","4,982,315","1,145,265","1,768,020","841,535","9,740","134,970","6,908,435","4,044,825","878,870","1,251,485","655,350","7,610","70,295","8,012,120","4,847,605","1,070,990","1,361,000","591,575","9,375","131,610","6,117,620","3,921,000","812,360","878,975","430,690","7,235",67360
New Mexico,37.9,1.8,48.5,1.5,8.8,1.5,42.0,1.9,45.0,1.6,8.3,1.1,39.7,1.8,46.4,1.1,9.3,1.5,44.6,1.9,42.2,1.2,9.0,1.2,"2,092,435","792,310","38,710","1,015,755","30,965","184,010","30,690","1,598,275","671,595","30,430","719,520","25,290","133,355","18,080","1,969,310","782,510","36,305","914,560","22,025","183,990","29,905","1,485,490","662,690","28,625","626,180","17,185","133,335",17480
New York,56.1,14.6,18.9,8.5,0.2,1.7,58.1,14.3,17.4,8.7,0.2,1.2,60.3,14.6,16.5,6.6,0.3,1.8,63.4,14.4,14.3,6.4,0.3,1.2,"19,618,450","11,002,705","2,855,705","3,705,590","1,666,610","48,425","339,435","15,476,820","8,990,870","2,219,580","2,692,130","1,348,750","37,950","187,545","17,680,630","10,667,675","2,579,910","2,909,970","1,160,655","46,570","315,835","13,686,685","8,677,595","1,967,120","1,955,585","882,290","36,295",167830
North Carolina,63.5,21.2,9.2,2.8,1.1,2.1,66.6,20.9,7.3,2.8,1.1,1.4,66.1,22.0,6.6,2.0,1.2,2.2,69.9,21.8,3.9,1.8,1.1,1.4,"10,155,625","6,448,930","2,155,535","935,945","288,970","111,795","214,455","7,863,005","5,240,045","1,639,930","570,595","220,095","85,240","107,115","9,661,270","6,387,740","2,124,715","634,850","191,085","111,670","211,205","7,413,175","5,184,050","1,613,380","291,940","134,245","85,135",104460
North Dakota,85.1,2.7,3.5,1.5,5.1,2.1,87.5,2.5,2.9,1.6,4.2,1.4,86.6,2.1,3.3,0.7,5.2,2.1,89.2,1.8,2.6,0.7,4.3,1.5,"752,200","640,440","20,170","26,530","11,160","38,310","15,580","578,485","506,080","14,185","16,580","8,980","24,290","8,360","734,655","636,035","15,790","24,275","4,965","38,255","15,335","562,630","501,885","10,160","14,495","3,670","24,235",8185
Ohio,79.3,12.2,3.7,2.2,0.2,2.4,81.5,11.6,3.0,2.2,0.2,1.5,80.6,12.2,3.3,1.4,0.2,2.4,83.0,11.6,2.5,1.2,0.2,1.5,"11,641,870","9,236,720","1,423,210","431,320","254,815","17,900","277,910","9,023,705","7,351,385","1,048,405","273,755","199,780","14,655","135,745","11,388,255","9,178,465","1,391,460","373,185","153,975","17,765","273,410","8,797,920","7,299,380","1,021,065","220,860","109,965","14,520",132115
Oklahoma,66.1,7.2,10.4,2.2,7.2,6.8,70.1,7.1,8.3,2.3,6.8,5.4,68.4,7.4,8.1,1.6,7.5,7.1,73.1,7.2,5.4,1.5,7.1,5.7,"3,918,135","2,590,210","283,860","407,525","87,485","281,055","268,010","2,959,430","2,074,765","209,300","246,335","68,235","200,005","160,790","3,765,140","2,574,820","277,900","306,350","58,495","280,920","266,660","2,819,175","2,060,635","203,860","152,915","42,265","199,885",159620
Oregon,76.2,1.8,12.8,4.6,0.9,3.6,79.5,1.7,10.4,4.8,0.9,2.8,79.7,1.8,10.3,3.5,1.0,3.7,83.9,1.7,7.1,3.5,0.9,2.9,"4,081,940","3,110,590","74,735","523,955","189,420","36,900","146,340","3,213,765","2,554,150","55,975","333,235","153,400","28,480","88,520","3,853,530","3,072,855","68,235","396,655","135,005","36,800","143,990","3,002,265","2,519,120","50,965","213,430","103,880","28,395",86455
Pennsylvania,77.0,10.7,7.1,3.4,0.1,1.8,79.4,10.1,5.9,3.4,0.1,1.1,78.8,10.6,6.3,2.4,0.1,1.8,81.6,10.1,4.9,2.2,0.1,1.1,"12,791,180","9,843,740","1,367,105","905,155","433,470","14,685","227,050","10,115,850","8,036,670","1,023,850","592,245","339,765","11,860","111,480","12,380,335","9,753,830","1,317,755","781,665","291,195","14,025","221,905","9,748,295","7,955,560","980,690","482,095","211,615","11,235",107080
Rhode Island,73.2,5.9,15.0,3.5,0.4,2.0,76.6,5.5,12.7,3.5,0.3,1.4,76.6,5.5,12.8,2.6,0.4,2.1,80.8,5.0,10.0,2.4,0.4,1.5,"1,056,610","773,355","61,905","158,860","37,065","3,870","21,560","847,740","649,565","46,260","107,385","29,470","2,865","12,190","992,030","760,375","54,350","127,370","25,340","3,835","20,765","789,060","637,335","39,495","78,895","18,800","2,825",11710
South Carolina,63.8,26.9,5.6,1.6,0.3,1.9,66.4,26.0,4.6,1.6,0.3,1.2,65.1,27.5,4.0,1.1,0.3,1.9,68.0,26.8,2.7,1.1,0.3,1.2,"4,955,925","3,162,835","1,331,455","275,680","78,635","14,255","93,050","3,859,675","2,561,095","1,004,370","176,035","61,545","11,430","45,200","4,814,410","3,136,465","1,325,420","192,635","53,890","14,210","91,785","3,731,345","2,537,060","999,230","99,565","40,010","11,385",44100
South Dakota,82.3,1.8,3.7,1.5,8.4,2.3,85.7,1.6,2.9,1.4,6.8,1.6,83.8,1.3,3.2,0.8,8.6,2.3,87.4,1.1,2.3,0.7,7.0,1.6,"864,290","711,355","15,870","31,995","12,880","72,305","19,890","651,225","557,820","10,270","18,855","9,385","44,400","10,495","845,335","708,630","11,195","26,995","6,545","72,280","19,695","635,405","555,395","6,705","14,450","4,160","44,380",10320
Tennessee,74.1,16.7,5.3,1.8,0.2,1.9,76.6,16.0,4.1,1.7,0.3,1.2,76.0,17.0,3.7,1.2,0.2,1.9,78.8,16.4,2.2,1.1,0.3,1.2,"6,651,085","4,931,485","1,111,270","352,410","116,755","15,280","123,900","5,149,695","3,946,230","824,445","212,830","89,625","12,975","63,580","6,442,450","4,894,730","1,097,165","238,830","74,750","15,140","121,850","4,964,910","3,914,505","812,150","111,230","52,310","12,860",61855
Texas,42.5,11.8,39.2,4.8,0.2,1.6,46.2,11.8,35.6,5.0,0.3,1.2,46.8,12.7,34.8,3.7,0.3,1.7,52.3,13.1,29.4,3.7,0.3,1.3,"27,885,210","11,840,120","3,283,705","10,921,580","1,327,945","69,090","442,785","20,592,510","9,506,785","2,439,445","7,323,550","1,024,115","54,080","244,560","24,886,840","11,642,920","3,159,075","8,672,565","917,035","68,515","426,740","17,859,505","9,335,560","2,335,400","5,243,725","659,715","53,570",231495
Utah,78.8,1.1,13.9,3.2,0.9,2.1,80.7,1.0,12.3,3.5,0.9,1.5,82.4,1.0,11.0,2.4,1.0,2.2,85.7,0.9,8.3,2.5,1.0,1.6,"3,045,350","2,399,705","33,830","422,120","96,305","28,250","65,150","2,126,300","1,716,690","22,185","261,560","73,560","20,020","32,280","2,887,905","2,379,765","28,390","319,040","68,750","28,105","63,850","1,982,915","1,699,010","18,190","165,480","49,100","19,880",31255
Vermont,93.1,1.2,1.9,1.8,0.3,1.8,93.9,1.1,1.7,1.7,0.3,1.3,94.1,1.0,1.7,1.0,0.3,1.8,95.0,0.9,1.5,1.0,0.3,1.3,"624,975","581,680","7,715","11,675","11,020","1,870","11,015","506,630","475,585","5,415","8,515","8,850","1,595","6,670","611,690","575,600","6,375","10,595","6,420","1,855","10,845","494,675","469,785","4,415","7,475","4,880","1,580",6535
Virginia,62.4,18.9,9.2,6.4,0.2,3.0,64.7,18.7,8.0,6.5,0.2,2.0,65.4,19.5,6.9,4.9,0.2,3.0,68.4,19.4,5.2,4.8,0.2,2.0,"8,413,785","5,248,515","1,590,120","771,170","537,160","18,085","248,705","6,546,360","4,235,010","1,221,870","521,255","423,250","14,855","130,125","7,911,380","5,173,635","1,544,420","544,500","391,360","17,935","239,515","6,096,240","4,169,050","1,182,495","314,945","292,190","14,695",122870
Washington,69.2,3.6,12.5,9.0,1.1,4.6,72.7,3.5,10.0,9.4,1.1,3.3,73.2,3.5,10.3,6.9,1.2,4.9,77.8,3.4,7.1,7.0,1.2,3.6,"7,294,335","5,050,245","260,730","911,575","654,260","80,500","337,015","5,661,465","4,117,200","197,415","567,895","530,310","60,125","188,530","6,757,545","4,949,095","236,330","693,015","467,790","80,015","331,290","5,173,975","4,026,885","176,770","366,420","360,290","59,700",183935
West Virginia,92.3,3.6,1.5,0.8,0.2,1.6,93.1,3.6,1.3,0.9,0.2,1.0,92.8,3.6,1.3,0.6,0.2,1.6,93.7,3.5,1.1,0.5,0.2,1.0,"1,829,055","1,687,560","66,275","27,520","14,970","3,655","29,060","1,455,680","1,354,835","52,250","18,710","12,450","3,055","14,380","1,814,430","1,683,055","64,695","24,410","10,090","3,560","28,605","1,442,035","1,350,690","50,870","15,805","7,725","2,960",13985
Wisconsin,81.6,6.3,6.7,2.8,0.8,1.8,84.7,5.6,5.2,2.6,0.8,1.1,83.4,6.3,5.5,2.1,0.8,1.9,86.9,5.7,3.8,1.8,0.8,1.1,"5,778,390","4,715,935","362,885","385,780","161,455","46,230","106,130","4,489,455","3,801,060","251,900","235,675","116,680","34,015","50,140","5,621,665","4,690,150","356,250","309,325","115,250","46,100","104,590","4,347,415","3,777,360","246,370","164,925","76,080","33,905",48775
Wyoming,84.2,0.9,9.8,0.9,2.2,2.1,86.3,0.9,8.4,0.9,1.9,1.6,85.6,0.8,8.6,0.6,2.2,2.1,88.1,0.8,6.9,0.6,2.0,1.6,"581,835","489,885","5,165","56,965","5,125","12,720","11,970","444,115","383,445","3,775","37,170","4,150","8,490","7,080","569,255","487,335","4,660","49,205","3,465","12,720","11,870","432,285","381,045","3,415","29,770","2,575","8,490",6985
