State,Total Population by Race (2020 Census),,,,,,Voting Age Population by Race (2020 Census),,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
Nebraska,75.7,6.4,12.0,3.5,2.8,0.2,79.2,5.3,9.8,3.2,2.4,0.2,86.0,4.6,6.2,1.8,1.2,0.1,"1,961,504","1,484,687","124,773","234,715","69,006","55,260","4,069","1,476,127","1,169,255","78,652","145,297","47,344","35,664","2,627","1,373,650","1,181,634","63,452","85,077","24,065","16,936",889
Nevada,45.9,12.0,28.7,11.4,3.4,1.7,50.0,10.9,25.3,11.3,3.2,1.4,58.5,10.2,19.7,8.7,1.6,0.7,"3,104,614","1,425,318","373,989","890,906","353,536","105,761","52,533","2,413,326","1,205,651","262,830","609,396","273,326","78,079","34,821","2,071,239","1,210,807","212,184","408,012","179,832","32,975","13,676"
New Hampshire,87.2,2.4,4.3,3.4,1.8,0.1,88.9,1.9,3.6,3.0,1.7,0.1,92.9,1.4,2.8,2.1,0.7,0.0,"1,377,529","1,200,649","32,998","59,454","46,861","25,468","1,792","1,120,680","995,751","21,772","39,800","33,822","19,304","1,215","1,065,290","989,519","14,980","29,572","22,581","7,606",255
New Jersey,51.9,15.2,21.6,11.3,1.6,0.2,54.5,14.5,19.7,10.9,1.5,0.1,62.8,13.8,15.2,7.6,0.4,0.0,"9,283,016","4,814,558","1,406,392","2,001,337","1,046,866","147,865","14,619","7,281,310","3,966,396","1,057,822","1,435,999","793,878","107,657","10,802","6,156,299","3,868,821","846,863","936,250","470,286","23,194","1,689"
New Mexico,36.5,3.2,47.7,2.6,12.4,0.3,40.5,2.8,44.3,2.5,11.5,0.3,43.5,2.2,43.2,1.4,9.5,0.1,"2,117,522","772,952","68,409","1,010,811","55,997","263,615","6,012","1,638,989","664,062","46,422","726,764","41,222","188,477","4,204","1,511,394","656,933","33,281","652,940","21,833","144,124","1,146"
New York,52.5,17.5,19.5,10.8,2.0,0.2,54.5,16.8,18.2,10.6,1.9,0.2,62.4,14.9,14.9,7.0,0.6,0.0,"20,201,249","10,598,907","3,533,873","3,948,032","2,173,719","399,803","40,578","16,088,135","8,761,517","2,700,724","2,925,886","1,708,835","299,119","31,005","13,764,900","8,584,039","2,053,206","2,051,065","967,746","78,535","5,914"
North Carolina,60.5,22.5,10.7,4.1,3.0,0.2,63.6,21.4,8.9,3.7,2.8,0.2,69.2,22.3,4.5,2.2,1.7,0.1,"10,439,388","6,312,148","2,344,553","1,118,596","425,449","318,279","20,957","8,155,099","5,189,633","1,743,052","724,311","302,405","231,359","14,011","7,636,549","5,284,205","1,705,231","342,457","165,584","129,308","4,295"
North Dakota,81.7,4.4,4.3,2.4,7.2,0.3,84.4,3.6,3.6,2.2,5.9,0.2,88.6,2.1,2.9,1.0,5.3,0.1,"779,094","636,160","34,499","33,412","18,675","55,777","2,086","596,093","503,153","21,444","21,603","13,192","35,031","1,361","564,937","500,438","11,969","16,384","5,466","29,672",699
Ohio,75.9,14.4,4.4,3.2,2.0,0.1,78.4,12.9,3.6,2.9,1.9,0.1,82.4,12.5,2.7,1.6,0.7,0.0,"11,799,448","8,954,135","1,704,492","521,308","377,303","234,389","15,181","9,207,562","7,218,892","1,188,984","336,028","271,124","171,578","10,072","8,855,342","7,294,859","1,106,000","240,158","144,602","58,206","2,121"
Oklahoma,60.8,9.7,11.9,3.1,16.0,0.4,65.2,8.6,9.8,2.9,14.1,0.3,72.1,8.1,6.0,1.9,11.9,0.1,"3,959,353","2,407,188","382,698","471,931","123,614","633,831","15,026","3,010,698","1,963,854","258,909","295,621","87,335","423,192","8,991","2,855,934","2,058,797","230,934","171,358","53,905","340,096","2,033"
Oregon,71.7,3.2,13.9,6.5,4.4,0.9,74.9,2.7,11.6,6.0,4.1,0.8,82.6,2.2,8.0,4.2,2.3,0.3,"4,237,256","3,036,158","134,692","588,757","275,296","185,726","39,709","3,370,652","2,526,275","90,455","389,394","203,785","136,731","26,519","3,108,043","2,566,515","67,811","248,530","131,381","71,062","8,829"
Pennsylvania,73.5,12.7,8.1,4.6,1.5,0.1,76.1,11.5,6.8,4.3,1.3,0.1,80.8,10.7,5.4,2.6,0.4,0.0,"13,002,700","9,553,417","1,655,034","1,049,615","603,726","189,164","16,532","10,353,548","7,884,010","1,189,064","704,258","449,690","137,134","11,465","9,778,917","7,902,475","1,043,722","529,807","249,475","43,466","2,378"
Rhode Island,68.7,9.1,16.6,4.4,2.1,0.2,72.4,7.9,14.2,4.2,1.9,0.2,79.4,5.9,10.9,2.8,0.9,0.1,"1,097,379","754,050","99,925","182,101","48,450","23,357","2,331","887,594","642,435","70,366","125,988","36,946","16,647","1,655","795,065","631,629","46,812","86,769","22,118","6,894",514
South Carolina,62.1,26.8,6.9,2.4,2.1,0.2,64.9,25.3,5.8,2.2,2.0,0.1,67.9,26.9,2.9,1.4,0.8,0.0,"5,118,425","3,178,552","1,370,528","352,838","123,666","108,111","8,737","4,014,460","2,603,975","1,014,656","231,124","88,832","79,729","5,846","3,849,721","2,613,220","1,035,388","112,626","52,446","30,805","1,784"
South Dakota,79.6,3.0,4.4,2.1,11.1,0.2,83.1,2.2,3.6,1.9,9.1,0.2,87.0,1.5,2.4,0.9,8.1,0.0,"886,667","705,583","26,307","38,741","18,489","98,842","1,642","669,255","556,081","14,956","23,855","12,406","60,618","1,033","644,871","561,189","9,386","15,692","5,556","52,469",252
Tennessee,70.9,17.3,6.9,2.6,2.3,0.2,73.5,16.1,5.7,2.4,2.3,0.1,78.4,16.8,2.5,1.4,0.8,0.0,"6,910,840","4,900,246","1,196,114","479,187","178,683","161,436","11,008","5,384,473","3,958,296","864,737","305,717","128,390","123,061","7,245","5,082,304","3,982,022","853,847","128,766","69,633","42,773","2,231"
Texas,39.7,13.6,39.3,6.3,2.7,0.3,43.2,13.0,36.2,6.2,2.7,0.2,50.8,13.5,30.5,4.1,0.8,0.1,"29,145,505","11,584,597","3,964,700","11,441,717","1,849,226","794,062","77,196","21,866,700","9,437,993","2,837,841","7,907,319","1,358,922","584,904","51,835","18,578,758","9,428,870","2,512,353","5,671,692","769,272","156,445","14,113"
Utah,75.4,2.1,15.1,3.8,2.7,1.8,77.4,1.7,13.6,3.7,2.5,1.5,84.6,1.2,9.1,2.4,1.4,0.8,"3,271,616","2,465,355","67,128","492,912","125,088","87,234","59,247","2,324,051","1,798,000","39,879","316,610","86,281","58,774","34,497","2,082,871","1,762,529","25,519","189,337","50,574","29,694","16,401"
Vermont,89.1,2.2,2.4,2.5,2.6,0.1,90.4,1.7,2.1,2.2,2.4,0.1,94.6,1.2,1.6,1.4,1.1,0.0,"643,077","573,201","14,422","15,504","16,182","16,900",725,"524,482","474,146","9,038","11,113","11,665","12,780",518,"497,385","470,715","5,883","8,156","6,736","5,658",149
Virginia,58.6,20.8,10.5,8.8,2.1,0.3,61.3,19.9,9.1,8.2,2.0,0.2,67.4,20.2,5.7,5.7,0.7,0.1,"8,631,393","5,060,998","1,794,145","908,369","757,080","180,071","22,096","6,745,054","4,136,979","1,341,203","614,314","555,088","131,743","14,760","6,198,307","4,174,665","1,251,529","353,170","354,686","45,753","3,766"
Washington,63.8,5.8,13.7,12.2,4.1,1.5,67.4,5.0,11.5,11.7,3.7,1.2,76.6,4.3,7.7,7.9,2.3,0.6,"7,705,281","4,918,820","446,240","1,059,213","939,846","313,633","114,189","6,024,689","4,058,504","301,490","690,674","701,888","224,554","73,674","5,344,761","4,094,416","229,338","411,467","423,048","124,519","29,612"
West Virginia,89.1,5.0,1.9,1.2,2.1,0.1,90.2,4.4,1.6,1.1,2.0,0.1,93.5,3.9,1.2,0.7,0.7,0.0,"1,793,716","1,598,834","90,526","34,827","22,281","37,689","1,726","1,432,932","1,293,040","62,960","23,483","16,245","29,047","1,162","1,428,495","1,335,340","55,806","17,063","9,343","9,578",196
Wisconsin,78.6,7.7,7.6,3.7,2.5,0.1,81.8,6.4,6.2,3.2,2.2,0.1,86.3,6.1,4.1,2.1,1.3,0.0,"5,893,718","4,634,018","452,743","447,290","216,345","144,572","7,470","4,612,300","3,774,226","296,313","284,069","146,640","99,751","4,996","4,392,457","3,789,387","270,088","181,016","93,409","55,576","1,212"
Wyoming,81.4,1.7,10.2,1.6,4.8,0.3,83.8,1.3,8.6,1.5,4.2,0.2,87.5,1.2,7.3,1.0,2.7,0.1,"576,851","469,664","9,661","59,046","9,473","27,480","1,714","441,337","370,041","5,928","38,153","6,520","18,433","1,009","435,401","381,019","5,118","31,849","4,567","11,603",412
