District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
Florida's 24th,FL-24,16.9,42.6,38.4,1.6,0.2,0.0,16.9,41.1,39.8,1.8,0.3,0.0,18.0,46.3,33.8,1.5,0.3,0.0,18.3,45.2,34.5,1.6,0.3,0.0,"780,120","132,015","332,140","299,730","12,780","1,790",205,"613,105","103,800","251,820","243,870","10,885","1,590",205,"637,630","114,900","294,920","215,205","9,360","1,670",190,"484,695","88,495","218,915","166,980","7,780","1,475",190
Florida's 25th,FL-25,34.1,17.2,42.8,5.1,0.4,0.1,35.4,16.4,42.6,4.9,0.4,0.1,37.0,18.3,39.1,4.7,0.4,0.1,38.9,17.4,38.4,4.4,0.4,0.1,"765,445","260,840","131,545","327,250","39,135","2,710",500,"603,775","213,545","98,725","256,975","29,680","2,195",425,"658,850","243,680","120,605","257,320","30,855","2,700",455,"510,855","198,500","88,945","196,360","22,440","2,190",385
Florida's 26th,FL-26,18.7,5.5,74.4,1.1,0.2,0.0,19.1,5.2,74.4,1.0,0.2,0.0,23.4,6.4,68.7,1.1,0.2,0.0,24.6,6.1,67.9,1.1,0.2,0.0,"775,185","145,090","42,365","576,615","8,470","1,420",55,"626,500","119,595","32,280","466,205","6,565","1,030",55,"585,195","136,935","37,180","402,225","6,555","1,365",55,"457,480","112,605","27,760","310,470","4,965",970,55
Florida's 27th,FL-27,17.8,5.5,73.8,2.4,0.2,0.0,16.6,5.3,75.3,2.4,0.2,0.0,20.6,6.6,70.0,2.2,0.3,0.0,19.6,6.5,71.3,2.1,0.2,0.0,"752,680","133,965","41,290","555,660","18,095","1,565",105,"617,755","102,510","32,670","465,230","14,805","1,175",90,"588,675","121,555","39,080","411,880","12,690","1,495",105,"469,615","91,930","30,590","334,995","9,750","1,105",90
Florida's 28th,FL-28,16.7,9.6,71.6,1.6,0.2,0.0,16.4,8.8,72.6,1.7,0.2,0.0,19.2,10.6,68.1,1.6,0.2,0.0,19.3,9.8,68.7,1.6,0.3,0.0,"764,575","127,465","73,565","547,235","12,540","1,555",290,"599,325","98,300","52,870","435,105","10,425","1,290",270,"640,775","122,875","68,095","436,250","9,980","1,545",180,"486,420","94,105","47,785","334,200","7,910","1,280",165
Georgia's 1st,GA-01,58.5,30.4,7.3,2.5,0.8,0.1,61.0,29.0,6.3,2.4,0.8,0.1,59.7,30.9,6.2,1.8,0.8,0.1,62.5,29.6,4.9,1.7,0.9,0.1,"768,625","449,940","233,610","55,980","18,960","5,980","1,020","590,830","360,490","171,330","37,170","14,110","4,960",795,"747,360","446,390","231,295","46,270","13,795","5,950",540,"572,230","357,485","169,440","28,115","9,895","4,930",410
Georgia's 2nd,GA-02,40.4,50.9,5.9,1.7,0.9,0.1,43.0,49.3,5.0,1.7,0.9,0.1,41.0,51.8,4.8,1.3,0.9,0.1,43.8,50.3,3.6,1.3,0.9,0.1,"757,675","305,940","385,995","44,860","12,830","6,855",555,"579,140","248,745","285,350","29,110","10,110","5,355",415,"742,910","304,905","384,940","35,315","9,755","6,835",550,"565,555","247,745","284,315","20,335","7,400","5,335",405
Georgia's 3rd,GA-03,66.0,24.5,5.9,2.5,0.7,0.0,68.2,23.3,5.2,2.3,0.7,0.1,67.4,24.9,4.8,1.9,0.7,0.0,69.9,23.6,3.9,1.6,0.8,0.1,"767,635","506,905","188,345","45,325","19,185","5,410",365,"587,025","400,140","136,690","30,365","13,780","4,340",365,"747,475","504,070","185,750","35,965","13,895","5,350",365,"568,975","397,455","134,285","21,985","9,290","4,285",365
Georgia's 4th,GA-04,26.9,56.5,9.4,6.3,0.6,0.1,29.4,56.1,7.5,6.2,0.6,0.1,28.8,59.1,6.9,4.3,0.6,0.1,31.7,59.2,4.2,4.0,0.7,0.0,"766,420","206,185","433,095","71,830","48,320","4,245",850,"585,590","171,970","328,380","44,000","36,465","3,615",330,"701,320","201,845","414,765","48,075","29,885","4,190",720,"529,775","167,895","313,680","22,510","21,105","3,560",255
Georgia's 5th,GA-05,36.9,50.4,6.7,5.1,0.5,0.0,39.3,48.7,5.7,5.5,0.6,0.0,37.9,52.1,5.4,3.7,0.6,0.0,40.5,50.6,4.2,3.8,0.6,0.0,"756,320","279,125","381,140","50,470","38,925","4,090",195,"612,370","240,380","298,280","34,925","33,725","3,520",180,"719,620","272,475","374,935","39,040","26,660","4,070",180,"578,200","234,160","292,665","24,475","21,990","3,505",170
Georgia's 6th,GA-06,66.6,10.3,9.7,12.6,0.5,0.0,69.1,9.8,8.7,11.7,0.5,0.0,71.5,10.7,7.8,9.1,0.5,0.0,75.1,10.3,6.2,7.5,0.5,0.0,"767,775","511,610","78,870","74,785","96,700","3,525",90,"576,850","398,490","56,755","49,940","67,515","2,800",85,"698,025","499,415","74,470","54,650","63,785","3,465",70,"516,190","387,890","53,255","32,175","38,815","2,745",65
Georgia's 7th,GA-07,31.8,30.9,21.8,14.5,0.4,0.1,34.8,30.0,19.3,15.2,0.5,0.1,36.1,33.9,16.7,12.3,0.5,0.1,40.8,33.8,12.0,12.5,0.5,0.1,"763,615","242,840","236,305","166,550","110,695","3,390",445,"563,690","196,265","169,205","108,540","85,400","2,585",355,"654,165","235,890","221,885","109,235","80,205","3,355",440,"465,320","190,055","157,060","55,750","58,325","2,545",350
Georgia's 8th,GA-08,58.4,31.2,7.4,2.0,0.7,0.1,61.0,30.0,6.2,1.8,0.8,0.1,59.8,31.9,5.7,1.6,0.7,0.1,62.7,30.8,4.1,1.4,0.8,0.1,"767,070","447,845","239,605","56,685","15,485","5,325",440,"586,875","358,210","175,960","36,400","10,715","4,410",420,"746,885","446,280","238,060","42,900","12,265","5,240",440,"568,555","356,675","174,935","23,575","7,840","4,325",420
Georgia's 9th,GA-09,65.6,11.0,16.2,6.2,0.8,0.0,69.3,10.1,13.6,5.9,0.9,0.0,70.2,11.4,12.3,5.1,0.9,0.0,75.2,10.6,8.5,4.6,1.0,0.0,"768,575","504,040","84,185","124,640","47,795","6,225",170,"594,095","411,580","60,275","80,950","35,200","5,210",105,"712,480","500,150","81,030","87,380","36,070","6,205",135,"542,945","408,320","57,610","45,950","25,015","5,190",70
Georgia's 10th,GA-10,64.3,24.2,7.8,2.7,1.0,0.0,66.8,23.1,6.5,2.6,1.0,0.0,65.9,24.6,6.2,2.2,1.0,0.0,68.8,23.6,4.6,2.0,1.0,0.0,"770,605","495,200","186,210","59,965","20,795","7,455",245,"592,890","395,890","136,885","38,800","15,590","5,850",130,"748,040","492,690","184,080","46,615","16,235","7,445",245,"572,215","393,500","135,025","26,445","11,520","5,840",130
Georgia's 11th,GA-11,63.5,18.9,12.0,4.5,0.7,0.1,66.1,18.3,10.3,4.4,0.7,0.0,67.0,19.5,9.0,3.4,0.7,0.1,70.5,18.9,6.6,3.1,0.8,0.1,"770,930","489,600","146,080","92,845","34,835","5,420",470,"597,700","394,970","109,445","61,565","26,400","4,330",295,"717,165","480,470","140,040","64,685","24,520","5,320",455,"548,650","386,680","103,815","35,990","16,970","4,250",275
Georgia's 12th,GA-12,52.8,38.2,5.7,2.1,0.8,0.1,55.0,36.8,4.9,2.1,0.9,0.0,53.5,38.8,4.8,1.8,0.9,0.1,56.0,37.5,3.8,1.7,0.9,0.0,"764,340","403,275","291,970","43,670","16,260","6,455",450,"587,795","323,565","216,430","28,925","12,365","5,400",225,"749,140","400,560","290,510","35,760","13,235","6,455",420,"573,585","320,975","215,005","21,525","9,665","5,400",190
Georgia's 13th,GA-13,17.4,66.1,11.9,3.6,0.6,0.0,19.9,65.5,9.9,3.9,0.6,0.1,18.1,68.6,9.3,3.0,0.6,0.0,21.0,68.6,6.4,3.1,0.6,0.1,"765,370","133,165","505,920","90,875","27,895","4,355",355,"569,970","113,465","373,115","56,385","22,010","3,385",295,"724,195","131,135","496,530","67,255","21,815","4,340",355,"531,835","111,505","364,955","34,185","16,255","3,385",295
Georgia's 14th,GA-14,69.7,14.9,13.0,1.5,0.7,0.1,72.4,14.1,11.2,1.4,0.7,0.1,72.7,15.2,10.0,1.1,0.7,0.1,76.3,14.5,7.2,1.0,0.8,0.1,"767,375","534,560","114,030","99,980","11,255","5,195",430,"584,955","423,225","82,230","65,250","8,380","4,380",325,"732,615","532,760","111,445","73,105","8,090","5,190",430,"552,530","421,500","79,865","39,960","5,565","4,375",325
Hawaii's 1st,HI-01,15.1,2.5,9.0,54.6,0.5,7.5,16.1,2.6,7.2,57.1,0.5,7.0,16.0,2.7,9.6,52.9,0.5,6.5,17.3,2.8,7.7,55.5,0.6,5.8,"723,185","108,855","18,035","64,770","394,650","3,450","54,265","581,605","93,430","14,940","41,885","332,350","3,010","40,770","661,480","105,845","17,715","63,475","349,940","3,415","43,025","525,400","90,635","14,660","40,645","291,550","2,975","30,730"
Hawaii's 2nd,HI-02,27.7,2.1,13.0,28.4,0.9,12.0,31.2,2.1,10.2,30.5,1.0,11.4,28.5,2.2,13.2,26.8,0.9,11.5,32.4,2.1,10.4,28.7,1.0,10.8,"727,405","201,290","15,590","94,250","206,490","6,295","87,075","563,665","175,945","11,730","57,725","172,065","5,440","64,040","684,920","195,325","15,020","90,680","183,235","6,190","78,885","525,335","170,220","11,195","54,555","151,000","5,345","56,970"
Idaho's 1st,ID-01,82.8,1.1,11.8,1.8,2.0,0.1,85.0,0.8,10.0,1.7,2.1,0.1,84.3,1.0,10.5,1.6,2.1,0.1,87.1,0.7,8.2,1.5,2.1,0.1,"931,505","770,960","10,135","110,065","16,900","18,955","1,195","707,020","601,290","5,980","70,605","12,040","14,555",905,"907,690","765,595","9,060","94,885","14,865","18,950","1,050","684,935","596,520","5,115","56,160","10,185","14,550",770
Idaho's 2nd,ID-02,79.9,1.1,14.3,2.4,1.8,0.1,82.2,1.0,12.3,2.3,1.7,0.1,82.5,1.1,12.1,2.0,1.8,0.1,85.6,0.9,9.5,1.8,1.8,0.1,"922,605","737,240","10,390","132,170","22,380","16,395","1,170","692,310","569,140","6,840","85,400","16,150","12,115",870,"887,720","732,365","9,735","107,730","17,530","16,385","1,130","660,005","564,815","6,260","62,590","11,625","12,105",830
Illinois' 1st,IL-01,37.4,50.8,8.8,2.5,0.5,0.0,38.1,51.1,7.7,2.7,0.5,0.0,38.0,52.0,7.7,1.7,0.5,0.0,38.9,52.6,6.3,1.7,0.5,0.0,"754,025","281,730","383,330","66,135","18,565","3,605",40,"587,340","223,625","299,910","45,035","15,570","2,725",35,"729,185","277,150","379,355","55,945","12,465","3,605",40,"563,785","219,290","296,335","35,335","9,620","2,725",35
Illinois' 2nd,IL-02,34.8,48.4,14.8,1.3,0.6,0.0,37.9,46.8,13.3,1.4,0.6,0.0,35.8,49.8,12.6,1.0,0.6,0.0,39.4,48.5,10.4,1.1,0.6,0.0,"755,020","262,645","365,185","111,835","9,900","4,220",165,"575,215","218,280","268,930","76,235","8,085","3,245",165,"727,755","260,500","362,595","91,655","7,600","4,220",165,"549,250","216,150","266,595","57,055","5,810","3,245",165
Illinois' 3rd,IL-03,41.4,5.8,45.2,7.1,0.4,0.0,45.0,5.6,41.4,7.4,0.4,0.0,45.0,6.6,41.1,6.7,0.4,0.0,50.3,6.6,35.5,6.9,0.5,0.0,"746,410","309,100","43,320","337,065","52,850","2,625",170,"580,460","261,465","32,650","240,510","42,730","2,195",145,"640,645","288,220","42,400","263,355","42,745","2,605",170,"480,110","241,660","31,830","170,330","33,295","2,175",145
Illinois' 4th,IL-04,25.0,4.6,65.6,4.5,0.2,0.0,27.7,5.1,62.3,4.7,0.2,0.0,28.9,5.5,61.2,4.2,0.3,0.0,33.8,6.3,55.3,4.3,0.3,0.0,"735,315","184,125","34,130","482,370","32,850","1,665",25,"554,485","153,795","28,110","345,370","25,815","1,380",10,"611,750","176,970","33,465","374,145","25,410","1,620",25,"435,135","146,890","27,475","240,660","18,785","1,355",10
Illinois' 5th,IL-05,71.8,3.1,12.1,12.4,0.4,0.0,73.8,3.1,11.0,11.4,0.4,0.0,74.6,3.2,11.2,10.3,0.4,0.0,77.3,3.3,9.8,9.0,0.4,0.0,"753,755","541,240","23,395","90,850","93,405","2,930",155,"609,415","450,045","18,950","66,965","69,620","2,400",130,"698,275","520,675","22,520","78,280","72,060","2,930",155,"558,195","431,390","18,165","54,865","50,050","2,400",130
Illinois' 6th,IL-06,72.3,5.7,14.6,6.9,0.4,0.0,74.8,5.6,12.5,6.6,0.4,0.0,74.0,5.9,13.7,5.8,0.4,0.0,77.1,5.8,11.2,5.4,0.4,0.0,"754,650","545,310","42,650","110,275","52,195","3,205",110,"589,255","440,690","32,885","73,625","39,075","2,435",60,"711,960","527,120","41,875","97,740","41,200","3,185",110,"549,900","423,995","32,165","61,445","29,465","2,420",60
Illinois' 7th,IL-07,31.3,43.6,15.2,9.3,0.4,0.0,34.3,41.9,13.4,9.8,0.4,0.0,32.5,46.6,13.2,7.0,0.4,0.0,36.1,45.4,10.9,7.1,0.4,0.0,"730,550","228,775","318,790","111,050","67,620","2,810",230,"591,915","203,205","248,125","79,595","58,155","2,230",170,"676,510","220,105","315,220","89,605","47,290","2,795",230,"539,965","194,835","245,005","58,810","38,495","2,210",170
Illinois' 8th,IL-08,55.0,5.6,24.1,14.7,0.3,0.0,58.9,4.8,20.8,14.9,0.3,0.0,59.5,6.0,21.1,12.7,0.3,0.0,65.3,5.2,16.3,12.6,0.4,0.1,"753,960","414,390","42,310","181,695","111,195","2,350",285,"583,395","343,510","28,280","121,215","87,010","1,905",255,"665,395","395,795","39,870","140,725","84,675","2,320",285,"500,080","326,325","26,140","81,350","62,925","1,875",255
Illinois' 9th,IL-09,60.7,9.8,13.1,15.4,0.4,0.0,63.2,9.1,11.9,15.1,0.4,0.1,64.8,9.6,11.6,13.0,0.5,0.0,68.2,8.8,9.8,12.3,0.5,0.1,"749,895","455,440","73,755","98,275","115,690","3,315",320,"598,230","377,805","54,290","71,295","90,215","2,445",320,"675,655","437,580","64,910","78,700","87,940","3,315",320,"530,230","361,530","46,695","52,175","65,425","2,445",320
Illinois' 10th,IL-10,60.2,7.2,22.9,9.0,0.5,0.0,63.9,6.8,20.0,8.7,0.5,0.0,64.7,7.7,19.6,7.3,0.5,0.0,70.0,7.3,15.3,6.7,0.5,0.0,"753,315","453,360","54,190","172,660","67,750","3,560",265,"577,740","368,950","39,005","115,535","50,255","2,785",230,"685,430","443,735","52,510","134,045","49,985","3,535",120,"514,735","360,135","37,410","78,650","34,735","2,760",85
Illinois' 11th,IL-11,65.2,6.7,18.6,9.0,0.3,0.0,68.3,6.2,16.5,8.6,0.4,0.0,69.1,7.0,16.0,7.3,0.4,0.0,73.5,6.5,12.9,6.6,0.4,0.0,"750,485","489,330","50,375","139,440","67,445","2,455",230,"573,200","391,550","35,470","94,370","49,130","2,125",135,"695,620","480,725","48,515","111,495","51,110","2,455",140,"522,070","383,520","33,945","67,385","34,645","2,125",45
Illinois' 12th,IL-12,88.5,5.9,2.8,1.3,1.1,0.0,89.6,5.5,2.5,1.2,1.1,0.0,89.2,5.9,2.4,1.0,1.1,0.0,90.4,5.5,2.0,0.8,1.1,0.0,"752,940","666,615","44,555","21,400","9,990","8,410",120,"588,795","527,600","32,525","14,610","6,830","6,220",105,"745,445","665,160","44,240","18,105","7,600","8,405",120,"581,980","526,270","32,245","11,665","4,615","6,215",105
Illinois' 13th,IL-13,68.7,21.6,4.3,4.6,0.7,0.0,71.7,19.1,3.7,4.7,0.8,0.0,70.5,21.9,3.8,2.9,0.8,0.0,73.9,19.5,3.1,2.7,0.8,0.0,"751,710","516,365","162,040","32,090","34,280","5,490",260,"596,675","427,615","113,935","21,985","28,150","4,525",225,"727,110","512,730","159,045","27,285","21,215","5,460",220,"573,840","424,225","111,695","17,615","15,405","4,495",185
Illinois' 14th,IL-14,60.6,10.2,22.7,5.9,0.4,0.0,63.7,10.0,20.1,5.6,0.4,0.0,63.7,10.6,19.8,5.2,0.5,0.0,68.0,10.5,16.2,4.7,0.4,0.0,"757,405","458,610","77,375","171,650","45,035","3,270",50,"569,100","362,780","56,680","114,415","31,935","2,355",40,"712,010","453,335","75,690","141,240","37,080","3,230",40,"526,235","358,010","55,105","85,250","24,645","2,315",40
Illinois' 15th,IL-15,91.5,4.0,2.6,1.1,0.7,0.1,92.6,3.4,2.2,1.0,0.7,0.1,92.0,3.9,2.3,0.9,0.7,0.0,93.2,3.3,1.9,0.8,0.7,0.0,"754,125","689,665","30,065","19,465","8,425","4,965",410,"592,580","548,500","20,175","12,935","5,860","4,100",350,"748,600","688,450","29,405","17,415","6,995","4,955",275,"587,430","547,370","19,670","10,895","4,565","4,090",215
Illinois' 16th,IL-16,86.6,3.6,6.4,2.8,0.5,0.0,88.9,2.8,5.2,2.4,0.4,0.0,88.2,3.5,5.7,2.0,0.5,0.0,90.8,2.8,4.3,1.5,0.4,0.0,"751,285","650,655","26,745","48,280","20,965","3,435",240,"579,560","515,335","16,425","30,270","14,170","2,535",240,"734,465","647,645","25,820","42,075","14,380","3,410",215,"564,445","512,485","16,030","24,340","8,315","2,510",215
Illinois' 17th,IL-17,70.7,15.3,10.8,2.5,0.6,0.0,74.9,13.0,9.0,2.3,0.5,0.0,72.8,15.2,9.4,1.8,0.6,0.0,77.6,13.0,7.2,1.6,0.6,0.0,"752,785","532,010","114,910","81,165","18,940","4,175",235,"589,790","441,890","76,930","53,165","13,820","3,185",165,"726,395","529,045","110,295","68,245","13,110","4,170",200,"566,385","439,325","73,515","40,750","8,875","3,180",130
Indiana's 1st,IN-01,62.1,18.9,16.6,1.8,0.6,0.0,65.2,17.5,14.9,1.7,0.6,0.0,63.4,19.2,15.3,1.4,0.6,0.0,66.9,18.0,13.3,1.2,0.6,0.0,"753,720","468,280","142,255","125,015","13,360","4,280",125,"583,515","380,390","102,325","86,950","10,175","3,425",110,"734,510","465,745","141,375","112,500","10,110","4,275",120,"565,330","377,930","101,620","75,065","7,060","3,415",105
Indiana's 2nd,IN-02,78.4,8.0,10.6,1.9,0.7,0.1,81.6,6.9,8.7,1.9,0.8,0.1,80.8,8.0,8.7,1.4,0.8,0.0,84.7,6.8,6.2,1.3,0.8,0.0,"752,670","590,440","60,500","80,080","14,465","5,620",385,"569,575","464,815","39,045","49,480","10,685","4,420",310,"726,895","587,440","58,510","63,395","10,450","5,605",325,"545,750","462,095","37,370","33,905","6,920","4,405",250
Indiana's 3rd,IN-03,82.5,7.4,6.2,3.0,0.6,0.0,84.9,6.4,5.2,2.7,0.7,0.0,84.3,7.4,5.2,2.2,0.6,0.0,87.1,6.4,3.9,1.7,0.7,0.1,"753,445","621,545","55,685","47,055","22,765","4,505",290,"564,550","479,055","36,275","29,300","15,150","3,685",275,"734,940","619,505","54,420","38,510","16,175","4,505",290,"547,660","477,125","35,050","21,305","9,470","3,685",275
Indiana's 4th,IN-04,84.0,4.8,6.6,3.8,0.6,0.0,85.7,4.1,5.5,3.9,0.6,0.0,86.8,4.7,5.3,2.4,0.6,0.0,89.3,4.0,3.8,2.3,0.6,0.0,"756,005","634,725","36,070","50,045","28,650","4,185",75,"583,350","500,065","23,940","31,835","22,915","3,340",75,"726,990","631,085","34,020","38,290","17,650","4,185",75,"556,475","496,700","22,100","20,945","12,555","3,340",75
Indiana's 5th,IN-05,83.7,7.2,4.2,4.2,0.6,0.0,85.5,6.4,3.5,3.9,0.6,0.0,85.3,7.2,3.6,3.1,0.6,0.0,87.4,6.4,2.8,2.6,0.6,0.0,"756,125","632,520","54,480","31,445","31,770","4,390",170,"581,255","496,825","37,280","20,380","22,465","3,545",165,"736,660","628,020","53,205","26,380","23,180","4,370",170,"564,020","492,995","36,215","15,940","14,600","3,525",165
Indiana's 6th,IN-06,83.0,5.7,5.0,5.6,0.6,0.0,85.5,4.7,4.0,4.9,0.7,0.0,86.1,5.6,3.9,3.5,0.6,0.0,89.4,4.6,2.7,2.5,0.7,0.0,"752,730","624,475","42,870","37,285","41,940","4,665",120,"571,855","489,205","27,075","22,960","27,955","3,780",95,"722,295","622,035","40,475","28,250","25,495","4,630",110,"544,950","487,075","25,005","14,740","13,540","3,750",85
Indiana's 7th,IN-07,48.2,36.1,12.2,2.5,0.6,0.0,53.3,33.6,9.5,2.6,0.6,0.0,51.1,36.7,9.3,2.0,0.6,0.0,57.1,34.3,5.7,1.9,0.7,0.0,"750,335","361,430","271,065","91,715","19,065","4,475",165,"569,665","303,915","191,640","54,340","14,775","3,685",160,"700,585","357,960","256,800","65,085","13,850","4,390",155,"526,405","300,635","180,440","30,245","10,235","3,595",150
Indiana's 8th,IN-08,89.6,5.3,2.9,1.4,0.6,0.1,91.0,4.7,2.3,1.3,0.7,0.1,90.6,5.2,2.3,1.0,0.7,0.1,92.2,4.5,1.6,0.9,0.7,0.1,"754,480","675,980","40,175","21,540","10,480","4,900",820,"587,295","534,145","27,375","13,260","7,665","3,985",595,"744,065","674,340","38,875","17,190","7,760","4,900",585,"577,605","532,580","26,210","9,095","5,155","3,985",395
Indiana's 9th,IN-09,89.3,3.8,3.6,2.4,0.8,0.0,90.5,3.3,2.9,2.4,0.8,0.0,91.0,3.8,2.8,1.5,0.8,0.0,92.4,3.3,2.0,1.3,0.8,0.0,"754,890","674,455","28,545","26,805","17,785","5,675",145,"595,880","539,305","19,435","17,080","14,340","4,790",145,"739,085","672,215","28,110","20,685","10,820","5,660",145,"581,425","537,270","19,080","11,555","7,845","4,775",145
Iowa's 1st,IA-01,85.0,5.5,5.7,3.0,0.6,0.0,87.1,4.4,4.8,2.9,0.6,0.0,87.0,5.0,5.0,2.1,0.6,0.0,89.5,3.8,3.9,1.9,0.6,0.0,"797,530","677,940","43,845","45,300","23,590","4,820",335,"620,735","540,470","27,160","29,830","18,025","3,855",265,"775,300","674,780","38,795","38,880","16,120","4,815",230,"600,410","537,510","22,920","23,700","11,140","3,850",190
Iowa's 2nd,IA-02,88.0,5.2,3.6,2.0,0.7,0.2,90.2,4.1,2.9,1.9,0.7,0.2,89.5,4.9,3.1,1.5,0.7,0.1,91.9,3.7,2.3,1.3,0.7,0.0,"795,900","700,150","41,730","28,960","16,110","5,590","1,835","618,300","557,690","25,075","18,105","11,475","4,235",990,"779,540","697,350","38,100","24,350","11,765","5,585",915,"603,975","555,110","22,350","13,770","7,610","4,230",225
Iowa's 3rd,IA-03,80.9,6.1,7.6,4.5,0.7,0.1,83.9,5.0,6.2,4.1,0.6,0.1,83.9,5.6,6.3,3.3,0.7,0.0,87.5,4.5,4.5,2.7,0.7,0.0,"799,080","646,830","48,470","60,470","35,875","5,265",615,"604,000","506,660","29,995","37,215","24,815","3,875",385,"766,075","642,800","43,125","48,055","24,960","5,260",350,"575,220","503,145","25,830","25,680","15,525","3,870",145
Iowa's 4th,IA-04,84.1,2.7,9.3,2.6,0.8,0.2,86.7,2.2,7.3,2.6,0.8,0.2,86.9,2.6,7.6,1.8,0.8,0.2,90.2,2.0,5.2,1.6,0.8,0.1,"796,325","670,045","21,875","73,905","20,815","6,490","1,605","615,480","533,925","13,820","44,735","16,105","4,660","1,270","767,935","667,350","19,605","58,400","13,445","6,475","1,185","589,335","531,525","11,885","30,405","9,150","4,645",870
Kansas' 1st,KS-01,76.7,3.5,15.3,2.5,1.7,0.1,79.5,3.3,12.7,2.5,1.7,0.1,79.9,3.5,12.8,1.8,1.7,0.0,83.5,3.3,9.5,1.6,1.8,0.0,"734,315","563,380","25,845","112,020","18,270","12,160",760,"569,195","452,635","18,765","72,270","14,225","9,520",655,"701,360","560,310","24,265","89,880","12,630","12,155",305,"538,465","449,835","17,590","51,420","8,845","9,520",200
Kansas' 2nd,KS-02,72.1,10.2,12.6,2.4,2.3,0.2,75.2,9.5,10.5,2.3,2.3,0.1,74.6,10.4,10.3,1.9,2.4,0.1,78.3,9.8,7.6,1.7,2.4,0.1,"734,780","529,695","75,180","92,670","17,490","16,895","1,205","554,865","417,075","52,975","58,010","12,595","12,720",755,"707,455","527,830","73,890","73,160","13,200","16,885",860,"530,965","415,505","52,140","40,290","9,130","12,710",480
Kansas' 3rd,KS-03,78.5,5.8,9.2,5.5,0.9,0.0,80.8,5.0,7.9,5.2,0.9,0.0,81.5,5.6,7.5,4.3,1.0,0.0,84.5,4.7,5.8,3.8,0.9,0.0,"733,585","575,855","42,185","67,170","40,050","6,715",130,"559,115","451,890","28,165","44,035","28,915","5,035",110,"701,930","571,785","39,085","52,490","30,260","6,715",115,"530,440","448,315","25,195","30,705","20,140","5,035",100
Kansas' 4th,KS-04,72.3,8.1,13.4,3.9,2.0,0.1,75.7,7.1,11.1,3.9,1.9,0.1,74.7,8.1,11.5,3.3,2.0,0.0,78.9,7.1,8.5,3.2,2.0,0.0,"733,240","530,205","59,085","98,110","28,790","14,395",425,"551,335","417,270","38,920","61,190","21,655","10,440",360,"706,185","527,810","57,455","80,960","23,310","14,390",235,"526,250","414,990","37,625","44,945","16,750","10,440",200
Kentucky's 1st,KY-01,85.8,8.6,3.6,0.9,0.8,0.1,87.6,7.7,2.8,0.8,0.8,0.1,86.6,8.7,2.9,0.7,0.8,0.1,88.6,7.8,2.1,0.6,0.8,0.1,"751,425","645,005","64,880","26,885","7,010","5,835",695,"583,185","510,750","45,145","16,440","4,900","4,735",450,"743,275","643,975","64,515","21,910","5,265","5,825",685,"575,670","509,785","44,780","11,880","3,305","4,730",440
Kentucky's 2nd,KY-02,86.2,6.5,3.8,2.3,0.7,0.2,88.0,5.9,3.1,2.0,0.7,0.1,87.9,6.4,3.1,1.5,0.7,0.1,89.9,5.8,2.1,1.2,0.8,0.1,"753,140","649,535","49,270","28,795","17,585","5,135","1,260","578,445","509,230","34,090","17,675","11,490","4,335",860,"735,795","646,830","47,430","22,825","11,365","5,100",785,"563,470","506,695","32,695","11,955","6,745","4,300",385
Kentucky's 3rd,KY-03,64.8,24.4,6.4,3.5,0.7,0.0,68.5,22.1,5.4,3.2,0.7,0.0,67.5,24.8,4.3,2.5,0.7,0.0,71.6,22.4,3.0,2.2,0.7,0.0,"746,480","483,865","182,160","47,930","26,105","5,170",325,"582,980","399,410","128,620","31,405","18,740","4,040",170,"710,050","479,205","175,865","30,755","17,975","5,170",270,"552,375","395,465","123,735","16,520","12,030","4,040",115
Kentucky's 4th,KY-04,89.4,4.6,3.6,1.5,0.7,0.0,90.9,3.9,2.9,1.4,0.7,0.0,90.7,4.3,2.9,1.1,0.7,0.0,92.6,3.7,2.0,0.9,0.7,0.0,"751,455","671,585","34,215","27,355","11,535","5,075",370,"574,910","522,815","22,650","16,720","8,005","3,910",205,"737,320","669,080","31,770","21,575","8,400","5,030",160,"561,975","520,395","20,565","11,200","5,215","3,880",135
