District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
California's 9th,CA-09,30.3,7.7,42.2,17.4,1.0,0.6,34.1,7.7,38.4,17.5,1.0,0.5,33.6,8.5,39.0,16.2,1.1,0.6,39.2,8.8,33.2,16.3,1.2,0.6,"762,120","230,950","58,510","321,815","132,270","7,395","4,210","561,025","191,505","43,130","215,440","98,040","5,780","2,965","674,975","226,775","57,345","263,530","109,625","7,380","3,890","479,275","187,730","42,125","159,260","78,060","5,765","2,690"
California's 10th,CA-10,50.2,5.9,17.2,24.8,0.7,0.4,53.7,5.8,15.5,23.2,0.7,0.4,53.3,6.3,16.3,22.0,0.8,0.4,57.8,6.2,14.2,19.9,0.8,0.4,"755,995","379,135","44,485","129,660","187,280","5,470","2,925","584,495","313,735","33,745","90,605","135,660","4,125","2,225","686,140","365,385","42,940","111,975","150,695","5,425","2,730","522,730","302,005","32,340","74,060","103,840","4,080","2,045"
California's 11th,CA-11,43.4,6.0,14.1,34.8,0.6,0.4,44.9,5.8,13.0,34.8,0.6,0.3,45.9,6.6,12.7,32.9,0.7,0.4,47.9,6.4,11.3,32.8,0.7,0.3,"735,920","319,195","44,435","103,785","255,820","4,540","2,650","639,495","287,410","36,965","83,190","222,410","3,780","2,160","645,560","296,090","42,745","81,820","212,650","4,480","2,415","553,125","264,995","35,280","62,330","181,435","3,720","1,930"
California's 12th,CA-12,35.1,17.5,21.9,23.4,0.7,0.5,37.2,17.2,19.4,24.2,0.7,0.5,38.3,19.1,18.5,21.8,0.8,0.5,41.3,19.1,15.2,22.3,0.8,0.5,"750,210","263,065","130,970","164,615","175,570","5,125","3,845","614,080","228,540","105,560","119,420","148,505","4,260","3,215","656,875","251,410","125,230","121,820","143,335","5,015","3,425","527,640","217,695","100,575","80,305","117,860","4,170","2,800"
California's 13th,CA-13,22.8,3.4,65.5,6.6,0.9,0.4,26.6,3.6,61.2,7.0,1.0,0.4,26.8,4.1,60.7,6.5,1.1,0.4,33.3,4.5,53.0,7.1,1.3,0.4,"770,975","176,120","26,565","504,670","50,880","7,100","2,830","543,745","144,485","19,465","332,600","37,925","5,570","2,095","642,435","171,980","26,070","390,040","42,040","7,100","2,490","422,700","140,735","18,990","223,920","30,215","5,570","1,755"
California's 14th,CA-14,27.2,6.3,23.9,40.1,0.6,1.0,29.5,6.5,21.9,39.8,0.6,1.0,31.2,7.1,23.0,36.0,0.7,1.0,34.9,7.6,20.1,34.8,0.8,1.0,"751,585","204,660","47,090","179,390","301,570","4,385","7,775","593,750","175,415","38,315","129,935","236,230","3,795","6,110","631,445","196,860","44,910","145,120","227,035","4,325","6,630","483,095","168,575","36,625","97,115","168,185","3,740","5,030"
California's 15th,CA-15,30.0,3.1,25.3,39.3,0.4,1.3,31.7,3.1,23.3,39.8,0.4,1.2,33.2,3.5,22.8,38.1,0.4,1.2,35.9,3.6,19.9,38.4,0.4,1.2,"752,065","225,715","23,560","189,990","295,900","2,760","9,530","606,695","192,045","18,965","141,575","241,620","2,175","7,385","637,390","211,785","22,575","145,105","242,875","2,740","7,855","499,475","179,275","18,130","99,495","191,865","2,155","5,785"
California's 16th,CA-16,44.9,2.8,18.9,32.0,0.5,0.3,47.7,2.7,17.0,31.4,0.5,0.3,48.8,3.0,17.6,29.2,0.6,0.4,53.2,2.9,14.8,27.8,0.6,0.3,"749,235","336,220","20,715","141,865","239,980","3,705","2,475","587,120","280,045","15,785","99,785","184,370","2,835","1,600","640,700","312,425","19,000","112,550","186,845","3,670","2,275","487,945","259,385","14,230","72,005","135,735","2,795","1,405"
California's 17th,CA-17,22.0,2.4,15.9,58.0,0.5,0.5,24.1,2.4,14.6,57.4,0.5,0.5,26.6,2.9,17.4,51.0,0.7,0.6,30.6,3.1,15.7,48.8,0.6,0.6,"751,595","165,185","18,005","119,605","436,275","3,755","4,050","601,250","144,835","14,665","87,625","345,320","2,750","3,085","560,790","149,090","16,445","97,540","286,270","3,655","3,260","425,745","130,315","13,265","66,650","207,710","2,680","2,360"
California's 18th,CA-18,19.2,2.4,65.2,12.2,0.5,0.2,22.3,2.6,60.3,13.6,0.6,0.2,23.3,2.8,60.2,12.4,0.6,0.2,29.2,3.2,51.8,14.3,0.8,0.3,"759,200","145,390","17,985","494,885","92,745","3,855","1,290","564,795","126,210","14,420","340,625","77,025","3,295","1,135","603,455","140,720","16,835","363,370","74,540","3,765","1,270","417,050","121,725","13,370","215,920","59,715","3,205","1,115"
